Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	neutrophil mediated immunity (GO:0002446)	174/488	1.552110554474727e-20	3.2907855019398816e-17	0	0	2.563617129129659	116.93192549586936	GHDC;RAB3A;TMEM179B;GMFG;PYCARD;STK10;LGALS3;PSMD7;PNP;PLAU;FTH1;PSMD3;CLEC5A;LAMP2;C3AR1;OSTF1;B2M;GOLGA7;TICAM2;CD300A;SLC11A1;CYBB;CYBA;ARMC8;MIF;UNC13D;ARHGAP45;OSCAR;EEF1A1;RAB31;TYROBP;BIN2;CRISPLD2;CSNK2B;PADI2;PPIE;PSMD12;VCP;PSMD11;PSMD13;HVCN1;COPB1;STXBP2;C5AR1;MGST1;GPR84;PSEN1;CFP;GNS;C3;COMMD9;DPP7;ALDH3B1;NEU1;NCKAP1L;LTA4H;CD14;RAB6A;HMOX2;AP1M1;GSDMD;CTSA;HSPA8;XRCC6;RAB4B;TRAPPC1;XRCC5;FUCA1;FUCA2;GGH;PRDX6;NFKB1;DERA;BST2;PTPRC;LCN2;DEGS1;MAN2B1;HPSE;ARHGAP9;ITGAM;B4GALT1;HEXB;ITGB2;SNAP23;CTSZ;PYGL;TCIRG1;MAGT1;ITGAL;SLC2A5;CTSS;ALAD;HK3;GLIPR1;ACTR1B;GM2A;NAPRT;ITGAX;PGM2;CTSH;GUSB;CTSD;CD33;CTSC;CTSB;CD53;HGSNAT;DBNL;FCER1G;ANXA2;ANXA3;NFAM1;PGAM1;ATP6AP2;NME2;RHOG;PLAUR;TMC6;RHOF;IRAK4;DYNLL1;TNFRSF1B;DDOST;APRT;VAMP8;FGR;PKM;NPC2;ALDOC;CD47;ALDOA;DOCK2;ATP6V0C;PAFAH1B2;DNASE1L1;TLR2;CD63;ASAH1;GRN;MVP;PTAFR;FGL2;MOSPD2;PRCP;CST3;PGRMC1;ALOX5;CREG1;ORMDL3;STOM;AGA;CCT8;LAIR1;GSN;TMEM30A;GCA;CARD9;CMTM6;TUBB4B;SVIP;ERP44;FABP5;PSMC3;STING1;VAPA;SLCO4C1;RAB18;LAMTOR2;PTPN6;CD68;ACTR10;HSPA1A;VPS35L
GO_Biological_Process_2021	neutrophil degranulation (GO:0043312)	172/481	1.8372314068424645e-20	3.2907855019398816e-17	0	0	2.5744737602939667	116.9929492422815	GHDC;RAB3A;TMEM179B;GMFG;PYCARD;STK10;LGALS3;PSMD7;PNP;PLAU;FTH1;PSMD3;CLEC5A;LAMP2;C3AR1;OSTF1;B2M;GOLGA7;TICAM2;CD300A;SLC11A1;CYBB;CYBA;ARMC8;MIF;UNC13D;ARHGAP45;OSCAR;EEF1A1;RAB31;TYROBP;BIN2;CRISPLD2;CSNK2B;PADI2;PPIE;PSMD12;VCP;PSMD11;PSMD13;HVCN1;COPB1;STXBP2;C5AR1;MGST1;GPR84;PSEN1;CFP;GNS;C3;COMMD9;DPP7;ALDH3B1;NEU1;NCKAP1L;LTA4H;CD14;RAB6A;HMOX2;AP1M1;GSDMD;CTSA;HSPA8;XRCC6;RAB4B;TRAPPC1;XRCC5;FUCA1;FUCA2;GGH;PRDX6;NFKB1;DERA;BST2;PTPRC;LCN2;DEGS1;MAN2B1;HPSE;ARHGAP9;ITGAM;B4GALT1;HEXB;ITGB2;SNAP23;CTSZ;PYGL;TCIRG1;MAGT1;ITGAL;SLC2A5;CTSS;ALAD;HK3;GLIPR1;ACTR1B;GM2A;NAPRT;ITGAX;PGM2;CTSH;GUSB;CTSD;CD33;CTSC;CTSB;CD53;HGSNAT;DBNL;FCER1G;ANXA2;ANXA3;NFAM1;PGAM1;ATP6AP2;NME2;RHOG;PLAUR;TMC6;RHOF;DYNLL1;TNFRSF1B;DDOST;APRT;VAMP8;FGR;PKM;NPC2;ALDOC;CD47;ALDOA;DOCK2;ATP6V0C;PAFAH1B2;DNASE1L1;TLR2;CD63;ASAH1;GRN;MVP;PTAFR;FGL2;MOSPD2;PRCP;CST3;PGRMC1;ALOX5;CREG1;ORMDL3;STOM;AGA;CCT8;LAIR1;GSN;TMEM30A;GCA;CMTM6;TUBB4B;SVIP;ERP44;FABP5;PSMC3;STING1;VAPA;SLCO4C1;RAB18;LAMTOR2;PTPN6;CD68;ACTR10;HSPA1A;VPS35L
GO_Biological_Process_2021	neutrophil activation involved in immune response (GO:0002283)	173/485	1.9113952576611123e-20	3.2907855019398816e-17	0	0	2.564802906327841	116.45197358754116	GHDC;RAB3A;TMEM179B;GMFG;PYCARD;STK10;LGALS3;PSMD7;PNP;PLAU;FTH1;PSMD3;CLEC5A;LAMP2;C3AR1;OSTF1;B2M;GOLGA7;TICAM2;CD300A;SLC11A1;CYBB;CYBA;ARMC8;MIF;UNC13D;ARHGAP45;OSCAR;EEF1A1;RAB31;TYROBP;BIN2;CRISPLD2;CSNK2B;PADI2;PPIE;PSMD12;VCP;PSMD11;PSMD13;HVCN1;COPB1;STXBP2;C5AR1;MGST1;GPR84;PSEN1;CFP;GNS;C3;COMMD9;DPP7;ALDH3B1;NEU1;NCKAP1L;LTA4H;CD14;RAB6A;HMOX2;AP1M1;GSDMD;CTSA;HSPA8;XRCC6;RAB4B;TRAPPC1;XRCC5;FUCA1;FUCA2;GGH;PRDX6;NFKB1;DERA;BST2;PTPRC;LCN2;DEGS1;MAN2B1;HPSE;ARHGAP9;ITGAM;B4GALT1;HEXB;ITGB2;SNAP23;CTSZ;PYGL;TCIRG1;MAGT1;ITGAL;SLC2A5;CTSS;ALAD;HK3;GLIPR1;ACTR1B;GM2A;NAPRT;ITGAX;PGM2;CTSH;GUSB;CTSD;CD33;CTSC;CTSB;CD53;HGSNAT;DBNL;FCER1G;ANXA2;SYK;ANXA3;NFAM1;PGAM1;ATP6AP2;NME2;RHOG;PLAUR;TMC6;RHOF;DYNLL1;TNFRSF1B;DDOST;APRT;VAMP8;FGR;PKM;NPC2;ALDOC;CD47;ALDOA;DOCK2;ATP6V0C;PAFAH1B2;DNASE1L1;TLR2;CD63;ASAH1;GRN;MVP;PTAFR;FGL2;MOSPD2;PRCP;CST3;PGRMC1;ALOX5;CREG1;ORMDL3;STOM;AGA;CCT8;LAIR1;GSN;TMEM30A;GCA;CMTM6;TUBB4B;SVIP;ERP44;FABP5;PSMC3;STING1;VAPA;SLCO4C1;RAB18;LAMTOR2;PTPN6;CD68;ACTR10;HSPA1A;VPS35L
GO_Biological_Process_2021	positive regulation of type I interferon production (GO:0032481)	40/77	2.1949836418547236e-11	2.8342726275449115e-08	0	0	4.898479823521467	120.2197724330221	CRCP;CGAS;PTPN22;DDX41;PQBP1;IFIH1;RNF135;TBK1;DHX58;G3BP1;FLOT1;POLR2E;CD14;POLR2H;ZBP1;XRCC6;DDX58;RIPK2;RIOK3;STAT1;XRCC5;ISG15;NFKB1;NFKB2;STING1;OAS2;POLR3C;IRF1;OAS3;POLR1C;POLR3E;IRF7;IRF5;TLR7;POLR3H;GAPDH;TLR4;MYD88;TLR2;TRIM56
GO_Biological_Process_2021	cytokine-mediated signaling pathway (GO:0019221)	178/621	6.473544753605777e-11	6.687171730474768e-08	0	0	1.846056699284221	43.309804906642114	IFITM3;CD86;CNTF;IL1RN;SPI1;CSF3R;IFITM2;CSF1;SLA;IFI35;SLA2;IFI30;IFIT1;FGF2;IFIT3;ICAM1;IFIT2;PYCARD;PSMD9;PSMD7;PSMD4;PSMD5;MYC;PSMD3;CFL1;TRIM25;MAP3K8;B2M;IL13RA1;IFNAR2;RSAD2;GPR75;TALDO1;MIF;MTAP;IFI27;CSNK2B;PSME1;CDIP1;PSME2;UBE2V1;SQSTM1;CSF1R;PSMD12;PSMD11;PSMD13;CTR9;EBI3;CUL1;CSF2RB;TNFRSF11A;HIF1A;HSP90B1;SOCS3;SOCS1;UBB;INPP5D;HMOX1;NDN;TNFRSF17;TNFRSF14;PSMF1;CD300LF;HSPA9;HSPA8;MSN;ISG15;NFKB1;BST2;ISG20;NFKBIA;CXCL10;LCN2;UBE2N;TNFSF9;TNFSF8;XAF1;BRWD1;MYD88;BCL2L1;ARF1;CXCL9;ITGAM;TNFRSF13B;ITGB2;ILK;EDA2R;CXCL5;IL18BP;TNFSF13B;ITGAX;CASP1;CCR5;JAK3;JAK1;EIF5A;JAGN1;FCER1G;ANXA2;SYK;GPR35;IFNGR1;RIPK2;IL15;TRAF2;IRAK3;TRAF1;IRAK4;TNFRSF1B;OSMR;F3;COMMD7;IL17RC;YWHAZ;VAV1;TNFRSF1A;HCK;IL1A;AIM2;LCK;OAS2;IL1B;IRF1;OAS3;TCP1;IL3RA;CANX;IRF7;XCL1;IRF8;IRF5;LCP1;LTB;BIRC2;IRF9;BIRC3;SP100;RALA;PTAFR;IL2RG;SAMHD1;PSMA8;PSMB4;IL1RL2;MUC1;PSMB5;CCL7;PSMB3;ALOX5;CCL4;CCL3;IL21R;CCL2;GBP2;IL33;IL10RB;STAT1;IL10RA;IL34;MX2;STAT3;MX1;OSM;SOD2;PSMB8;PSMB9;BATF;PSMC5;TEC;PSMC3;PSMC4;CLCF1;PSMC1;CAPZA1;PTPN6;P4HB;LTBR;CRLF2
GO_Biological_Process_2021	positive regulation of cytokine production (GO:0001819)	108/335	3.382198624968841e-10	2.911509316327345e-07	0	0	2.1716640613897966	47.35818387147542	CD86;CRCP;PARK7;PYCARD;PNP;TBK1;DHX58;LGALS9;ZBP1;GBP5;SLC11A1;SERPINF2;CYBA;MIF;RUNX1;TYROBP;DDIT3;CD226;ATF4;CD274;CSF1R;TMED10;EBI3;LPL;PHB;HIF1A;LY9;AGER;C3;CLEC7A;G3BP1;PLCG2;S100A13;HMOX1;SLAMF6;TNFRSF14;CD14;FADD;XBP1;XRCC6;XRCC5;EIF2AK2;ISG15;POU2F2;NFKB1;NFKB2;LACC1;PTPRC;HPSE;CD200;MYD88;SETD4;CGAS;PTPN22;DDX41;PIK3CG;PQBP1;IFIH1;MDK;HYAL2;FLOT1;HAVCR2;FCER1G;SYK;IL15;RIPK2;DDX58;NFAM1;TRAF2;F3;TLR1;FGR;IL1A;IL1B;IRF1;POLR1C;IRF7;XCL1;TLR7;IRF5;TLR6;LTB;RAB7B;TLR4;GAPDH;TMEM106A;TLR2;PTGER4;STOML2;AIF1;POLR2E;POLR2H;TIGIT;CD74;IL33;CARD9;STAT3;LAPTM5;OSM;SCIMP;BATF;CD2;STING1;POLR3C;POLR3E;POLR3H;CRLF2;HSPA1A
GO_Biological_Process_2021	antigen processing and presentation of exogenous peptide antigen via MHC class I (GO:0042590)	38/78	7.83011487030473e-10	5.777506186446276e-07	0	0	4.301359600443951	90.19036505334446	PSMD12;PSMD11;ITGB5;NCF1;NCF2;PSMD13;NCF4;SNAP23;IFI30;PSMA8;PSMD9;PSMB4;PSMD7;PSMB5;PSMD4;PSMD5;PSMB3;PSMD3;PSMF1;B2M;PDIA3;FCER1G;TAP2;CYBB;TAP1;CYBA;PSMB8;TAPBP;PSMB9;VAMP8;PSMC5;PSMC3;PSMC4;PSMC1;PSME1;PSME2;SEC22B;VAMP3
GO_Biological_Process_2021	antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent (GO:0002479)	36/73	1.421530875931213e-09	8.349584621015e-07	0	0	4.40374151189459	89.71095877066365	PSMD12;PSMD11;ITGB5;NCF1;NCF2;PSMD13;NCF4;SNAP23;PSMA8;PSMD9;PSMB4;PSMD7;PSMB5;PSMD4;PSMD5;PSMB3;PSMD3;PSMF1;B2M;PDIA3;TAP2;CYBB;TAP1;CYBA;PSMB8;TAPBP;PSMB9;VAMP8;PSMC5;PSMC3;PSMC4;PSMC1;PSME1;PSME2;SEC22B;VAMP3
GO_Biological_Process_2021	regulation of type I interferon production (GO:0032479)	41/89	1.4549130994992255e-09	8.349584621015e-07	0	0	3.868774877348885	78.72306791055499	CRCP;UBA7;NLRC5;CGAS;PTPN22;UBE2L6;DDX41;PQBP1;IFIH1;RNF135;TBK1;RNF216;DHX58;G3BP1;PCBP2;POLR2E;TRIM25;UFD1;CD14;POLR2H;IKBKE;ZBP1;XRCC6;DDX58;XRCC5;TREX1;ISG15;NFKB1;NFKB2;STING1;POLR3C;IRF1;POLR1C;POLR3E;IRF7;IRF8;IRF5;POLR3H;GAPDH;MYD88;TRIM56
GO_Biological_Process_2021	defense response to virus (GO:0051607)	53/133	4.071548565919348e-09	2.102954834297343e-06	0	0	3.0047854555586517	58.050178656551466	IFITM3;RTP4;IFITM2;CLPB;CGAS;IFIT1;ZDHHC1;PHB2;IFIT3;IFIT2;PQBP1;PYCARD;IFIH1;IFNAR2;ZBP1;RSAD2;RIPK3;DDX58;RNASE6;PLSCR1;IFI27;OAS2;IRF1;OAS3;IRF7;TLR7;TLR2;TRIM56;NLRC5;PHB;SAMHD1;RNF135;EXOSC5;EXOSC4;G3BP1;FADD;STAT1;MX2;MX1;EIF2AK2;ISG15;BST2;ISG20;CXCL10;CNOT7;PTPRC;STING1;TTC4;SERINC3;ABCE1;SHFL;MYD88;BCL2L1
