Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	44/90	2.4728084762856126e-17	1.0999052102518404e-13	0	0	6.880658436213992	263.10669091764134	SRP19;RPL30;RPL32;RPL31;RPL36A;RPL6;RPS17;RPL36;RPL14;RPL35;RPLP2;RPL13;RPL38;RPL37;SEC61B;RPL15;RPS27A;RPL39;RPS10;RPS13;RPS9;RPL21;RPS7;RPS8;RPL23;RPL22;RPS6;RPL35A;RPL23A;SRP9;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPL37A;RPL24;RPL27;RPS20;RPL26;RPS21;RPS24;RPS23
GO_Biological_Process_2021	protein targeting to ER (GO:0045047)	47/103	6.63966712483589e-17	1.4766619685635018e-13	0	0	6.041335570074755	225.045095059763	SRP19;RPL30;RPL32;RPL31;RPL36A;RPL6;RPS17;SEC61G;RPL36;RPL14;RPL35;RPLP2;RPL13;RPL38;RPL37;RPL15;SEC62;RPS27A;RPL39;RPS10;RPS13;RPS9;RPL21;RPS7;RPS8;RPL23;RPL22;RPS6;RPL35A;RPL23A;SRP9;RPS26;RPS25;RPS28;SPCS2;RPS27;SPCS1;RPS29;RPL27A;RPL37A;RPL24;RPL27;RPS20;RPL26;RPS21;RPS24;RPS23
GO_Biological_Process_2021	cotranslational protein targeting to membrane (GO:0006613)	44/94	1.973576599778684e-16	2.926156238605196e-13	0	0	6.3287572016460905	228.85744251927235	SRP19;RPL30;RPL32;RPL31;RPL36A;RPL6;RPS17;RPL36;RPL14;RPL35;RPLP2;RPL13;RPL38;RPL37;RPL15;SEC62;RPS27A;RPL39;RPS10;RPS13;RPS9;RPL21;RPS7;RPS8;RPL23;RPL22;RPS6;RPL35A;RPL23A;SRP9;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPL37A;RPL24;RPL27;RPS20;RPL26;RPS21;RPS24;RPS23
GO_Biological_Process_2021	cytoplasmic translation (GO:0002181)	43/93	7.59663289944169e-16	8.447455784179159e-13	0	0	6.182377622377622	215.2311701465351	RPL30;RPL32;RPL31;RPL36A;RPL6;RPS17;RPL36;RPL14;RPL35;RPL13;RPL38;RPL37;RPL15;RPS27A;RPL39;RPS10;RPS13;RWDD1;RPS9;RPL21;RPS7;RPS8;RPL23;RPL22;RPS6;TMA7;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPL37A;RPL24;RPL27;RPL22L1;RPS20;RPL26;RPS21;RPS24;RPS23
GO_Biological_Process_2021	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	47/113	5.507916788060966e-15	4.8998427746590354e-12	0	0	5.123047533430722	168.20291881413542	RPL30;RPL32;RPL31;RPL36A;SMG7;RPL6;PPP2CA;RPS17;MAGOH;RPL36;RPL14;RPL35;RPLP2;RPL13;RPL38;RPL37;RPL15;RPS27A;RPL39;RPS10;RPS13;UPF1;RPS9;RPL21;RPS7;RPS8;RPL23;RPL22;RPS6;RPL35A;RPL23A;MAGOHB;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPL37A;RPL24;RPL27;RPS20;EIF3E;RPL26;RPS21;RPS24;RPS23
GO_Biological_Process_2021	gene expression (GO:0010467)	95/356	1.3142891303401196e-13	9.743263419588086e-11	0	0	2.641528122025578	78.34854369876811	RPL30;MRPS15;RPL32;RPL31;MRPS14;CELF2;HNRNPU;SMG7;BICD1;RPL6;MRPL32;RBM3;MRPL42;SYNCRIP;RPS17;MAGOH;RPL36;EPC1;RPL35;RPLP2;RPL38;RPL37;RPL39;RPS10;RPS13;MEF2A;NUP214;UPF1;RPS9;RPL21;RPS7;RPS8;RPL23;RPL22;RPS6;MRPS21;THOC2;MRPS18C;SRRM1;MRPL52;RRAGC;HNRNPUL1;SARNP;ZC3H11A;EEF1A2;RPL37A;RPL24;SRSF3;RPL27;NUP98;RPL26;SRSF9;FYTTD1;SLBP;RNASEL;MRPS36;MRPL18;MRPS33;SRSF1;RPL36A;BAZ2A;CREBL2;U2AF1;ATXN1;TPR;RPL14;RPL13;EIF4EBP2;RPL15;RPS27A;POLR2K;RANBP2;GALNT2;ALYREF;RPL35A;RPL23A;MAGOHB;HNRNPL;RPS26;SETX;RPS25;RPS28;MCM3AP;RPS27;POLR3A;RPS29;RPL27A;AGO2;HNRNPA2B1;RPS20;RPS21;RSL24D1;RPS24;RPS23;NUP37
GO_Biological_Process_2021	peptide biosynthetic process (GO:0043043)	55/162	7.1514910548226e-13	4.5442617445501316e-10	0	0	3.701402062333628	103.51446621412052	RPL30;MRPS15;RPL32;RPL31;MRPS14;RPL6;MRPL32;MRPL42;RPS17;RPL36;RPL35;RPLP2;RPL38;RPL37;RPL39;RPS10;RPS13;RPS9;RPL21;RPS7;RPS8;RPL23;RPL22;RPS6;MRPS21;MRPS18C;MRPL52;EEF1A2;RPL37A;RPL24;RPL27;RPL26;MRPS36;MRPL18;MRPS33;RPL36A;RPL14;EIF4EBP2;RPL13;RPL15;RPS27A;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;AGO2;RPS20;RPS21;RSL24D1;RPS24;RPS23
GO_Biological_Process_2021	nuclear-transcribed mRNA catabolic process (GO:0000956)	54/171	2.8518898321522583e-11	1.5856507466766558e-08	0	0	3.3202161474888747	80.61635593522156	RPL30;TUT7;RPL32;RPL31;SMG7;TENT4B;RPL6;RPS17;MAGOH;RPL36;RPL35;RPLP2;RPL38;RPL37;RPL39;RPS10;RPS13;UPF1;RPS9;CNOT6L;RPL21;RPS7;RPS8;RPL23;RPL22;RPS6;RC3H1;XRN1;RPL37A;RPL24;RPL27;RPL26;DCP2;RPL36A;PPP2CA;RPL14;RPL13;RPL15;RPS27A;RPL35A;RPL23A;MAGOHB;RPS26;RPS25;RPS28;RPS27;CNOT11;RPS29;RPL27A;RPS20;EIF3E;RPS21;RPS24;RPS23
GO_Biological_Process_2021	translation (GO:0006412)	59/214	1.4459559749691052e-09	7.146235751847312e-07	0	0	2.737965671542109	55.729909008973145	RPL30;MRPS15;RPL32;RPL31;MRPS14;RPL6;MRPL32;MRPL42;RPS17;RPL36;RPL35;RPLP2;RPL38;RPL37;RPL39;RPS10;RPS13;RPS9;RPL21;RPS7;RPS8;RPL23;RPL22;RPS6;MRPS21;MRPS18C;MRPL52;LARS2;EEF1A2;RPL37A;RPL24;RPL27;RPL26;MRPS36;MRPL18;MRPS33;RPL36A;RPL14;RPL13;EIF4EBP2;RPL15;RPS27A;RWDD1;TMA7;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;AGO2;RPS20;RPL22L1;RPS21;RSL24D1;RPS24;RPS23
GO_Biological_Process_2021	cellular macromolecule biosynthetic process (GO:0034645)	77/314	1.9561834848613954e-09	8.701104140663487e-07	0	0	2.3433880958793427	46.99025189967575	RPL30;MRPS15;RPL32;RPL31;MRPS14;MCM9;RPL6;MRPL32;MRPL42;RPS17;RPL36;EPC1;RPL35;RPLP2;RPL38;RPL37;NBN;TOPBP1;RPL39;RPS10;RPS13;MEF2A;UPF1;TIPIN;RPS9;RPL21;RPS7;RPS8;RPL23;RPL22;RPS6;MRPS21;MRPS18C;MRPL52;KIN;RRAGC;EEF1A2;RPL37A;RPL24;RPL27;RPL26;SET;MRPS36;MRPL18;MRPS33;RPL36A;BAZ2A;CREBL2;ORC4;WRN;FUT9;ORC2;RPL14;RPL13;EIF4EBP2;RPL15;RPS27A;POLR2K;RPL35A;RPL23A;INHBA;RPS26;RPS25;RPS28;RAD50;RPS27;POLR3A;RPS29;RPL27A;RPA3;AGO2;RAD17;RPS20;RPS21;RSL24D1;RPS24;RPS23
