Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	peptidyl-serine autophosphorylation (GO:0036289)	4/8	0.0025713452539061	0.9999960845957404	0	0	11.007207207207207	65.639565717819	ERN1;DYRK1A;ATM;MARK3
GO_Biological_Process_2021	RNA 3'-end processing (GO:0031123)	11/69	0.0269850272520727	0.9999960845957404	0	0	2.0902104737739693	7.550829137050723	PNPT1;PABPN1;TUT4;CSTF3;PAPOLA;THOC1;SRSF2;UPF3B;SRSF5;SRSF11;WDR33
GO_Biological_Process_2021	regulation of mRNA processing (GO:0050684)	7/36	0.027182072009348	0.9999960845957404	0	0	2.658077098634798	9.582893283725326	RBM39;KHDRBS2;TIA1;SON;PABPN1;PAPOLA;SRSF10
GO_Biological_Process_2021	regulation of chromosome organization (GO:0033044)	5/22	0.0319534935417245	0.9999960845957404	0	0	3.2370616515837103	11.14673685707804	SMG1;SHCBP1L;YLPM1;HNRNPD;WAPL
GO_Biological_Process_2021	mRNA splice site selection (GO:0006376)	6/30	0.0349644936419478	0.9999960845957404	0	0	2.7521046301864103	9.22896876300079	PRPF39;CELF3;LUC7L3;SRSF5;SRSF10;LUC7L2
GO_Biological_Process_2021	DNA dealkylation (GO:0035510)	3/10	0.0445996344228684	0.9999960845957404	0	0	4.713771222774824	14.659968109585073	ALKBH5;ALKBH1;ASCC3
GO_Biological_Process_2021	DNA dealkylation involved in DNA repair (GO:0006307)	3/10	0.0445996344228684	0.9999960845957404	0	0	4.713771222774824	14.659968109585073	ALKBH5;ALKBH1;ASCC3
GO_Biological_Process_2021	regulation of RNA splicing (GO:0043484)	11/76	0.0500583095499021	0.9999960845957404	0	0	1.8643963997401876	5.583059489907487	ERN1;CLK1;RBM39;KHDRBS2;TIA1;SON;DYRK1A;HNRNPH3;SRSF10;CLK4;BRDT
GO_Biological_Process_2021	regulation of presynapse assembly (GO:1905606)	4/18	0.0574954441668356	0.9999960845957404	0	0	3.143200343200343	8.97713597667377	PTPRD;SLITRK2;IL1RAPL1;LRRC4B
GO_Biological_Process_2021	regulation of presynapse organization (GO:0099174)	4/18	0.0574954441668356	0.9999960845957404	0	0	3.143200343200343	8.97713597667377	PTPRD;SLITRK2;IL1RAPL1;LRRC4B
GO_Biological_Process_2021	calcineurin-NFAT signaling cascade (GO:0033173)	3/11	0.0576159888074099	0.9999960845957404	0	0	4.124324729891957	11.77063787052856	NFAT5;PPP3CB;NFATC3
GO_Biological_Process_2021	mitochondrion morphogenesis (GO:0070584)	3/11	0.0576159888074099	0.9999960845957404	0	0	4.124324729891957	11.77063787052856	PNPT1;NUBPL;MTM1
GO_Biological_Process_2021	mRNA cleavage (GO:0006379)	2/5	0.058705822243812	0.9999960845957404	0	0	7.329734053189362	20.7813819799697	ERN1;CSTF3
GO_Biological_Process_2021	oxidative RNA demethylation (GO:0035513)	2/5	0.058705822243812	0.9999960845957404	0	0	7.329734053189362	20.7813819799697	ALKBH5;ALKBH1
GO_Biological_Process_2021	RNA polyadenylation (GO:0043631)	5/26	0.0606643133374808	0.9999960845957404	0	0	2.6199061355311355	7.342024096104831	PNPT1;CSTF3;PAPOLA;CDC73;WDR33
GO_Biological_Process_2021	mRNA polyadenylation (GO:0006378)	5/26	0.0606643133374808	0.9999960845957404	0	0	2.6199061355311355	7.342024096104831	PNPT1;CSTF3;PAPOLA;CDC73;WDR33
GO_Biological_Process_2021	calcineurin-mediated signaling (GO:0097720)	3/12	0.0721989336760975	0.9999960845957404	0	0	3.665866346538616	9.635106502741708	NFAT5;PPP3CB;NFATC3
GO_Biological_Process_2021	regulation of hippo signaling (GO:0035330)	4/20	0.0798437382241452	0.9999960845957404	0	0	2.75	6.951130523233362	SOX11;WTIP;MARK3;MOB3B
GO_Biological_Process_2021	post-transcriptional gene silencing by RNA (GO:0035194)	4/20	0.0798437382241452	0.9999960845957404	0	0	2.75	6.951130523233362	TNRC6C;CNOT6;AGO3;WTIP
GO_Biological_Process_2021	protein localization to perinuclear region of cytoplasm (GO:1905719)	2/6	0.0832738107298696	0.9999960845957404	0	0	5.497000599880024	13.663461096881178	HOOK1;HOOK3
GO_Biological_Process_2021	chromatin organization involved in negative regulation of transcription (GO:0097549)	2/6	0.0832738107298696	0.9999960845957404	0	0	5.497000599880024	13.663461096881178	SMCHD1;SIRT1
GO_Biological_Process_2021	equilibrioception (GO:0050957)	2/6	0.0832738107298696	0.9999960845957404	0	0	5.497000599880024	13.663461096881178	CDH23;PCDH15
GO_Biological_Process_2021	regulation of retrograde transport, endosome to Golgi (GO:1905279)	2/6	0.0832738107298696	0.9999960845957404	0	0	5.497000599880024	13.663461096881178	PRKN;USP7
GO_Biological_Process_2021	maintenance of DNA methylation (GO:0010216)	2/6	0.0832738107298696	0.9999960845957404	0	0	5.497000599880024	13.663461096881178	USP7;UHRF2
GO_Biological_Process_2021	transmembrane receptor protein tyrosine phosphatase signaling pathway (GO:0007185)	2/6	0.0832738107298696	0.9999960845957404	0	0	5.497000599880024	13.663461096881178	PTPRD;TRIO
GO_Biological_Process_2021	N-terminal peptidyl-methionine acetylation (GO:0017196)	2/6	0.0832738107298696	0.9999960845957404	0	0	5.497000599880024	13.663461096881178	NAA30;NAA16
GO_Biological_Process_2021	cell part morphogenesis (GO:0032990)	3/13	0.0882398864926578	0.9999960845957404	0	0	3.2990996398559425	8.009211627380964	PNPT1;NUBPL;MTM1
GO_Biological_Process_2021	regulation of protein acetylation (GO:1901983)	3/13	0.0882398864926578	0.9999960845957404	0	0	3.2990996398559425	8.009211627380964	CEP295;TAOK1;SIRT1
GO_Biological_Process_2021	synaptic membrane adhesion (GO:0099560)	3/14	0.1056171947864102	0.9999960845957404	0	0	2.9990177889337555	6.741594328904541	PTPRD;SLITRK2;LRRC4B
GO_Biological_Process_2021	AV node cell to bundle of His cell communication (GO:0086067)	2/7	0.1102973799219225	0.9999960845957404	0	0	4.397360527894421	9.694311556795109	GJC3;GJA5
GO_Biological_Process_2021	cation homeostasis (GO:0055080)	2/7	0.1102973799219225	0.9999960845957404	0	0	4.397360527894421	9.694311556795109	UNC80;TRPM7
GO_Biological_Process_2021	regulation of prostaglandin biosynthetic process (GO:0031392)	2/7	0.1102973799219225	0.9999960845957404	0	0	4.397360527894421	9.694311556795109	PIBF1;SIRT1
GO_Biological_Process_2021	histone H3-K14 acetylation (GO:0044154)	2/7	0.1102973799219225	0.9999960845957404	0	0	4.397360527894421	9.694311556795109	BRD1;PHF14
GO_Biological_Process_2021	nose development (GO:0043584)	2/7	0.1102973799219225	0.9999960845957404	0	0	4.397360527894421	9.694311556795109	SMCHD1;CHD7
