Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	negative regulation of response to food (GO:0032096)	1/5	0.014911622845291	0.1412696995242507	0	0	84.47457627118644	355.26748708331087	SPX
GO_Biological_Process_2021	negative regulation of meiotic cell cycle (GO:0051447)	1/6	0.0178676130920248	0.1412696995242507	0	0	67.57627118644068	271.9786468771055	FBXO5
GO_Biological_Process_2021	negative regulation of meiotic nuclear division (GO:0045835)	1/7	0.0208148818369865	0.1412696995242507	0	0	56.31073446327684	218.040067108672	FBXO5
GO_Biological_Process_2021	negative regulation of heart rate (GO:0010459)	1/7	0.0208148818369865	0.1412696995242507	0	0	56.31073446327684	218.040067108672	SPX
GO_Biological_Process_2021	negative regulation of appetite (GO:0032099)	1/8	0.0237534541210961	0.1412696995242507	0	0	48.26392251815981	180.50838890404887	SPX
GO_Biological_Process_2021	lipid import into cell (GO:0140354)	1/8	0.0237534541210961	0.1412696995242507	0	0	48.26392251815981	180.50838890404887	SPX
GO_Biological_Process_2021	negative regulation of mitotic nuclear division (GO:0045839)	1/8	0.0237534541210961	0.1412696995242507	0	0	48.26392251815981	180.50838890404887	FBXO5
GO_Biological_Process_2021	regulation of meiotic nuclear division (GO:0040020)	1/8	0.0237534541210961	0.1412696995242507	0	0	48.26392251815981	180.50838890404887	FBXO5
GO_Biological_Process_2021	positive regulation of blood pressure (GO:0045777)	1/9	0.0266833549945496	0.1412696995242507	0	0	42.22881355932204	153.0251984891433	SPX
GO_Biological_Process_2021	positive regulation of smooth muscle contraction (GO:0045987)	1/9	0.0266833549945496	0.1412696995242507	0	0	42.22881355932204	153.0251984891433	SPX
GO_Biological_Process_2021	negative regulation of ubiquitin protein ligase activity (GO:1904667)	1/9	0.0266833549945496	0.1412696995242507	0	0	42.22881355932204	153.0251984891433	FBXO5
GO_Biological_Process_2021	long-chain fatty acid import into cell (GO:0044539)	1/10	0.0296046094730556	0.1412696995242507	0	0	37.53483992467044	132.1160756075347	SPX
GO_Biological_Process_2021	negative regulation of nuclear division (GO:0051784)	1/11	0.03251724254582	0.1412696995242507	0	0	33.77966101694916	115.72860487101576	FBXO5
GO_Biological_Process_2021	angiotensin maturation (GO:0002003)	1/12	0.0354212791446134	0.1412696995242507	0	0	30.70724191063174	102.57577696947943	CPA3
GO_Biological_Process_2021	regulation of angiotensin levels in blood (GO:0002002)	1/12	0.0354212791446134	0.1412696995242507	0	0	30.70724191063174	102.57577696947943	CPA3
GO_Biological_Process_2021	regulation of sensory perception (GO:0051931)	1/12	0.0354212791446134	0.1412696995242507	0	0	30.70724191063174	102.57577696947943	SPX
GO_Biological_Process_2021	negative regulation of heart contraction (GO:0045822)	1/12	0.0354212791446134	0.1412696995242507	0	0	30.70724191063174	102.57577696947943	SPX
GO_Biological_Process_2021	negative regulation of DNA-dependent DNA replication (GO:2000104)	1/13	0.038316744140727	0.1412696995242507	0	0	28.146892655367232	91.81145674128096	FBXO5
GO_Biological_Process_2021	negative regulation of cellular senescence (GO:2000773)	1/13	0.038316744140727	0.1412696995242507	0	0	28.146892655367232	91.81145674128096	FBXO5
GO_Biological_Process_2021	negative regulation of secretion (GO:0051048)	1/14	0.0412036623612398	0.1412696995242507	0	0	25.980443285528036	82.85756066816143	SPX
GO_Biological_Process_2021	regulation of sensory perception of pain (GO:0051930)	1/14	0.0412036623612398	0.1412696995242507	0	0	25.980443285528036	82.85756066816143	SPX
GO_Biological_Process_2021	negative regulation of ubiquitin-protein transferase activity (GO:0051444)	1/15	0.0440820585634856	0.1442685552986802	0	0	24.12348668280872	75.30634662640054	FBXO5
GO_Biological_Process_2021	regulation of systemic arterial blood pressure (GO:0003073)	1/16	0.0469519574385199	0.1469800406771059	0	0	22.51412429378531	68.86238459395226	SPX
GO_Biological_Process_2021	negative regulation of cell aging (GO:0090344)	1/17	0.0498133836138164	0.1494401508414495	0	0	21.10593220338983	63.30664389351284	FBXO5
GO_Biological_Process_2021	positive regulation of G2/M transition of mitotic cell cycle (GO:0010971)	1/20	0.058347071283324	0.1615765050922819	0	0	17.770740410347905	50.492824203227855	FBXO5
GO_Biological_Process_2021	regulation of nuclear division (GO:0051783)	1/20	0.058347071283324	0.1615765050922819	0	0	17.770740410347905	50.492824203227855	FBXO5
GO_Biological_Process_2021	regulation of ubiquitin protein ligase activity (GO:1904666)	1/21	0.061174851663758	0.1631329377700214	0	0	16.88135593220339	47.16683081464229	FBXO5
GO_Biological_Process_2021	negative regulation of mitotic metaphase/anaphase transition (GO:0045841)	1/22	0.0639942814878953	0.1645567238260166	0	0	16.076674737691686	44.19416072773483	FBXO5
GO_Biological_Process_2021	positive regulation of cell cycle G2/M phase transition (GO:1902751)	1/23	0.0668053849974009	0.1658616455107884	0	0	15.345146379044683	41.52353011470704	FBXO5
GO_Biological_Process_2021	regulation of mitotic metaphase/anaphase transition (GO:0030071)	1/26	0.0751889789422143	0.1746324672206269	0	0	13.501694915254236	34.93901932570728	FBXO5
GO_Biological_Process_2021	regulation of biomineral tissue development (GO:0070167)	1/26	0.0751889789422143	0.1746324672206269	0	0	13.501694915254236	34.93901932570728	FBXO5
GO_Biological_Process_2021	negative regulation of transferase activity (GO:0051348)	1/29	0.0834985018208404	0.1785105668959371	0	0	12.053268765133172	29.927381507961847	FBXO5
GO_Biological_Process_2021	regulation of ubiquitin-protein transferase activity (GO:0051438)	1/29	0.0834985018208404	0.1785105668959371	0	0	12.053268765133172	29.927381507961847	FBXO5
GO_Biological_Process_2021	negative regulation of response to DNA damage stimulus (GO:2001021)	1/31	0.0889973510131811	0.1785105668959371	0	0	11.248587570621469	27.21200570122755	FBXO5
GO_Biological_Process_2021	regulation of cellular senescence (GO:2000772)	1/31	0.0889973510131811	0.1785105668959371	0	0	11.248587570621469	27.21200570122755	FBXO5
GO_Biological_Process_2021	regulation of transcription involved in G1/S transition of mitotic cell cycle (GO:0000083)	1/32	0.0917345968770788	0.1785105668959371	0	0	10.88518316019683	26.003131702693533	FBXO5
GO_Biological_Process_2021	long-chain fatty acid transport (GO:0015909)	1/32	0.0917345968770788	0.1785105668959371	0	0	10.88518316019683	26.003131702693533	SPX
GO_Biological_Process_2021	regulation of response to DNA damage stimulus (GO:2001020)	1/41	0.1160086660925291	0.2141698450938999	0	0	8.432203389830509	18.163728229298105	FBXO5
GO_Biological_Process_2021	positive regulation of biomineral tissue development (GO:0070169)	1/41	0.1160086660925291	0.2141698450938999	0	0	8.432203389830509	18.163728229298105	FBXO5
GO_Biological_Process_2021	positive regulation of osteoblast differentiation (GO:0045669)	1/44	0.123957373940928	0.2231232730936705	0	0	7.842727631060307	16.374184239115326	FBXO5
GO_Biological_Process_2021	negative regulation of protein ubiquitination (GO:0031397)	1/51	0.1422320544478961	0.2497733639085005	0	0	6.742372881355932	13.14961860629303	FBXO5
GO_Biological_Process_2021	regulation of DNA replication (GO:0006275)	1/53	0.1473841813494661	0.2526585965990847	0	0	6.482398956975228	12.41193110915411	FBXO5
GO_Biological_Process_2021	regulation of mitotic nuclear division (GO:0007088)	1/57	0.1575973125085249	0.2620337563558078	0	0	6.018159806295399	11.119827020699836	FBXO5
GO_Biological_Process_2021	positive regulation of mitotic cell cycle phase transition (GO:1901992)	1/58	0.1601317399952158	0.2620337563558078	0	0	5.912280701754386	10.829870001571042	FBXO5
GO_Biological_Process_2021	negative regulation of response to stimulus (GO:0048585)	1/61	0.1676901199083657	0.2683041918533852	0	0	5.6158192090395485	10.027817525427489	FBXO5
GO_Biological_Process_2021	negative regulation of cell cycle process (GO:0010948)	1/64	0.1751816020210316	0.2741972901198756	0	0	5.347592144202314	9.315142506150496	FBXO5
GO_Biological_Process_2021	regulation of osteoblast differentiation (GO:0045667)	1/83	0.2211112661510016	0.3317835172312967	0	0	4.104588673005374	6.194190590446407	FBXO5
GO_Biological_Process_2021	anaphase-promoting complex-dependent catabolic process (GO:0031145)	1/84	0.2234576665526605	0.3317835172312967	0	0	4.05493159076986	6.076449994742102	FBXO5
GO_Biological_Process_2021	G1/S transition of mitotic cell cycle (GO:0000082)	1/85	0.2257971158935214	0.3317835172312967	0	0	4.006456820016142	5.962082113411242	FBXO5
GO_Biological_Process_2021	negative regulation of mitotic cell cycle phase transition (GO:1901991)	1/92	0.2419803243702508	0.3484516670931612	0	0	3.696964052896256	5.245618081542441	FBXO5
GO_Biological_Process_2021	regulation of cell cycle phase transition (GO:1901987)	1/95	0.2488137253437684	0.3512664357794378	0	0	3.578434908041832	4.977784575060654	FBXO5
GO_Biological_Process_2021	regulation of cell cycle process (GO:0010564)	1/106	0.2733551988363283	0.3784918137733776	0	0	3.201775625504439	4.152649308026699	FBXO5
GO_Biological_Process_2021	regulation of G2/M transition of mitotic cell cycle (GO:0010389)	1/149	0.3619496661320127	0.4917052068208474	0	0	2.266605588639487	2.303438202939146	FBXO5
GO_Biological_Process_2021	positive regulation of developmental process (GO:0051094)	1/177	0.413835251513263	0.5440705449034396	0	0	1.9033127889060093	1.67926875403829	FBXO5
GO_Biological_Process_2021	regulation of mitotic cell cycle (GO:0007346)	1/178	0.4156094440234608	0.5440705449034396	0	0	1.892463851383702	1.6616008542107337	FBXO5
GO_Biological_Process_2021	regulation of mitotic cell cycle phase transition (GO:1901990)	1/188	0.4330634561311536	0.5567958721686261	0	0	1.790356204114928	1.49829720794947	FBXO5
GO_Biological_Process_2021	negative regulation of multicellular organismal process (GO:0051241)	1/214	0.4760805013412824	0.6013648437995146	0	0	1.569746160579295	1.1650158686025387	SPX
GO_Biological_Process_2021	positive regulation of cell differentiation (GO:0045597)	1/258	0.5416824277583494	0.6724333585965717	0	0	1.2980940447141067	0.7958294944292443	FBXO5
GO_Biological_Process_2021	positive regulation of cell migration (GO:0030335)	1/269	0.5567775633324363	0.6794573654226342	0	0	1.2441183910953706	0.7285426249205265	FBXO5
