Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	circulatory system development (GO:0072359)	7/126	0.00025417653203444894	0.1206961403182437	0	0	6.094117647058823	50.44394623069788	BMP2;CDKN1A;PDLIM3;SALL1;TH;HEY2;TNNI3
GO_Biological_Process_2021	photoreceptor cell development (GO:0042461)	3/15	0.0003924342231009224	0.1206961403182437	0	0	25.503865979381445	200.0304327144543	TH;CDHR1;DCX
GO_Biological_Process_2021	regulation of cardiac muscle contraction (GO:0055117)	4/36	0.0004202093086704316	0.1206961403182437	0	0	12.805051813471502	99.5561741209048	HCN4;NPPA;TNNI3;ADRA1A
GO_Biological_Process_2021	anterograde trans-synaptic signaling (GO:0098916)	9/244	0.0007258643102712672	0.1206961403182437	0	0	3.98623811679493	28.81311692309324	CHRNA3;OMP;CHRNA2;GAD1;MPZ;SYT10;CRH;GAD2;CHRNA10
GO_Biological_Process_2021	synaptic transmission, cholinergic (GO:0007271)	3/19	0.0008118456117061567	0.1206961403182437	0	0	19.12403350515464	136.09045429087416	CHRNA3;CHRNA2;CHRNA10
GO_Biological_Process_2021	chemical synaptic transmission (GO:0007268)	10/306	0.0009450496999489202	0.1206961403182437	0	0	3.5241725682902154	24.5433000032368	CHRNA3;OMP;CHRNA2;TH;GAD1;MPZ;SYT10;CRH;GAD2;CHRNA10
GO_Biological_Process_2021	positive regulation of cardiac muscle contraction (GO:0060452)	2/5	0.0009466363946528918	0.1206961403182437	0	0	67.6923076923077	471.31415648089467	NPPA;ADRA1A
GO_Biological_Process_2021	gamma-aminobutyric acid metabolic process (GO:0009448)	2/5	0.0009466363946528918	0.1206961403182437	0	0	67.6923076923077	471.31415648089467	GAD1;GAD2
GO_Biological_Process_2021	heparan sulfate proteoglycan biosynthetic process, enzymatic modification (GO:0015015)	2/6	0.0014107491140507	0.1334332471890914	0	0	50.766666666666666	333.21384118468507	HS3ST3B1;HS6ST2
GO_Biological_Process_2021	cardiac muscle tissue development (GO:0048738)	4/53	0.0018338924326489	0.1334332471890914	0	0	8.355292376017765	52.649325490699525	HCN4;BMP2;HEY2;NPPA
GO_Biological_Process_2021	cardiac conduction system development (GO:0003161)	3/25	0.0018450659940776	0.1334332471890914	0	0	13.904170571696344	87.53009398918098	HCN4;HEY2;NPPA
GO_Biological_Process_2021	negative regulation of cardiocyte differentiation (GO:1905208)	2/7	0.0019622536351336	0.1334332471890914	0	0	40.61128205128205	253.15699157891905	BMP2;HEY2
GO_Biological_Process_2021	cellular amino acid biosynthetic process (GO:0008652)	2/7	0.0019622536351336	0.1334332471890914	0	0	40.61128205128205	253.15699157891905	GAD1;GAD2
GO_Biological_Process_2021	synaptic transmission, dopaminergic (GO:0001963)	2/7	0.0019622536351336	0.1334332471890914	0	0	40.61128205128205	253.15699157891905	TH;CRH
GO_Biological_Process_2021	positive regulation of striated muscle contraction (GO:0045989)	2/7	0.0019622536351336	0.1334332471890914	0	0	40.61128205128205	253.15699157891905	NPPA;ADRA1A
GO_Biological_Process_2021	regulation of Wnt signaling pathway (GO:0030111)	5/111	0.004864544293677	0.2949848932510795	0	0	4.83908215408805	25.771897784929195	BMP2;SALL1;WIF1;GRB10;LGR6
GO_Biological_Process_2021	nervous system development (GO:0007399)	11/447	0.0049164148875179	0.2949848932510795	0	0	2.626972970306797	13.962822884494456	SNTG2;CHRNA3;ARTN;DLX5;FABP7;MPZ;DLX6;ZIC1;DCX;PAX6;PRDM12
GO_Biological_Process_2021	aortic valve development (GO:0003176)	3/36	0.0052909453919355	0.2998202388763468	0	0	9.264292408622303	48.561181960481335	BMP2;HEY2;NPPA
GO_Biological_Process_2021	heart development (GO:0007507)	6/164	0.0057727419490687	0.3099050941079035	0	0	3.905825435747896	20.13299944206689	BMP2;CDKN1A;PDLIM3;SALL1;TH;TNNI3
GO_Biological_Process_2021	positive regulation of endothelial cell proliferation (GO:0001938)	4/77	0.0070605546926107	0.3385887851666739	0	0	5.601533110937611	27.74569116198504	FGFBP1;BMP2;VASH2;SCG2
GO_Biological_Process_2021	positive regulation of epithelial cell proliferation (GO:0050679)	5/123	0.007464417942384	0.3385887851666739	0	0	4.3443237994350286	21.276794223934687	BMP2;FOXE3;VASH2;SCG2;AREG
GO_Biological_Process_2021	visual system development (GO:0150063)	3/41	0.0076206813581013	0.3385887851666739	0	0	8.043271839392295	39.22614794867294	FOXE3;PBX3;PAX6
GO_Biological_Process_2021	heart process (GO:0003015)	2/14	0.0081260289559167	0.3385887851666739	0	0	16.915384615384614	81.40838259081515	TNNI3;TRDN
