Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	neutrophil degranulation (GO:0043312)	16/481	2.447770187743326e-07	7.9523255615864e-05	0	0	5.425928839933561	82.59847071716935	MS4A3;HP;PPBP;MPO;MMP9;PLAC8;RAB44;SLPI;PRTN3;CTSG;S100A9;S100A8;ELANE;CAMP;CD177;LTF
GO_Biological_Process_2021	neutrophil activation involved in immune response (GO:0002283)	16/485	2.7354447204420376e-07	7.9523255615864e-05	0	0	5.378542825939986	81.27947221636835	MS4A3;HP;PPBP;MPO;MMP9;PLAC8;RAB44;SLPI;PRTN3;CTSG;S100A9;S100A8;ELANE;CAMP;CD177;LTF
GO_Biological_Process_2021	neutrophil mediated immunity (GO:0002446)	16/488	2.970980907192927e-07	7.9523255615864e-05	0	0	5.343530384456387	80.30900545430967	MS4A3;HP;PPBP;MPO;MMP9;PLAC8;RAB44;SLPI;PRTN3;CTSG;S100A9;S100A8;ELANE;CAMP;CD177;LTF
GO_Biological_Process_2021	neutrophil migration (GO:1990266)	7/77	1.0787037477502258e-06	0.00021654977736085783	0	0	14.99318181818182	206.00257695189927	PRTN3;PPBP;S100A9;S100A8;CD177;PF4;UMODL1
GO_Biological_Process_2021	defense response to bacterium (GO:0042742)	8/176	3.242024367744257e-05	0.005090743425939	0	0	7.15848782260996	73.9953381163272	SLPI;CTSG;S100A9;MPO;S100A8;ELANE;CAMP;LTF
GO_Biological_Process_2021	granulocyte migration (GO:0097530)	3/10	3.803793344412712e-05	0.005090743425939	0	0	62.56512605042017	636.7206985146604	ANXA1;CD177;UMODL1
GO_Biological_Process_2021	antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844)	5/64	8.274738681331349e-05	0.0078905067828423	0	0	12.523399949405515	117.71642947227907	PPBP;S100A9;CAMP;LTF;PF4
GO_Biological_Process_2021	cellular component disassembly (GO:0022411)	5/66	9.5918551045547e-05	0.0078905067828423	0	0	12.111573281135309	112.05641108014012	MMP13;CTSK;CTSG;MMP9;ELANE
GO_Biological_Process_2021	extracellular matrix disassembly (GO:0022617)	5/66	9.5918551045547e-05	0.0078905067828423	0	0	12.111573281135309	112.05641108014012	MMP13;CTSK;CTSG;MMP9;ELANE
GO_Biological_Process_2021	regulation of inflammatory response (GO:0050727)	8/206	9.826284910139868e-05	0.0078905067828423	0	0	6.064615621867531	55.96345142215684	ANXA1;ADIPOQ;MGST2;S100A9;MMP9;S100A8;ELANE;CCR2
