Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	actomyosin structure organization (GO:0031032)	13/76	4.853713223392648e-08	0.00010328701739379554	0	0	8.201220501834	138.11623548884057	FHOD3;EPB41;TMOD3;ARRB1;MYPN;CIT;FRMD5;FRMD6;MYH3;OBSCN;EPB41L3;PHACTR1;MYH10
GO_Biological_Process_2021	anterograde trans-synaptic signaling (GO:0098916)	21/244	1.014822432423338e-06	0.0010797710680984	0	0	3.7736684597671135	52.079631997031896	GABRA1;CHRNB3;CHRNA4;CHRM4;NRXN2;GABRG2;NRGN;GRM3;CACNB3;HRH1;DLG1;GLRA3;PRKAR1B;PTCHD1;HRH2;NOVA1;CAMK4;SNCB;PRKACB;NTSR1;KCNK3
GO_Biological_Process_2021	chemical synaptic transmission (GO:0007268)	23/306	3.237562093249211e-06	0.0022965107114781	0	0	3.260215260001328	41.211370277609966	GABRA1;CHRNB3;CHRNA4;STXBP1;CHRM4;GRIK3;NRXN2;GABRG2;NRGN;GRM3;CACNB3;HRH1;DLG1;GLRA3;PRKAR1B;PTCHD1;HRH2;NOVA1;CAMK4;SNCB;PRKACB;NTSR1;KCNK3
GO_Biological_Process_2021	regulation of relaxation of cardiac muscle (GO:1901897)	4/6	5.652097338492003e-06	0.0030069157840777	0	0	78.29718875502007	946.1028174921474	CHGA;CAMK2D;PDE4D;PDE4B
GO_Biological_Process_2021	regulation of catecholamine secretion (GO:0050433)	7/30	7.423839357554486e-06	0.0031595860305751	0	0	11.974088713219148	141.4237370178223	CHGA;SYT4;SYT2;SYT12;CHRNA4;KCNB1;KCNA2
GO_Biological_Process_2021	regulation of regulated secretory pathway (GO:1903305)	7/35	2.199837279103193e-05	0.0078020895498859	0	0	9.833333333333334	105.45799703529012	RIMS2;SYT4;RIMS3;SYT2;SYT12;LRRK2;SEPTIN5
GO_Biological_Process_2021	axon guidance (GO:0007411)	16/203	5.707496067241228e-05	0.0173507880444133	0	0	3.399749125239321	33.219441851961804	PLXND1;EPHA8;SH3KBP1;LRTM2;PTPRM;LAMC2;PIK3R1;SEMA3F;GFRA2;IGSF9;MYPN;RAP1GAP;TUBB3;DOK5;NPTN;CNTN4
GO_Biological_Process_2021	regulation of calcium ion-dependent exocytosis (GO:0017158)	6/31	0.00010476418242335029	0.0278672725246111	0	0	9.42241935483871	86.34515343630608	CACNA1I;SYT4;SYT2;SYT12;KCNB1;STXBP1
GO_Biological_Process_2021	protein phosphorylation (GO:0006468)	27/496	0.00015261747468919815	0.0360855540154015	0	0	2.3062866120525194	20.266668725830247	ACVRL1;CAMK2D;LTK;PRKAA2;LRRK2;PRKCZ;RSKR;PAK1;TLK2;MAPK6;PRKACB;PAK5;MAP3K5;MARK1;SMAD2;HIPK4;CDK19;EPHA8;PRKAB1;ACVR2B;DCLK1;CIT;PRKAR1B;MAK;CAMK4;TYRO3;TRIB1
GO_Biological_Process_2021	potassium ion transmembrane transport (GO:0071805)	12/139	0.00020424719557687835	0.0434638032187597	0	0	3.735368793186566	31.73636396980233	KCNJ4;KCNH3;KCNF1;KCNH5;SLC9A5;KCNB1;KCNJ9;KCNA2;KCNK2;KCNK3;KCNH1;KCNK4
GO_Biological_Process_2021	potassium ion transport (GO:0006813)	11/122	0.00025542461234923493	0.0494130522799247	0	0	3.912900680721455	32.369796634779355	KCNJ4;KCNH3;KCNF1;KCNH5;SLC9A5;KCNB1;KCNA2;KCNK2;KCNK3;KCNH1;KCNK4
GO_Biological_Process_2021	regulation of cardiac muscle hypertrophy in response to stress (GO:1903242)	3/6	0.0002971106944022427	0.0499490288674091	0	0	39.06813627254509	317.2881877445141	MLIP;LMNA;ATP2B4
GO_Biological_Process_2021	regulation of neuron death (GO:1901214)	9/86	0.00030513974402082656	0.0499490288674091	0	0	4.604436131819499	37.27171659901477	CHGA;EGR1;LRRK2;SIGMAR1;DHCR24;SNCB;CD34;BTBD10;MAP3K5
GO_Biological_Process_2021	regulation of dopamine secretion (GO:0014059)	5/25	0.0003423244113251284	0.0520333105214195	0	0	9.797786720321932	78.18390523169927	SYT4;SYT2;SYT12;CHRNA4;KCNA2
