Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	actin-myosin filament sliding (GO:0033275)	6/38	0.0003532163919341149	0.3011654274547688	0	0	7.29825	58.009626915941816	MYL4;ACTA1;MYBPC1;TNNC1;TNNT2;TCAP
GO_Biological_Process_2021	muscle filament sliding (GO:0030049)	6/38	0.0003532163919341149	0.3011654274547688	0	0	7.29825	58.009626915941816	MYL4;ACTA1;MYBPC1;TNNC1;TNNT2;TCAP
GO_Biological_Process_2021	heart trabecula formation (GO:0060347)	3/7	0.0005222521863377494	0.3011654274547688	0	0	29.060636182902584	219.621688624962	RBP4;HEY1;ADGRG6
GO_Biological_Process_2021	desensitization of G protein-coupled receptor signaling pathway (GO:0002029)	3/11	0.002282681323129	0.7788850552058596	0	0	14.527335984095428	88.36113387988202	ADRB3;SAG;ADM
GO_Biological_Process_2021	heart contraction (GO:0060047)	5/41	0.0035933241065909	0.7788850552058596	0	0	5.394211576846307	30.362277709953176	MYL4;TNNC1;TNNT2;TCAP;SGCZ
GO_Biological_Process_2021	positive regulation of muscle cell differentiation (GO:0051149)	4/27	0.0044766794188556	0.7788850552058596	0	0	6.745539580807206	36.48577168846919	MEF2C;OLFM2;MYOD1;CAMK1
GO_Biological_Process_2021	regulation of G protein-coupled receptor signaling pathway (GO:0008277)	7/82	0.0047239695460942	0.7788850552058596	0	0	3.6321442885771535	19.45051704536562	RGS4;ADCYAP1;RAMP3;CRY1;SAG;RGS20;RGS6
GO_Biological_Process_2021	neuron fate commitment (GO:0048663)	3/14	0.0047592162703018	0.7788850552058596	0	0	10.56370865714802	56.49125189001307	SHH;ID2;POU3F2
GO_Biological_Process_2021	protein secretion (GO:0009306)	6/64	0.0055249380113307	0.7788850552058596	0	0	4.021241379310345	20.90435595981917	ADCYAP1;ARL4D;OLFM2;NECAB3;VIP;CAMK2G
GO_Biological_Process_2021	regulation of gluconeogenesis (GO:0006111)	4/29	0.0058223403863815	0.7788850552058596	0	0	6.205258964143426	31.932591320972413	CRY1;ERFE;ARPP19;FBP1
GO_Biological_Process_2021	negative regulation of vascular endothelial cell proliferation (GO:1905563)	2/5	0.0060725075487629	0.7788850552058596	0	0	25.78174603174603	131.5896103171582	MEF2C;PPARG
GO_Biological_Process_2021	positive regulation of smooth muscle cell differentiation (GO:0051152)	2/5	0.0060725075487629	0.7788850552058596	0	0	25.78174603174603	131.5896103171582	OLFM2;SHH
GO_Biological_Process_2021	amylin receptor signaling pathway (GO:0097647)	2/6	0.0089567011480177	0.7788850552058596	0	0	19.33531746031746	91.17285290088344	RAMP3;ADM
GO_Biological_Process_2021	skeletal muscle thin filament assembly (GO:0030240)	2/6	0.0089567011480177	0.7788850552058596	0	0	19.33531746031746	91.17285290088344	ACTA1;TCAP
GO_Biological_Process_2021	neuroblast proliferation (GO:0007405)	2/6	0.0089567011480177	0.7788850552058596	0	0	19.33531746031746	91.17285290088344	SHH;RACGAP1
GO_Biological_Process_2021	negative regulation of smooth muscle cell proliferation (GO:0048662)	4/33	0.0092666360185401	0.7788850552058596	0	0	5.34826212391812	25.03700589068876	MEF2C;IL12A;PPARG;VIP
GO_Biological_Process_2021	adenylate cyclase-activating G protein-coupled receptor signaling pathway (GO:0007189)	8/118	0.0102938791093734	0.7788850552058596	0	0	2.830814165753925	12.95438826523506	ADCYAP1;RAMP3;ADRB3;ADGRG6;ADM;ADRA1B;VIP;PTHLH
GO_Biological_Process_2021	cardiac muscle contraction (GO:0060048)	4/34	0.0102965782924453	0.7788850552058596	0	0	5.169721115537849	23.656352477601025	MYL4;TNNC1;TNNT2;TCAP
GO_Biological_Process_2021	striated muscle tissue development (GO:0014706)	4/34	0.0102965782924453	0.7788850552058596	0	0	5.169721115537849	23.656352477601025	MEF2C;RBP4;MYOD1;SGCZ
GO_Biological_Process_2021	regulation of muscle cell differentiation (GO:0051147)	4/35	0.0113977911862877	0.7788850552058596	0	0	5.002698881891788	22.383754193310573	MEF2C;ID2;MYOD1;CAMK1
GO_Biological_Process_2021	heart trabecula morphogenesis (GO:0061384)	3/19	0.0115370689289413	0.7788850552058596	0	0	7.260685884691849	32.39856025607621	RBP4;HEY1;ADGRG6
GO_Biological_Process_2021	calcitonin family receptor signaling pathway (GO:0097646)	2/7	0.0123304931229475	0.7788850552058596	0	0	15.467460317460317	67.9900054865168	RAMP3;ADM
GO_Biological_Process_2021	dendrite arborization (GO:0140059)	2/7	0.0123304931229475	0.7788850552058596	0	0	15.467460317460317	67.9900054865168	SEMA3A;PTN
GO_Biological_Process_2021	G protein-coupled receptor internalization (GO:0002031)	2/7	0.0123304931229475	0.7788850552058596	0	0	15.467460317460317	67.9900054865168	SAG;ADM
GO_Biological_Process_2021	positive regulation of catecholamine secretion (GO:0033605)	2/7	0.0123304931229475	0.7788850552058596	0	0	15.467460317460317	67.9900054865168	VIP;STX1A
GO_Biological_Process_2021	positive regulation of phospholipid biosynthetic process (GO:0071073)	2/7	0.0123304931229475	0.7788850552058596	0	0	15.467460317460317	67.9900054865168	FABP3;HTR2A
GO_Biological_Process_2021	negative regulation of endothelial cell proliferation (GO:0001937)	4/37	0.0138206597385338	0.7788850552058596	0	0	4.6990220934444045	20.119289406351307	MEF2C;TNMD;IL12A;PPARG
GO_Biological_Process_2021	skeletal myofibril assembly (GO:0014866)	2/8	0.0161673628715549	0.7788850552058596	0	0	12.88888888888889	53.16358243822689	ACTA1;TCAP
GO_Biological_Process_2021	snRNA transcription by RNA polymerase III (GO:0042796)	2/8	0.0161673628715549	0.7788850552058596	0	0	12.88888888888889	53.16358243822689	SNAPC5;ZC3H8
GO_Biological_Process_2021	negative regulation of small molecule metabolic process (GO:0062014)	3/22	0.0173391283924784	0.7788850552058596	0	0	6.113320079522863	24.78822652469995	DKKL1;CRY1;ERFE
GO_Biological_Process_2021	epidermis development (GO:0008544)	6/83	0.0186778841154082	0.7788850552058596	0	0	3.026025974025974	12.044839548544893	SCEL;WNT10A;CDSN;CCN2;PTHLH;OVOL2
GO_Biological_Process_2021	keratinocyte differentiation (GO:0030216)	4/41	0.0195887161944441	0.7788850552058596	0	0	4.190158285775816	16.479061138867785	SCEL;CDSN;OPN3;EXPH5
GO_Biological_Process_2021	endochondral ossification (GO:0001958)	2/9	0.0204418137129438	0.7788850552058596	0	0	11.047052154195011	42.97494163448712	MEF2C;SCX
GO_Biological_Process_2021	regulation of skeletal muscle cell differentiation (GO:2001014)	2/9	0.0204418137129438	0.7788850552058596	0	0	11.047052154195011	42.97494163448712	MEF2C;NR1D2
GO_Biological_Process_2021	muscle cell fate commitment (GO:0042693)	2/9	0.0204418137129438	0.7788850552058596	0	0	11.047052154195011	42.97494163448712	MEF2C;MYOD1
GO_Biological_Process_2021	positive regulation of smooth muscle cell apoptotic process (GO:0034393)	2/9	0.0204418137129438	0.7788850552058596	0	0	11.047052154195011	42.97494163448712	IL12A;PPARG
GO_Biological_Process_2021	cAMP-mediated signaling (GO:0019933)	3/25	0.024494582712555	0.7788850552058596	0	0	5.278872221218146	19.58093814861616	ADCYAP1;ADGRG6;DEFB1
GO_Biological_Process_2021	ventricular cardiac muscle tissue development (GO:0003229)	3/25	0.024494582712555	0.7788850552058596	0	0	5.278872221218146	19.58093814861616	TNNC1;ID2;TNNT2
GO_Biological_Process_2021	negative regulation of cellular carbohydrate metabolic process (GO:0010677)	3/25	0.024494582712555	0.7788850552058596	0	0	5.278872221218146	19.58093814861616	CRY1;ERFE;FBP1
