Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	positive regulation of cell-cell adhesion mediated by integrin (GO:0033634)	3/6	2.399296778057216e-06	0.0014692417056166	0	0	205.1237113402062	2654.3695150710146	CCL5;CD3E;CXCL13
GO_Biological_Process_2021	positive regulation of cell-cell adhesion (GO:0022409)	5/47	3.6685186157719727e-06	0.0014692417056166	0	0	24.884711779448622	311.45015021757234	CCL5;TNFSF11;CD3E;CXCL13;CD44
GO_Biological_Process_2021	regulation of cell-cell adhesion mediated by integrin (GO:0033632)	3/10	1.4187907246385926e-05	0.003788171234785	0	0	87.89248895434463	981.1544503878058	CCL5;CD3E;CXCL13
GO_Biological_Process_2021	positive regulation of cell adhesion mediated by integrin (GO:0033630)	3/18	9.371291441807692e-05	0.0187660111122199	0	0	41.0	380.2862565875762	CCL5;CD3E;CXCL13
GO_Biological_Process_2021	cytokine-mediated signaling pathway (GO:0019221)	11/621	0.0002744881219963946	0.0439729971438224	0	0	3.908454595689814	32.05168279966661	CCL8;TNFRSF12A;CCL5;IL2RB;SDC1;TNFSF11;VIM;TIMP1;PLP2;CXCL13;CD44
GO_Biological_Process_2021	bleb assembly (GO:0032060)	2/7	0.0005113327792346296	0.068262926027823	0	0	81.20408163265306	615.4043164173056	EMP1;EMP3
GO_Biological_Process_2021	positive regulation of homotypic cell-cell adhesion (GO:0034112)	2/8	0.0006795551666861537	0.0777605269308013	0	0	67.66666666666667	493.5655481733249	CCL5;TNFSF11
GO_Biological_Process_2021	inflammatory response (GO:0006954)	6/230	0.0010506987210385	0.0971891077782264	0	0	5.606762917933131	38.4528614893971	CCL8;CCL5;PTX3;CXCL13;CD44;CMKLR1
GO_Biological_Process_2021	monocyte chemotaxis (GO:0002548)	3/42	0.0012085906045389	0.0971891077782264	0	0	15.750198255352895	105.81456304852416	CCL8;CCL5;TNFSF11
GO_Biological_Process_2021	positive regulation of biosynthetic process (GO:0009891)	3/44	0.0013842585226956	0.0971891077782264	0	0	14.980387226552676	98.60975682160374	CCL5;CREB3L1;VIM
GO_Biological_Process_2021	lymphocyte chemotaxis (GO:0048247)	3/44	0.0013842585226956	0.0971891077782264	0	0	14.980387226552676	98.60975682160374	CCL8;CCL5;CXCL13
GO_Biological_Process_2021	negative regulation by host of viral process (GO:0044793)	2/12	0.0015810451022911	0.0971891077782264	0	0	40.59183673469388	261.8039188938469	CCL8;PTX3
GO_Biological_Process_2021	positive regulation of ERK1 and ERK2 cascade (GO:0070374)	5/172	0.0017300833533324	0.0971891077782264	0	0	6.219035612984557	39.55048989314645	CCL8;CCL5;TNFSF11;FGFR4;CD44
