Gene stable ID	Gene stable ID version	Transcript stable ID	Transcript stable ID version	Gene name
ENSMUSG00000053211	ENSMUSG00000053211.11	ENSMUST00000189888	ENSMUST00000189888.7	Zfy1
ENSMUSG00000053211	ENSMUSG00000053211.11	ENSMUST00000065545	ENSMUST00000065545.6	Zfy1
ENSMUSG00000000103	ENSMUSG00000000103.13	ENSMUST00000187148	ENSMUST00000187148.7	Zfy2
ENSMUSG00000000103	ENSMUSG00000000103.13	ENSMUST00000115891	ENSMUST00000115891.2	Zfy2
ENSMUSG00000069036	ENSMUSG00000069036.4	ENSMUST00000091178	ENSMUST00000091178.2	Sry
ENSMUSG00000069036	ENSMUSG00000069036.4	ENSMUST00000091178	ENSMUST00000091178.2	Sry
ENSMUSG00000069036	ENSMUSG00000069036.4	ENSMUST00000091178	ENSMUST00000091178.2	Sry
ENSMUSG00000069036	ENSMUSG00000069036.4	ENSMUST00000091178	ENSMUST00000091178.2	Sry
ENSMUSG00000022463	ENSMUSG00000022463.9	ENSMUST00000023100	ENSMUST00000023100.8	Srebf2
ENSMUSG00000022463	ENSMUSG00000022463.9	ENSMUST00000023100	ENSMUST00000023100.8	Srebf2
ENSMUSG00000022463	ENSMUSG00000022463.9	ENSMUST00000023100	ENSMUST00000023100.8	Srebf2
ENSMUSG00000022463	ENSMUSG00000022463.9	ENSMUST00000023100	ENSMUST00000023100.8	Srebf2
ENSMUSG00000022463	ENSMUSG00000022463.9	ENSMUST00000023100	ENSMUST00000023100.8	Srebf2
ENSMUSG00000022463	ENSMUSG00000022463.9	ENSMUST00000229336	ENSMUST00000229336.2	Srebf2
ENSMUSG00000022463	ENSMUSG00000022463.9	ENSMUST00000229336	ENSMUST00000229336.2	Srebf2
ENSMUSG00000022463	ENSMUSG00000022463.9	ENSMUST00000229336	ENSMUST00000229336.2	Srebf2
ENSMUSG00000022463	ENSMUSG00000022463.9	ENSMUST00000229336	ENSMUST00000229336.2	Srebf2
ENSMUSG00000024276	ENSMUSG00000024276.8	ENSMUST00000225682	ENSMUST00000225682.2	Zfp397
ENSMUSG00000024276	ENSMUSG00000024276.8	ENSMUST00000060762	ENSMUST00000060762.6	Zfp397
ENSMUSG00000021244	ENSMUSG00000021244.16	ENSMUST00000101202	ENSMUST00000101202.10	Ylpm1
ENSMUSG00000063281	ENSMUSG00000063281.10	ENSMUST00000074941	ENSMUST00000074941.8	Zfp35
ENSMUSG00000051469	ENSMUSG00000051469.15	ENSMUST00000066497	ENSMUST00000066497.12	Zfp24
ENSMUSG00000051469	ENSMUSG00000051469.15	ENSMUST00000066497	ENSMUST00000066497.12	Zfp24
ENSMUSG00000051469	ENSMUSG00000051469.15	ENSMUST00000066497	ENSMUST00000066497.12	Zfp24
ENSMUSG00000051469	ENSMUSG00000051469.15	ENSMUST00000066497	ENSMUST00000066497.12	Zfp24
ENSMUSG00000051469	ENSMUSG00000051469.15	ENSMUST00000153337	ENSMUST00000153337.2	Zfp24
ENSMUSG00000051469	ENSMUSG00000051469.15	ENSMUST00000153337	ENSMUST00000153337.2	Zfp24
ENSMUSG00000051469	ENSMUSG00000051469.15	ENSMUST00000153337	ENSMUST00000153337.2	Zfp24
ENSMUSG00000042320	ENSMUSG00000042320.18	ENSMUST00000177289	ENSMUST00000177289.9	Prox2
ENSMUSG00000042320	ENSMUSG00000042320.18	ENSMUST00000110249	ENSMUST00000110249.3	Prox2
ENSMUSG00000058794	ENSMUSG00000058794.13	ENSMUST00000075192	ENSMUST00000075192.13	Nfe2
ENSMUSG00000058794	ENSMUSG00000058794.13	ENSMUST00000133600	ENSMUST00000133600.8	Nfe2
ENSMUSG00000058794	ENSMUSG00000058794.13	ENSMUST00000156927	ENSMUST00000156927.8	Nfe2
ENSMUSG00000058794	ENSMUSG00000058794.13	ENSMUST00000149111	ENSMUST00000149111.8	Nfe2
ENSMUSG00000058794	ENSMUSG00000058794.13	ENSMUST00000134554	ENSMUST00000134554.2	Nfe2
ENSMUSG00000058794	ENSMUSG00000058794.13	ENSMUST00000134193	ENSMUST00000134193.8	Nfe2
ENSMUSG00000058794	ENSMUSG00000058794.13	ENSMUST00000131364	ENSMUST00000131364.8	Nfe2
ENSMUSG00000058794	ENSMUSG00000058794.13	ENSMUST00000132836	ENSMUST00000132836.8	Nfe2
ENSMUSG00000058794	ENSMUSG00000058794.13	ENSMUST00000154510	ENSMUST00000154510.8	Nfe2
ENSMUSG00000058794	ENSMUSG00000058794.13	ENSMUST00000132438	ENSMUST00000132438.2	Nfe2
ENSMUSG00000071757	ENSMUSG00000071757.11	ENSMUST00000096430	ENSMUST00000096430.11	Zhx2
ENSMUSG00000022809	ENSMUSG00000022809.5	ENSMUST00000023504	ENSMUST00000023504.5	Nr1i2
ENSMUSG00000022809	ENSMUSG00000022809.5	ENSMUST00000023504	ENSMUST00000023504.5	Nr1i2
