Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	cytokine-mediated signaling pathway (GO:0019221)	132/621	4.639409e-34	1.797771e-30	0	0	4.103925e+00	3.149898e+02	IFITM3;CD86;CNTF;IL1RN;SPI1;CSF3R;IFITM2;CSF1;SLA;IFI35;IFI30;IFIT1;IFIT3;ICAM1;IFIT2;PYCARD;MYC;TNFSF11;TRIM25;B2M;IL13RA1;IFNAR2;RSAD2;ADAM17;IFI27;PSME1;PSME2;CSF1R;EBI3;CSF2RB;TNFRSF11A;ADIPOR1;HIF1A;CSF2RA;SOCS3;SOCS1;INPP5D;HMOX1;TNFRSF17;CD300LF;VCAM1;MSN;ISG15;NFKB1;BST2;ISG20;CXCL10;LCN2;TNFSF9;TNFSF8;XAF1;MYD88;CXCL9;ITGAM;TNFRSF13B;ITGB2;EDA2R;CXCL5;IL18BP;TNFSF13B;ITGAX;CASP1;LBP;CCR5;JAK3;FCER1G;ANXA2;SYK;GPR35;IFNGR1;RIPK2;IL15;MMP2;IRAK3;TRAF1;IRAK4;TNFRSF1B;OSMR;F3;VAV1;TNFRSF1A;HCK;IL1A;AIM2;OAS2;IL1B;IRF1;OAS3;IL3RA;IRF7;XCL1;IRF8;IRF5;LCP1;LTB;CD44;IRF9;BIRC3;SP100;PTAFR;IL2RG;SAMHD1;IL1RL2;CCL8;CCL7;ALOX5;CCL5;CCL4;CCL3;IL21R;CCL2;GBP2;IL33;IL10RB;STAT1;IL10RA;STAT2;MX2;STAT3;MX1;OSM;PSMB8;PSMB9;BATF;TEC;CLCF1;IL2RB;PTPN6;PLP2;LTBR;VIM;CRLF2
GO_Biological_Process_2021	neutrophil mediated immunity (GO:0002446)	114/488	2.032689e-33	3.938335e-30	0	0	4.594288e+00	3.458394e+02	TMEM179B;GMFG;PYCARD;STK10;LGALS3;PNP;PLAU;FTH1;CLEC5A;LAMP2;C3AR1;CPNE3;OSTF1;B2M;CHRNB4;TICAM2;CD300A;SLC11A1;CYBB;IRAG2;CYBA;UNC13D;ARHGAP45;ADAM17;TYROBP;BIN2;CRISPLD2;PADI2;STXBP3;HVCN1;C5AR1;MGST1;GPR84;GNS;C3;CYB5R3;DPP7;ALDH3B1;NCKAP1L;CD14;S100A11;GSDMD;CTSA;GGH;PRDX6;NFKB1;DERA;BST2;PTPRC;LCN2;DEGS1;MAN2B1;HPSE;ARHGAP9;ITGAM;B4GALT1;SLC44A2;HEXB;ITGB2;SNAP23;CTSZ;PYGL;TCIRG1;ITGAL;SLC2A5;CTSS;HK3;GLIPR1;GM2A;NAPRT;ITGAX;CTSH;GUSB;CTSD;CD33;CTSC;CTSB;CD53;FCER1G;ANXA2;ANXA3;NFAM1;RHOG;PLAUR;TMC6;IRAK4;TNFRSF1B;VAMP8;FGR;NPC2;DOCK2;CD44;DNASE1L1;TLR2;CD63;ASAH1;GRN;MVP;PTAFR;FGL2;PRCP;CST3;TTR;ALOX5;CREG1;STOM;AGA;LAIR1;GSN;CMTM6;STING1;PTPN6;PTX3;CD68
GO_Biological_Process_2021	neutrophil activation involved in immune response (GO:0002283)	113/485	5.117604e-33	6.610239e-30	0	0	4.575202e+00	3.401783e+02	TMEM179B;GMFG;PYCARD;STK10;LGALS3;PNP;PLAU;FTH1;CLEC5A;LAMP2;C3AR1;CPNE3;OSTF1;B2M;CHRNB4;TICAM2;CD300A;SLC11A1;CYBB;IRAG2;CYBA;UNC13D;ARHGAP45;TYROBP;BIN2;CRISPLD2;PADI2;STXBP3;HVCN1;C5AR1;MGST1;GPR84;GNS;C3;CYB5R3;DPP7;ALDH3B1;NCKAP1L;CD14;S100A11;GSDMD;CTSA;GGH;PRDX6;NFKB1;DERA;BST2;PTPRC;LCN2;DEGS1;MAN2B1;HPSE;ARHGAP9;ITGAM;B4GALT1;SLC44A2;HEXB;ITGB2;SNAP23;CTSZ;PYGL;TCIRG1;ITGAL;SLC2A5;CTSS;HK3;GLIPR1;GM2A;NAPRT;ITGAX;CTSH;GUSB;CTSD;CD33;CTSC;CTSB;CD53;FCER1G;ANXA2;SYK;ANXA3;NFAM1;RHOG;PLAUR;TMC6;TNFRSF1B;VAMP8;FGR;NPC2;DOCK2;CD44;DNASE1L1;TLR2;CD63;ASAH1;GRN;MVP;PTAFR;FGL2;PRCP;CST3;TTR;ALOX5;CREG1;STOM;AGA;LAIR1;GSN;CMTM6;STING1;PTPN6;PTX3;CD68
GO_Biological_Process_2021	neutrophil degranulation (GO:0043312)	112/481	1.052283e-32	1.019399e-29	0	0	4.568571e+00	3.363919e+02	TMEM179B;GMFG;PYCARD;STK10;LGALS3;PNP;PLAU;FTH1;CLEC5A;LAMP2;C3AR1;CPNE3;OSTF1;B2M;CHRNB4;TICAM2;CD300A;SLC11A1;CYBB;IRAG2;CYBA;UNC13D;ARHGAP45;TYROBP;BIN2;CRISPLD2;PADI2;STXBP3;HVCN1;C5AR1;MGST1;GPR84;GNS;C3;CYB5R3;DPP7;ALDH3B1;NCKAP1L;CD14;S100A11;GSDMD;CTSA;GGH;PRDX6;NFKB1;DERA;BST2;PTPRC;LCN2;DEGS1;MAN2B1;HPSE;ARHGAP9;ITGAM;B4GALT1;SLC44A2;HEXB;ITGB2;SNAP23;CTSZ;PYGL;TCIRG1;ITGAL;SLC2A5;CTSS;HK3;GLIPR1;GM2A;NAPRT;ITGAX;CTSH;GUSB;CTSD;CD33;CTSC;CTSB;CD53;FCER1G;ANXA2;ANXA3;NFAM1;RHOG;PLAUR;TMC6;TNFRSF1B;VAMP8;FGR;NPC2;DOCK2;CD44;DNASE1L1;TLR2;CD63;ASAH1;GRN;MVP;PTAFR;FGL2;PRCP;CST3;TTR;ALOX5;CREG1;STOM;AGA;LAIR1;GSN;CMTM6;STING1;PTPN6;PTX3;CD68
GO_Biological_Process_2021	cellular response to cytokine stimulus (GO:0071345)	105/482	4.025331e-28	3.119631e-25	0	0	4.166332e+00	2.628113e+02	CD86;CNTF;IL1RN;CSF3R;IFITM2;CSF1;SLA;AQP4;CIB1;IFIT1;ICAM1;PYCARD;ZFP36;MYC;TNFSF11;LGALS9;IL13RA1;GBP6;IFNAR2;GBP5;GBP7;CSF1R;EBI3;CSF2RB;HIF1A;CSF2RA;SOCS3;SBNO2;SOCS1;INPP5D;HMOX1;ST3GAL6;VCAM1;NFKB1;CXCL10;LCN2;TDGF1;NFE2L2;ITGAM;DOCK8;ITGB2;IL18BP;ITGAX;CASP1;LBP;LDLRAP1;CCR5;JAK3;SYK;IFNGR1;MMP2;IRAK3;IRAK4;TNFRSF1B;OSMR;F3;VAV1;TNFRSF1A;DCSTAMP;HCK;IL1A;AIM2;IL1B;IRF1;IL3RA;HCLS1;XCL1;IRF8;IRF5;GAS6;TLR4;TLR2;ASAH1;SELPLG;PTAFR;IL2RG;AIF1;IL1RL2;CCL8;CCL7;ALOX5;CCL5;CCL4;CCL3;CCL2;GBP2;GBP4;GBP3;PTPN18;IL10RB;STAT1;IL10RA;STAT2;STAT3;ERBIN;OSM;BATF;TEC;AXL;CLCF1;IL2RB;PTPN6;PLP2;VIM;CRLF2
GO_Biological_Process_2021	positive regulation of cytokine production (GO:0001819)	82/335	1.017894e-25	6.573902e-23	0	0	4.791167e+00	2.757168e+02	CD86;CGAS;PTPN22;PIK3CG;IFIH1;PYCARD;PNP;DHX58;LGALS9;LBP;HAVCR2;ZBP1;GBP5;FCER1G;SYK;IL15;RIPK2;SLC11A1;NFAM1;SERPINF2;CYBA;F3;TIRAP;RUNX1;TLR1;FGR;IL1A;ADAM17;TYROBP;IL1B;IRF1;IRF7;XCL1;CD226;PRKCQ;TLR7;IRF5;TLR6;LTB;RAB7B;TLR4;TLR3;TMEM106A;TLR2;PTGER4;CD274;CSF1R;TMED10;EBI3;LPL;HIF1A;LY9;AIF1;AGER;C3;CLEC7A;PLCG2;S100A13;HMOX1;SLAMF6;CD14;FADD;TIGIT;CD74;IL33;STAT3;LAPTM5;OSM;EIF2AK2;ISG15;POU2F2;SCIMP;NFKB1;BATF;NFKB2;CD2;LACC1;PTPRC;STING1;HPSE;MYD88;CRLF2
GO_Biological_Process_2021	regulation of tumor necrosis factor production (GO:0032680)	42/124	2.005097e-19	1.109964e-16	0	0	7.404127e+00	3.187730e+02	CX3CR1;C5AR2;LPL;LY96;PTPN22;CLU;AGER;VSIR;PYCARD;IFIH1;ZFP36;CLEC7A;PLCG2;CCL3;LGALS9;CD14;FADD;LBP;CD33;HAVCR2;IL33;SYK;IFNGR1;STAT3;CYBA;IRAK3;IGF1;TIRAP;TLR1;CD2;IL1A;TYROBP;PTPRC;FRMD8;OAS2;OAS3;PTPN6;GAS6;TLR4;TLR3;TMEM106A;TLR2
GO_Biological_Process_2021	regulation of immune response (GO:0050776)	50/179	9.081199e-19	4.398706e-16	0	0	5.623794e+00	2.336288e+02	CD81;ITGB2;CD3G;PTPN22;TREM2;CD3E;ITGAL;CD3D;ICAM1;IL4I1;CASP8;DHX58;ITGB7;B2M;CD33;LAG3;RSAD2;SYK;CD300A;IL15;TIRAP;FGR;PLSCR1;TYROBP;CD8A;IRF1;IRF7;CD226;HCST;BIRC3;COLEC12;SAMHD1;ADCY7;C3;KLRK1;CD300LB;SLAMF7;SLAMF6;KLRC1;CD300LF;LAIR1;LYN;VCAM1;ERAP1;PILRA;TREML2;KLRD1;PDCD1;FCGR2B;CD22
GO_Biological_Process_2021	positive regulation of tumor necrosis factor superfamily cytokine production (GO:1903557)	33/81	2.209283e-18	9.512189e-16	0	0	9.887259e+00	4.019553e+02	CD86;LPL;LY96;CLU;AGER;IFIH1;PYCARD;CLEC7A;CCL3;PLCG2;LBP;LGALS9;CD14;FADD;HAVCR2;IL33;SYK;IFNGR1;STAT3;CYBA;TIRAP;TLR1;CD2;IL1A;TYROBP;PTPRC;FRMD8;OAS2;OAS3;TLR4;TLR3;TMEM106A;TLR2
GO_Biological_Process_2021	positive regulation of tumor necrosis factor production (GO:0032760)	32/77	3.550792e-18	1.375932e-15	0	0	1.022058e+01	4.106562e+02	LPL;LY96;CLU;AGER;IFIH1;PYCARD;CLEC7A;CCL3;PLCG2;LBP;LGALS9;CD14;FADD;HAVCR2;IL33;SYK;IFNGR1;STAT3;CYBA;TIRAP;TLR1;CD2;IL1A;TYROBP;PTPRC;FRMD8;OAS2;OAS3;TLR4;TLR3;TMEM106A;TLR2
