Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Cellular_Component_2021	secretory granule membrane (GO:0030667)	59/274	4.802669e-16	1.325537e-13	0	0	3.991288e+00	1.407815e+02	SPARC;B4GALT1;ITGAM;SLC44A2;TMEM179B;ITGB3;ITGB2;SNAP23;TCIRG1;ITGAL;SLC2A5;LGALS3;STK10;GLIPR1;PLAU;CLEC5A;LAMP2;C3AR1;ITGAX;CPNE3;CD33;CD53;CHRNB4;FCER1G;TICAM2;CD300A;SLC11A1;NFAM1;RHOG;PLAUR;CYBB;IRAG2;CYBA;TMC6;TNFRSF1B;VAMP8;TYROBP;CD44;TLR2;CD63;TMED10;HVCN1;PTAFR;C5AR1;MGST1;PRCP;GPR84;ALDH3B1;STOM;NCKAP1L;CD14;LAIR1;CMTM6;BST2;PTPRC;STING1;CD9;DEGS1;CD68
GO_Cellular_Component_2021	secretory granule lumen (GO:0034774)	63/316	2.388987e-15	3.296802e-13	0	0	3.625731e+00	1.220708e+02	ARHGAP9;LGALS3BP;SPARC;GMFG;HEXB;PROS1;CTSZ;CTSW;PYGL;CLU;PYCARD;HK3;PNP;GM2A;NAPRT;CTSH;OSTF1;GUSB;B2M;CTSD;CTSC;SRGN;ANXA2;SERPINF2;UNC13D;ARHGAP45;FGR;BIN2;CRISPLD2;NPC2;PADI2;SERPING1;GAS6;DOCK2;DNASE1L1;TOR4A;GRN;ITIH3;MVP;GNS;C3;CYB5R3;DPP7;TTR;ALOX5;CREG1;AGA;A2M;S100A11;CTSA;GSDMD;GSN;GGH;IGF1;PRDX6;NFKB1;DERA;LCN2;MAN2B1;PTPN6;PTX3;HPSE;FERMT3
GO_Cellular_Component_2021	azurophil granule (GO:0042582)	41/155	9.682814e-15	8.908189e-13	0	0	5.185989e+00	1.673437e+02	CD63;GRN;B4GALT1;TMEM179B;HEXB;HEXA;SNAP23;MGST1;PRCP;GNS;PYCARD;C3;GLIPR1;CYB5R3;DPP7;TTR;GM2A;NAPRT;CREG1;LAMP2;C3AR1;STOM;CPNE3;AGA;GUSB;CTSC;CTSA;ANXA2;NFAM1;CMTM6;IRAG2;GGH;PRDX6;UNC13D;ARHGAP45;BST2;VAMP8;NPC2;PADI2;MAN2B1;CD68
GO_Cellular_Component_2021	vacuolar lumen (GO:0005775)	41/161	3.950289e-14	2.725699e-12	0	0	4.925097e+00	1.520003e+02	SCARB2;ASAH1;GRN;SDC4;HEXB;HEXA;IFI30;LIPA;GNS;CTSS;PYCARD;C3;CYB5R3;DPP7;TTR;NAGLU;GM2A;CTSL;NAPRT;CREG1;LAMP2;AGA;GUSB;CTSD;CTSC;CTSA;CD74;ANXA2;GGH;PRDX6;UNC13D;ARHGAP45;TCN2;MAN2B2;NPC2;OGN;PADI2;MAN2B1;TPP1;HPSE;LGMN
GO_Cellular_Component_2021	specific granule (GO:0042581)	40/160	1.559106e-13	8.606263e-12	0	0	4.801242e+00	1.415862e+02	ITGAM;STXBP3;SLC44A2;HVCN1;CTSZ;ITGB2;SNAP23;GPR84;ITGAL;SLC2A5;STK10;PLAU;ALDH3B1;CLEC5A;C3AR1;STOM;B2M;CTSD;CD33;LAIR1;GSDMD;CD53;CHRNB4;ANXA3;CMTM6;PLAUR;CYBB;GGH;CYBA;TMC6;TNFRSF1B;NFKB1;VAMP8;LCN2;DEGS1;PTPN6;PTX3;HPSE;DOCK2;DNASE1L1
GO_Cellular_Component_2021	membrane raft (GO:0045121)	40/163	3.003649e-13	1.381679e-11	0	0	4.683381e+00	1.350396e+02	ITGAM;SELPLG;AHNAK;ITGB2;MLC1;TREM2;THY1;CLN3;PDPN;STOM;CD14;CTSD;ABCA1;LYN;ANXA2;ANGPT1;CAV2;CAV1;NFAM1;TNFRSF1B;TGFBR1;TGFBR2;TNFRSF1A;LAT2;TLR1;ADAM17;PLSCR1;PTPRC;CD8A;BTK;FAS;CD226;TPP1;CD48;LCP2;TLR6;EZR;TDGF1;LAT;TLR2
GO_Cellular_Component_2021	phagocytic vesicle (GO:0045335)	29/100	6.481824e-12	2.555691e-10	0	0	5.848800e+00	1.506769e+02	NCF1;ITGB5;NCF2;UNC93B1;HVCN1;NCF4;SNAP23;PLD4;TCIRG1;CTSS;RAC2;B2M;ABCA1;SYK;ANXA3;SLC11A1;TAP2;CYBB;TAP1;CYBA;SCIMP;MPEG1;TAPBP;RAB32;VAMP8;TLR7;RAB7B;ATP6V0D2;VAMP3
GO_Cellular_Component_2021	tertiary granule (GO:0070820)	38/164	7.769433e-12	2.680454e-10	0	0	4.335843e+00	1.109144e+02	ASAH1;ITGAM;STXBP3;TMEM179B;ITGB2;SNAP23;PTAFR;PRCP;GPR84;TCIRG1;CTSS;CST3;LGALS3;PLAU;FTH1;CLEC5A;LAMP2;ITGAX;CTSH;STOM;NCKAP1L;B2M;CTSD;CD33;LAIR1;GSDMD;CD53;CHRNB4;FCER1G;CD300A;SLC11A1;CYBB;GGH;CYBA;TMC6;VAMP8;PTPN6;PTX3
GO_Cellular_Component_2021	lysosome (GO:0005764)	73/477	1.676804e-11	5.142198e-10	0	0	2.630200e+00	6.525933e+01	IFITM3;SCARB2;TINAGL1;IFITM2;CPQ;SLC44A2;HEXB;HEXA;CTSZ;MLC1;CTSW;TCIRG1;IFI30;LIPA;LITAF;CTSS;LAPTM4A;NAGLU;GM2A;CTSL;LAMP2;CTSH;GUSB;CTSD;CTSC;CTSB;SRGN;ANXA2;DTX3L;SLC11A1;TFEB;UNC13D;VAMP8;PLA2G15;HCK;NPC2;TLR7;RAB7B;ATP6V0D2;TLR3;OCA2;CD63;ASAH1;GRN;KCNE2;AHNAK;SDC4;UNC93B1;CST7;GNS;CLN5;CLN3;AGA;SLC15A3;CTSA;CD74;MCOLN3;SLC12A4;LAPTM5;CYBRD1;GLMP;GPR137B;TPCN2;GFAP;P2RX4;TCN2;MAN2B2;OGN;TPP1;MAN2B1;HPSE;CD68;LGMN
GO_Cellular_Component_2021	lysosomal lumen (GO:0043202)	26/86	2.807523e-11	7.748763e-10	0	0	6.194470e+00	1.505017e+02	SCARB2;ASAH1;SDC4;HEXB;HEXA;IFI30;LIPA;GNS;CTSS;GM2A;NAGLU;CTSL;LAMP2;GUSB;CTSD;CTSB;CTSA;CD74;TCN2;NPC2;MAN2B2;OGN;MAN2B1;TPP1;HPSE;LGMN
