Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Molecular_Function_2021	cytokine receptor activity (GO:0004896)	24/88	1.677674e-09	1.160950e-06	0	0	5.351227e+00	1.081261e+02	IFNAR2;CX3CR1;CD74;CSF3R;IFNGR1;IL10RB;IL10RA;EBI3;CSF2RB;OSMR;IL2RG;F3;CSF2RA;IL1RL2;CXCR3;CCRL2;IL3RA;IL2RB;IL21R;CCR5;CD44;CMKLR1;IL13RA1;CRLF2
GO_Molecular_Function_2021	chemokine receptor binding (GO:0042379)	14/50	2.946698e-06	1.019558e-03	0	0	5.515474e+00	7.023860e+01	CX3CR1;CXCL9;CXCL5;CXCL16;CXCL10;CCL8;CCL7;CCL5;CCRL2;CCL4;CCL3;XCL1;CCL2;CKLF
GO_Molecular_Function_2021	cytokine receptor binding (GO:0005126)	21/105	4.629709e-06	1.067920e-03	0	0	3.555471e+00	4.367190e+01	CNTF;IL1RN;CSF1;SYK;ERAP1;OSM;OSMR;PYCARD;ADAM17;IL1B;CCL5;CLCF1;CCRL2;TRIP6;TNFSF11;TNFSF9;XCL1;FADD;CD300LF;IL13RA1;CRLF2
GO_Molecular_Function_2021	Toll-like receptor binding (GO:0035325)	6/11	2.928654e-05	3.783400e-03	0	0	1.694433e+01	1.768714e+02	TLR1;UNC93B1;TLR6;MYD88;TIRAP;TLR2
GO_Molecular_Function_2021	chemokine activity (GO:0008009)	12/46	3.280405e-05	3.783400e-03	0	0	4.998570e+00	5.161002e+01	CXCL10;CXCL9;CCL8;CCL7;CCL5;CCL4;CCL3;CCL2;XCL1;CKLF;CXCL5;CXCL16
GO_Molecular_Function_2021	endopeptidase regulator activity (GO:0061135)	12/46	3.280405e-05	3.783400e-03	0	0	4.998570e+00	5.161002e+01	CST3;ITIH3;PROS1;SERPINF2;PSME1;PSME2;CST7;TFPI;A2M;RENBP;VSIR;WFDC2
GO_Molecular_Function_2021	MHC protein binding (GO:0042287)	9/28	5.315671e-05	5.254921e-03	0	0	6.698735e+00	6.593073e+01	CD74;LAG3;CD81;CLEC7A;CD8A;TAP2;TAP1;PILRA;TAPBP
GO_Molecular_Function_2021	amyloid-beta binding (GO:0001540)	16/80	6.142264e-05	5.313059e-03	0	0	3.545732e+00	3.438556e+01	C1QA;CD74;MSR1;ITGAM;ITGB2;TREM2;CLU;AGER;CST3;GSAP;TLR6;APOE;LDLRAP1;FCGR2B;TLR4;TLR2
GO_Molecular_Function_2021	CCR1 chemokine receptor binding (GO:0031726)	4/5	9.165453e-05	7.047215e-03	0	0	5.640785e+01	5.244511e+02	CCL7;CCL5;CCL4;CCL3
GO_Molecular_Function_2021	tumor necrosis factor-activated receptor activity (GO:0005031)	5/9	1.287828e-04	8.101608e-03	0	0	1.763794e+01	1.579898e+02	FAS;TNFRSF11A;TNFRSF1B;EDA2R;TNFRSF1A
