Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	indolalkylamine biosynthetic process (GO:0046219)	4/5	0.028267271865888	0.9999965756708306	0	0	9.648464163822526	34.40691156261683	TPH2;TPH1;DDC;AANAT
GO_Biological_Process_2021	indole-containing compound biosynthetic process (GO:0042435)	4/5	0.028267271865888	0.9999965756708306	0	0	9.648464163822526	34.40691156261683	TPH2;TPH1;DDC;AANAT
GO_Biological_Process_2021	indolalkylamine metabolic process (GO:0006586)	4/6	0.0651733582175142	0.9999965756708306	0	0	4.823890784982935	13.172620321585008	TPH2;TPH1;DDC;AANAT
GO_Biological_Process_2021	cardiac endothelial cell differentiation (GO:0003348)	3/5	0.1541738193481684	0.9999965756708306	0	0	3.617300801910937	6.763175487776969	SMAD4;SOX17;SOX18
GO_Biological_Process_2021	catechol-containing compound biosynthetic process (GO:0009713)	3/5	0.1541738193481684	0.9999965756708306	0	0	3.617300801910937	6.763175487776969	DDC;PAH;DBH
GO_Biological_Process_2021	double-strand break repair via synthesis-dependent strand annealing (GO:0045003)	3/5	0.1541738193481684	0.9999965756708306	0	0	3.617300801910937	6.763175487776969	RAD51;FANCM;RAD54L
GO_Biological_Process_2021	endocardial cell differentiation (GO:0060956)	3/5	0.1541738193481684	0.9999965756708306	0	0	3.617300801910937	6.763175487776969	SMAD4;SOX17;SOX18
GO_Biological_Process_2021	positive regulation of cell proliferation involved in heart morphogenesis (GO:2000138)	3/5	0.1541738193481684	0.9999965756708306	0	0	3.617300801910937	6.763175487776969	BMP4;SMAD4;PIM1
GO_Biological_Process_2021	negative regulation of mitotic nuclear division (GO:0045839)	4/8	0.1819009854402398	0.9999965756708306	0	0	2.41160409556314	4.11007943861443	BMP4;TOM1L1;CHEK1;BMP7
GO_Biological_Process_2021	regulation of response to reactive oxygen species (GO:1901031)	3/6	0.2431742842715155	0.9999965756708306	0	0	2.4113632485923904	3.40961186710792	GCH1;STK26;BMP7
GO_Biological_Process_2021	regulation of superoxide metabolic process (GO:0090322)	3/6	0.2431742842715155	0.9999965756708306	0	0	2.4113632485923904	3.40961186710792	BST1;GCH1;BMP7
GO_Biological_Process_2021	regulation of very-low-density lipoprotein particle remodeling (GO:0010901)	3/6	0.2431742842715155	0.9999965756708306	0	0	2.4113632485923904	3.40961186710792	APOA2;APOC3;APOA1
GO_Biological_Process_2021	phenol-containing compound biosynthetic process (GO:0046189)	4/9	0.2549065638622196	0.9999965756708306	0	0	1.929146757679181	2.636870097912987	TPH1;DDC;DCT;DBH
GO_Biological_Process_2021	catecholamine biosynthetic process (GO:0042423)	5/12	0.2585410238824647	0.9999965756708306	0	0	1.7225026211201326	2.3300308422008515	DDC;GCH1;PAH;DBH;GATA3
GO_Biological_Process_2021	regulation of centriole replication (GO:0046599)	7/19	0.3104837354890579	0.9999965756708306	0	0	1.4066928461669796	1.645301376824984	PLK4;KAT2B;NPM1;CENPJ;BRCA1;CEP76;CDK5RAP2
GO_Biological_Process_2021	gap junction assembly (GO:0016264)	3/7	0.3375408794097523	0.9999965756708306	0	0	1.8083944719331173	1.9640405461046129	GJC1;GJB2;GJD3
GO_Biological_Process_2021	negative regulation of centriole replication (GO:0046600)	3/7	0.3375408794097523	0.9999965756708306	0	0	1.8083944719331173	1.9640405461046129	KAT2B;BRCA1;CDK5RAP2
GO_Biological_Process_2021	negative regulation of intracellular transport (GO:0032387)	3/7	0.3375408794097523	0.9999965756708306	0	0	1.8083944719331173	1.9640405461046129	PLN;INSIG1;CRYAB
GO_Biological_Process_2021	positive regulation of multicellular organism growth (GO:0040018)	3/7	0.3375408794097523	0.9999965756708306	0	0	1.8083944719331173	1.9640405461046129	GHR;GHRH;GHRL
GO_Biological_Process_2021	cellular biogenic amine biosynthetic process (GO:0042401)	6/17	0.3789838364758356	0.9999965756708306	0	0	1.3152177286694189	1.2761054190525285	TPH2;TPH1;DDC;AANAT;PAH;DBH
GO_Biological_Process_2021	neurotransmitter biosynthetic process (GO:0042136)	5/14	0.3935802836792262	0.9999965756708306	0	0	1.3395346191045117	1.2490761240115902	SLC22A2;PAH;DBH;SLC6A3;SLC6A4
GO_Biological_Process_2021	negative regulation of centrosome duplication (GO:0010826)	4/11	0.4104804051219904	0.9999965756708306	0	0	1.3777669429546562	1.226801003378268	KAT2B;NPM1;BRCA1;CDK5RAP2
GO_Biological_Process_2021	negative regulation of nuclear division (GO:0051784)	4/11	0.4104804051219904	0.9999965756708306	0	0	1.3777669429546562	1.226801003378268	BMP4;TOM1L1;CHEK1;BMP7
GO_Biological_Process_2021	rhodopsin mediated signaling pathway (GO:0016056)	4/11	0.4104804051219904	0.9999965756708306	0	0	1.3777669429546562	1.226801003378268	PDE6G;RHO;GNAT1;CNGB1
GO_Biological_Process_2021	negative regulation of muscle cell apoptotic process (GO:0010656)	3/8	0.4309247783896257	0.9999965756708306	0	0	1.4466132059375534	1.217790434858052	APOH;ALOX12;BMP7
GO_Biological_Process_2021	amine transport (GO:0015837)	2/5	0.4577503427168326	0.9999965756708306	0	0	1.6073012623677925	1.2559955900514326	SLC22A2;AQP9
GO_Biological_Process_2021	cellular response to indole-3-methanol (GO:0071681)	2/5	0.4577503427168326	0.9999965756708306	0	0	1.6073012623677925	1.2559955900514326	CDH1;BRCA1
GO_Biological_Process_2021	determination of pancreatic left/right asymmetry (GO:0035469)	2/5	0.4577503427168326	0.9999965756708306	0	0	1.6073012623677925	1.2559955900514326	ZIC3;NPHP3
GO_Biological_Process_2021	dopamine catabolic process (GO:0042420)	2/5	0.4577503427168326	0.9999965756708306	0	0	1.6073012623677925	1.2559955900514326	MAOA;DBH
GO_Biological_Process_2021	establishment of T cell polarity (GO:0001768)	2/5	0.4577503427168326	0.9999965756708306	0	0	1.6073012623677925	1.2559955900514326	CRTAM;CCR7
GO_Biological_Process_2021	L-arginine import across plasma membrane (GO:0097638)	2/5	0.4577503427168326	0.9999965756708306	0	0	1.6073012623677925	1.2559955900514326	SLC47A1;SLC22A2
GO_Biological_Process_2021	long-chain fatty acid catabolic process (GO:0042758)	2/5	0.4577503427168326	0.9999965756708306	0	0	1.6073012623677925	1.2559955900514326	ACADL;ADTRP
GO_Biological_Process_2021	membrane raft distribution (GO:0031580)	2/5	0.4577503427168326	0.9999965756708306	0	0	1.6073012623677925	1.2559955900514326	YJEFN3;MAL
GO_Biological_Process_2021	negative regulation of CREB transcription factor activity (GO:0032792)	2/5	0.4577503427168326	0.9999965756708306	0	0	1.6073012623677925	1.2559955900514326	DDIT3;FOXP3
GO_Biological_Process_2021	negative regulation of insulin-like growth factor receptor signaling pathway (GO:0043569)	2/5	0.4577503427168326	0.9999965756708306	0	0	1.6073012623677925	1.2559955900514326	BMP5;NKX3-1
GO_Biological_Process_2021	nephric duct development (GO:0072176)	2/5	0.4577503427168326	0.9999965756708306	0	0	1.6073012623677925	1.2559955900514326	LHX1;GATA3
GO_Biological_Process_2021	oocyte development (GO:0048599)	2/5	0.4577503427168326	0.9999965756708306	0	0	1.6073012623677925	1.2559955900514326	FIGLA;ZGLP1
GO_Biological_Process_2021	oxidative DNA demethylation (GO:0035511)	2/5	0.4577503427168326	0.9999965756708306	0	0	1.6073012623677925	1.2559955900514326	ALKBH3;ALKBH2
GO_Biological_Process_2021	positive regulation of feeding behavior (GO:2000253)	2/5	0.4577503427168326	0.9999965756708306	0	0	1.6073012623677925	1.2559955900514326	AGRP;INSL5
GO_Biological_Process_2021	positive regulation of histone H3-K9 acetylation (GO:2000617)	2/5	0.4577503427168326	0.9999965756708306	0	0	1.6073012623677925	1.2559955900514326	SMAD4;BRCA1
GO_Biological_Process_2021	positive regulation of leukocyte tethering or rolling (GO:1903238)	2/5	0.4577503427168326	0.9999965756708306	0	0	1.6073012623677925	1.2559955900514326	SELP;FUT7
GO_Biological_Process_2021	positive regulation of necrotic cell death (GO:0010940)	2/5	0.4577503427168326	0.9999965756708306	0	0	1.6073012623677925	1.2559955900514326	SLC6A13;MT3
GO_Biological_Process_2021	regulation of glomerular mesangial cell proliferation (GO:0072124)	2/5	0.4577503427168326	0.9999965756708306	0	0	1.6073012623677925	1.2559955900514326	BMP4;BMP7
GO_Biological_Process_2021	regulation of type B pancreatic cell apoptotic process (GO:2000674)	2/5	0.4577503427168326	0.9999965756708306	0	0	1.6073012623677925	1.2559955900514326	CAST;TCF7L2
GO_Biological_Process_2021	response to indole-3-methanol (GO:0071680)	2/5	0.4577503427168326	0.9999965756708306	0	0	1.6073012623677925	1.2559955900514326	CDH1;BRCA1
GO_Biological_Process_2021	serotonin metabolic process (GO:0042428)	2/5	0.4577503427168326	0.9999965756708306	0	0	1.6073012623677925	1.2559955900514326	TPH1;DDC
GO_Biological_Process_2021	serotonin transport (GO:0006837)	2/5	0.4577503427168326	0.9999965756708306	0	0	1.6073012623677925	1.2559955900514326	SLC22A2;SLC6A4
GO_Biological_Process_2021	serotonin uptake (GO:0051610)	2/5	0.4577503427168326	0.9999965756708306	0	0	1.6073012623677925	1.2559955900514326	SLC22A2;SLC6A4
GO_Biological_Process_2021	synaptic transmission, glycinergic (GO:0060012)	2/5	0.4577503427168326	0.9999965756708306	0	0	1.6073012623677925	1.2559955900514326	SLC6A5;GLRA1
GO_Biological_Process_2021	trivalent inorganic anion homeostasis (GO:0072506)	2/5	0.4577503427168326	0.9999965756708306	0	0	1.6073012623677925	1.2559955900514326	SFRP4;TFAP2B
