Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	indolalkylamine biosynthetic process (GO:0046219)	4/5	2.826727e-02	9.999966e-01	0	0	9.648464e+00	3.440691e+01	TPH2;DDC;TPH1;AANAT
GO_Biological_Process_2021	indole-containing compound biosynthetic process (GO:0042435)	4/5	2.826727e-02	9.999966e-01	0	0	9.648464e+00	3.440691e+01	TPH2;DDC;TPH1;AANAT
GO_Biological_Process_2021	indolalkylamine metabolic process (GO:0006586)	4/6	6.517336e-02	9.999966e-01	0	0	4.823891e+00	1.317262e+01	TPH2;DDC;TPH1;AANAT
GO_Biological_Process_2021	cardiac endothelial cell differentiation (GO:0003348)	3/5	1.541738e-01	9.999966e-01	0	0	3.617301e+00	6.763175e+00	SMAD4;SOX17;SOX18
GO_Biological_Process_2021	catechol-containing compound biosynthetic process (GO:0009713)	3/5	1.541738e-01	9.999966e-01	0	0	3.617301e+00	6.763175e+00	DDC;PAH;DBH
GO_Biological_Process_2021	double-strand break repair via synthesis-dependent strand annealing (GO:0045003)	3/5	1.541738e-01	9.999966e-01	0	0	3.617301e+00	6.763175e+00	RAD51;FANCM;RAD54L
GO_Biological_Process_2021	endocardial cell differentiation (GO:0060956)	3/5	1.541738e-01	9.999966e-01	0	0	3.617301e+00	6.763175e+00	SMAD4;SOX17;SOX18
GO_Biological_Process_2021	positive regulation of cell proliferation involved in heart morphogenesis (GO:2000138)	3/5	1.541738e-01	9.999966e-01	0	0	3.617301e+00	6.763175e+00	BMP4;SMAD4;PIM1
GO_Biological_Process_2021	negative regulation of mitotic nuclear division (GO:0045839)	4/8	1.819010e-01	9.999966e-01	0	0	2.411604e+00	4.110079e+00	BMP4;TOM1L1;CHEK1;BMP7
GO_Biological_Process_2021	regulation of response to reactive oxygen species (GO:1901031)	3/6	2.431743e-01	9.999966e-01	0	0	2.411363e+00	3.409612e+00	GCH1;STK26;BMP7
