Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	actomyosin structure organization (GO:0031032)	13/76	5.084070960960562e-08	0.00010818903004924074	0	0	8.166973782045066	137.16080007323487	FHOD3;EPB41;TMOD3;ARRB1;MYPN;CIT;FRMD5;OBSCN;MYH3;FRMD6;EPB41L3;PHACTR1;MYH10
GO_Biological_Process_2021	anterograde trans-synaptic signaling (GO:0098916)	21/244	1.0814468540236202e-06	0.0011506594526811	0	0	3.757652563852603	51.61966513384706	GABRA1;CHRNB3;CHRNA4;CHRM4;NRXN2;GABRG2;NRGN;GRM3;CACNB3;HRH1;DLG1;GLRA3;PRKAR1B;PTCHD1;HRH2;NOVA1;CAMK4;SNCB;PRKACB;NTSR1;KCNK3
GO_Biological_Process_2021	chemical synaptic transmission (GO:0007268)	23/306	3.458352541826768e-06	0.0024531247363357	0	0	3.246321341727702	40.82157614414575	GABRA1;CHRNB3;CHRNA4;STXBP1;CHRM4;GRIK3;NRXN2;GABRG2;NRGN;GRM3;CACNB3;HRH1;DLG1;GLRA3;PRKAR1B;PTCHD1;HRH2;NOVA1;CAMK4;SNCB;PRKACB;NTSR1;KCNK3
GO_Biological_Process_2021	regulation of relaxation of cardiac muscle (GO:1901897)	4/6	5.742048089909115e-06	0.0030547695838316	0	0	77.976	940.9905542220548	CHGA;CAMK2D;PDE4D;PDE4B
GO_Biological_Process_2021	regulation of catecholamine secretion (GO:0050433)	7/30	7.619076923472335e-06	0.0032426791386298	0	0	11.924678505817514	140.5306110985657	CHGA;SYT4;SYT2;SYT12;CHRNA4;KCNB1;KCNA2
GO_Biological_Process_2021	regulation of regulated secretory pathway (GO:1903305)	7/35	2.2566987381498717e-05	0.0080037581913048	0	0	9.792756539235413	104.77292210896078	RIMS2;SYT4;RIMS3;SYT2;SYT12;LRRK2;SEPTIN5
GO_Biological_Process_2021	axon guidance (GO:0007411)	16/203	5.981181529850655e-05	0.0181827918507459	0	0	3.385465065310774	32.92130277132632	PLXND1;EPHA8;SH3KBP1;LRTM2;PTPRM;LAMC2;PIK3R1;SEMA3F;GFRA2;IGSF9;MYPN;RAP1GAP;TUBB3;DOK5;NPTN;CNTN4
GO_Biological_Process_2021	regulation of calcium ion-dependent exocytosis (GO:0017158)	6/31	0.0001070742682639076	0.0284817553581994	0	0	9.383614457831325	85.78488953477859	CACNA1I;SYT4;SYT2;SYT12;KCNB1;STXBP1
GO_Biological_Process_2021	protein phosphorylation (GO:0006468)	27/496	0.00016276992681585423	0.0384860449182375	0	0	2.29637526652452	20.0316783695812	ACVRL1;CAMK2D;LTK;PRKAA2;LRRK2;PRKCZ;RSKR;PAK1;TLK2;MAPK6;PRKACB;PAK5;MAP3K5;MARK1;SMAD2;HIPK4;CDK19;EPHA8;PRKAB1;ACVR2B;DCLK1;CIT;PRKAR1B;MAK;CAMK4;TYRO3;TRIB1
GO_Biological_Process_2021	potassium ion transmembrane transport (GO:0071805)	12/139	0.00021183281589711835	0.0450780232229067	0	0	3.7198002688688314	31.46844343094001	KCNJ4;KCNH3;KCNF1;KCNH5;SLC9A5;KCNJ9;KCNB1;KCNA2;KCNK2;KCNK3;KCNH1;KCNK4
GO_Biological_Process_2021	potassium ion transport (GO:0006813)	11/122	0.0002642485768413288	0.0511200883198497	0	0	3.896624819545712	32.10281241336501	KCNJ4;KCNH3;KCNF1;KCNH5;SLC9A5;KCNB1;KCNA2;KCNK2;KCNK3;KCNH1;KCNK4
GO_Biological_Process_2021	regulation of cardiac muscle hypertrophy in response to stress (GO:1903242)	3/6	0.0003006143934638884	0.0514246824241762	0	0	38.90818363273453	315.5330042151817	MLIP;LMNA;ATP2B4
GO_Biological_Process_2021	regulation of neuron death (GO:1901214)	9/86	0.0003141545448845352	0.0514246824241762	0	0	4.585360094451003	36.98379735940299	CHGA;EGR1;LRRK2;SIGMAR1;DHCR24;SNCB;CD34;BTBD10;MAP3K5
GO_Biological_Process_2021	regulation of dopamine secretion (GO:0014059)	5/25	0.0003486389783697798	0.0529931247122065	0	0	9.75751503006012	77.68419848030152	SYT4;SYT2;SYT12;CHRNA4;KCNA2
GO_Biological_Process_2021	modulation of chemical synaptic transmission (GO:0050804)	10/109	0.0004334641930733579	0.0569192747196308	0	0	3.9661800188115977	30.712913624536608	RIMS2;GRM3;SLC8A3;RIMS3;LRRK2;GRM8;GRIK3;LRRC4C;DLGAP3;CPLX3
GO_Biological_Process_2021	synaptic vesicle exocytosis (GO:0016079)	6/40	0.0004608183751366377	0.0569192747196308	0	0	6.896527285613041	52.98261620107216	RIMS2;BLOC1S6;RIMS3;SYT2;OTOF;CPLX3
GO_Biological_Process_2021	regulation of cardiac muscle cell contraction (GO:0086004)	5/27	0.0005082078099967043	0.0569192747196308	0	0	8.869557296411005	67.2722227190879	CAMK2D;DLG1;JUP;PDE4D;PDE4B
GO_Biological_Process_2021	calcium-ion regulated exocytosis (GO:0017156)	5/27	0.0005082078099967043	0.0569192747196308	0	0	8.869557296411005	67.2722227190879	RIMS2;SYT4;RIMS3;SYT2;SYT12
GO_Biological_Process_2021	modulation of excitatory postsynaptic potential (GO:0098815)	5/27	0.0005082078099967043	0.0569192747196308	0	0	8.869557296411005	67.2722227190879	RIMS2;SLC8A3;CUX2;LRRK2;PRKCZ
GO_Biological_Process_2021	phosphorylation (GO:0016310)	22/400	0.000560571970820242	0.0577476264672753	0	0	2.308480976530769	17.282564993349503	ACVRL1;CDK19;CAMK2D;LTK;PRKAA2;LRRK2;PRKAB1;PRKCZ;ACVR2B;DCLK1;RSKR;PAK1;PRKAR1B;MAK;CAMK4;TLK2;TRIB1;MAPK6;PRKACB;PAK5;MAP3K5;MARK1
GO_Biological_Process_2021	dendrite self-avoidance (GO:0070593)	4/16	0.0005698778927691649	0.0577476264672753	0	0	12.989333333333333	97.03146881946245	NPTN;CNTN4;IGSF9;MYPN
GO_Biological_Process_2021	homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156)	7/60	0.0007536138077496572	0.0728950083132395	0	0	5.16688812117991	37.15318337875021	IGSF21;NPTN;PTPRM;CNTN4;IGFN1;MYPN;IGSF9
GO_Biological_Process_2021	endothelial cell proliferation (GO:0001935)	4/18	0.0009205897087011104	0.085174560874607	0	0	11.13257142857143	77.82219721615765	ACVRL1;DLG1;BMPER;CD34
GO_Biological_Process_2021	regulation of synaptic transmission, glutamatergic (GO:0051966)	6/46	0.0009900783973307765	0.0877869512299955	0	0	5.860240963855421	40.53954379449391	GRM3;TSHZ3;LRRK2;GRM8;GRIK3;CACNG3
GO_Biological_Process_2021	regulation of synaptic vesicle exocytosis (GO:2000300)	4/19	0.0011430281116363	0.0971153484136645	0	0	10.389866666666666	70.38172876568514	RIMS2;RIMS3;LRRK2;SEPTIN5
