Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	regulation of mRNA processing (GO:0050684)	10/36	3.202988e-03	9.999959e-01	0	0	3.277026e+00	1.882216e+01	RBM39;SRPK3;KHDRBS2;TIA1;SON;PABPN1;PAPOLA;SAFB2;SRSF10;QKI
GO_Biological_Process_2021	AV node cell action potential (GO:0086016)	4/7	3.307040e-03	9.999959e-01	0	0	1.134253e+01	6.478513e+01	CACNB2;CACNA1C;SCN5A;SCN4B
GO_Biological_Process_2021	regulation of atrial cardiac muscle cell membrane repolarization (GO:0060372)	4/7	3.307040e-03	9.999959e-01	0	0	1.134253e+01	6.478513e+01	NPPA;CACNA1D;KCNA5;SCN5A
GO_Biological_Process_2021	membrane depolarization during cardiac muscle cell action potential (GO:0086012)	6/17	6.022064e-03	9.999959e-01	0	0	4.642465e+00	2.373379e+01	CACNB2;CACNA1D;CACNA1C;SCN5A;SCN4B;SLC8A1
GO_Biological_Process_2021	peptidyl-serine autophosphorylation (GO:0036289)	4/8	6.064056e-03	9.999959e-01	0	0	8.506419e+00	4.342847e+01	ERN1;DYRK1A;ATM;MARK3
GO_Biological_Process_2021	membrane depolarization during AV node cell action potential (GO:0086045)	3/5	9.911939e-03	9.999959e-01	0	0	1.275499e+01	5.885172e+01	CACNB2;CACNA1C;SCN5A
GO_Biological_Process_2021	post-transcriptional gene silencing by RNA (GO:0035194)	6/20	1.432298e-02	9.999959e-01	0	0	3.647039e+00	1.548493e+01	TNRC6C;CNOT6;AGO3;WTIP;TNRC6A;TNRC6B
GO_Biological_Process_2021	regulation of T-helper 17 cell differentiation (GO:2000319)	4/10	1.530923e-02	9.999959e-01	0	0	5.670312e+00	2.369793e+01	TBX21;RC3H1;MALT1;RC3H2
GO_Biological_Process_2021	regulation of nuclear-transcribed mRNA poly(A) tail shortening (GO:0060211)	5/15	1.570493e-02	9.999959e-01	0	0	4.253806e+00	1.766938e+01	TNRC6C;EIF4ENIF1;TENT4B;TNRC6A;TNRC6B
GO_Biological_Process_2021	equilibrioception (GO:0050957)	3/6	1.827749e-02	9.999959e-01	0	0	8.502852e+00	3.402913e+01	USH1G;CDH23;PCDH15
GO_Biological_Process_2021	replication-born double-strand break repair via sister chromatid exchange (GO:1990414)	3/6	1.827749e-02	9.999959e-01	0	0	8.502852e+00	3.402913e+01	NIPBL;FANCB;REC8
