Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	negative regulation of response to food (GO:0032096)	1/5	1.367582e-02	1.297070e-01	0	0	9.231944e+01	3.962467e+02	SPX
GO_Biological_Process_2021	negative regulation of meiotic cell cycle (GO:0051447)	1/6	1.638888e-02	1.297070e-01	0	0	7.385185e+01	3.036162e+02	FBXO5
GO_Biological_Process_2021	negative regulation of meiotic nuclear division (GO:0045835)	1/7	1.909461e-02	1.297070e-01	0	0	6.154012e+01	2.435973e+02	FBXO5
GO_Biological_Process_2021	negative regulation of heart rate (GO:0010459)	1/7	1.909461e-02	1.297070e-01	0	0	6.154012e+01	2.435973e+02	SPX
GO_Biological_Process_2021	negative regulation of appetite (GO:0032099)	1/8	2.179303e-02	1.297070e-01	0	0	5.274603e+01	2.018150e+02	SPX
GO_Biological_Process_2021	lipid import into cell (GO:0140354)	1/8	2.179303e-02	1.297070e-01	0	0	5.274603e+01	2.018150e+02	SPX
GO_Biological_Process_2021	negative regulation of mitotic nuclear division (GO:0045839)	1/8	2.179303e-02	1.297070e-01	0	0	5.274603e+01	2.018150e+02	FBXO5
GO_Biological_Process_2021	regulation of meiotic nuclear division (GO:0040020)	1/8	2.179303e-02	1.297070e-01	0	0	5.274603e+01	2.018150e+02	FBXO5
GO_Biological_Process_2021	positive regulation of blood pressure (GO:0045777)	1/9	2.448416e-02	1.297070e-01	0	0	4.615046e+01	1.712057e+02	SPX
GO_Biological_Process_2021	positive regulation of smooth muscle contraction (GO:0045987)	1/9	2.448416e-02	1.297070e-01	0	0	4.615046e+01	1.712057e+02	SPX
GO_Biological_Process_2021	negative regulation of ubiquitin protein ligase activity (GO:1904667)	1/9	2.448416e-02	1.297070e-01	0	0	4.615046e+01	1.712057e+02	FBXO5
GO_Biological_Process_2021	long-chain fatty acid import into cell (GO:0044539)	1/10	2.716803e-02	1.297070e-01	0	0	4.102058e+01	1.479085e+02	SPX
GO_Biological_Process_2021	negative regulation of nuclear division (GO:0051784)	1/11	2.984465e-02	1.297070e-01	0	0	3.691667e+01	1.296421e+02	FBXO5
GO_Biological_Process_2021	angiotensin maturation (GO:0002003)	1/12	3.251404e-02	1.297070e-01	0	0	3.355892e+01	1.149757e+02	CPA3
GO_Biological_Process_2021	regulation of angiotensin levels in blood (GO:0002002)	1/12	3.251404e-02	1.297070e-01	0	0	3.355892e+01	1.149757e+02	CPA3
GO_Biological_Process_2021	regulation of sensory perception (GO:0051931)	1/12	3.251404e-02	1.297070e-01	0	0	3.355892e+01	1.149757e+02	SPX
GO_Biological_Process_2021	negative regulation of heart contraction (GO:0045822)	1/12	3.251404e-02	1.297070e-01	0	0	3.355892e+01	1.149757e+02	SPX
GO_Biological_Process_2021	negative regulation of DNA-dependent DNA replication (GO:2000104)	1/13	3.517621e-02	1.297070e-01	0	0	3.076080e+01	1.029683e+02	FBXO5
GO_Biological_Process_2021	negative regulation of cellular senescence (GO:2000773)	1/13	3.517621e-02	1.297070e-01	0	0	3.076080e+01	1.029683e+02	FBXO5
GO_Biological_Process_2021	negative regulation of secretion (GO:0051048)	1/14	3.783119e-02	1.297070e-01	0	0	2.839316e+01	9.297685e+01	SPX
