Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	regulation of steroid biosynthetic process (GO:0050810)	3/17	1.449233e-04	2.794993e-02	0	0	3.546964e+01	3.135270e+02	NR5A1;FSHB;CGA
GO_Biological_Process_2021	regulation of multicellular organism growth (GO:0040014)	3/18	1.731284e-04	2.794993e-02	0	0	3.310333e+01	2.867238e+02	STAT5A;GHRHR;PRL
GO_Biological_Process_2021	negative regulation of inflammatory response to antigenic stimulus (GO:0002862)	6/136	1.960910e-04	2.794993e-02	0	0	7.789744e+00	6.650051e+01	POMC;GHRHR;FSHB;LHB;CGA;TSHB
GO_Biological_Process_2021	regulation of inflammatory response to antigenic stimulus (GO:0002861)	6/137	2.040530e-04	2.794993e-02	0	0	7.729888e+00	6.568187e+01	POMC;GHRHR;FSHB;LHB;CGA;TSHB
GO_Biological_Process_2021	calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules (GO:0016338)	3/20	2.397078e-04	2.794993e-02	0	0	2.920588e+01	2.434629e+02	CLDN6;CLDN9;CLDN8
GO_Biological_Process_2021	sensory perception of light stimulus (GO:0050953)	5/95	3.019983e-04	2.850658e-02	0	0	9.315913e+00	7.550631e+01	SIX6;GNAT2;CABP2;USH1C;GPR179
GO_Biological_Process_2021	negative regulation of inflammatory response (GO:0050728)	7/212	3.422746e-04	2.850658e-02	0	0	5.790749e+00	4.620958e+01	POMC;GHRHR;FSHB;LHB;FFAR4;CGA;TSHB
GO_Biological_Process_2021	negative regulation of immune response (GO:0050777)	6/178	8.214592e-04	4.981293e-02	0	0	5.875075e+00	4.173905e+01	POMC;GHRHR;FSHB;LHB;CGA;TSHB
GO_Biological_Process_2021	regulation of developmental growth (GO:0048638)	3/31	8.996796e-04	4.981293e-02	0	0	1.772232e+01	1.242950e+02	STAT5A;SIX1;PRL
GO_Biological_Process_2021	hair cell differentiation (GO:0035315)	2/8	1.025309e-03	4.981293e-02	0	0	5.474105e+01	3.767696e+02	USH1C;PITX2
GO_Biological_Process_2021	cell migration involved in heart development (GO:0060973)	2/8	1.025309e-03	4.981293e-02	0	0	5.474105e+01	3.767696e+02	SNAI2;PITX2
GO_Biological_Process_2021	positive regulation of steroid biosynthetic process (GO:0010893)	2/8	1.025309e-03	4.981293e-02	0	0	5.474105e+01	3.767696e+02	FSHB;CGA
GO_Biological_Process_2021	ketone biosynthetic process (GO:0042181)	2/9	1.312954e-03	5.467516e-02	0	0	4.691854e+01	3.113268e+02	FSHB;LHB
GO_Biological_Process_2021	progesterone metabolic process (GO:0042448)	2/9	1.312954e-03	5.467516e-02	0	0	4.691854e+01	3.113268e+02	FSHB;LHB
GO_Biological_Process_2021	visual perception (GO:0007601)	4/93	2.608900e-03	9.066637e-02	0	0	7.473515e+00	4.445865e+01	SIX6;GNAT2;CABP2;GPR179
GO_Biological_Process_2021	positive regulation of protein exit from endoplasmic reticulum (GO:0070863)	2/13	2.799305e-03	9.066637e-02	0	0	2.985124e+01	1.754771e+02	SEC16B;TMEM30B
GO_Biological_Process_2021	positive regulation of steroid metabolic process (GO:0045940)	2/13	2.799305e-03	9.066637e-02	0	0	2.985124e+01	1.754771e+02	FSHB;CGA
GO_Biological_Process_2021	regulation of protein exit from endoplasmic reticulum (GO:0070861)	2/13	2.799305e-03	9.066637e-02	0	0	2.985124e+01	1.754771e+02	SEC16B;TMEM30B
GO_Biological_Process_2021	growth hormone receptor signaling pathway via JAK-STAT (GO:0060397)	2/14	3.252753e-03	9.980815e-02	0	0	2.736226e+01	1.567380e+02	STAT5A;PRL
GO_Biological_Process_2021	C21-steroid hormone biosynthetic process (GO:0006700)	2/15	3.738125e-03	1.067286e-01	0	0	2.525620e+01	1.411612e+02	FSHB;LHB
GO_Biological_Process_2021	positive regulation of transcription by RNA polymerase II (GO:0045944)	13/908	3.907103e-03	1.067286e-01	0	0	2.506511e+00	1.389850e+01	EHF;POU1F1;FSHB;SIX1;PRL;ESR1;NR5A1;POMC;GAL;LHX3;EPCAM;PITX2;CGA
GO_Biological_Process_2021	response to peptide hormone (GO:0043434)	3/52	4.027494e-03	1.067286e-01	0	0	1.011633e+01	5.578760e+01	STAT5A;GHRHR;TRIM16
GO_Biological_Process_2021	bicellular tight junction assembly (GO:0070830)	3/53	4.250185e-03	1.077330e-01	0	0	9.913500e+00	5.413557e+01	CLDN6;CLDN9;CLDN8
GO_Biological_Process_2021	regulation of stem cell proliferation (GO:0072091)	2/17	4.803034e-03	1.157273e-01	0	0	2.188650e+01	1.168413e+02	EPCAM;KDF1
GO_Biological_Process_2021	tight junction assembly (GO:0120192)	3/56	4.962579e-03	1.157273e-01	0	0	9.350943e+00	4.961451e+01	CLDN6;CLDN9;CLDN8
GO_Biological_Process_2021	apical junction assembly (GO:0043297)	3/60	6.018310e-03	1.349490e-01	0	0	8.692982e+00	4.444677e+01	CLDN6;CLDN9;CLDN8
GO_Biological_Process_2021	positive regulation of epidermal cell differentiation (GO:0045606)	2/20	6.629867e-03	1.380433e-01	0	0	1.823600e+01	9.147487e+01	KDF1;TRIM16
GO_Biological_Process_2021	growth hormone receptor signaling pathway (GO:0060396)	2/20	6.629867e-03	1.380433e-01	0	0	1.823600e+01	9.147487e+01	STAT5A;PRL
GO_Biological_Process_2021	regulation of steroid metabolic process (GO:0019218)	2/23	8.722753e-03	1.695122e-01	0	0	1.562849e+01	7.410750e+01	NR5A1;GNB3
GO_Biological_Process_2021	ear morphogenesis (GO:0042471)	2/23	8.722753e-03	1.695122e-01	0	0	1.562849e+01	7.410750e+01	USH1C;SIX1
GO_Biological_Process_2021	inner ear morphogenesis (GO:0042472)	2/24	9.477732e-03	1.759419e-01	0	0	1.491736e+01	6.949713e+01	USH1C;SIX1
