Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	peptidyl-serine autophosphorylation (GO:0036289)	4/8	2.301218e-03	9.999960e-01	0	0	1.137129e+01	6.907280e+01	ERN1;DYRK1A;ATM;MARK3
GO_Biological_Process_2021	regulation of mRNA processing (GO:0050684)	8/36	7.088414e-03	9.999960e-01	0	0	3.252747e+00	1.609880e+01	RBM39;KHDRBS2;TIA1;SON;PABPN1;PAPOLA;SRSF10;QKI
GO_Biological_Process_2021	regulation of RNA splicing (GO:0043484)	12/76	1.867089e-02	9.999960e-01	0	0	2.135728e+00	8.501882e+00	ERN1;CLK1;RBM39;KHDRBS2;TIA1;SON;DYRK1A;HNRNPH3;SRSF10;CLK4;QKI;BRDT
GO_Biological_Process_2021	RNA 3'-end processing (GO:0031123)	11/69	2.221620e-02	9.999960e-01	0	0	2.159641e+00	8.221609e+00	PNPT1;PABPN1;TUT4;CSTF3;PAPOLA;THOC1;SRSF2;UPF3B;SRSF5;SRSF11;WDR33
GO_Biological_Process_2021	regulation of chromosome organization (GO:0033044)	5/22	2.852820e-02	9.999960e-01	0	0	3.344200e+00	1.189486e+01	SMG1;SHCBP1L;YLPM1;HNRNPD;WAPL
GO_Biological_Process_2021	mRNA splice site selection (GO:0006376)	6/30	3.078617e-02	9.999960e-01	0	0	2.843247e+00	9.896459e+00	PRPF39;CELF3;LUC7L3;SRSF5;SRSF10;LUC7L2
GO_Biological_Process_2021	DNA dealkylation (GO:0035510)	3/10	4.133003e-02	9.999960e-01	0	0	4.869600e+00	1.551535e+01	ALKBH5;ALKBH1;ASCC3
GO_Biological_Process_2021	DNA dealkylation involved in DNA repair (GO:0006307)	3/10	4.133003e-02	9.999960e-01	0	0	4.869600e+00	1.551535e+01	ALKBH5;ALKBH1;ASCC3
GO_Biological_Process_2021	regulation of presynapse assembly (GO:1905606)	4/18	5.248266e-02	9.999960e-01	0	0	3.247171e+00	9.570298e+00	PTPRD;SLITRK2;IL1RAPL1;LRRC4B
GO_Biological_Process_2021	regulation of presynapse organization (GO:0099174)	4/18	5.248266e-02	9.999960e-01	0	0	3.247171e+00	9.570298e+00	PTPRD;SLITRK2;IL1RAPL1;LRRC4B
GO_Biological_Process_2021	calcineurin-NFAT signaling cascade (GO:0033173)	3/11	5.348960e-02	9.999960e-01	0	0	4.260668e+00	1.247638e+01	NFAT5;PPP3CB;NFATC3
GO_Biological_Process_2021	mitochondrion morphogenesis (GO:0070584)	3/11	5.348960e-02	9.999960e-01	0	0	4.260668e+00	1.247638e+01	PNPT1;NUBPL;MTM1
GO_Biological_Process_2021	RNA polyadenylation (GO:0043631)	5/26	5.459085e-02	9.999960e-01	0	0	2.706619e+00	7.870549e+00	PNPT1;CSTF3;PAPOLA;CDC73;WDR33
GO_Biological_Process_2021	mRNA polyadenylation (GO:0006378)	5/26	5.459085e-02	9.999960e-01	0	0	2.706619e+00	7.870549e+00	PNPT1;CSTF3;PAPOLA;CDC73;WDR33
GO_Biological_Process_2021	mRNA cleavage (GO:0006379)	2/5	5.559139e-02	9.999960e-01	0	0	7.571899e+00	2.188072e+01	ERN1;CSTF3
GO_Biological_Process_2021	oxidative RNA demethylation (GO:0035513)	2/5	5.559139e-02	9.999960e-01	0	0	7.571899e+00	2.188072e+01	ALKBH5;ALKBH1
GO_Biological_Process_2021	calcineurin-mediated signaling (GO:0097720)	3/12	6.714908e-02	9.999960e-01	0	0	3.787054e+00	1.022823e+01	NFAT5;PPP3CB;NFATC3
GO_Biological_Process_2021	regulation of hippo signaling (GO:0035330)	4/20	7.315710e-02	9.999960e-01	0	0	2.840965e+00	7.429539e+00	SOX11;WTIP;MARK3;MOB3B
