Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	translation (GO:0006412)	37/214	2.0619980016266912e-23	3.381676722667773e-20	0	0	10.675319655069876	557.6336673192043	MRPS17;N6AMT1;RPL3;RPL34;MRPS11;RPL12;RPLP0;MRPL16;RPL10A;RPL9;RPS15;EEF1B2;RPS14;RPL7A;RPS19;RPS18;RPS3;RPS2;RPS11;RPL18;RPL17;RPL19;RPL41;RPS5;DHPS;MRPL27;MRPS18A;MRPL28;GATB;RPL13A;MRPS7;MRPL24;AIMP2;COPS5;PPA2;EEF1E1;UBA52
GO_Biological_Process_2021	peptide biosynthetic process (GO:0043043)	29/162	5.05337844753723e-19	4.1437703269805293e-16	0	0	10.930354236105728	460.4855466771639	MRPS17;RPL3;RPL34;MRPS11;RPL12;RPLP0;RPL10A;RPL9;RPS15;RPS14;RPL7A;RPS19;RPS18;RPS3;RPS2;RPS11;RPL18;RPL17;RPL19;RPL41;RPS5;DHPS;MRPL27;MRPS18A;MRPL28;RPL13A;MRPS7;MRPL24;COPS5
GO_Biological_Process_2021	cellular macromolecule biosynthetic process (GO:0034645)	38/314	1.9405270189515217e-18	1.0608214370268318e-15	0	0	7.013747084241521	286.04565975023115	MRPS17;RPL3;RNASEH2A;RPL34;MRPS11;RPL12;RPLP0;RPL10A;RPL9;RPS15;EEF1B2;TBRG1;RPS14;RPL7A;ORC6;RPS19;RPS18;POLR2C;RPS3;RPS2;RPS11;RPL18;POLR2I;RPL17;POLR2J;RPL19;POLR2L;RPL41;RFC3;RPS5;DHPS;MRPL27;MRPS18A;MRPL28;RPL13A;MRPS7;MRPL24;COPS5
GO_Biological_Process_2021	cytoplasmic translation (GO:0002181)	22/93	1.879693017098276e-17	7.706741370102931e-15	0	0	15.306257799964342	589.4874286612901	RPL41;RPL3;RPL34;RPS5;RPL12;RPLP0;RPL13A;RPL10A;RPL9;RPS15;RPL7A;RPS14;RPS19;RPS18;EIF3I;RPS3;RPS2;RPS11;RPL18;UBA52;RPL17;RPL19
GO_Biological_Process_2021	SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	21/90	1.3832297036035475e-16	4.5369934278196367e-14	0	0	14.9975845410628	547.6659002029631	RPL41;RPL3;RPL34;RPS5;RPL12;RPLP0;RPL13A;RPL10A;RPL9;RPS15;RPL7A;RPS14;RPS19;RPS18;RPS3;RPS2;RPS11;RPL18;UBA52;RPL17;RPL19
GO_Biological_Process_2021	rRNA processing (GO:0006364)	27/173	3.182528459244843e-16	8.411775509319149e-14	0	0	9.216701791359323	328.8858880155662	POP5;RPL3;RPL34;POP4;RPL12;RPLP0;MAK16;FCF1;RPL10A;RPL9;MRM2;RPS15;RPS14;RPL7A;EMG1;RPS19;RIOK2;RPS2;RPL18;RPL17;RPL19;RPL41;RPL13A;LSM6;MRTO4;NHP2;UBA52
GO_Biological_Process_2021	cotranslational protein targeting to membrane (GO:0006613)	21/94	3.590391985685002e-16	8.411775509319149e-14	0	0	14.172893316728931	504.0320237741258	RPL41;RPL3;RPL34;RPS5;RPL12;RPLP0;RPL13A;RPL10A;RPL9;RPS15;RPL7A;RPS14;RPS19;RPS18;RPS3;RPS2;RPS11;RPL18;UBA52;RPL17;RPL19
GO_Biological_Process_2021	gene expression (GO:0010467)	37/356	8.382845532804458e-16	1.7184833342249142e-13	0	0	5.879953803002805	204.1236197869325	MRPS17;RPL3;NXT1;RPL34;MRPS11;RPL12;RPLP0;RPL10A;RPL9;RPS15;RPS14;RPL7A;RPS19;RPS18;POLR2C;RPS3;NUP43;RPS2;RPS11;RPL18;POLR2I;RPL17;POLR2J;RPL19;POLR2L;RPL41;RPS5;DHPS;MRPL27;MRPS18A;MRPL28;RPL13A;MRPS7;MRPL24;MRPL44;COPS5;NUP35
GO_Biological_Process_2021	protein targeting to ER (GO:0045047)	21/103	2.5891611506354967e-15	4.718026985602461e-13	0	0	12.611511456023653	423.5884152584426	RPL41;RPL3;RPL34;RPS5;RPL12;RPLP0;RPL13A;RPL10A;RPL9;RPS15;RPS14;RPL7A;RPS19;RPS18;RPS3;RPS2;RPS11;RPL18;UBA52;RPL17;RPL19
GO_Biological_Process_2021	translational elongation (GO:0006414)	21/104	3.182865124055114e-15	5.219898803450387e-13	0	0	12.45892661555312	415.8913623416024	MRPS17;MRPS35;MRPS25;MRPS11;MRPL19;MRPL16;MRPL27;MRPS18A;MRPL17;MRPL28;MRPS10;MRPL58;MRPL12;MRPS7;MRPL24;MRPL44;EEF1B2;MRPL30;MRPL40;RACK1;AURKAIP1
GO_Biological_Process_2021	translational termination (GO:0006415)	20/96	7.747734961885356e-15	1.1551168488629076e-12	0	0	12.930531618719344	420.1307628578022	MRPS17;N6AMT1;MRPS35;MRPS25;MRPS11;MRPL19;MRPL16;MRPL27;MRPS10;MRPS18A;MRPL17;MRPL28;MRPL58;MRPS7;MRPL12;MRPL24;MRPL44;MRPL30;MRPL40;AURKAIP1
GO_Biological_Process_2021	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	21/113	1.8417542668027877e-14	2.517064164630476e-12	0	0	11.234930830039524	355.30999913517644	RPL41;RPL3;RPL34;RPS5;RPL12;RPLP0;RPL13A;RPL10A;RPL9;RPS15;RPS14;RPL7A;RPS19;RPS18;RPS3;RPS2;RPS11;RPL18;UBA52;RPL17;RPL19
GO_Biological_Process_2021	mitochondrial translational elongation (GO:0070125)	19/89	2.2866729243067006e-14	2.678673997044993e-12	0	0	13.307501794687724	417.97656695334297	MRPS17;MRPS35;MRPS25;MRPS11;MRPL19;MRPL16;MRPL27;MRPS10;MRPS18A;MRPL17;MRPL28;MRPL58;MRPS7;MRPL12;MRPL24;MRPL44;MRPL30;MRPL40;AURKAIP1
GO_Biological_Process_2021	mitochondrial translational termination (GO:0070126)	19/89	2.2866729243067006e-14	2.678673997044993e-12	0	0	13.307501794687724	417.97656695334297	MRPS17;MRPS35;MRPS25;MRPS11;MRPL19;MRPL16;MRPL27;MRPS10;MRPS18A;MRPL17;MRPL28;MRPL58;MRPS7;MRPL12;MRPL24;MRPL44;MRPL30;MRPL40;AURKAIP1
GO_Biological_Process_2021	ribosome biogenesis (GO:0042254)	26/192	3.7497297191749656e-14	4.099704492964628e-12	0	0	7.778048254398668	240.45453140256865	POP5;RPL3;RPL34;POP4;NIP7;RPL12;RPLP0;FCF1;RPL10A;RPL9;MRM2;RPS15;RPS14;RPL7A;EMG1;RPS19;RIOK2;RPS2;RPL18;RPL17;RPL19;RPL41;GTF3A;RPL13A;MRTO4;UBA52
