Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	translation (GO:0006412)	37/214	2.061998e-23	3.381677e-20	0	0	1.067532e+01	5.576337e+02	MRPS17;N6AMT1;RPL3;RPL34;MRPS11;RPL12;RPLP0;MRPL16;RPL10A;RPL9;RPS15;EEF1B2;RPS14;RPL7A;RPS19;RPS18;RPS3;RPS2;RPS11;RPL18;RPL17;RPL19;RPL41;RPS5;DHPS;MRPL27;MRPS18A;MRPL28;GATB;RPL13A;MRPS7;MRPL24;AIMP2;COPS5;PPA2;EEF1E1;UBA52
GO_Biological_Process_2021	peptide biosynthetic process (GO:0043043)	29/162	5.053378e-19	4.143770e-16	0	0	1.093035e+01	4.604855e+02	MRPS17;RPL3;RPL34;MRPS11;RPL12;RPLP0;RPL10A;RPL9;RPS15;RPS14;RPL7A;RPS19;RPS18;RPS3;RPS2;RPS11;RPL18;RPL17;RPL19;RPL41;RPS5;DHPS;MRPL27;MRPS18A;MRPL28;RPL13A;MRPS7;MRPL24;COPS5
GO_Biological_Process_2021	cellular macromolecule biosynthetic process (GO:0034645)	38/314	1.940527e-18	1.060821e-15	0	0	7.013747e+00	2.860457e+02	MRPS17;RPL3;RNASEH2A;RPL34;MRPS11;RPL12;RPLP0;RPL10A;RPL9;RPS15;EEF1B2;TBRG1;RPS14;RPL7A;ORC6;RPS19;RPS18;POLR2C;RPS3;RPS2;RPS11;RPL18;POLR2I;RPL17;POLR2J;RPL19;POLR2L;RPL41;RFC3;RPS5;DHPS;MRPL27;MRPS18A;MRPL28;RPL13A;MRPS7;MRPL24;COPS5
GO_Biological_Process_2021	cytoplasmic translation (GO:0002181)	22/93	1.879693e-17	7.706741e-15	0	0	1.530626e+01	5.894874e+02	RPL41;RPL3;RPL34;RPS5;RPL12;RPLP0;RPL13A;RPL10A;RPL9;RPS15;RPL7A;RPS14;RPS19;RPS18;EIF3I;RPS3;RPS2;RPS11;RPL18;UBA52;RPL17;RPL19
GO_Biological_Process_2021	SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	21/90	1.383230e-16	4.536993e-14	0	0	1.499758e+01	5.476659e+02	RPL41;RPL3;RPL34;RPS5;RPL12;RPLP0;RPL13A;RPL10A;RPL9;RPS15;RPL7A;RPS14;RPS19;RPS18;RPS3;RPS2;RPS11;RPL18;UBA52;RPL17;RPL19
GO_Biological_Process_2021	rRNA processing (GO:0006364)	27/173	3.182528e-16	8.411776e-14	0	0	9.216702e+00	3.288859e+02	POP5;RPL3;POP4;RPL34;RPL12;RPLP0;MAK16;FCF1;RPL10A;RPL9;MRM2;RPS15;RPS14;RPL7A;EMG1;RPS19;RIOK2;RPS2;RPL18;RPL17;RPL19;RPL41;RPL13A;LSM6;MRTO4;NHP2;UBA52
GO_Biological_Process_2021	cotranslational protein targeting to membrane (GO:0006613)	21/94	3.590392e-16	8.411776e-14	0	0	1.417289e+01	5.040320e+02	RPL41;RPL3;RPL34;RPS5;RPL12;RPLP0;RPL13A;RPL10A;RPL9;RPS15;RPL7A;RPS14;RPS19;RPS18;RPS3;RPS2;RPS11;RPL18;UBA52;RPL17;RPL19
GO_Biological_Process_2021	gene expression (GO:0010467)	37/356	8.382846e-16	1.718483e-13	0	0	5.879954e+00	2.041236e+02	MRPS17;RPL3;NXT1;RPL34;MRPS11;RPL12;RPLP0;RPL10A;RPL9;RPS15;RPS14;RPL7A;RPS19;RPS18;POLR2C;RPS3;NUP43;RPS2;RPS11;RPL18;POLR2I;RPL17;POLR2J;RPL19;POLR2L;RPL41;RPS5;DHPS;MRPL27;MRPS18A;MRPL28;RPL13A;MRPS7;MRPL24;MRPL44;COPS5;NUP35
GO_Biological_Process_2021	protein targeting to ER (GO:0045047)	21/103	2.589161e-15	4.718027e-13	0	0	1.261151e+01	4.235884e+02	RPL41;RPL3;RPL34;RPS5;RPL12;RPLP0;RPL13A;RPL10A;RPL9;RPS15;RPS14;RPL7A;RPS19;RPS18;RPS3;RPS2;RPS11;RPL18;UBA52;RPL17;RPL19
GO_Biological_Process_2021	translational elongation (GO:0006414)	21/104	3.182865e-15	5.219899e-13	0	0	1.245893e+01	4.158914e+02	MRPS17;MRPS35;MRPS25;MRPS11;MRPL19;MRPL16;MRPL27;MRPS18A;MRPL17;MRPL28;MRPS10;MRPL58;MRPL12;MRPS7;MRPL24;MRPL44;EEF1B2;MRPL30;MRPL40;RACK1;AURKAIP1
GO_Biological_Process_2021	translational termination (GO:0006415)	20/96	7.747735e-15	1.155117e-12	0	0	1.293053e+01	4.201308e+02	MRPS17;N6AMT1;MRPS35;MRPS25;MRPS11;MRPL19;MRPL16;MRPL27;MRPS10;MRPS18A;MRPL17;MRPL28;MRPL58;MRPS7;MRPL12;MRPL24;MRPL44;MRPL30;MRPL40;AURKAIP1
GO_Biological_Process_2021	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	21/113	1.841754e-14	2.517064e-12	0	0	1.123493e+01	3.553100e+02	RPL41;RPL3;RPL34;RPS5;RPL12;RPLP0;RPL13A;RPL10A;RPL9;RPS15;RPS14;RPL7A;RPS19;RPS18;RPS3;RPS2;RPS11;RPL18;UBA52;RPL17;RPL19
GO_Biological_Process_2021	mitochondrial translational elongation (GO:0070125)	19/89	2.286673e-14	2.678674e-12	0	0	1.330750e+01	4.179766e+02	MRPS17;MRPS35;MRPS25;MRPS11;MRPL19;MRPL16;MRPL27;MRPS10;MRPS18A;MRPL17;MRPL28;MRPL58;MRPS7;MRPL12;MRPL24;MRPL44;MRPL30;MRPL40;AURKAIP1
GO_Biological_Process_2021	mitochondrial translational termination (GO:0070126)	19/89	2.286673e-14	2.678674e-12	0	0	1.330750e+01	4.179766e+02	MRPS17;MRPS35;MRPS25;MRPS11;MRPL19;MRPL16;MRPL27;MRPS10;MRPS18A;MRPL17;MRPL28;MRPL58;MRPS7;MRPL12;MRPL24;MRPL44;MRPL30;MRPL40;AURKAIP1
GO_Biological_Process_2021	ribosome biogenesis (GO:0042254)	26/192	3.749730e-14	4.099704e-12	0	0	7.778048e+00	2.404545e+02	POP5;RPL3;POP4;RPL34;NIP7;RPL12;RPLP0;FCF1;RPL10A;RPL9;MRM2;RPS15;RPS14;RPL7A;EMG1;RPS19;RIOK2;RPS2;RPL18;RPL17;RPL19;RPL41;GTF3A;RPL13A;MRTO4;UBA52
GO_Biological_Process_2021	mitochondrial translation (GO:0032543)	20/105	4.761640e-14	4.880681e-12	0	0	1.155608e+01	3.544898e+02	MRPS17;MRPS35;MRPS25;MRPS11;MRPL19;MRPL16;MRPL27;MRPS18A;MRPL17;MRPL28;MRPS10;GATB;MRPL58;MRPL12;MRPS7;MRPL24;MRPL44;MRPL30;MRPL40;AURKAIP1
GO_Biological_Process_2021	rRNA metabolic process (GO:0016072)	23/162	4.148120e-13	4.001716e-11	0	0	8.165869e+00	2.328167e+02	POP5;RPL41;RPL3;POP4;RPL34;RPL12;RPLP0;FCF1;RPL13A;RPL10A;RPL9;MRM2;RPS15;RPS14;RPL7A;EMG1;RPS19;MRTO4;RPS2;RPL18;UBA52;RPL17;RPL19
GO_Biological_Process_2021	nuclear-transcribed mRNA catabolic process (GO:0000956)	23/171	1.325916e-12	1.208057e-10	0	0	7.665746e+00	2.096499e+02	RPL41;RPL3;RPL34;RPS5;RPL12;RPLP0;LSM1;RPL13A;RPL10A;RPL9;RPS15;RPS14;RPL7A;RPS19;RPS18;MRTO4;RPS3;RPS2;RPS11;RPL18;UBA52;RPL17;RPL19
GO_Biological_Process_2021	cellular protein metabolic process (GO:0044267)	35/417	2.902075e-12	2.504949e-10	0	0	4.605377e+00	1.223446e+02	MRPS17;RPL3;RPL34;RPL12;MRPS11;RPLP0;ARAF;RPL10A;RPL9;RPS15;PCMT1;DUSP12;RPL7A;RPS14;RPS19;RPS18;RPS3;TMEM208;RPS2;RPL18;RPS11;RPL17;RPL19;RPL41;RPS5;SFTPC;DHPS;MRPL27;MRPL28;RPL13A;MRPS18A;MRPS7;MRPL24;COPS5;UBA52
GO_Biological_Process_2021	ncRNA processing (GO:0034470)	24/201	5.844985e-12	4.792888e-10	0	0	6.695476e+00	1.731814e+02	POP5;RPL41;RPL3;POP4;RPL34;RPL12;RPLP0;FCF1;RPL13A;RPL10A;RPL9;MRM2;MRPL44;RPS15;RPS14;RPL7A;EMG1;RPS19;MRTO4;RPS2;RPL18;UBA52;RPL17;RPL19
GO_Biological_Process_2021	aerobic electron transport chain (GO:0019646)	13/70	1.888011e-09	1.474446e-07	0	0	1.102302e+01	2.214275e+02	NDUFA9;NDUFA8;NDUFB8;NDUFB7;NDUFA11;NDUFB10;UQCR11;SDHD;COX6A1;COX6B1;COX7A2L;NDUFS8;NDUFS6
GO_Biological_Process_2021	mitochondrial ATP synthesis coupled electron transport (GO:0042775)	13/71	2.267959e-09	1.690660e-07	0	0	1.083241e+01	2.156124e+02	NDUFA9;NDUFA8;NDUFB8;NDUFB7;NDUFA11;NDUFB10;UQCR11;SDHD;COX6A1;COX6B1;COX7A2L;NDUFS8;NDUFS6
GO_Biological_Process_2021	mitochondrial respiratory chain complex assembly (GO:0033108)	13/90	4.481985e-08	3.195850e-06	0	0	8.151537e+00	1.379290e+02	NDUFA9;COX19;NDUFA8;NDUFB8;SURF1;NDUFB7;NDUFA11;NDUFB10;NDUFAF8;NDUFS8;NDUFS6;COX14;SMIM20
GO_Biological_Process_2021	ribosomal small subunit biogenesis (GO:0042274)	9/40	1.053807e-07	7.201016e-06	0	0	1.391271e+01	2.235173e+02	RPS15;RPS14;EMG1;LSM6;RPS19;MRPS11;RPS5;RIOK2;MRPS7
GO_Biological_Process_2021	mitochondrion organization (GO:0007005)	17/175	1.615981e-07	1.060084e-05	0	0	5.225079e+00	8.171059e+01	BCAP31;BNIP3L;FIS1;PTCD2;MTX2;AIP;CHCHD10;HIGD1A;MFF;HIGD1B;HSD17B10;SIRT3;PRDX3;CHCHD2;COX7A2L;HAX1;TIMM17B
GO_Biological_Process_2021	ribosome assembly (GO:0042255)	9/50	8.030194e-07	4.903536e-05	0	0	1.051399e+01	1.475626e+02	RPS15;RPS14;RPL3;RPS19;MRPS11;RPS5;RPLP0;MPV17L2;MRPS7
GO_Biological_Process_2021	ribosomal small subunit assembly (GO:0000028)	6/17	8.072894e-07	4.903536e-05	0	0	2.597478e+01	3.644154e+02	RPS15;RPS14;RPS19;MRPS11;RPS5;MRPS7
GO_Biological_Process_2021	mitochondrial electron transport, NADH to ubiquinone (GO:0006120)	8/39	1.166179e-06	6.830479e-05	0	0	1.233662e+01	1.685402e+02	NDUFA9;NDUFA8;NDUFB8;NDUFB7;NDUFS8;NDUFA11;NDUFB10;NDUFS6
GO_Biological_Process_2021	anaphase-promoting complex-dependent catabolic process (GO:0031145)	11/84	1.344906e-06	7.605678e-05	0	0	7.241042e+00	9.789299e+01	PSMD8;PSMA5;PSMD10;PSMB6;CCNB1;ANAPC16;PSMA2;PSMC2;UBA52;PSMB10;ANAPC11
GO_Biological_Process_2021	protein targeting to mitochondrion (GO:0006626)	9/55	1.858709e-06	1.016094e-04	0	0	9.368766e+00	1.236268e+02	BCAP31;FIS1;GRPEL1;AIP;DNLZ;PMPCB;TIMM17B;MFF;TOMM40L
GO_Biological_Process_2021	mitochondrial gene expression (GO:0140053)	8/42	2.118171e-06	1.120581e-04	0	0	1.124637e+01	1.469333e+02	MRPS17;MRPS11;MRPL16;GATB;MRPS18A;MRPL12;MRPS7;TEFM
GO_Biological_Process_2021	ribosomal large subunit biogenesis (GO:0042273)	9/57	2.534854e-06	1.299112e-04	0	0	8.977482e+00	1.156782e+02	RPL7A;RPL3;NIP7;RPLP0;MRTO4;MAK16;GTF3A;NHP2;RPL10A
GO_Biological_Process_2021	transcription-coupled nucleotide-excision repair (GO:0006283)	10/73	2.684473e-06	1.334102e-04	0	0	7.612808e+00	9.765729e+01	COPS4;COPS3;RFC3;PCNA;COPS5;POLR2C;POLR2I;UBA52;POLR2J;POLR2L
GO_Biological_Process_2021	mitochondrial respiratory chain complex I assembly (GO:0032981)	9/58	2.945748e-06	1.380294e-04	0	0	8.793818e+00	1.119906e+02	NDUFA9;NDUFA8;NDUFB8;NDUFAF8;NDUFS8;NDUFB7;NDUFA11;NDUFB10;NDUFS6
GO_Biological_Process_2021	NADH dehydrogenase complex assembly (GO:0010257)	9/58	2.945748e-06	1.380294e-04	0	0	8.793818e+00	1.119906e+02	NDUFA9;NDUFA8;NDUFB8;NDUFAF8;NDUFS8;NDUFB7;NDUFA11;NDUFB10;NDUFS6
GO_Biological_Process_2021	DNA-dependent DNA replication (GO:0006261)	13/129	3.081031e-06	1.403581e-04	0	0	5.400115e+00	6.852879e+01	PSMD10;RPAIN;RFC3;GINS4;PSMB10;PSMD8;PSMA5;PSMB6;ORC6;PSMA2;PSMC2;UBA52;TEFM
GO_Biological_Process_2021	aerobic respiration (GO:0009060)	6/21	3.297758e-06	1.461709e-04	0	0	1.904428e+01	2.403820e+02	SURF1;NDUFS8;BLOC1S1;SDHB;SLC25A14;SIRT3
GO_Biological_Process_2021	establishment of protein localization to mitochondrion (GO:0072655)	8/48	6.070815e-06	2.620036e-04	0	0	9.556479e+00	1.147926e+02	BCAP31;FIS1;GRPEL1;AIP;DNLZ;TIMM17B;MFF;TOMM40L
GO_Biological_Process_2021	pre-replicative complex assembly (GO:0036388)	9/64	6.822752e-06	2.869055e-04	0	0	7.832086e+00	9.316460e+01	PSMD8;PSMA5;PSMD10;PSMB6;ORC6;PSMA2;PSMC2;UBA52;PSMB10
GO_Biological_Process_2021	regulation of cellular amine metabolic process (GO:0033238)	8/51	9.700020e-06	3.977008e-04	0	0	8.888383e+00	1.026020e+02	PSMD8;PSMA5;PSMD10;PSMB6;PSMA2;PSMC2;OAZ1;PSMB10
GO_Biological_Process_2021	regulation of cellular amino acid metabolic process (GO:0006521)	8/54	1.500822e-05	6.003289e-04	0	0	8.307431e+00	9.226990e+01	PSMD8;PSMA5;PSMD10;PSMB6;PSMA2;PSMC2;OAZ1;PSMB10
GO_Biological_Process_2021	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process (GO:0031146)	10/89	1.633824e-05	6.379692e-04	0	0	6.065997e+00	6.685943e+01	PSMD8;PSMA5;PSMD10;PSMB6;PSMA2;PSMC2;FBXO6;FBXL15;PSMB10;FBXO9
GO_Biological_Process_2021	cellular response to hypoxia (GO:0071456)	12/131	1.956868e-05	7.463405e-04	0	0	4.846312e+00	5.254168e+01	PSMD8;PSMD10;PSMA5;PSMB6;BNIP3L;PSMA2;BAD;HILPDA;PSMC2;HIGD1A;UBA52;PSMB10
GO_Biological_Process_2021	regulation of transcription from RNA polymerase II promoter in response to hypoxia (GO:0061418)	9/75	2.542540e-05	9.476741e-04	0	0	6.523061e+00	6.901244e+01	PSMD8;PSMA5;PSMD10;PSMB6;PSMA2;PSMC2;HIGD1A;UBA52;PSMB10
GO_Biological_Process_2021	ribonucleoprotein complex assembly (GO:0022618)	12/136	2.849371e-05	1.036040e-03	0	0	4.649701e+00	4.866297e+01	RPS15;RPS14;RPL3;RPS19;RPS5;MRPS11;RPLP0;SNRPG;GEMIN6;GEMIN7;TXNL4A;MRPS7
GO_Biological_Process_2021	regulation of cell cycle phase transition (GO:1901987)	10/95	2.905966e-05	1.036040e-03	0	0	5.636075e+00	5.887533e+01	PSMD8;PSMA5;PSMD10;PSMB6;CCNB1;ANAPC16;PSMA2;PSMC2;PSMB10;ANAPC11
GO_Biological_Process_2021	regulation of mitotic cell cycle phase transition (GO:1901990)	14/188	4.234026e-05	1.477405e-03	0	0	3.875046e+00	3.902083e+01	PSMD10;ANAPC16;SSNA1;DCTN3;PSMB10;ANAPC11;PSMD8;PSMA5;PSMB6;CCNB1;PSMA2;PSMC2;RIOK2;UBA52
GO_Biological_Process_2021	regulation of cellular ketone metabolic process (GO:0010565)	8/64	5.324357e-05	1.819155e-03	0	0	6.820468e+00	6.711773e+01	PSMD8;PSMA5;PSMD10;PSMB6;PSMA2;PSMC2;OAZ1;PSMB10
GO_Biological_Process_2021	nucleotide-excision repair (GO:0006289)	10/105	6.897973e-05	2.308709e-03	0	0	5.040217e+00	4.829384e+01	COPS4;COPS3;RFC3;COPS5;PCNA;POLR2C;POLR2I;UBA52;POLR2J;POLR2L
GO_Biological_Process_2021	regulation of transcription from RNA polymerase II promoter in response to stress (GO:0043618)	9/87	8.334524e-05	2.733724e-03	0	0	5.516120e+00	5.181026e+01	PSMD8;PSMA5;PSMD10;PSMB6;PSMA2;PSMC2;HIGD1A;UBA52;PSMB10
GO_Biological_Process_2021	iron-sulfur cluster assembly (GO:0016226)	5/24	1.178676e-04	3.790252e-03	0	0	1.249617e+01	1.130397e+02	ISCA2;GLRX3;LYRM4;CIAO2B;FXN
GO_Biological_Process_2021	mitochondrial transport (GO:0006839)	7/56	1.565490e-04	4.937314e-03	0	0	6.806272e+00	5.963752e+01	BCAP31;FIS1;BAD;MTX2;AIP;TIMM17B;MFF
GO_Biological_Process_2021	positive regulation of intrinsic apoptotic signaling pathway (GO:2001244)	6/40	1.668848e-04	5.163983e-03	0	0	8.393731e+00	7.301041e+01	BCAP31;FIS1;BAD;RACK1;RPS3;SOD1
GO_Biological_Process_2021	negative regulation of cell cycle G2/M phase transition (GO:1902750)	7/57	1.753061e-04	5.255781e-03	0	0	6.669805e+00	5.768699e+01	PSMD8;PSMA5;PSMD10;PSMB6;PSMA2;PSMC2;PSMB10
GO_Biological_Process_2021	maturation of LSU-rRNA (GO:0000470)	5/26	1.762609e-04	5.255781e-03	0	0	1.130490e+01	9.771442e+01	RPL7A;RPL7L1;MAK16;NHP2;RPL10A
GO_Biological_Process_2021	tRNA 5'-end processing (GO:0099116)	4/15	2.118739e-04	6.204879e-03	0	0	1.723267e+01	1.457801e+02	POP5;POP4;RPP14;HSD17B10
GO_Biological_Process_2021	cellular respiration (GO:0045333)	6/42	2.202062e-04	6.335756e-03	0	0	7.926602e+00	6.674949e+01	SURF1;NDUFS8;BLOC1S1;SDHB;SLC25A14;SIRT3
