Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	chronic inflammatory response (GO:0002544)	1/5	1.392308e-02	1.785055e-01	0	0	9.063636e+01	3.873986e+02	CXCL13
GO_Biological_Process_2021	B cell chemotaxis (GO:0035754)	1/6	1.668477e-02	1.785055e-01	0	0	7.250545e+01	2.967836e+02	CXCL13
GO_Biological_Process_2021	positive regulation of cell-cell adhesion mediated by integrin (GO:0033634)	1/6	1.668477e-02	1.785055e-01	0	0	7.250545e+01	2.967836e+02	CXCL13
GO_Biological_Process_2021	positive regulation of respiratory burst (GO:0060267)	1/7	1.943887e-02	1.785055e-01	0	0	6.041818e+01	2.380767e+02	JCHAIN
GO_Biological_Process_2021	regulation of endothelial cell chemotaxis to fibroblast growth factor (GO:2000544)	1/7	1.943887e-02	1.785055e-01	0	0	6.041818e+01	2.380767e+02	CXCL13
GO_Biological_Process_2021	integrin activation (GO:0033622)	1/8	2.218539e-02	1.785055e-01	0	0	5.178442e+01	1.972117e+02	MZB1
GO_Biological_Process_2021	regulation of respiratory burst (GO:0060263)	1/9	2.492436e-02	1.785055e-01	0	0	4.530909e+01	1.672771e+02	JCHAIN
GO_Biological_Process_2021	glomerular filtration (GO:0003094)	1/9	2.492436e-02	1.785055e-01	0	0	4.530909e+01	1.672771e+02	JCHAIN
GO_Biological_Process_2021	endothelial cell chemotaxis (GO:0035767)	1/9	2.492436e-02	1.785055e-01	0	0	4.530909e+01	1.672771e+02	CXCL13
GO_Biological_Process_2021	renal filtration (GO:0097205)	1/10	2.765579e-02	1.785055e-01	0	0	4.027273e+01	1.444953e+02	JCHAIN
GO_Biological_Process_2021	regulation of cell-cell adhesion mediated by integrin (GO:0033632)	1/10	2.765579e-02	1.785055e-01	0	0	4.027273e+01	1.444953e+02	CXCL13
GO_Biological_Process_2021	positive regulation of integrin activation (GO:0033625)	1/11	3.037970e-02	1.797466e-01	0	0	3.624364e+01	1.266346e+02	CXCL13
GO_Biological_Process_2021	positive regulation of T cell chemotaxis (GO:0010820)	1/14	3.850657e-02	1.950163e-01	0	0	2.787552e+01	9.078853e+01	CXCL13
GO_Biological_Process_2021	regulation of integrin activation (GO:0033623)	1/15	4.120063e-02	1.950163e-01	0	0	2.588312e+01	8.254907e+01	CXCL13
GO_Biological_Process_2021	regulation of T cell chemotaxis (GO:0010819)	1/15	4.120063e-02	1.950163e-01	0	0	2.588312e+01	8.254907e+01	CXCL13
GO_Biological_Process_2021	positive regulation of lymphocyte chemotaxis (GO:0140131)	1/18	4.923840e-02	2.047282e-01	0	0	2.131230e+01	6.417307e+01	CXCL13
GO_Biological_Process_2021	positive regulation of cell adhesion mediated by integrin (GO:0033630)	1/18	4.923840e-02	2.047282e-01	0	0	2.131230e+01	6.417307e+01	CXCL13
GO_Biological_Process_2021	regulation of lymphocyte proliferation (GO:0050670)	1/19	5.190293e-02	2.047282e-01	0	0	2.012727e+01	5.954412e+01	MZB1
GO_Biological_Process_2021	positive regulation of T cell migration (GO:2000406)	1/25	6.773675e-02	2.438397e-01	0	0	1.509091e+01	4.062664e+01	CXCL13
GO_Biological_Process_2021	regulation of vasculature development (GO:1901342)	1/27	7.295675e-02	2.438397e-01	0	0	1.392867e+01	3.646371e+01	CXCL13
GO_Biological_Process_2021	regulation of B cell activation (GO:0050864)	1/28	7.555597e-02	2.438397e-01	0	0	1.341212e+01	3.464192e+01	MZB1
GO_Biological_Process_2021	regulation of immunoglobulin production (GO:0002637)	1/28	7.555597e-02	2.438397e-01	0	0	1.341212e+01	3.464192e+01	MZB1
GO_Biological_Process_2021	B cell proliferation (GO:0042100)	1/32	8.588149e-02	2.476620e-01	0	0	1.167918e+01	2.866990e+01	CD79A
GO_Biological_Process_2021	defense response to bacterium (GO:0042742)	2/176	8.713023e-02	2.476620e-01	0	0	4.208174e+00	1.026942e+01	CXCL13;JCHAIN
GO_Biological_Process_2021	B cell receptor signaling pathway (GO:0050853)	1/34	9.100168e-02	2.476620e-01	0	0	1.097025e+01	2.629434e+01	CD79A
GO_Biological_Process_2021	positive regulation of immunoglobulin production (GO:0002639)	1/35	9.355121e-02	2.476620e-01	0	0	1.064706e+01	2.522550e+01	MZB1
GO_Biological_Process_2021	retina homeostasis (GO:0001895)	1/36	9.609371e-02	2.476620e-01	0	0	1.034234e+01	2.422622e+01	JCHAIN
GO_Biological_Process_2021	lymphocyte proliferation (GO:0046651)	1/38	1.011577e-01	2.476620e-01	0	0	9.782310e+00	2.241200e+01	CD79A
