Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	L-amino acid transport (GO:0015807)	14/28	2.606845481054587e-06	0.0088582492676118	0	0	6.708220764183713	86.250074364528	SLC36A1;SLC1A3;CTNS;SLC1A4;SLC3A2;SLC1A6;SLC7A3;SLC7A8;SFXN1;SLC38A3;SLC25A12;SLC38A2;SLC25A22;SLC38A5
GO_Biological_Process_2021	vascular transport (GO:0010232)	27/84	4.4665792385547016e-06	0.0088582492676118	0	0	3.1857008697072398	39.24429130216522	SLC27A1;SLC22A5;SLC2A1;ATP2A3;SLC1A3;SLC2A3;SLC1A4;LRP3;SLC4A3;SLC6A1;SLC7A3;SLC38A3;SLC38A2;SLC19A1;SLC38A5;MFSD2A;ABCA2;SLC16A1;SLC2A10;ABCC5;ATP1B2;SLC5A6;SLC7A8;SLC6A9;SLC22A8;SLC27A4;SLC29A2
GO_Biological_Process_2021	endomembrane system organization (GO:0010256)	49/199	6.151190270693873e-06	0.0088582492676118	0	0	2.2039775691184142	26.445229215529263	WASHC5;GOLGA2;RNF112;SEC61A1;SMPD4;TRAPPC12;TRAPPC11;VPS18;BCAS3;SUN1;COG7;FBXW8;COG4;COG3;VPS33B;COG2;COG1;CSNK1D;SYP;NUP93;GAK;CTDNEP1;TBC1D20;GORASP2;ZW10;ARHGEF7;OBSL1;OPTN;CUL7;ATL2;SNX33;DNAJC28;SYNGR1;ALS2CL;LMAN2;VPS11;DYM;SEC31A;FER1L5;HACE1;SURF4;OSBPL2;DNAJC13;TJAP1;NPLOC4;HOOK2;REEP4;DOP1B;REEP6
GO_Biological_Process_2021	transport across blood-brain barrier (GO:0150104)	27/86	7.337543398311766e-06	0.0088582492676118	0	0	3.077355984799674	36.38206100458692	SLC27A1;SLC22A5;SLC2A1;ATP2A3;SLC1A3;SLC2A3;SLC1A4;LRP3;SLC4A3;SLC6A1;SLC7A3;SLC38A3;SLC38A2;SLC19A1;SLC38A5;MFSD2A;ABCA2;SLC16A1;SLC2A10;ABCC5;ATP1B2;SLC5A6;SLC7A8;SLC6A9;SLC22A8;SLC27A4;SLC29A2
GO_Biological_Process_2021	anion transmembrane transport (GO:0098656)	22/67	2.29724717041404e-05	0.0221868131718587	0	0	3.283864584677593	35.075660183198366	SLC35A2;SLC35A1;SLC27A1;SLC35B4;ABCC5;SLC35C2;SLC1A3;SLC3A2;SLC1A6;MFSD12;SLC7A3;SLC5A6;SLC6A8;SLC7A8;SLC6A9;SFXN3;LRRC8A;SFXN1;SLC25A12;SLC25A22;SLC19A1;SLC38A5
GO_Biological_Process_2021	serine transport (GO:0032329)	6/7	3.021772104148892e-05	0.0243202291515583	0	0	40.15544440169296	417.901003286333	SFXN3;SFXN1;SLC1A4;SLC7A10;SLC38A2;SLC38A5
GO_Biological_Process_2021	macroautophagy (GO:0016236)	32/120	4.629494381539477e-05	0.0319368976692201	0	0	2.445959792248172	24.41184742502625	ILRUN;MTMR3;PIK3R4;AMBRA1;MFN2;VPS36;ATG7;VPS39;VPS16;ATG3;UVRAG;PRKAB2;VPS33A;VPS33B;VPS37C;WIPI1;STAM;VPS37B;WIPI2;ATG13;LIX1;HGS;NBR1;ULK3;PLEKHM1;ATG4B;ULK1;VDAC1;PIK3C3;ATP13A2;VIPAS39;TECPR1
GO_Biological_Process_2021	alpha-linolenic acid metabolic process (GO:0036109)	8/13	5.730606371728828e-05	0.0345913727113481	0	0	10.713900654601463	104.64378317989566	ELOVL1;FADS2;ACSL1;ACOX1;ELOVL2;HSD17B4;ABCD1;FADS1
GO_Biological_Process_2021	neutral amino acid transport (GO:0015804)	12/28	9.34344085223316e-05	0.0501327509727043	0	0	5.026706517547242	46.63904417483672	SLC36A1;SLC6A7;SLC43A2;SLC6A9;SLC7A8;CTNS;SLC1A4;SLC3A2;SLC7A10;SLC38A3;SLC38A2;SLC38A5
GO_Biological_Process_2021	regulation of cellular catabolic process (GO:0031329)	20/65	0.0001481573027408554	0.0703137812769495	0	0	2.9830217064259616	26.302006355636404	USP13;OSBPL7;MTMR3;USP10;USP33;WDR41;KEAP1;PIK3R2;MTMR4;WDR24;C9ORF72;HDAC6;RRAGA;WDR91;PSAP;LONP2;GPR137;PIP4K2C;ABCD1;DCAF12
GO_Biological_Process_2021	regulation of cell cycle process (GO:0010564)	28/106	0.00016016806669008998	0.0703137812769495	0	0	2.412246400604957	21.0813133134259	CUL9;L3MBTL1;CUL7;SETD2;PIK3R4;CCP110;PKMYT1;USP19;AURKA;FLCN;GPER1;NEK2;E4F1;ENTR1;GIT1;UVRAG;DYNC1H1;SPAG5;PLK1;KLHL21;MYO19;SND1;PRC1;CTNNB1;PIK3C3;KIF20A;OBSL1;MAD1L1
GO_Biological_Process_2021	cation transmembrane transport (GO:0098655)	15/44	0.0002821825095403822	0.1135549448808754	0	0	3.468113433630675	28.34474022810404	SLC22A5;KCNJ11;ABCC8;SLC3A2;PKD2L1;MFSD12;SLC7A3;TRPM2;SLC6A9;SLC7A8;SFXN3;ATP13A2;SFXN1;ASIC2;SLC38A5
GO_Biological_Process_2021	organic acid transport (GO:0015849)	26/100	0.0003539409413088302	0.1236363979562793	0	0	2.359735074353144	18.75135275926265	SLC27A1;SLC46A1;SLC26A1;SLC43A2;SLC1A4;SLC3A2;SLC7A10;SLC7A3;RXRA;SLC38A3;SLC38A2;SLC19A1;SLC38A5;MFSD2A;SLC36A1;SLC16A1;ACSL1;GOT2;SLC5A6;SLC7A4;CEACAM1;SLC7A8;SLC26A8;SLC26A6;SLC27A4;PPARD
GO_Biological_Process_2021	amino acid transmembrane transport (GO:0003333)	15/45	0.0003727821321137959	0.1236363979562793	0	0	3.3523166023166024	26.464918412348265	SLC36A1;SLC38A10;SLC3A2;SLC1A6;SLC7A10;MFSD12;SLC7A8;SLC38A7;SFXN3;SFXN1;SLC38A3;SLC25A12;SLC38A2;SLC25A22;SLC38A5
GO_Biological_Process_2021	JNK cascade (GO:0007254)	14/41	0.0004386895493370232	0.1236363979562793	0	0	3.475735094415141	26.873405580721712	MAP4K2;TNFRSF19;GPS2;NOD1;CRKL;MAPK10;IRAK1;IRAK2;UBC;IKBKG;TAB1;MAP3K7;MAP3K11;MAP3K12
GO_Biological_Process_2021	nucleobase-containing compound catabolic process (GO:0034655)	14/41	0.0004386895493370232	0.1236363979562793	0	0	3.475735094415141	26.873405580721712	DFFB;ENTPD2;NCBP1;ENTPD4;ENTPD5;PABPC4;ENTPD6;SND1;SUPV3L1;PPP1R8;SKIV2L;DNASE1;NUDT15;DNASE1L2
GO_Biological_Process_2021	protein localization to lysosome (GO:0061462)	11/28	0.00045634343288155726	0.1236363979562793	0	0	4.334845117692413	33.344776900831484	AP4M1;AP3M1;SZT2;LMBRD1;HGS;NCOA4;M6PR;SH3BP4;MFSD1;ATP13A2;NAGPA
GO_Biological_Process_2021	microtubule nucleation (GO:0007020)	9/20	0.0004608521770994054	0.1236363979562793	0	0	5.478918616052669	42.091426404488416	GOLGA2;TPX2;CCDC57;TUBGCP2;NDE1;CSNK1D;TUBGCP3;TUBGCP4;TPPP
GO_Biological_Process_2021	very long-chain fatty acid catabolic process (GO:0042760)	5/7	0.0006240289059347604	0.15340138084161	0	0	16.724038461538463	123.41192893238112	ABCD4;ACOX1;SLC27A2;ABCD1;SLC27A4
GO_Biological_Process_2021	long-chain fatty acid import into cell (GO:0044539)	6/10	0.0006372894531656005	0.15340138084161	0	0	10.037129665255868	73.85607676876985	SLC27A1;ACSL1;SLC2A1;ACSL3;SLC27A2;SLC27A4
GO_Biological_Process_2021	stress-activated MAPK cascade (GO:0051403)	18/62	0.0006832864334755358	0.15340138084161	0	0	2.743771304072812	19.998241678903533	MAP2K3;MAP4K2;TNFRSF19;GPS2;NOD1;CRKL;IKBKB;MAPK10;IRAK1;IRAK2;UBC;IKBKG;TAB1;BTRC;MAP3K7;MAP3K11;MAPK3;MAP3K12
GO_Biological_Process_2021	organelle organization (GO:0006996)	78/420	0.0007064292372169676	0.15340138084161	0	0	1.539090107540319	11.166541250150404	ABCD4;ALAS1;LIMD1;GOLGA2;RNF112;SEC61A1;SMPD4;LONP1;TRAPPC12;LONP2;TRAPPC11;KIFAP3;ABCD1;GABPA;VPS18;BCAS3;CLUH;COG7;FBXW8;COG4;VPS13D;COG3;TWNK;COG2;COG1;ARAP3;CSNK1D;POLRMT;PPRC1;ATAD3A;GAK;TBC1D20;BIN1;GORASP2;ZW10;WDPCP;FAM161B;ARHGEF7;OBSL1;CHMP7;OPTN;CUL7;SAR1A;ATL2;CDCA8;AFG1L;MIEF2;FITM2;NRF1;FGD1;DNAJC28;PLD2;NCKIPSD;STRIP1;RHOT2;FGD5;LMAN2;MICAL1;VPS11;DYM;PAK6;SEC31A;PAK4;HACE1;NOS3;SURF4;MICAL3;CDC42BPB;MCOLN1;PEX12;FANCG;TJAP1;DIAPH1;NPLOC4;DOP1B;PNPLA3;REEP6;RAB3GAP1
GO_Biological_Process_2021	endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888)	40/185	0.0007761091328764351	0.15340138084161	0	0	1.8552127445049404	13.285581809876325	COPA;SAR1A;KDELR1;DCTN1;CUL3;GOSR2;ATL2;PROZ;TGFA;KLHL12;TEX261;GOLGA2;ACTR1A;LMAN2;TRAPPC12;VTI1A;TRAPPC11;SPTAN1;YKT6;DYNC1I1;SEC31A;DYNC1H1;COG8;SEC24B;COG7;COG6;COG4;COG3;COG2;COG1;ARFGAP3;DYNC1LI1;DYNC1LI2;TBC1D20;ZW10;COL7A1;HYOU1;COPG1;CNIH3;SEC24C
GO_Biological_Process_2021	ion transport (GO:0006811)	28/116	0.0007845605283742361	0.15340138084161	0	0	2.1368927928881365	15.27961009068621	SLC26A1;SLC20A2;TMEM63C;SLC20A1;SLC1A3;PKD2L1;SLC1A6;SLC9A1;LASP1;KCNN1;ANO10;SLC17A6;SLC26A11;LRRC8A;KCNN3;SLC15A4;SLC25A22;CHRNB2;SLC36A1;SLC12A4;CTNS;MCOLN1;SLC8B1;SLC9A8;SLC9A9;SLC26A8;VDAC1;SLC26A6
GO_Biological_Process_2021	histone lysine methylation (GO:0034968)	12/34	0.0007941674303251712	0.15340138084161	0	0	3.6545244188900186	26.086785591187645	PAXIP1;SETDB1;RBBP5;WDR82;SETD6;SUV39H1;EHMT2;KMT2B;CXXC1;WDR5;SMYD3;MEN1
GO_Biological_Process_2021	negative regulation of cell activation (GO:0050866)	7/14	0.0009362840947692	0.1738967651400179	0	0	6.69284064665127	46.67313736373524	THBD;NOS3;GPER1;PDGFB;PDGFA;NR1D1;LDLR
GO_Biological_Process_2021	protein ubiquitination (GO:0016567)	93/525	0.0011452058411199	0.183608712497387	0	0	1.4537248982661004	9.844873429717028	RNF10;LRSAM1;FBH1;CCNF;KEAP1;UBE3B;FBXO21;UBE2Z;RNF157;RNF112;NUB1;CDC23;RUSC1;PSMD2;TRIM3;TRIM68;ARIH2;PSMD1;TRIM26;TRIM27;BTRC;UNKL;VPS18;ATG3;AREL1;NHLRC3;FBXW8;USP5;UBE4B;FBXO10;RNF40;DDB1;TRAF7;RRAGA;TRIM17;KCTD10;NFX1;PEX5;THOP1;RNF122;CUL9;RNF31;KLHL18;CUL7;MGRN1;UHRF1;PELI3;CUL3;DTX1;KLHL12;DTX2;RNF6;CAND2;RMND5A;CAND1;OS9;UBC;VPS11;ZSWIM8;LEO1;SPOP;MARCHF8;BRAP;HACE1;TRIM41;KLHL25;SMURF1;USP22;PLK1;MIB2;KLHL21;KLHL22;WWP2;FBXL16;PEX12;FBXO30;CHFR;UBOX5;TRIM39;RFWD3;MKRN2;TRIM36;PAF1;CTNNB1;UBE2O;TRIM37;UBA1;RNF185;TRIM32;KBTBD8;RNF220;RNF187;ASB1
