Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	L-amino acid transport (GO:0015807)	14/28	2.606845e-06	8.856415e-03	0	0	6.708221e+00	8.625007e+01	SLC36A1;SLC1A3;CTNS;SLC1A4;SLC3A2;SLC1A6;SLC7A3;SLC7A8;SFXN1;SLC38A3;SLC25A12;SLC25A22;SLC38A2;SLC38A5
GO_Biological_Process_2021	vascular transport (GO:0010232)	27/84	4.466579e-06	8.856415e-03	0	0	3.185701e+00	3.924429e+01	SLC27A1;SLC22A5;ATP2A3;SLC2A1;SLC1A3;SLC2A3;LRP3;SLC1A4;SLC4A3;SLC6A1;SLC7A3;SLC38A3;SLC38A2;SLC19A1;SLC38A5;MFSD2A;ABCA2;SLC16A1;SLC2A10;ABCC5;ATP1B2;SLC5A6;SLC7A8;SLC6A9;SLC22A8;SLC27A4;SLC29A2
GO_Biological_Process_2021	endomembrane system organization (GO:0010256)	49/199	6.151190e-06	8.856415e-03	0	0	2.203978e+00	2.644523e+01	WASHC5;GOLGA2;RNF112;SEC61A1;SMPD4;TRAPPC12;TRAPPC11;VPS18;BCAS3;SUN1;COG7;FBXW8;COG4;COG3;VPS33B;COG2;COG1;CSNK1D;SYP;NUP93;GAK;CTDNEP1;TBC1D20;GORASP2;ZW10;ARHGEF7;OBSL1;OPTN;CUL7;ATL2;SNX33;DNAJC28;SYNGR1;ALS2CL;LMAN2;VPS11;DYM;SEC31A;FER1L5;HACE1;SURF4;OSBPL2;DNAJC13;TJAP1;NPLOC4;HOOK2;REEP4;DOP1B;REEP6
GO_Biological_Process_2021	transport across blood-brain barrier (GO:0150104)	27/86	7.337543e-06	8.856415e-03	0	0	3.077356e+00	3.638206e+01	SLC27A1;SLC22A5;ATP2A3;SLC2A1;SLC1A3;SLC2A3;LRP3;SLC1A4;SLC4A3;SLC6A1;SLC7A3;SLC38A3;SLC38A2;SLC19A1;SLC38A5;MFSD2A;ABCA2;SLC16A1;SLC2A10;ABCC5;ATP1B2;SLC5A6;SLC7A8;SLC6A9;SLC22A8;SLC27A4;SLC29A2
GO_Biological_Process_2021	anion transmembrane transport (GO:0098656)	22/67	2.297247e-05	2.218222e-02	0	0	3.283865e+00	3.507566e+01	SLC35A2;SLC35A1;SLC27A1;SLC35B4;ABCC5;SLC35C2;SLC1A3;SLC3A2;SLC1A6;MFSD12;SLC7A3;SLC5A6;SLC6A8;SLC7A8;SLC6A9;SFXN3;LRRC8A;SFXN1;SLC25A12;SLC25A22;SLC19A1;SLC38A5
GO_Biological_Process_2021	serine transport (GO:0032329)	6/7	3.021772e-05	2.431519e-02	0	0	4.015544e+01	4.179010e+02	SFXN3;SFXN1;SLC1A4;SLC7A10;SLC38A2;SLC38A5
GO_Biological_Process_2021	macroautophagy (GO:0016236)	32/120	4.629494e-05	3.193028e-02	0	0	2.445960e+00	2.441185e+01	ILRUN;MTMR3;PIK3R4;AMBRA1;MFN2;VPS36;ATG7;VPS39;VPS16;ATG3;UVRAG;PRKAB2;VPS33A;VPS33B;VPS37C;WIPI1;STAM;VPS37B;WIPI2;ATG13;HGS;LIX1;NBR1;ULK3;PLEKHM1;ATG4B;ULK1;VDAC1;PIK3C3;ATP13A2;VIPAS39;TECPR1
GO_Biological_Process_2021	alpha-linolenic acid metabolic process (GO:0036109)	8/13	5.730606e-05	3.458421e-02	0	0	1.071390e+01	1.046438e+02	ELOVL1;FADS2;ACSL1;ACOX1;ELOVL2;HSD17B4;ABCD1;FADS1
GO_Biological_Process_2021	neutral amino acid transport (GO:0015804)	12/28	9.343441e-05	5.012237e-02	0	0	5.026707e+00	4.663904e+01	SLC36A1;SLC6A7;SLC43A2;SLC6A9;SLC7A8;CTNS;SLC1A4;SLC3A2;SLC7A10;SLC38A3;SLC38A2;SLC38A5
GO_Biological_Process_2021	regulation of cell cycle process (GO:0010564)	28/106	1.601681e-04	7.732914e-02	0	0	2.412246e+00	2.108131e+01	CUL9;L3MBTL1;CUL7;SETD2;PIK3R4;CCP110;PKMYT1;USP19;AURKA;FLCN;GPER1;NEK2;E4F1;ENTR1;GIT1;UVRAG;DYNC1H1;SPAG5;PLK1;KLHL21;MYO19;SND1;PRC1;CTNNB1;PIK3C3;KIF20A;OBSL1;MAD1L1
