Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	base-excision repair, gap-filling (GO:0006287)	16/35	1.407310e-08	3.328676e-05	0	0	8.550426e+00	1.545832e+02	RFC5;FEN1;MPG;RFC2;OGG1;PNKP;RPA2;XRCC1;SMUG1;POLD4;NTHL1;POLD2;POLL;ADPRS;NEIL1;MUTYH
GO_Biological_Process_2021	proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	61/321	1.762603e-08	3.328676e-05	0	0	2.411228e+00	4.304979e+01	UBXN1;FBXO27;ZFAND2B;AUP1;TNFAIP1;HERPUD1;PSMD9;PSMD7;KAT5;PSMD4;PSMD5;PSMD3;FBXW5;ANAPC7;FBXO2;RAD23A;SIRT2;DDIT3;ANAPC5;RBCK1;RNF121;ANAPC15;PSMD11;RNF34;DMAC2;PSMD13;RNF4;FBXO44;RNF5;DNAJB2;RMND5B;PSMB4;PSMB5;SHARPIN;UBB;PSMB3;PCBP2;TMEM129;PSMF1;BUB3;DCAF11;RHBDD2;SGTA;TMUB1;BFAR;TMUB2;FBXL12;SPSB3;NSFL1C;PSMC5;PSMC3;UBXN11;PSMC4;JKAMP;PSMC1;CDC16;ERCC8;STUB1;FBXL2;FBXL4;SPSB4
GO_Biological_Process_2021	ubiquitin-dependent protein catabolic process (GO:0006511)	63/354	1.296267e-07	1.632000e-04	0	0	2.223699e+00	3.526477e+01	UBXN1;PPP1R11;ZFAND2B;TNFAIP1;FBXO22;HERPUD1;PSMD9;PSMD7;RNF114;KAT5;PSMD4;PSMD5;PSMD3;FBXO8;FBXO7;UBL7;FBXW5;ANAPC7;ARRDC1;RAD23A;SIRT2;RNF167;UBE2R2;DDIT3;ANAPC5;RBCK1;SQSTM1;ANAPC15;PSMD11;TSG101;RNF34;PSMD13;VPS4A;RNF8;NEDD8;RNF4;RNF5;RMND5B;PSMB4;PSMB5;SHARPIN;PSMB3;PCBP2;MVB12A;PSMF1;BUB3;DCAF11;XBP1;ADRM1;BFAR;SPSB3;NSFL1C;PSMC5;PSMC3;UBXN11;PSMC4;PSMC1;CDC16;UBAP1;ERCC8;STUB1;FBXL4;SPSB4
GO_Biological_Process_2021	gluconeogenesis (GO:0006094)	16/41	2.114182e-07	1.802764e-04	0	0	6.496179e+00	9.984255e+01	SLC25A1;TPI1;GOT1;MDH1;MDH2;PGAM1;ENO1;ENO3;PGK1;ALDOC;SLC25A10;SLC37A4;ALDOA;GAPDH;SLC25A11;ATF4
GO_Biological_Process_2021	DNA repair (GO:0006281)	55/298	2.386503e-07	1.802764e-04	0	0	2.320379e+00	3.538176e+01	MUS81;FEN1;UBXN1;MPG;OGG1;PARK7;BABAM1;KAT5;EME2;EXO5;POLL;KPNA2;PIAS4;RFC5;PARP2;RFC2;USP3;RAD23A;ACTR8;INIP;REXO4;DDB2;RAD51D;ADPRS;UBE2V1;NEIL1;TEX264;PNKP;RNF8;FAAP20;POLD4;UBB;POLD2;APBB1;MUTYH;CDKN2D;MGME1;ASCC1;XRCC1;APEX2;RPA2;FANCC;GTF2H3;APTX;GTF2H4;MAD2L2;SMUG1;PPP5C;ERCC1;NABP2;UBE2N;ERCC8;RAD1;BAP1;RAD9A
GO_Biological_Process_2021	base-excision repair (GO:0006284)	17/48	4.573012e-07	2.878711e-04	0	0	5.567554e+00	8.127473e+01	RFC5;FEN1;MPG;RFC2;OGG1;PNKP;APEX2;RPA2;XRCC1;SMUG1;POLD4;NTHL1;POLD2;POLL;ADPRS;NEIL1;MUTYH
GO_Biological_Process_2021	hexose biosynthetic process (GO:0019319)	16/44	6.577463e-07	3.549011e-04	0	0	5.799202e+00	8.254843e+01	SLC25A1;TPI1;GOT1;MDH1;MDH2;PGAM1;ENO1;ENO3;PGK1;ALDOC;SLC25A10;SLC37A4;ALDOA;GAPDH;SLC25A11;ATF4
GO_Biological_Process_2021	proteasomal protein catabolic process (GO:0010498)	40/205	2.450799e-06	9.461895e-04	0	0	2.474896e+00	3.197342e+01	UBXN1;PSMD11;RNF34;PSMD13;ZFAND2B;TNFAIP1;RNF4;FBXO44;RNF5;RMND5B;PSMD9;PSMB4;PSMD7;PSMB5;SHARPIN;KAT5;PSMD4;PSMD5;PSMB3;PSMD3;PCBP2;PSMF1;DCAF11;FBXW5;BFAR;RAD23A;SIRT2;RNF41;SPSB3;NSFL1C;PSMC5;PSMC3;UBXN11;PSMC4;DDIT3;PSMC1;ERCC8;STUB1;RBCK1;SPSB4
GO_Biological_Process_2021	canonical glycolysis (GO:0061621)	11/24	2.597787e-06	9.461895e-04	0	0	8.570431e+00	1.102230e+02	TPI1;PKM;PGAM1;PGK1;ALDOC;ENO1;ALDOA;ENO3;GAPDH;PFKM;PFKP
GO_Biological_Process_2021	glucose catabolic process to pyruvate (GO:0061718)	11/24	2.597787e-06	9.461895e-04	0	0	8.570431e+00	1.102230e+02	TPI1;PKM;PGAM1;PGK1;ALDOC;ENO1;ALDOA;ENO3;GAPDH;PFKM;PFKP
GO_Biological_Process_2021	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process (GO:0031146)	23/89	2.780358e-06	9.461895e-04	0	0	3.543092e+00	4.532653e+01	FBXW5;PSMD11;DMAC2;PSMD13;FBXO27;FBXO2;FBXO44;FBXL12;PSMD9;PSMB4;PSMC5;PSMD7;PSMB5;PSMD4;PSMC3;PSMD5;PSMB3;PSMC4;PSMC1;PSMD3;PSMF1;FBXL2;FBXL4
GO_Biological_Process_2021	regulation of cellular amino acid metabolic process (GO:0006521)	17/54	3.006162e-06	9.461895e-04	0	0	4.663167e+00	5.929145e+01	PSMD11;PSMD13;OAZ2;BCKDK;PSMD9;PSMB4;PSMC5;PSMD7;PSMB5;PSMD4;PSMC3;PSMD5;PSMB3;PSMC4;PSMC1;PSMD3;PSMF1
GO_Biological_Process_2021	glycolytic process through glucose-6-phosphate (GO:0061620)	11/25	4.260193e-06	1.237750e-03	0	0	7.957819e+00	9.840795e+01	TPI1;PKM;PGAM1;PGK1;ALDOC;ENO1;ALDOA;ENO3;GAPDH;PFKM;PFKP
GO_Biological_Process_2021	nucleotide-excision repair (GO:0006289)	25/105	5.201462e-06	1.348171e-03	0	0	3.178341e+00	3.866951e+01	OGG1;GPS1;PNKP;COPS7B;COPS7A;POLD4;UBB;POLD2;POLR2E;POLL;POLR2H;RFC5;RFC2;XRCC1;RPA2;FANCC;RAD23A;GTF2H3;GTF2H4;DDB2;COPS6;ERCC1;PPIE;ERCC8;COPS8
GO_Biological_Process_2021	glucose metabolic process (GO:0006006)	18/62	5.653690e-06	1.348171e-03	0	0	4.152685e+00	5.017773e+01	SLC25A1;TPI1;GOT1;MDH1;MDH2;PGAM1;AKR1A1;ENO1;OMA1;ENO3;PGK1;ALDOC;SLC25A10;SLC37A4;ALDOA;GAPDH;SLC25A11;ATF4
GO_Biological_Process_2021	regulation of cellular amine metabolic process (GO:0033238)	16/51	6.153055e-06	1.348171e-03	0	0	4.637574e+00	5.564422e+01	PSMD11;PSMD13;OAZ2;PSMD9;PSMB4;PSMC5;PSMD7;PSMB5;PSMD4;PSMC3;PSMD5;PSMB3;PSMC4;PSMC1;PSMD3;PSMF1
GO_Biological_Process_2021	protein polyubiquitination (GO:0000209)	53/314	6.354407e-06	1.348171e-03	0	0	2.077334e+00	2.485813e+01	ANKRD39;FBXO27;FBXO22;DDA1;PSMD9;PSMD7;RNF114;PSMD4;PSMD5;PSMD3;FBXO7;FBXW5;ANAPC7;FBXO2;FBXW9;MUL1;TRAF2;DDB2;RNF41;RNF167;UBE2R2;ANAPC5;RBCK1;UBE2V1;PSMD11;RNF34;PSMD13;RNF8;RNF4;FBXO44;RNF5;RNF135;DCAF15;PSMB4;PSMB5;SHARPIN;UBB;PSMB3;TMEM129;PSMF1;PPIL2;BFAR;FBXL12;PSMC5;PSMC3;PSMC4;PSMC1;CDC16;UBE2N;ERCC8;BLMH;STUB1;FBXL4
GO_Biological_Process_2021	regulation of transcription from RNA polymerase II promoter in response to stress (GO:0043618)	22/87	6.671398e-06	1.348171e-03	0	0	3.439445e+00	4.099020e+01	PSMD11;EGLN2;PSMD13;PSMD9;DNAJB1;PSMB4;PSMC5;PSMD7;PSMB5;PSMD4;UBB;PSMC3;PSMD5;PSMB3;PSMC4;DDIT3;PSMC1;PSMD3;PSMF1;VHL;ATF4;HSPA1A
GO_Biological_Process_2021	DNA modification (GO:0006304)	11/26	6.781903e-06	1.348171e-03	0	0	7.426890e+00	8.838929e+01	SMUG1;EXOSC5;ACD;EXOSC4;MPG;NTHL1;PARP2;OGG1;TINF2;NEIL1;MUTYH
GO_Biological_Process_2021	fatty acid beta-oxidation (GO:0006635)	16/52	8.147181e-06	1.538595e-03	0	0	4.508504e+00	5.282992e+01	GCDH;ACADVL;ACOT8;MECR;ECI1;ECI2;CROT;ETFB;ACAT1;HADHB;SLC25A17;AMACR;SCP2;ACADM;HADH;DECR2
GO_Biological_Process_2021	pre-replicative complex assembly (GO:0036388)	18/64	9.244809e-06	1.651074e-03	0	0	3.971695e+00	4.603770e+01	CDT1;PSMD11;MCM7;PSMD13;PSMD9;PSMB4;PSMC5;PSMD7;PSMB5;PSMD4;UBB;PSMC3;PSMD5;PSMB3;PSMC4;PSMC1;PSMD3;PSMF1
GO_Biological_Process_2021	regulation of mRNA catabolic process (GO:0061013)	27/122	9.617059e-06	1.651074e-03	0	0	2.891471e+00	3.340219e+01	PSMD11;PSMD13;PRR5L;EXOSC7;PSMD9;EXOSC5;PSMB4;PSMD7;EXOSC4;PSMB5;PSMD4;UBB;PSMD5;PSMB3;EXOSC9;PSMD3;PSMF1;EXOSC2;HSPA8;CARHSP1;PSMC5;PSMC3;PSMC4;PSMC1;CNOT8;RBM24;HSPA1A
GO_Biological_Process_2021	regulation of mitotic cell cycle phase transition (GO:1901990)	36/188	1.184275e-05	1.944785e-03	0	0	2.414184e+00	2.738601e+01	ANAPC15;PSMD11;DCTN2;PSMD13;PSMD9;PSMB4;PSMD7;TUBA1A;PSMB5;PSMD4;UBB;HAUS8;PPP2R1A;PSMD5;HAUS7;PSMB3;PSMD3;PSMF1;BUB3;PLK5;ANAPC7;MAD2L1BP;HAUS5;DYNLL1;TUBG1;TUBB4B;TUBB4A;TUBA4A;SIRT2;PSMC5;PSMC3;PSMC4;PSMC1;CDC16;ANAPC5;CEP43
GO_Biological_Process_2021	regulation of proton transport (GO:0010155)	6/8	1.283162e-05	1.961751e-03	0	0	3.032000e+01	3.415123e+02	SLC9A3R1;DNAJC30;ANTKMT;PPIF;ATPSCKMT;PHB2
GO_Biological_Process_2021	anaphase-promoting complex-dependent catabolic process (GO:0031145)	21/84	1.298485e-05	1.961751e-03	0	0	3.385808e+00	3.809618e+01	ANAPC15;PSMD11;ANAPC7;PSMD13;PSMD9;PSMB4;PSMC5;PSMD7;PSMB5;PSMD4;UBB;PSMC3;PSMD5;PSMB3;PSMC4;PSMC1;PSMD3;CDC16;ANAPC5;BUB3;PSMF1
GO_Biological_Process_2021	translational elongation (GO:0006414)	24/104	1.405772e-05	2.042154e-03	0	0	3.049495e+00	3.406999e+01	EEFSEC;PTCD3;TSFM;MRPS26;MRPS27;MRPS12;MRPS18B;MRPL38;MRPL49;ERAL1;MRPL37;MRPL45;MRPL35;MRPL10;MRPS5;TUFM;MRPL55;EEF1A1;MRPL4;EEF1G;MRPL2;MRPS9;MRPL9;DAP3
GO_Biological_Process_2021	negative regulation of G2/M transition of mitotic cell cycle (GO:0010972)	18/66	1.475999e-05	2.064759e-03	0	0	3.805789e+00	4.233403e+01	PSMD11;PSMD13;VPS4A;PSMD9;PSMB4;PSMC5;PSMD7;PSMB5;PSMD4;PSMC3;PSMD5;PSMB3;PSMC4;ZFYVE19;PSMC1;PSMD3;NABP2;PSMF1
GO_Biological_Process_2021	mitochondrial translation (GO:0032543)	24/105	1.668181e-05	2.250257e-03	0	0	3.011681e+00	3.313208e+01	PTCD3;TSFM;MRPS26;MRPS27;MRPS12;MRPS18B;MRPL38;MRPL49;ERAL1;MRPL37;MTIF3;MRPL45;QRSL1;MRPL35;MRPL10;MRPS5;TUFM;MRPL55;MRPL4;MRPL2;MRPS9;MRPL9;MRRF;DAP3
GO_Biological_Process_2021	transcription-coupled nucleotide-excision repair (GO:0006283)	19/73	1.790528e-05	2.332008e-03	0	0	3.571680e+00	3.903995e+01	RFC5;RFC2;GPS1;COPS7B;RPA2;XRCC1;COPS7A;GTF2H3;GTF2H4;POLD4;COPS6;UBB;ERCC1;POLD2;POLR2E;PPIE;ERCC8;POLR2H;COPS8
GO_Biological_Process_2021	post-translational protein modification (GO:0043687)	55/345	2.348438e-05	2.867467e-03	0	0	1.939227e+00	2.067056e+01	RAB3A;FBXO27;DCAF4;FBXO22;DDA1;PSMD9;PSMD7;EVA1A;PSMD4;PSMD5;PSMD3;FBXO7;RAB8A;FBXW5;FBXO2;FBXW9;SHISA5;RABGGTB;PDIA6;RABGGTA;DDB2;VWA1;MFGE8;PSMD11;PSMD13;GPS1;RAB1B;ASB13;COPS7B;COPS7A;NEDD8;FBXO44;PSMB4;PSMB5;PSMB3;PSMF1;VHL;DCAF11;UBE2F;RAB11B;FBXL12;SPSB3;PSMC5;COPS6;PSMC3;PSMC4;PSMC1;ASB8;ASB6;ERCC8;CCDC22;P4HB;COPS8;FBXL4;SPSB4
GO_Biological_Process_2021	glycolytic process (GO:0006096)	11/29	2.353494e-05	2.867467e-03	0	0	6.188053e+00	6.594623e+01	LDHA;TPI1;PKM;PGAM1;PGK1;ALDOC;ENO1;ALDOA;ENO3;GAPDH;PFKM
GO_Biological_Process_2021	regulation of transcription from RNA polymerase II promoter in response to hypoxia (GO:0061418)	19/75	2.708267e-05	3.196602e-03	0	0	3.443741e+00	3.621650e+01	PSMD11;EGLN2;PSMD13;SIRT2;PSMD9;PSMB4;PSMC5;PSMD7;PSMB5;PSMD4;UBB;PSMC3;PSMD5;PSMB3;PSMC4;PSMC1;PSMD3;PSMF1;VHL
GO_Biological_Process_2021	DNA-dependent DNA replication (GO:0006261)	27/129	2.797832e-05	3.202246e-03	0	0	2.691995e+00	2.822309e+01	PSMD11;MCM7;PSMD13;PNKP;PSMD9;POLD4;PSMB4;PSMD7;PSMB5;PSMD4;UBB;PSMD5;PSMB3;PSMD3;POLD2;PSMF1;RFC5;CDT1;MGME1;RFC2;RPA2;SIRT7;PSMC5;PSMC3;PSMC4;PSMC1;POLE3
GO_Biological_Process_2021	GDP-mannose metabolic process (GO:0019673)	5/6	3.315060e-05	3.595310e-03	0	0	5.050805e+01	5.209628e+02	GMPPB;PMM1;MPI;PMM2;GFUS
GO_Biological_Process_2021	mitochondrial translational elongation (GO:0070125)	21/89	3.331635e-05	3.595310e-03	0	0	3.135986e+00	3.233033e+01	PTCD3;TSFM;MRPS26;MRPS27;MRPS12;MRPL38;MRPL49;MRPS18B;MRPL37;ERAL1;MRPL45;MRPL35;MRPS5;MRPL10;TUFM;MRPL55;MRPL4;MRPL2;MRPS9;MRPL9;DAP3
GO_Biological_Process_2021	fatty acid catabolic process (GO:0009062)	18/70	3.525209e-05	3.698531e-03	0	0	3.512261e+00	3.601116e+01	ACADVL;ACOT8;MECR;MMAA;ABHD3;ECI1;ECI2;ABHD1;CROT;ACAT1;HADHB;SLC25A17;SCP2;ILVBL;PCCB;HACL1;ACADM;HADH
GO_Biological_Process_2021	regulation of cellular ketone metabolic process (GO:0010565)	17/64	3.677176e-05	3.753701e-03	0	0	3.668982e+00	3.746317e+01	PSMD11;PSMD13;OAZ2;PSMD9;PSMB4;PSMC5;PSMD7;PSMB5;PSMD4;PSMC3;PSMD5;PSMB3;PSMC4;PSMC1;PSMD3;PSMF1;PDK2
GO_Biological_Process_2021	DNA metabolic process (GO:0006259)	46/277	3.834994e-05	3.811783e-03	0	0	2.032413e+00	2.066712e+01	MUS81;FEN1;SMARCB1;MCM7;MPG;OGG1;PNKP;PARK7;POLD4;RNASEH1;KAT5;UBB;NTHL1;POLD2;POLL;KPNA2;MUTYH;RFC5;CDT1;ACD;XRCC6;STN1;PARP2;RFC2;USP3;TINF2;XRCC1;RPA2;LTO1;FANCC;SIRT7;GTF2H3;GTF2H4;INIP;REXO4;DDB2;SMUG1;RAD51D;ERCC1;POLE3;NABP2;UBE2N;ADPRS;RAD1;NEIL1;RAD9A
GO_Biological_Process_2021	protein modification by small protein removal (GO:0070646)	45/276	7.269956e-05	7.040673e-03	0	0	1.987101e+00	1.893544e+01	BECN1;INO80E;PSMD11;PSMD13;GPS1;COPS7B;COPS7A;NEDD8;SNX3;BABAM1;PSMD9;TFPT;PSMB4;PSMD7;PSMB5;PSMD4;UBB;PSMD5;PSMB3;PSMD3;RUVBL1;PSMF1;RCE1;USP21;MCRS1;USP3;ACTL6A;USP2;ADRM1;RAD23A;TRAF2;JOSD2;ACTR8;DDB2;NFKBIA;PSMC5;COPS6;PSMC3;PSMC4;PSMC1;EIF3F;COPS8;BAP1;OTULINL;OTUB1
GO_Biological_Process_2021	regulation of establishment of planar polarity (GO:0090175)	20/88	8.937819e-05	8.439536e-03	0	0	2.984981e+00	2.782789e+01	PSMD11;SPEF1;PSMD13;PSMD9;PSMB4;PSMC5;PSMD7;PSMB5;PSMD4;SAPCD2;PSMC3;PSMD5;PSMB3;PSMC4;PSMC1;PSMD3;DVL1;AP2S1;PSMF1;AP2M1
GO_Biological_Process_2021	mitochondrial translational termination (GO:0070126)	20/89	1.056281e-04	9.730664e-03	0	0	2.941558e+00	2.693169e+01	PTCD3;MRPS26;MRPS27;MRPS12;MRPL38;MRPL49;MRPS18B;MRPL37;ERAL1;MRPL45;MRPL35;MRPS5;MRPL10;MRPL55;MRPL4;MRPL2;MRPS9;MRPL9;MRRF;DAP3
GO_Biological_Process_2021	nucleotide-excision repair, DNA incision (GO:0033683)	12/39	1.095063e-04	9.847747e-03	0	0	4.500681e+00	4.104409e+01	RFC5;POLD4;UBB;NTHL1;RFC2;OGG1;ERCC1;POLD2;RPA2;GTF2H3;GTF2H4;DDB2
GO_Biological_Process_2021	negative regulation of cell cycle G2/M phase transition (GO:1902750)	15/57	1.168562e-04	1.026432e-02	0	0	3.619686e+00	3.277469e+01	PSMD11;PSMD13;PSMD9;PSMB4;PSMC5;PSMD7;PSMB5;PSMD4;PSMC3;PSMD5;PSMB3;PSMC4;PSMC1;PSMD3;PSMF1
GO_Biological_Process_2021	tRNA processing (GO:0008033)	16/64	1.356095e-04	1.164084e-02	0	0	3.379143e+00	3.009374e+01	TRUB1;TSEN34;POP7;ANKRD16;RTCB;WDR4;TRPT1;TSEN2;ELP5;FTSJ1;TSEN54;FARS2;QTRT1;TRMT9B;CLP1;LCMT2
GO_Biological_Process_2021	regulation of G2/M transition of mitotic cell cycle (GO:0010389)	28/149	1.482881e-04	1.244631e-02	0	0	2.352183e+00	2.073768e+01	PSMD11;DCTN2;PSMD13;PSMD9;PSMB4;PSMD7;TUBA1A;PSMB5;PSMD4;HAUS8;PPP2R1A;PSMD5;HAUS7;PSMB3;PSMD3;PSMF1;HAUS5;DYNLL1;TUBG1;TUBB4B;TUBB4A;TUBA4A;PSMC5;PSMC3;CDK4;PSMC4;PSMC1;CEP43
GO_Biological_Process_2021	tRNA modification (GO:0006400)	16/65	1.649854e-04	1.338938e-02	0	0	3.309999e+00	2.882894e+01	TRUB1;ANKRD16;TYW3;TRMO;WDR4;ELP5;MTO1;FTSJ1;OSGEP;GTPBP3;DUS2;QTRT1;TRMT9B;TRMT12;LCMT2;PUSL1
GO_Biological_Process_2021	proteasome assembly (GO:0043248)	6/11	1.666139e-04	1.338938e-02	0	0	1.212600e+01	1.054942e+02	PSMD9;PSMD11;PSMD4;PSMD13;PSMD5;ADRM1
GO_Biological_Process_2021	carbohydrate catabolic process (GO:0016052)	12/41	1.865796e-04	1.468148e-02	0	0	4.189828e+00	3.597660e+01	LDHA;TPI1;PKM;PGAM1;NEU1;PGK1;ALDOC;ENO1;ALDOA;ENO3;GAPDH;PFKM
GO_Biological_Process_2021	base-excision repair, AP site formation (GO:0006285)	8/20	2.032904e-04	1.566996e-02	0	0	6.741565e+00	5.730920e+01	SMUG1;ACD;MPG;NTHL1;OGG1;TINF2;NEIL1;MUTYH
GO_Biological_Process_2021	antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent (GO:0002479)	17/73	2.156528e-04	1.629041e-02	0	0	3.077797e+00	2.598227e+01	PSMD11;PSMD13;PSMD9;PSMB4;PSMC5;PSMD7;PSMB5;PSMD4;PSMC3;PSMD5;PSMB3;PSMC4;PSMC1;PSMD3;PSMF1;SEC22B;VAMP3
GO_Biological_Process_2021	regulation of primary metabolic process (GO:0080090)	25/130	2.261167e-04	1.674594e-02	0	0	2.418251e+00	2.029991e+01	IDI1;PSMD11;HDAC3;PSMD13;OAZ2;TM7SF2;PSMD9;PSMB4;PSMD7;PSMB5;PSMD4;PSMD5;PSMB3;OPA3;PSMD3;PMVK;PSMF1;BBS4;NFYC;PSMC5;PSMC3;PSMC4;PSMC1;PLPP1;CERS2
