Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	axonogenesis (GO:0007409)	52/240	2.305971e-13	8.907968e-10	0	0	3.742178e+00	1.088903e+02	ROBO2;APP;IRS2;VLDLR;PIK3CB;ARHGAP35;GLI2;ROBO1;OPHN1;KIF5C;KIF5B;DAG1;TNR;NRCAM;SPG11;EPHB3;SEMA6A;DCC;SEMA6D;LMTK2;FRS2;PRKCA;ANK3;UNC5D;GAB2;ZDHHC17;SPTB;SLC9A6;SOS1;NLGN3;BRSK1;NOTCH3;NOTCH1;SEMA3D;SRC;PLPPR4;NRXN3;NTN3;EFNB1;SLITRK1;PLCG1;SLIT2;SPTBN1;SPTBN2;NTNG2;AUTS2;USP9X;SEMA4C;SEMA4G;TAOK2;CNTN2;GRB2
GO_Biological_Process_2021	axon guidance (GO:0007411)	41/203	7.582472e-10	1.464554e-06	0	0	3.401437e+00	7.143022e+01	ROBO2;NOTCH3;NOTCH1;SEMA3D;SRC;NRXN3;IRS2;VLDLR;PIK3CB;ARHGAP35;GLI2;ROBO1;NTN3;EFNB1;OPHN1;KIF5C;KIF5B;DAG1;PLXNA2;TNR;PLCG1;PLXNC1;SLIT2;SPTBN1;EPHB3;SPTBN2;PLXNA3;SEMA6A;DCC;SEMA6D;SEMA4C;FRS2;PRKCA;UNC5D;GAB2;SEMA4G;SPTB;CNTN2;GRB2;PLXNB1;SOS1
GO_Biological_Process_2021	synapse organization (GO:0050808)	28/126	4.311561e-08	5.551854e-05	0	0	3.817093e+00	6.473554e+01	NLGN3;APP;NLGN1;PTPRS;NLGN2;LRRC4;SLC8A2;GRM5;SLITRK1;SPOCK2;NRCAM;GPC6;PPFIA3;UNC13B;UNC13A;PCDHB13;ANK3;CACNB1;LRFN5;LRFN4;NEDD4;PCDHB16;CNTN2;MAPT;AGRN;SDK2;SHANK2;ADGRL3
GO_Biological_Process_2021	nervous system development (GO:0007399)	63/447	1.085201e-07	1.048032e-04	0	0	2.213932e+00	3.550334e+01	ROBO2;TENM1;ANKLE2;DAGLA;MYT1L;NCAN;NAB2;ATN1;VLDLR;ROBO1;IRF2BPL;OPHN1;EP300;NRCAM;JARID2;PCDHAC1;APC2;MBNL1;SRRM4;RBFOX2;SEMA6A;RBFOX3;LIG4;NAV1;VCAN;ALDH5A1;NAV3;MTF1;KCNQ2;MET;SHANK2;NLGN3;IGSF8;NLGN1;NLGN2;INTU;TRAK1;ACVR1B;KALRN;TRAK2;ATXN3;ACAN;PTPRZ1;SLITRK1;ERBB4;SPOCK2;ST8SIA4;SPOCK1;PCDH1;PCDHA7;MBD5;PCDHB13;ARHGAP26;TBX3;CHERP;NFASC;PCDHB16;DCHS1;APBA1;SCN2A;NES;SDK2;ADGRL3
GO_Biological_Process_2021	positive regulation of transcription by RNA polymerase II (GO:0045944)	104/908	5.800028e-07	4.481102e-04	0	0	1.758729e+00	2.525576e+01	APP;TCERG1;GABPB2;KDM1A;CRTC1;MAML1;DCAF6;ELK4;SALL2;ZMIZ1;POGZ;EP300;JUNB;IER2;RNF111;MEF2A;HGF;MRTFB;HCFC1;AR;KAT6B;TBL1XR1;RFX5;MAML3;ERG;ATF5;ATF6;CLOCK;KMT2D;NOTCH3;NOTCH1;KMT2A;EPAS1;TNKS;PRDM15;GATA2;NPAT;DHX36;ABL1;DVL2;DVL3;RPRD1B;PPARGC1B;GCN1;BCL9L;SMAD3;AUTS2;MICAL2;SMAD9;SMARCA1;TRERF1;SMAD5;PBX1;FOSL2;SETX;CDK9;REL;CDK12;BMPR1B;OGT;BMPR1A;RARG;CALCOCO1;CSRNP3;BMPR2;THRB;THRA;CHD8;GLI3;GLI2;IRF2BPL;MED12;MED13;SIN3A;NOS1;PELP1;NCOA2;PEG3;TET1;VEZF1;FOS;ETV4;RGMA;SENP1;CREB1;MTF1;TRAF6;MTF2;TET3;MET;DOT1L;LRP5;EGFR;MEF2D;ATAD2;FOXJ3;RRP1B;TBX3;ACVR2A;GRIN1;ASXL1;PER1;NFIC;AGRN
GO_Biological_Process_2021	protein phosphorylation (GO:0006468)	63/496	4.070146e-06	2.620495e-03	0	0	1.958109e+00	2.430372e+01	DDR1;APP;GSK3A;BMPR2;FLT1;MAST4;MAML1;MAST3;FLT4;MAST2;MAST1;AATK;NEK1;ERC1;PRKG1;EPHB3;PDGFRA;DAPK1;PRKCE;DYRK1B;LMTK2;PRKCA;BAZ1B;UHMK1;BCR;LATS1;CREB1;MAPKAPK2;SIK3;FAM20B;ERG;CSNK1G1;BRSK1;CAB39;TNKS;ROCK2;SRC;STK4;ACVR1B;EGFR;TTBK2;NUAK1;GRK3;ERBB4;GRK6;ABL1;MAP3K20;ABL2;NTRK2;HIPK3;MTOR;ACVR2A;CLK2;CDK9;MEX3B;ABI2;TAOK2;CDK12;PKN1;MAP3K13;BMPR1B;BMPR1A;TAF1
GO_Biological_Process_2021	regulation of axonogenesis (GO:0050770)	14/51	7.757721e-06	4.281154e-03	0	0	5.020957e+00	5.908070e+01	ROBO2;BRSK1;NTRK2;ARHGAP35;ROBO1;SIPA1L1;SLITRK1;KIF13B;PLXNA2;PLXNB1;PLXNC1;SLIT2;EPHB3;PLXNA3
GO_Biological_Process_2021	regulation of microtubule polymerization (GO:0031113)	12/40	1.275302e-05	5.763649e-03	0	0	5.681633e+00	6.403054e+01	CDH5;CLIP1;NUMA1;NAV3;MAP2;ABL1;TOGARAM1;MAPT;MET;CLASP1;EML2;CAMSAP2
GO_Biological_Process_2021	regulation of anatomical structure morphogenesis (GO:0022603)	23/123	1.488617e-05	5.763649e-03	0	0	3.061368e+00	3.402734e+01	BRSK1;FLT4;KNDC1;LARP4;ARHGAP35;ZDHHC15;LFNG;SIPA1L1;ZMYM3;ABI2;NEDD4;HECW1;DAG1;KIF13B;KIF1A;MAPT;PHLDB2;PDZD8;CLASP1;EPHB3;LZTS3;BCL9L;CLASP2
GO_Biological_Process_2021	regulation of synapse assembly (GO:0051963)	13/47	1.492014e-05	5.763649e-03	0	0	5.070891e+00	5.635179e+01	NLGN3;ROBO2;APP;SETD5;NLGN1;GRID2;NLGN2;LRFN5;LRFN4;SLITRK1;GPC6;EPHB3;EIF4G1
