Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	negative regulation of transcription, DNA-templated (GO:0045892)	65/948	7.849576e-08	2.221430e-04	0	0	2.188434e+00	3.580326e+01	RB1;CITED2;WWC2;HNRNPU;CTCF;NR3C1;SOX2;SOX3;SOX1;ZIC2;BASP1;EPC1;KMT5A;CIC;YAF2;TLE1;NKX6-2;EED;NOG;TBR1;DUSP22;EID2;SFRP1;SFPQ;ERF;ZFPM1;HDAC4;YAP1;CEBPA;CEBPB;HDAC2;CBFB;CTBP1;NOTCH4;FOXK1;RTF1;MACROH2A1;FOXO1;GLIS2;SCRT2;MXI1;ORC2;NRIP1;SUDS3;BRD7;E2F6;TGFB1;CBX4;ATP8B1;GADD45A;PHF12;DAB2IP;IRF2BP1;WWP1;FOXN3;KLF4;SCRT1;KLF2;NR2F6;VEGFA;SMAD7;FAM220A;ID4;MAP3K10;INSM1
GO_Biological_Process_2021	negative regulation of nucleic acid-templated transcription (GO:1903507)	36/464	4.761699e-06	4.246384e-03	0	0	2.447806e+00	2.999763e+01	RB1;HDAC4;CEBPA;HDAC2;CTBP1;CITED2;FOXK1;CTCF;NR3C1;FOXO1;GLIS2;ZIC2;BASP1;EPC1;KMT5A;SUDS3;CIC;BRD7;YAF2;NKX6-2;TLE1;TGFB1;CBX4;ATP8B1;EED;PHF12;DAB2IP;WWP1;TBR1;FOXN3;KLF4;EID2;SFRP1;SFPQ;ID4;MAP3K10
GO_Biological_Process_2021	negative regulation of transcription by RNA polymerase II (GO:0000122)	47/684	5.015313e-06	4.246384e-03	0	0	2.160071e+00	2.635938e+01	RB1;HDAC4;YAP1;CEBPB;HDAC2;CBFB;CTBP1;CITED2;NOTCH4;WWC2;HNRNPU;CTCF;RTF1;NR3C1;MACROH2A1;GLIS2;SOX2;SCRT2;SOX3;SOX1;ORC2;MXI1;NRIP1;EPC1;KMT5A;SUDS3;E2F6;CBX4;GADD45A;EED;PHF12;NOG;IRF2BP1;DAB2IP;KLF4;SCRT1;KLF2;NR2F6;VEGFA;SMAD7;FAM220A;DUSP22;SFPQ;ERF;ID4;INSM1;ZFPM1
GO_Biological_Process_2021	negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	40/547	6.001956e-06	4.246384e-03	0	0	2.300567e+00	2.766070e+01	RB1;HDAC4;CEBPA;HDAC2;CTBP1;CITED2;FMR1;FOXK1;CTCF;NR3C1;FOXO1;GLIS2;ZIC2;BASP1;EPC1;KMT5A;SUDS3;CIC;BRD7;YAF2;NANOS1;NKX6-2;TLE1;TGFB1;CBX4;ATP8B1;EED;PHF12;DAPK3;DAB2IP;WWP1;TBR1;FOXN3;KLF4;EID2;SFRP1;SFPQ;ID4;MAP3K10;LSM14A
GO_Biological_Process_2021	nervous system development (GO:0007399)	33/447	3.219874e-05	1.534982e-02	0	0	2.310738e+00	2.390132e+01	HDAC4;YAP1;CNTFR;CHRM3;SH3GL3;NUMBL;PTEN;SPG7;PKD2;GLIS2;SOX3;BTBD1;ZIC2;ADGRA2;ADAM23;BTBD2;NRTN;MARK4;SEMA6B;JAG1;TGFB1;RYK;NOG;APLP1;WWP1;INHBA;VEGFA;RNF103;SCN8A;UNC119;CSPG5;EVL;SHANK3
GO_Biological_Process_2021	negative regulation of cell differentiation (GO:0045596)	19/191	3.254379e-05	1.534982e-02	0	0	3.175126e+00	3.280833e+01	RB1;YAP1;JAG1;TGFB1;NOTCH4;NOG;PTEN;DAB2IP;HNRNPU;FOXO1;ZFP36L2;SMAD7;SOX2;PPP2CA;SOX3;SFRP1;SPRED1;CHADL;ZFPM1
GO_Biological_Process_2021	positive regulation of transcription, DNA-templated (GO:0045893)	65/1183	1.128857e-04	4.563808e-02	0	0	1.706395e+00	1.550966e+01	CITED2;HNRNPU;CTCF;NR3C1;PKD2;SOX2;SOX3;PPP3CA;ING2;SOX1;ZIC2;EPC1;IER5;YAF2;HRAS;SOX4;TCF15;LMO2;TOX3;SFRP1;SFPQ;WAC;ZFPM1;MPND;HDAC4;YAP1;CEBPA;CEBPB;SMARCD2;HDAC2;SMARCD3;NOTCH4;CEBPG;FOXK1;FOXO1;GLIS2;ATAD2B;PCBP1;NRIP1;PCBD2;E2F4;BRD7;E2F5;TRIM44;BRD4;ESRRA;AKIRIN2;SMAD1;FZD2;JAG1;JUND;TGFB1;FOXF2;NFYB;ALYREF;DAB2IP;SMARCA5;INHBA;KLF4;HNRNPAB;KLF2;VEGFA;SMAD7;MLLT10;RFXAP
GO_Biological_Process_2021	positive regulation of transcription by RNA polymerase II (GO:0045944)	52/908	2.075435e-04	7.341852e-02	0	0	1.771471e+00	1.502237e+01	CITED2;HNRNPU;NR3C1;PKD2;SOX2;SOX3;PPP3CA;SOX1;EPC1;IER5;HRAS;SOX4;TCF15;LMO2;TOX3;SFPQ;ZFPM1;MPND;HDAC4;YAP1;CEBPA;CEBPB;SMARCD2;HDAC2;SMARCD3;NOTCH4;CEBPG;FOXO1;GLIS2;ATAD2B;PCBP1;NRIP1;E2F4;E2F5;BRD4;ESRRA;AKIRIN2;SMAD1;JAG1;JUND;TGFB1;FOXF2;NFYB;DAB2IP;SMARCA5;INHBA;KLF4;KLF2;VEGFA;SMAD7;MLLT10;RFXAP
GO_Biological_Process_2021	regulation of gene expression (GO:0010468)	59/1079	2.662973e-04	7.736503e-02	0	0	1.690480e+00	1.391416e+01	RB1;CITED2;WWC2;JMJD1C;CTCF;NR3C1;SOX21;AFF4;YBX3;SOX2;SOX3;ING2;SOX1;YAF2;HRAS;SOX4;NANOS1;TLE1;NKX6-2;ACTR5;NOG;DAPK3;TERF2;SLC7A5;SFRP1;SFPQ;ADNP;HDAC4;YAP1;CEBPA;CEBPB;ROCK1;MACROH2A1;PPP2CA;SCRT2;PCBP1;SAP30L;TRIM44;ESRRA;SMAD1;TGFB1;NFYB;PHF12;NFXL1;TDRD7;SNF8;FOXN3;INHBA;KLF4;MAPK14;HNRNPAB;SCRT1;VEGFA;HNRNPL;AFDN;DNAJA4;FGF18;KRAS;INSM1
GO_Biological_Process_2021	regulation of cellular component movement (GO:0051270)	8/50	2.733747e-04	7.736503e-02	0	0	5.422522e+00	4.448999e+01	YTHDF1;CADM4;ROCK1;ACTN1;DAPK3;PKN2;NRG2;VEGFA
GO_Biological_Process_2021	negative regulation of epithelial to mesenchymal transition (GO:0010719)	6/29	3.822732e-04	9.834846e-02	0	0	7.411923e+00	5.832720e+01	PPP2CA;SPRED1;SFRP1;PTEN;DAB2IP;SMAD7
GO_Biological_Process_2021	canonical Wnt signaling pathway (GO:0060070)	9/68	4.984436e-04	1.175496e-01	0	0	4.345201e+00	3.304100e+01	SFRP1;FRAT2;FZD2;WNT5B;RYK;FZD6;PTEN;CSNK1E;RAB5A
GO_Biological_Process_2021	negative regulation of phosphorylation (GO:0042326)	10/86	7.059815e-04	1.536867e-01	0	0	3.750292e+00	2.721183e+01	HDAC4;CADM4;CDKN2C;TGFB1;ROCK1;PTEN;DAB2IP;HNRNPU;INHBA;INSM1
GO_Biological_Process_2021	negative regulation of stem cell differentiation (GO:2000737)	4/13	7.617041e-04	1.539730e-01	0	0	1.259977e+01	9.046576e+01	JAG1;TCF15;HNRNPU;ZFP36L2
GO_Biological_Process_2021	protein dephosphorylation (GO:0006470)	13/139	9.930802e-04	1.826571e-01	0	0	2.946157e+00	2.037179e+01	PTEN;PPP2R5A;PPM1E;FAM220A;DUSP22;PPP2CA;PPP1CC;PPP3CA;PPP2CB;PPM1B;PPP3CC;PTPRA;PPP2R2D
GO_Biological_Process_2021	peptidyl-serine dephosphorylation (GO:0070262)	4/14	1.037636e-03	1.826571e-01	0	0	1.133921e+01	7.790955e+01	PPP2CA;PPP2CB;PPP3CA;PPP2R2D
