Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	actin-myosin filament sliding (GO:0033275)	6/38	3.421904e-04	2.959651e-01	0	0	7.343436e+00	5.860167e+01	MYL4;ACTA1;MYBPC1;TNNC1;TNNT2;TCAP
GO_Biological_Process_2021	muscle filament sliding (GO:0030049)	6/38	3.421904e-04	2.959651e-01	0	0	7.343436e+00	5.860167e+01	MYL4;ACTA1;MYBPC1;TNNC1;TNNT2;TCAP
GO_Biological_Process_2021	heart trabecula formation (GO:0060347)	3/7	5.132343e-04	2.959651e-01	0	0	2.923950e+01	2.214827e+02	RBP4;HEY1;ADGRG6
GO_Biological_Process_2021	desensitization of G protein-coupled receptor signaling pathway (GO:0002029)	3/11	2.244280e-03	7.735538e-01	0	0	1.461675e+01	8.915297e+01	ADRB3;SAG;ADM
GO_Biological_Process_2021	heart contraction (GO:0060047)	5/41	3.503349e-03	7.735538e-01	0	0	5.427544e+00	3.068753e+01	MYL4;TNNC1;TNNT2;TCAP;SGCZ
GO_Biological_Process_2021	positive regulation of muscle cell differentiation (GO:0051149)	4/27	4.383232e-03	7.735538e-01	0	0	6.787139e+00	3.685396e+01	MEF2C;OLFM2;MYOD1;CAMK1
GO_Biological_Process_2021	regulation of G protein-coupled receptor signaling pathway (GO:0008277)	7/82	4.574720e-03	7.735538e-01	0	0	3.654677e+00	1.968851e+01	RGS4;ADCYAP1;RAMP3;CRY1;SAG;RGS20;RGS6
GO_Biological_Process_2021	neuron fate commitment (GO:0048663)	3/14	4.680724e-03	7.735538e-01	0	0	1.062873e+01	5.701571e+01	SHH;ID2;POU3F2
GO_Biological_Process_2021	protein secretion (GO:0009306)	6/64	5.369955e-03	7.735538e-01	0	0	4.046139e+00	2.114891e+01	ADCYAP1;ARL4D;OLFM2;NECAB3;VIP;CAMK2G
GO_Biological_Process_2021	regulation of gluconeogenesis (GO:0006111)	4/29	5.702139e-03	7.735538e-01	0	0	6.243527e+00	3.225977e+01	CRY1;ERFE;ARPP19;FBP1
GO_Biological_Process_2021	negative regulation of vascular endothelial cell proliferation (GO:1905563)	2/5	6.002467e-03	7.735538e-01	0	0	2.594012e+01	1.326989e+02	MEF2C;PPARG
GO_Biological_Process_2021	positive regulation of smooth muscle cell differentiation (GO:0051152)	2/5	6.002467e-03	7.735538e-01	0	0	2.594012e+01	1.326989e+02	OLFM2;SHH
GO_Biological_Process_2021	amylin receptor signaling pathway (GO:0097647)	2/6	8.854283e-03	7.735538e-01	0	0	1.945409e+01	9.195665e+01	RAMP3;ADM
GO_Biological_Process_2021	skeletal muscle thin filament assembly (GO:0030240)	2/6	8.854283e-03	7.735538e-01	0	0	1.945409e+01	9.195665e+01	ACTA1;TCAP
GO_Biological_Process_2021	neuroblast proliferation (GO:0007405)	2/6	8.854283e-03	7.735538e-01	0	0	1.945409e+01	9.195665e+01	SHH;RACGAP1
GO_Biological_Process_2021	negative regulation of smooth muscle cell proliferation (GO:0048662)	4/33	9.079558e-03	7.735538e-01	0	0	5.381245e+00	2.530116e+01	MEF2C;IL12A;PPARG;VIP
GO_Biological_Process_2021	adenylate cyclase-activating G protein-coupled receptor signaling pathway (GO:0007189)	8/118	9.955280e-03	7.735538e-01	0	0	2.848411e+00	1.313019e+01	ADCYAP1;RAMP3;ADRB3;ADGRG6;ADM;ADRA1B;VIP;PTHLH
GO_Biological_Process_2021	cardiac muscle contraction (GO:0060048)	4/34	1.008988e-02	7.735538e-01	0	0	5.201603e+00	2.390773e+01	MYL4;TNNC1;TNNT2;TCAP
GO_Biological_Process_2021	striated muscle tissue development (GO:0014706)	4/34	1.008988e-02	7.735538e-01	0	0	5.201603e+00	2.390773e+01	MEF2C;RBP4;MYOD1;SGCZ
GO_Biological_Process_2021	regulation of muscle cell differentiation (GO:0051147)	4/35	1.117027e-02	7.735538e-01	0	0	5.033551e+00	2.262329e+01	MEF2C;ID2;MYOD1;CAMK1
GO_Biological_Process_2021	heart trabecula morphogenesis (GO:0061384)	3/19	1.135307e-02	7.735538e-01	0	0	7.305375e+00	3.271542e+01	RBP4;HEY1;ADGRG6
GO_Biological_Process_2021	calcitonin family receptor signaling pathway (GO:0097646)	2/7	1.219072e-02	7.735538e-01	0	0	1.556248e+01	6.858508e+01	RAMP3;ADM
GO_Biological_Process_2021	dendrite arborization (GO:0140059)	2/7	1.219072e-02	7.735538e-01	0	0	1.556248e+01	6.858508e+01	SEMA3A;PTN
GO_Biological_Process_2021	G protein-coupled receptor internalization (GO:0002031)	2/7	1.219072e-02	7.735538e-01	0	0	1.556248e+01	6.858508e+01	SAG;ADM
GO_Biological_Process_2021	positive regulation of catecholamine secretion (GO:0033605)	2/7	1.219072e-02	7.735538e-01	0	0	1.556248e+01	6.858508e+01	VIP;STX1A
GO_Biological_Process_2021	positive regulation of phospholipid biosynthetic process (GO:0071073)	2/7	1.219072e-02	7.735538e-01	0	0	1.556248e+01	6.858508e+01	FABP3;HTR2A
GO_Biological_Process_2021	negative regulation of endothelial cell proliferation (GO:0001937)	4/37	1.354790e-02	7.735538e-01	0	0	4.728001e+00	2.033761e+01	MEF2C;TNMD;IL12A;PPARG
GO_Biological_Process_2021	skeletal myofibril assembly (GO:0014866)	2/8	1.598568e-02	7.735538e-01	0	0	1.296806e+01	5.363671e+01	ACTA1;TCAP
GO_Biological_Process_2021	snRNA transcription by RNA polymerase III (GO:0042796)	2/8	1.598568e-02	7.735538e-01	0	0	1.296806e+01	5.363671e+01	SNAPC5;ZC3H8
GO_Biological_Process_2021	negative regulation of small molecule metabolic process (GO:0062014)	3/22	1.706820e-02	7.735538e-01	0	0	6.150947e+00	2.503766e+01	DKKL1;CRY1;ERFE
GO_Biological_Process_2021	epidermis development (GO:0008544)	6/83	1.819597e-02	7.735538e-01	0	0	3.044762e+00	1.219901e+01	SCEL;WNT10A;CDSN;CCN2;PTHLH;OVOL2
GO_Biological_Process_2021	keratinocyte differentiation (GO:0030216)	4/41	1.921091e-02	7.735538e-01	0	0	4.216000e+00	1.666280e+01	SCEL;CDSN;OPN3;EXPH5
GO_Biological_Process_2021	endochondral ossification (GO:0001958)	2/9	2.021410e-02	7.735538e-01	0	0	1.111491e+01	4.336344e+01	MEF2C;SCX
GO_Biological_Process_2021	regulation of skeletal muscle cell differentiation (GO:2001014)	2/9	2.021410e-02	7.735538e-01	0	0	1.111491e+01	4.336344e+01	MEF2C;NR1D2
GO_Biological_Process_2021	muscle cell fate commitment (GO:0042693)	2/9	2.021410e-02	7.735538e-01	0	0	1.111491e+01	4.336344e+01	MEF2C;MYOD1
GO_Biological_Process_2021	positive regulation of smooth muscle cell apoptotic process (GO:0034393)	2/9	2.021410e-02	7.735538e-01	0	0	1.111491e+01	4.336344e+01	IL12A;PPARG
GO_Biological_Process_2021	adenylate cyclase-modulating G protein-coupled receptor signaling pathway (GO:0007188)	9/165	2.397287e-02	7.735538e-01	0	0	2.258759e+00	8.427051e+00	ADCYAP1;RAMP3;ADRB3;HTR1F;ADGRG6;ADM;ADRA1B;VIP;PTHLH
