Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	68/404	1.706247e-07	7.203774e-04	0	0	2.129105e+00	3.317954e+01	CYFIP1;NCKAP1;NRP1;NRP2;FLT3;SOGA1;IGF1R;FGF5;FGF7;NCK2;EPHB2;ANKS1B;ACTR3;EPHA5;ACTR2;EPHA4;EPHA7;ATP6V1G2;EPHA6;NGF;GTF2F2;PGF;TIAM1;ZAP70;HNRNPH1;RASA1;DDIT4;KIT;ROR1;ANGPTL1;EPHA3;ATP6V1A;RGS14;ARHGEF28;PXN;PSEN2;NEDD9;MST1R;EFNA4;SOCS2;SDCBP;EFNB3;FLRT3;NTF3;MAPK1;PTK2B;PAK3;GALNT3;BDNF;SORT1;NTRK3;INSR;STYK1;ARPC4;VEGFD;ARPC5;SORBS1;SULF2;AHI1;EFNA3;FER;EFNA2;NR4A3;ARPC2;ABI1;BCAR1;FGF10;FGFR1
GO_Biological_Process_2021	ephrin receptor signaling pathway (GO:0048013)	23/82	4.049428e-07	8.548343e-04	0	0	4.057274e+00	5.972112e+01	ACTR3;EPHA5;ACTR2;EPHA4;EPHA7;EPHA6;ARHGEF28;PSEN2;ARPC4;ARPC5;EFNA4;TIAM1;SDCBP;EFNA3;EFNB3;EFNA2;ARPC2;RASA1;NCK2;EPHB2;PAK3;EPHA3;ANKS1B
GO_Biological_Process_2021	enzyme linked receptor protein signaling pathway (GO:0007167)	30/140	4.159606e-06	5.853953e-03	0	0	2.841915e+00	3.521159e+01	PTPRU;FLT3;NEDD9;MST1R;IGF1R;PDZD3;NTF3;PTK2B;EPHB2;EPHA5;EPHA4;EPHA7;EPHA6;BDNF;INSR;NTRK3;STYK1;LIF;LIFR;NGF;AHI1;ZAP70;FER;KIT;ABI1;ROR1;EPHA3;ANGPTL1;BCAR1;FGFR1
GO_Biological_Process_2021	cellular response to calcium ion (GO:0071277)	18/69	2.163368e-05	2.283435e-02	0	0	3.664461e+00	3.936092e+01	RYR1;CPNE8;PRKAA1;CPNE4;CPNE7;CPNE6;WNT5A;HPCA;BRAF;ADCY1;IQGAP1;RYR3;SYT17;CRHBP;NEUROD2;CAPN3;CPNE2;SLC25A24
GO_Biological_Process_2021	axon guidance (GO:0007411)	36/203	4.251462e-05	3.589934e-02	0	0	2.246991e+00	2.261746e+01	SEMA5A;NOTCH2;CYFIP1;NRP1;LAMA5;NRP2;CXCR4;SEMA3E;EFNA4;EFNB3;SLIT1;PLXNA1;MAPK1;SLIT3;EPHB2;PLXNA4;EPHA5;LGI1;EPHA4;EPHA7;EPHA6;UNC5B;BDNF;WNT5A;UNC5C;EFNA3;CXCL12;DAB1;EFNA2;SMO;PALLD;DOK6;PLXNB2;DSCAML1;EPHA3;RNF165
GO_Biological_Process_2021	nervous system development (GO:0007399)	64/447	8.221137e-05	5.784940e-02	0	0	1.749228e+00	1.645362e+01	SEMA5A;NCKAP1;CPNE6;ROGDI;MTR;CELSR1;RAPGEFL1;HAPLN1;FGF5;CDH2;DPF3;EPHB2;CHST8;MYLIP;RBFOX1;EMX2;TRPC5;APAF1;TMOD2;PROX1;NGF;POU3F1;ZEB2;SMO;RAPGEF5;LY6H;DSCAML1;NOTCH2;CXCR4;CRMP1;MST1R;ASCL1;NPAS1;NEUROD1;NEUROD2;NHLH2;EFNB3;FLRT3;BTBD3;NTF3;PCDHA4;PCDHA3;NPTX1;LGI1;GDF11;MARCKSL1;BDNF;ZBTB16;FN1;LSAMP;CRIM1;AHI1;P2RX5;PCDHB5;PCDHB4;FAT4;PCDHB3;ERCC6;LRCH4;FGF13;PCDHB9;APBA2;ITM2B;FGF11
GO_Biological_Process_2021	response to calcium ion (GO:0051592)	22/107	1.454493e-04	8.772673e-02	0	0	2.688387e+00	2.375373e+01	RYR1;CPNE8;RYR2;PRKAA1;CPNE4;CPNE7;CPNE6;WNT5A;HPCA;ANXA11;BRAF;IQGAP1;ADCY1;RYR3;SYT17;CRHBP;NEUROD2;KCNMB2;CAPN3;CALM3;CPNE2;SLC25A24
GO_Biological_Process_2021	substrate adhesion-dependent cell spreading (GO:0034446)	13/48	1.959260e-04	1.034000e-01	0	0	3.848812e+00	3.286029e+01	NTNG1;LAMA5;NRP1;ITGA4;PXN;FN1;LAMB1;PARVB;FER;TMEFF2;PEAK1;ITGA8;BVES
GO_Biological_Process_2021	cellular calcium ion homeostasis (GO:0006874)	25/136	3.395613e-04	1.592920e-01	0	0	2.340069e+00	1.869214e+01	RYR1;SLC24A2;RYR2;CALCA;CALCB;SLC24A3;CHRNA7;MCUB;ATP2C2;ATP2C1;STC2;DRD5;TRPC5;SLC10A7;TRPC6;CAV3;EDN3;TRPC4;ATP2B3;ATP1B1;HCRTR2;CXCL12;ATP13A4;ATP13A5;MCU
GO_Biological_Process_2021	neuron projection extension (GO:1990138)	10/33	3.959129e-04	1.632929e-01	0	0	4.500581e+00	3.525897e+01	SEMA5A;CYFIP1;NRP1;CDKL3;NRP2;FLRT3;MAP1B;TMEM108;IQGAP1;EIF2AK4
