Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	positive regulation of cell-cell adhesion mediated by integrin (GO:0033634)	3/6	1.990281e-06	1.082509e-03	0	0	2.187143e+02	2.871114e+03	CCL5;CD3E;CXCL13
GO_Biological_Process_2021	positive regulation of cell-cell adhesion (GO:0022409)	5/47	2.702895e-06	1.082509e-03	0	0	2.657036e+01	3.406635e+02	CCL5;TNFSF11;CD3E;CXCL13;CD44
GO_Biological_Process_2021	regulation of cell-cell adhesion mediated by integrin (GO:0033632)	3/10	1.177987e-05	3.145225e-03	0	0	9.371586e+01	1.063592e+03	CCL5;CD3E;CXCL13
GO_Biological_Process_2021	positive regulation of cell adhesion mediated by integrin (GO:0033630)	3/18	7.794760e-05	1.560901e-02	0	0	4.371648e+01	4.135349e+02	CCL5;CD3E;CXCL13
GO_Biological_Process_2021	cytokine-mediated signaling pathway (GO:0019221)	11/621	1.581873e-04	2.534160e-02	0	0	4.192297e+00	3.668986e+01	CCL8;TNFRSF12A;CCL5;IL2RB;SDC1;TNFSF11;VIM;TIMP1;PLP2;CXCL13;CD44
GO_Biological_Process_2021	bleb assembly (GO:0032060)	2/7	4.519745e-04	6.033859e-02	0	0	8.652609e+01	6.664140e+02	EMP1;EMP3
GO_Biological_Process_2021	positive regulation of homotypic cell-cell adhesion (GO:0034112)	2/8	6.007888e-04	6.874740e-02	0	0	7.210145e+01	5.347957e+02	CCL5;TNFSF11
GO_Biological_Process_2021	inflammatory response (GO:0006954)	6/230	7.597311e-04	7.606807e-02	0	0	5.990869e+00	4.302969e+01	CCL8;CCL5;PTX3;CXCL13;CD44;CMKLR1
GO_Biological_Process_2021	monocyte chemotaxis (GO:0002548)	3/42	1.010669e-03	8.079688e-02	0	0	1.679374e+01	1.158289e+02	CCL8;CCL5;TNFSF11
GO_Biological_Process_2021	positive regulation of biosynthetic process (GO:0009891)	3/44	1.158083e-03	8.079688e-02	0	0	1.597293e+01	1.079928e+02	CCL5;CREB3L1;VIM
GO_Biological_Process_2021	lymphocyte chemotaxis (GO:0048247)	3/44	1.158083e-03	8.079688e-02	0	0	1.597293e+01	1.079928e+02	CCL8;CCL5;CXCL13
GO_Biological_Process_2021	positive regulation of ERK1 and ERK2 cascade (GO:0070374)	5/172	1.314486e-03	8.079688e-02	0	0	6.640315e+00	4.405391e+01	CCL8;CCL5;TNFSF11;FGFR4;CD44
GO_Biological_Process_2021	negative regulation by host of viral process (GO:0044793)	2/12	1.398904e-03	8.079688e-02	0	0	4.325217e+01	2.842561e+02	CCL8;PTX3
GO_Biological_Process_2021	regulation of homotypic cell-cell adhesion (GO:0034110)	2/13	1.648199e-03	8.079688e-02	0	0	3.931818e+01	2.519537e+02	CCL5;TNFSF11
GO_Biological_Process_2021	positive regulation of macrophage chemotaxis (GO:0010759)	2/14	1.917026e-03	8.079688e-02	0	0	3.603986e+01	2.255007e+02	CCL5;CMKLR1
GO_Biological_Process_2021	positive regulation of T cell chemotaxis (GO:0010820)	2/14	1.917026e-03	8.079688e-02	0	0	3.603986e+01	2.255007e+02	CCL5;CXCL13
GO_Biological_Process_2021	cellular response to cytokine stimulus (GO:0071345)	8/482	1.954592e-03	8.079688e-02	0	0	3.813561e+00	2.378737e+01	CCL8;CCL5;IL2RB;SDC1;TNFSF11;VIM;TIMP1;PLP2
GO_Biological_Process_2021	regulation of T cell chemotaxis (GO:0010819)	2/15	2.205199e-03	8.079688e-02	0	0	3.326589e+01	2.034853e+02	CCL5;CXCL13
GO_Biological_Process_2021	chemokine-mediated signaling pathway (GO:0070098)	3/56	2.327333e-03	8.079688e-02	0	0	1.234895e+01	7.487210e+01	CCL8;CCL5;CXCL13
GO_Biological_Process_2021	eosinophil chemotaxis (GO:0048245)	2/16	2.512535e-03	8.079688e-02	0	0	3.088820e+01	1.849111e+02	CCL8;CCL5
GO_Biological_Process_2021	eosinophil migration (GO:0072677)	2/16	2.512535e-03	8.079688e-02	0	0	3.088820e+01	1.849111e+02	CCL8;CCL5
GO_Biological_Process_2021	epiboly involved in wound healing (GO:0090505)	2/16	2.512535e-03	8.079688e-02	0	0	3.088820e+01	1.849111e+02	CCN1;CD44
GO_Biological_Process_2021	positive regulation of collagen biosynthetic process (GO:0032967)	2/16	2.512535e-03	8.079688e-02	0	0	3.088820e+01	1.849111e+02	CREB3L1;VIM
GO_Biological_Process_2021	positive regulation of apoptotic signaling pathway (GO:2001235)	3/59	2.701853e-03	8.079688e-02	0	0	1.168564e+01	6.910672e+01	TNFRSF12A;CAV1;NUPR1
GO_Biological_Process_2021	regulation of angiogenesis (GO:0045765)	5/203	2.711127e-03	8.079688e-02	0	0	5.591874e+00	3.305016e+01	ECM1;HSPB6;SERPINF1;HSPB1;CXCL13
GO_Biological_Process_2021	cellular response to chemokine (GO:1990869)	3/60	2.834455e-03	8.079688e-02	0	0	1.148005e+01	6.734087e+01	CCL8;CCL5;CXCL13
