Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	cilium movement (GO:0003341)	12/52	1.113028e-09	1.703198e-06	0	0	1.358492e+01	2.800692e+02	ODAD1;DNAI4;DNAI2;ODAD2;SPEF2;DNAI3;ODAD4;CFAP70;TEKT1;DNAAF4;CFAP206;CFAP53
GO_Biological_Process_2021	extracellular structure organization (GO:0043062)	22/216	3.041988e-09	1.703198e-06	0	0	5.215687e+00	1.022836e+02	COL17A1;COL18A1;POSTN;VCAM1;MIA;LUM;MMP2;BGN;NID2;THBS1;LOXL1;TTR;COL4A4;BSG;COL4A3;COL8A2;COL8A1;COL9A3;TGFBI;ITGB6;ATP7A;DDR2
GO_Biological_Process_2021	external encapsulating structure organization (GO:0045229)	22/217	3.316940e-09	1.703198e-06	0	0	5.188672e+00	1.013048e+02	COL17A1;COL18A1;POSTN;VCAM1;MIA;LUM;MMP2;BGN;NID2;THBS1;LOXL1;TTR;COL4A4;BSG;COL4A3;COL8A2;COL8A1;COL9A3;TGFBI;ITGB6;ATP7A;DDR2
GO_Biological_Process_2021	extracellular matrix organization (GO:0030198)	26/300	3.589459e-09	1.703198e-06	0	0	4.387947e+00	8.532478e+01	COL17A1;COL18A1;NID2;THBS1;LOXL1;LOXL2;TTR;BSG;ITGB6;ATP7A;POSTN;CRTAP;VCAM1;MIA;LUM;MMP2;BGN;KIF9;COL4A4;COL4A3;COL8A2;COL8A1;COL9A3;TGFBI;GAS6;DDR2
GO_Biological_Process_2021	collagen fibril organization (GO:0030199)	13/89	7.904441e-08	3.000526e-05	0	0	7.749480e+00	1.267292e+02	COL17A1;COL18A1;CRTAP;LUM;LOXL1;LOXL2;COL4A4;COL4A3;COL8A2;COL8A1;COL9A3;ATP7A;DDR2
GO_Biological_Process_2021	axonemal dynein complex assembly (GO:0070286)	8/32	3.587677e-07	1.134902e-04	0	0	1.496782e+01	2.221312e+02	ODAD1;DNAI4;DNAI2;ODAD2;DNAI3;DNAAF3;ODAD4;DNAAF4
GO_Biological_Process_2021	axoneme assembly (GO:0035082)	7/34	7.998404e-06	2.168710e-03	0	0	1.161315e+01	1.362950e+02	SPAG16;DNAI4;DNAAF3;FOXJ1;JHY;CFAP206;HOATZ
GO_Biological_Process_2021	supramolecular fiber organization (GO:0097435)	22/351	1.311374e-05	3.111235e-03	0	0	3.054069e+00	3.433338e+01	COL17A1;COL18A1;CRTAP;LUM;RHOD;OOEP;LOXL1;LOXL2;EFEMP2;TTR;COL4A4;TRPV4;COL4A3;COL8A2;COL8A1;COL9A3;ELMO3;EMILIN1;TGFBI;ATP7A;CGNL1;DDR2
GO_Biological_Process_2021	outer dynein arm assembly (GO:0036158)	5/18	3.518875e-05	7.420916e-03	0	0	1.716192e+01	1.759918e+02	ODAD1;DNAI2;ODAD2;ODAD4;DNAAF4
GO_Biological_Process_2021	cilium organization (GO:0044782)	16/228	5.234794e-05	9.436817e-03	0	0	3.419204e+00	3.370514e+01	SPAG16;CFAP52;DNAI2;CFAP70;CCDC113;FOXJ1;CFAP126;KIF27;CATIP;FAM161A;TMEM237;TEKT1;TMEM107;HOATZ;CFAP43;RILP
GO_Biological_Process_2021	microtubule bundle formation (GO:0001578)	7/45	5.469177e-05	9.436817e-03	0	0	8.246801e+00	8.093243e+01	SPAG16;CAPN6;FOXJ1;JHY;CFAP206;HOATZ;GAS2L2
GO_Biological_Process_2021	copper ion transport (GO:0006825)	4/11	6.925781e-05	1.095428e-02	0	0	2.544745e+01	2.437274e+02	STEAP4;SLC31A1;ATP7A;STEAP2
GO_Biological_Process_2021	cellular response to vitamin (GO:0071295)	3/5	1.044183e-04	1.415613e-02	0	0	6.666477e+01	6.111230e+02	POSTN;GAS6;FOLR1
GO_Biological_Process_2021	copper ion import (GO:0015677)	3/5	1.044183e-04	1.415613e-02	0	0	6.666477e+01	6.111230e+02	STEAP4;ATP7A;STEAP2
GO_Biological_Process_2021	sulfur compound catabolic process (GO:0044273)	6/40	2.314213e-04	2.867553e-02	0	0	7.883834e+00	6.599770e+01	NUDT7;LUM;OGN;BGN;DPEP1;PRELP
GO_Biological_Process_2021	cilium assembly (GO:0060271)	18/314	2.417326e-04	2.867553e-02	0	0	2.755946e+00	2.295063e+01	SPAG16;CFAP52;DNAI2;DNAAF3;CFAP70;CCDC113;FOXJ1;CFAP206;SPATA6;KIF27;FAM161A;TMEM237;TEKT1;TMEM107;JHY;HOATZ;CFAP43;RILP
GO_Biological_Process_2021	determination of left/right symmetry (GO:0007368)	6/42	3.046896e-04	3.401770e-02	0	0	7.445080e+00	6.027698e+01	DNAI2;ODAD2;ODAD4;FOXJ1;DNAAF4;CFAP53
GO_Biological_Process_2021	amino-acid betaine metabolic process (GO:0006577)	3/7	3.535368e-04	3.531647e-02	0	0	3.332898e+01	2.648828e+02	BHMT;CPT2;CPT1B
GO_Biological_Process_2021	regulation of cilium beat frequency (GO:0003356)	3/7	3.535368e-04	3.531647e-02	0	0	3.332898e+01	2.648828e+02	ODAD2;CFAP206;CFAP43
GO_Biological_Process_2021	determination of bilateral symmetry (GO:0009855)	5/29	3.990100e-04	3.786605e-02	0	0	9.290811e+00	7.271475e+01	DNAI2;ODAD2;FOXJ1;DNAAF4;CFAP53
GO_Biological_Process_2021	cell-cell junction organization (GO:0045216)	8/82	4.628281e-04	4.183085e-02	0	0	4.842001e+00	3.717763e+01	CDH3;MARVELD2;TRPV4;MARVELD3;DSG2;PKP3;CLDN1;TJP3
GO_Biological_Process_2021	diterpenoid metabolic process (GO:0016101)	7/64	5.218372e-04	4.399931e-02	0	0	5.492516e+00	4.151328e+01	TTR;RDH10;RBP1;ABCA4;RDH5;GPIHBP1;STRA6
GO_Biological_Process_2021	amine metabolic process (GO:0009308)	3/8	5.563665e-04	4.399931e-02	0	0	2.666182e+01	1.998059e+02	SULT1C2;VCAM1;INMT
GO_Biological_Process_2021	elastic fiber assembly (GO:0048251)	3/8	5.563665e-04	4.399931e-02	0	0	2.666182e+01	1.998059e+02	EFEMP2;EMILIN1;ATP7A
GO_Biological_Process_2021	cellular response to interleukin-17 (GO:0097398)	3/9	8.208546e-04	5.992239e-02	0	0	2.221705e+01	1.578558e+02	IL25;TRAF3IP2;IL17RE
GO_Biological_Process_2021	interleukin-17-mediated signaling pathway (GO:0097400)	3/9	8.208546e-04	5.992239e-02	0	0	2.221705e+01	1.578558e+02	IL25;TRAF3IP2;IL17RE
GO_Biological_Process_2021	epithelial cilium movement involved in extracellular fluid movement (GO:0003351)	4/20	8.680611e-04	6.102148e-02	0	0	1.112813e+01	7.844497e+01	SPEF2;ODAD4;DNAAF4;CFAP53
GO_Biological_Process_2021	bicellular tight junction assembly (GO:0070830)	6/53	1.086601e-03	7.365602e-02	0	0	5.699401e+00	3.889671e+01	CLDN3;MARVELD2;MARVELD3;CLDN2;CLDN1;CRB3
GO_Biological_Process_2021	regulation of cilium movement (GO:0003352)	3/10	1.153427e-03	7.548980e-02	0	0	1.904221e+01	1.288209e+02	ODAD2;CFAP206;CFAP43
GO_Biological_Process_2021	plasma membrane bounded cell projection assembly (GO:0120031)	15/278	1.431578e-03	8.899578e-02	0	0	2.571071e+00	1.683789e+01	SPAG16;CFAP52;DNAI2;CFAP70;CCDC113;FOXJ1;RHOD;KIF27;FAM161A;TMEM237;TEKT1;TMEM107;HOATZ;CFAP43;RILP
GO_Biological_Process_2021	tight junction assembly (GO:0120192)	6/56	1.453567e-03	8.899578e-02	0	0	5.356613e+00	3.499869e+01	CLDN3;MARVELD2;MARVELD3;CLDN2;CLDN1;CRB3
GO_Biological_Process_2021	cilium-dependent cell motility (GO:0060285)	4/23	1.505387e-03	8.902390e-02	0	0	9.369620e+00	6.089040e+01	DNAI3;TEKT1;EFHC1;EFHC2
GO_Biological_Process_2021	organophosphate catabolic process (GO:0046434)	3/11	1.559992e-03	8.902390e-02	0	0	1.666108e+01	1.076818e+02	PON1;ENPP2;PLBD1
GO_Biological_Process_2021	monocarboxylic acid transport (GO:0015718)	6/57	1.594738e-03	8.902390e-02	0	0	5.251312e+00	3.382394e+01	SLCO1C1;SLC16A6;SLC16A12;SLC16A8;SLC16A9;SLC16A4
GO_Biological_Process_2021	extracellular matrix assembly (GO:0085029)	4/24	1.775179e-03	9.626540e-02	0	0	8.900683e+00	5.637563e+01	EFEMP2;EMILIN1;ATP7A;GAS6
GO_Biological_Process_2021	keratan sulfate catabolic process (GO:0042340)	3/12	2.045969e-03	1.039516e-01	0	0	1.480909e+01	9.169617e+01	LUM;OGN;PRELP
GO_Biological_Process_2021	positive regulation of vascular permeability (GO:0043117)	3/12	2.045969e-03	1.039516e-01	0	0	1.480909e+01	9.169617e+01	TRPV4;BMP6;TJP3
GO_Biological_Process_2021	apical junction assembly (GO:0043297)	6/60	2.081222e-03	1.039516e-01	0	0	4.958810e+00	3.061966e+01	CLDN3;MARVELD2;MARVELD3;CLDN2;CLDN1;CRB3
GO_Biological_Process_2021	regulation of extracellular matrix organization (GO:1903053)	3/15	4.027627e-03	1.960112e-01	0	0	1.110511e+01	6.124002e+01	EFEMP2;FAP;DDR2
GO_Biological_Process_2021	retinoid metabolic process (GO:0001523)	7/92	4.341707e-03	1.975169e-01	0	0	3.677928e+00	2.000604e+01	TTR;RDH10;RBP1;ABCA4;RDH5;GPIHBP1;STRA6
GO_Biological_Process_2021	diaphragm development (GO:0060539)	2/5	4.682961e-03	1.975169e-01	0	0	2.956009e+01	1.585551e+02	TCF21;STRA6
