Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	cilium movement (GO:0003341)	6/52	5.200071205659628e-07	0.000153922107687525	0	0	23.74032708416434	343.50884262254783	RSPH4A;CFAP73;DNAAF1;CFAP91;TEKT4;TTC29
GO_Biological_Process_2021	axoneme assembly (GO:0035082)	5/34	1.4024792847087255e-06	0.0002075669341368914	0	0	31.122257053291538	419.4430292581937	LRGUK;RSPH4A;RSPH1;DNAAF1;DNAJB13
GO_Biological_Process_2021	spermatid development (GO:0007286)	3/43	0.001932957261886	0.103718031191358	0	0	13.2890625	83.03942050809016	RSPH1;TTC21A;IQCG
GO_Biological_Process_2021	cilium organization (GO:0044782)	6/228	0.0020594579601748	0.103718031191358	0	0	4.875526903049839	30.156657287546587	UBXN10;DNAAF1;TEKT4;MNS1;TTC29;IQCG
GO_Biological_Process_2021	microtubule bundle formation (GO:0001578)	3/45	0.0022041190361061	0.103718031191358	0	0	12.65497448979592	77.41588743742494	LRGUK;RSPH4A;RSPH1
GO_Biological_Process_2021	cilium assembly (GO:0060271)	7/314	0.0022710314325767	0.103718031191358	0	0	4.1333695258776695	25.161974513300265	LRGUK;RSPH4A;RSPH1;UBXN10;DNAAF1;TEKT4;DYNLRB2
GO_Biological_Process_2021	inner dynein arm assembly (GO:0036159)	2/13	0.002452791278174	0.103718031191358	0	0	31.977473853580047	192.20152133554797	CFAP73;DNAAF1
GO_Biological_Process_2021	plasma membrane bounded cell projection organization (GO:0120036)	4/128	0.0064056431902011	0.2234810136615967	0	0	5.742807323452484	29.00448443075806	STMND1;MNS1;TTC29;IQCG
GO_Biological_Process_2021	axonemal dynein complex assembly (GO:0070286)	2/32	0.0145272300558805	0.2234810136615967	0	0	11.71386430678466	49.56991634192448	CFAP73;DNAAF1
GO_Biological_Process_2021	protein localization to cilium (GO:0061512)	2/35	0.0172333042086663	0.2234810136615967	0	0	10.64735854116385	43.237980490566834	TTC21A;MAPK15
GO_Biological_Process_2021	digestive tract development (GO:0048565)	2/40	0.0221757487043488	0.2234810136615967	0	0	9.24406148113647	35.20837451891862	RARRES2;DNAAF1
GO_Biological_Process_2021	determination of left/right symmetry (GO:0007368)	2/42	0.0242976817972335	0.2234810136615967	0	0	8.780973451327434	32.642165322128655	DNAAF1;ENKUR
GO_Biological_Process_2021	amino-acid betaine biosynthetic process (GO:0006578)	1/5	0.0284238994497203	0.2234810136615967	0	0	43.59868421052632	155.23420325807967	BBOX1
GO_Biological_Process_2021	antifungal humoral response (GO:0019732)	1/5	0.0284238994497203	0.2234810136615967	0	0	43.59868421052632	155.23420325807967	RARRES2
GO_Biological_Process_2021	de novo centriole assembly (GO:0097742)	1/5	0.0284238994497203	0.2234810136615967	0	0	43.59868421052632	155.23420325807967	CCDC78
GO_Biological_Process_2021	de novo centriole assembly involved in multi-ciliated epithelial cell differentiation (GO:0098535)	1/5	0.0284238994497203	0.2234810136615967	0	0	43.59868421052632	155.23420325807967	CCDC78
GO_Biological_Process_2021	regulation of cell maturation (GO:1903429)	1/5	0.0284238994497203	0.2234810136615967	0	0	43.59868421052632	155.23420325807967	TCP11
