Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	cilium movement (GO:0003341)	6/52	5.200071e-07	1.539221e-04	0	0	2.374033e+01	3.435088e+02	RSPH4A;CFAP73;DNAAF1;CFAP91;TEKT4;TTC29
GO_Biological_Process_2021	axoneme assembly (GO:0035082)	5/34	1.402479e-06	2.075669e-04	0	0	3.112226e+01	4.194430e+02	LRGUK;RSPH4A;RSPH1;DNAAF1;DNAJB13
GO_Biological_Process_2021	spermatid development (GO:0007286)	3/43	1.932957e-03	1.037180e-01	0	0	1.328906e+01	8.303942e+01	RSPH1;TTC21A;IQCG
GO_Biological_Process_2021	cilium organization (GO:0044782)	6/228	2.059458e-03	1.037180e-01	0	0	4.875527e+00	3.015666e+01	UBXN10;DNAAF1;TEKT4;MNS1;TTC29;IQCG
GO_Biological_Process_2021	microtubule bundle formation (GO:0001578)	3/45	2.204119e-03	1.037180e-01	0	0	1.265497e+01	7.741589e+01	LRGUK;RSPH4A;RSPH1
GO_Biological_Process_2021	cilium assembly (GO:0060271)	7/314	2.271031e-03	1.037180e-01	0	0	4.133370e+00	2.516197e+01	LRGUK;RSPH4A;RSPH1;UBXN10;DNAAF1;TEKT4;DYNLRB2
GO_Biological_Process_2021	inner dynein arm assembly (GO:0036159)	2/13	2.452791e-03	1.037180e-01	0	0	3.197747e+01	1.922015e+02	CFAP73;DNAAF1
GO_Biological_Process_2021	plasma membrane bounded cell projection organization (GO:0120036)	4/128	6.405643e-03	2.234810e-01	0	0	5.742807e+00	2.900448e+01	STMND1;MNS1;TTC29;IQCG
GO_Biological_Process_2021	axonemal dynein complex assembly (GO:0070286)	2/32	1.452723e-02	2.234810e-01	0	0	1.171386e+01	4.956992e+01	CFAP73;DNAAF1
GO_Biological_Process_2021	protein localization to cilium (GO:0061512)	2/35	1.723330e-02	2.234810e-01	0	0	1.064736e+01	4.323798e+01	TTC21A;MAPK15
GO_Biological_Process_2021	digestive tract development (GO:0048565)	2/40	2.217575e-02	2.234810e-01	0	0	9.244061e+00	3.520837e+01	DNAAF1;RARRES2
