Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	negative regulation of hydrogen peroxide metabolic process (GO:0010727)	1/5	1.169596e-02	1.426142e-01	0	0	1.084185e+02	4.823009e+02	MMP3
GO_Biological_Process_2021	regulation of hydrogen peroxide metabolic process (GO:0010310)	1/6	1.401904e-02	1.426142e-01	0	0	8.673043e+01	3.701082e+02	MMP3
GO_Biological_Process_2021	positive regulation of oxidative stress-induced cell death (GO:1903209)	1/7	1.633678e-02	1.426142e-01	0	0	7.227174e+01	2.973502e+02	MMP3
GO_Biological_Process_2021	cellular response to nitric oxide (GO:0071732)	1/9	2.095627e-02	1.426142e-01	0	0	5.419837e+01	2.094939e+02	MMP3
GO_Biological_Process_2021	cellular response to reactive nitrogen species (GO:1902170)	1/9	2.095627e-02	1.426142e-01	0	0	5.419837e+01	2.094939e+02	MMP3
GO_Biological_Process_2021	cellular response to UV-A (GO:0071492)	1/11	2.555454e-02	1.426142e-01	0	0	4.335435e+01	1.589778e+02	MMP3
GO_Biological_Process_2021	regulation of oxidative stress-induced cell death (GO:1903201)	1/12	2.784573e-02	1.426142e-01	0	0	3.941107e+01	1.411340e+02	MMP3
GO_Biological_Process_2021	antifungal innate immune response (GO:0061760)	1/13	3.013166e-02	1.426142e-01	0	0	3.612500e+01	1.265162e+02	CLEC4D
GO_Biological_Process_2021	response to nitric oxide (GO:0071731)	1/13	3.013166e-02	1.426142e-01	0	0	3.612500e+01	1.265162e+02	MMP3
GO_Biological_Process_2021	response to UV-A (GO:0070141)	1/14	3.241233e-02	1.426142e-01	0	0	3.334448e+01	1.143454e+02	MMP3
GO_Biological_Process_2021	positive regulation of leukocyte activation (GO:0002696)	1/19	4.373716e-02	1.603696e-01	0	0	2.407609e+01	7.534749e+01	CLEC4D
GO_Biological_Process_2021	regulation of neuroinflammatory response (GO:0150077)	1/19	4.373716e-02	1.603696e-01	0	0	2.407609e+01	7.534749e+01	MMP3
GO_Biological_Process_2021	cellular response to inorganic substance (GO:0071241)	1/21	4.823068e-02	1.611345e-01	0	0	2.166630e+01	6.568704e+01	MMP3
GO_Biological_Process_2021	negative regulation of reactive oxygen species metabolic process (GO:2000378)	1/23	5.270353e-02	1.611345e-01	0	0	1.969466e+01	5.796283e+01	MMP3
GO_Biological_Process_2021	defense response to fungus (GO:0050832)	1/24	5.493223e-02	1.611345e-01	0	0	1.883743e+01	5.465972e+01	CLEC4D
GO_Biological_Process_2021	response to peptide (GO:1901652)	1/39	8.775338e-02	2.165764e-01	0	0	1.139302e+01	2.772178e+01	MMP3
GO_Biological_Process_2021	detection of chemical stimulus involved in sensory perception of bitter taste (GO:0001580)	1/40	8.990134e-02	2.165764e-01	0	0	1.110033e+01	2.674118e+01	LPO
GO_Biological_Process_2021	sensory perception of bitter taste (GO:0050913)	1/41	9.204436e-02	2.165764e-01	0	0	1.082228e+01	2.581639e+01	LPO
GO_Biological_Process_2021	response to amyloid-beta (GO:1904645)	1/44	9.844381e-02	2.165764e-01	0	0	1.006572e+01	2.333506e+01	MMP3
