Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	glucan biosynthetic process (GO:0009250)	1/13	0.032026213248763	0.1921572794925781	0	0	33.90816326530612	116.6847899929619	GYS2
GO_Biological_Process_2021	glycogen biosynthetic process (GO:0005978)	1/13	0.032026213248763	0.1921572794925781	0	0	33.90816326530612	116.6847899929619	GYS2
GO_Biological_Process_2021	response to hexose (GO:0009746)	1/25	0.0606955298241754	0.2031954768329607	0	0	16.943877551020407	47.47480020477031	GYS2
GO_Biological_Process_2021	glycogen metabolic process (GO:0005977)	1/28	0.0677318256109869	0.2031954768329607	0	0	15.058956916099774	40.54171043527237	GYS2
GO_Biological_Process_2021	negative regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043124)	1/40	0.0953640965755271	0.2288738317812652	0	0	10.419152276295131	24.485561288951835	PPM1N
GO_Biological_Process_2021	response to glucose (GO:0009749)	1/49	0.1155599990222406	0.2311199980444813	0	0	8.46173469387755	18.26013079359792	GYS2
GO_Biological_Process_2021	positive regulation of canonical Wnt signaling pathway (GO:0090263)	1/130	0.2785278903472666	0.477476383452457	0	0	3.135738016136687	4.008216604624779	PPM1N
GO_Biological_Process_2021	positive regulation of Wnt signaling pathway (GO:0030177)	1/153	0.3191700762858281	0.4787551144287422	0	0	2.6581632653061225	3.0357052873752	PPM1N
GO_Biological_Process_2021	negative regulation of intracellular signal transduction (GO:1902532)	1/198	0.3923030921692546	0.514136979594587	0	0	2.0463068476121413	1.914771355908193	PPM1N
GO_Biological_Process_2021	regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043122)	1/224	0.4309878220097169	0.514136979594587	0	0	1.805344559348403	1.519514184420898	PPM1N
GO_Biological_Process_2021	regulation of canonical Wnt signaling pathway (GO:0060828)	1/253	0.4712922312950381	0.514136979594587	0	0	1.5952380952380951	1.2000608149186214	PPM1N
GO_Biological_Process_2021	proteolysis (GO:0006508)	1/287	0.51499186851511	0.51499186851511	0	0	1.4031682603111175	0.9311483055746664	CAPN9
