Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	ubiquitin-dependent protein catabolic process (GO:0006511)	18/354	1.665054e-04	1.454231e-01	0	0	2.845779e+00	2.475965e+01	NDFIP2;ANKIB1;FAF1;AMFR;VPS37D;UBE2G1;KCTD2;AGAP3;TRPC4AP;RNF144A;PINK1;RNF215;PSME3;KLHL8;UBQLN1;NHLRC1;RNF166;UBQLN2
GO_Biological_Process_2021	cellular response to alcohol (GO:0097306)	6/48	2.868689e-04	1.454231e-01	0	0	7.457905e+00	6.083029e+01	GOLPH3;KLF9;ADCY2;AHR;GNAI1;LRP6
GO_Biological_Process_2021	myelination (GO:0042552)	6/48	2.868689e-04	1.454231e-01	0	0	7.457905e+00	6.083029e+01	EIF2B5;GAL3ST1;MYRF;GPC1;PARD3;SOX10
GO_Biological_Process_2021	modification-dependent protein catabolic process (GO:0019941)	12/201	4.964423e-04	1.454231e-01	0	0	3.343227e+00	2.543542e+01	RNF144A;NDFIP2;PINK1;ANKIB1;RNF215;AMFR;KLHL8;UBQLN1;UBE2G1;TRPC4AP;RNF166;UBQLN2
GO_Biological_Process_2021	cellular response to forskolin (GO:1904322)	3/9	5.290172e-04	1.454231e-01	0	0	2.594312e+01	1.957276e+02	ADCY2;AHR;GNAI1
GO_Biological_Process_2021	response to forskolin (GO:1904321)	3/9	5.290172e-04	1.454231e-01	0	0	2.594312e+01	1.957276e+02	ADCY2;AHR;GNAI1
GO_Biological_Process_2021	regulation of sodium ion transport (GO:0002028)	5/36	5.666248e-04	1.454231e-01	0	0	8.402539e+00	6.281582e+01	SLMAP;CNKSR3;SIK1;SNTA1;YWHAH
GO_Biological_Process_2021	positive regulation of protein localization to membrane (GO:1905477)	8/101	6.975172e-04	1.454231e-01	0	0	4.503099e+00	3.272845e+01	NECAB2;PRKCI;TFDP1;AKT1;PTPN9;STX3;BBC3;YWHAH
GO_Biological_Process_2021	negative regulation of apoptotic signaling pathway (GO:2001234)	7/78	7.127900e-04	1.454231e-01	0	0	5.153122e+00	3.734119e+01	URI1;PINK1;PSME3;MAZ;FZD9;AKT1;RIPK1
GO_Biological_Process_2021	axon development (GO:0061564)	7/79	7.695155e-04	1.454231e-01	0	0	5.081291e+00	3.643158e+01	RAB10;PARD3;ADGRB1;SLITRK5;RTN4RL2;NEFH;CDK5R1
GO_Biological_Process_2021	regulation of neuron differentiation (GO:0045664)	7/79	7.695155e-04	1.454231e-01	0	0	5.081291e+00	3.643158e+01	CASZ1;HES1;TCF3;NBL1;YWHAH;BEND6;CDK5R1
GO_Biological_Process_2021	cellular response to ketone (GO:1901655)	5/39	8.258763e-04	1.454231e-01	0	0	7.659966e+00	5.437860e+01	GOLPH3;KLF9;ADCY2;AHR;GNAI1
