Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	actomyosin structure organization (GO:0031032)	17/76	1.029763e-06	3.202563e-03	0	0	4.805754e+00	6.625300e+01	FHOD3;EPB41;TMOD3;TPM1;ARRB1;MYPN;CIT;PDLIM1;FRMD6;MYH3;OBSCN;CSRP1;EPB41L1;TNNT2;EPB41L3;TCAP;PHACTR1
GO_Biological_Process_2021	anterograde trans-synaptic signaling (GO:0098916)	33/244	3.844828e-06	4.542438e-03	0	0	2.624701e+00	3.272682e+01	CHRM2;SNAP25;DOC2A;CHRNA4;CHRM4;HTR2A;CAMKK2;GRM3;HRH1;GRM4;PTCHD1;HRH2;NPY;SNCB;PRKACB;GABRD;DRD4;GABRA1;CHRNB3;GABRA4;MINK1;GABRA3;GABRG2;GRIN1;CACNB3;DLG1;PRKAR1B;GLRB;NOVA1;CAMK4;CRH;CAMK1;KCNK3
GO_Biological_Process_2021	potassium ion transport (GO:0006813)	21/122	5.418754e-06	4.542438e-03	0	0	3.472444e+00	4.210562e+01	KCNJ4;KCNH3;KCNF1;HCN3;KCNH4;KCNH5;KCNH6;KCNK9;KCNH7;KCNB1;LRRC38;KCNAB3;LRRC55;KCNV1;SLC9A5;KCNS1;KCNQ4;KCNQ5;KCNK3;KCNH1;KCNK4
GO_Biological_Process_2021	chemical synaptic transmission (GO:0007268)	38/306	5.842363e-06	4.542438e-03	0	0	2.383013e+00	2.871620e+01	CHRM2;SNAP25;DOC2A;CHRNA4;STXBP1;CHRM4;GRIK3;HTR2A;CAMKK2;GRM3;HRH1;GRM4;PTCHD1;HRH2;NPY;KIF1B;SNCB;PRKACB;GABRD;DRD4;GABRA1;CHRNB3;GABRA4;MINK1;GABRA3;GABRG2;GRIN1;CACNB3;DLG1;PRKAR1B;GLRB;NOVA1;CAMK4;CRH;CAMK1;STX1A;CBLN2;KCNK3
GO_Biological_Process_2021	potassium ion transmembrane transport (GO:0071805)	22/139	1.321201e-05	8.217867e-03	0	0	3.140439e+00	3.528090e+01	KCNJ4;KCNH3;KCNF1;HCN3;KCNH4;KCNH5;KCNH6;KCNK9;KCNH7;KCNB1;KCNJ9;LRRC38;KCNAB3;LRRC55;KCNV1;SLC9A5;KCNS1;KCNQ4;KCNQ5;KCNK3;KCNH1;KCNK4
GO_Biological_Process_2021	axon guidance (GO:0007411)	26/203	9.990142e-05	4.526498e-02	0	0	2.454211e+00	2.260654e+01	EPHB6;GRB7;SPTBN5;PLXND1;SH3KBP1;LRTM2;SEMA3A;NTN5;LAMC2;SEMA3F;EFNA5;MYPN;RAP1GAP;NTN3;TUBB3;PLCG1;RAC1;SPTBN1;SEMA6C;SEMA4A;EPHA8;CNTN6;GFRA2;TMEFF1;DOK5;CNTN4
GO_Biological_Process_2021	regulation of postsynaptic membrane potential (GO:0060078)	9/35	1.159598e-04	4.526498e-02	0	0	5.742799e+00	5.204278e+01	GABRA1;MEF2C;CHRNA4;LRRK2;GABRA4;GABRA3;DRD4;GABRG2;GRIN1
GO_Biological_Process_2021	sarcomere organization (GO:0045214)	8/28	1.242499e-04	4.526498e-02	0	0	6.632394e+00	5.964655e+01	FHOD3;MYH3;OBSCN;CSRP1;TNNT2;TPM1;TCAP;MYPN
GO_Biological_Process_2021	positive regulation of heart rate by epinephrine-norepinephrine (GO:0001996)	4/6	1.455466e-04	4.526498e-02	0	0	3.307719e+01	2.922375e+02	PDE4D;TPM1;ADRA1D;ADRA1B
GO_Biological_Process_2021	regulation of type B pancreatic cell proliferation (GO:0061469)	4/6	1.455466e-04	4.526498e-02	0	0	3.307719e+01	2.922375e+02	NR4A1;PTPRN;NR1D1;SGPP2
GO_Biological_Process_2021	motor neuron axon guidance (GO:0008045)	6/16	1.684003e-04	4.761135e-02	0	0	9.936380e+00	8.633886e+01	TMEFF1;SEMA3A;NTN5;LAMC2;RAC1;NTN3
