Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	aerobic electron transport chain (GO:0019646)	25/70	2.461561907157078e-27	2.619296797810968e-24	0	0	36.351851851851855	2227.241663485545	NDUFB9;COX7B;NDUFA13;NDUFB6;NDUFB11;NDUFB5;COX4I1;NDUFB2;UQCR10;COX5B;UQCRH;UQCRFS1;NDUFV3;NDUFV2;NDUFA7;UQCC3;NDUFA4;NDUFA3;NDUFA2;NDUFA1;UQCRQ;NDUFS5;NDUFS4;NDUFAB1;NDUFS3
GO_Biological_Process_2021	mitochondrial ATP synthesis coupled electron transport (GO:0042775)	25/71	3.74452723060896e-27	2.619296797810968e-24	0	0	35.55978260869565	2163.795068016768	NDUFB9;COX7B;NDUFA13;NDUFB6;NDUFB11;NDUFB5;COX4I1;NDUFB2;UQCR10;COX5B;UQCRH;UQCRFS1;NDUFV3;NDUFV2;NDUFA7;UQCC3;NDUFA4;NDUFA3;NDUFA2;NDUFA1;UQCRQ;NDUFS5;NDUFS4;NDUFAB1;NDUFS3
GO_Biological_Process_2021	mitochondrial respiratory chain complex assembly (GO:0033108)	26/90	1.2630134335755866e-25	5.889852645240819e-23	0	0	26.64538043478261	1527.609685547685	NDUFB9;NDUFA13;NDUFB6;DMAC1;NDUFB11;NDUFB5;NDUFB2;UQCRFS1;NDUFV3;COA8;NDUFV2;COA3;NDUFA7;UQCC3;UQCC2;NDUFA3;NDUFA2;NDUFA1;NDUFAF6;NDUFS5;NDUFS4;SDHAF1;NDUFAB1;NDUFAF5;NDUFS3;TMEM126A
GO_Biological_Process_2021	mitochondrial translational termination (GO:0070126)	25/89	2.4258205711661537e-24	8.484307447653623e-22	0	0	25.53515625	1388.496397577023	MRPS16;MRPS34;MRPL36;MRPL14;MRPL15;MRPS30;MRPL34;MRPL13;MRPL57;MRPL54;MRPL11;MRPL41;MRPL3;MRPL20;MTRF1;MRPS28;GADD45GIP1;MRPS24;MRPS22;MRPS23;MRPL48;MRPL46;MRPL22;MRPL53;MRPL51
GO_Biological_Process_2021	mitochondrial translation (GO:0032543)	26/105	1.048485764670177e-23	2.9336631695471552e-21	0	0	21.56962025316456	1141.2941226093565	MRPS16;MRPS34;MRPL14;MRPL36;MRPL15;MRPS30;MRPL34;MRPL13;MRPL57;MRPL54;MRPL11;MRPL41;MRPL20;MRPL3;MTRF1;MRPS28;GADD45GIP1;NDUFA7;MRPS24;MRPS22;MRPS23;MRPL48;MRPL46;MRPL22;MRPL53;MRPL51
GO_Biological_Process_2021	translational termination (GO:0006415)	25/96	1.9635273159368316e-23	4.578291191659378e-21	0	0	23.009389671361504	1203.039372825098	MRPS16;MRPS34;MRPL36;MRPL14;MRPL15;MRPS30;MRPL34;MRPL13;MRPL57;MRPL54;MRPL11;MRPL41;MRPL3;MRPL20;MTRF1;MRPS28;GADD45GIP1;MRPS24;MRPS22;MRPS23;MRPL48;MRPL46;MRPL22;MRPL53;MRPL51
GO_Biological_Process_2021	mitochondrial translational elongation (GO:0070125)	24/89	6.093984092246635e-23	1.2179262492932916e-20	0	0	24.055200613340148	1230.4753519822375	MRPS28;GADD45GIP1;MRPS16;MRPS24;MRPS22;MRPS23;MRPS34;MRPL36;MRPL14;MRPL48;MRPL15;MRPS30;MRPL34;MRPL46;MRPL13;MRPL57;MRPL54;MRPL11;MRPL22;MRPL41;MRPL3;MRPL53;MRPL20;MRPL51
GO_Biological_Process_2021	mitochondrial respiratory chain complex I assembly (GO:0032981)	20/58	9.690596654741045e-22	1.5063494133314137e-19	0	0	33.88610871440898	1639.6036342129971	NDUFB9;NDUFA13;NDUFA7;NDUFB6;DMAC1;NDUFB11;NDUFB5;NDUFA3;NDUFA2;NDUFB2;NDUFA1;NDUFAF6;NDUFS5;NDUFS4;NDUFAB1;NDUFAF5;NDUFS3;TMEM126A;NDUFV3;NDUFV2
GO_Biological_Process_2021	NADH dehydrogenase complex assembly (GO:0010257)	20/58	9.690596654741045e-22	1.5063494133314137e-19	0	0	33.88610871440898	1639.6036342129971	NDUFB9;NDUFA13;NDUFA7;NDUFB6;DMAC1;NDUFB11;NDUFB5;NDUFA3;NDUFA2;NDUFB2;NDUFA1;NDUFAF6;NDUFS5;NDUFS4;NDUFAB1;NDUFAF5;NDUFS3;TMEM126A;NDUFV3;NDUFV2
GO_Biological_Process_2021	translational elongation (GO:0006414)	24/104	3.5205010262528904e-21	4.9251809357277935e-19	0	0	19.529900332225917	919.7740074967444	MRPS28;GADD45GIP1;MRPS16;MRPS24;MRPS22;MRPS23;MRPS34;MRPL14;MRPL36;MRPL15;MRPL48;MRPS30;MRPL34;MRPL13;MRPL46;MRPL57;MRPL54;MRPL11;MRPL22;MRPL41;MRPL20;MRPL3;MRPL53;MRPL51
