Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	aerobic electron transport chain (GO:0019646)	25/70	2.461562e-27	2.619297e-24	0	0	3.635185e+01	2.227242e+03	NDUFB9;COX7B;NDUFA13;NDUFB6;NDUFB11;NDUFB5;COX4I1;NDUFB2;UQCR10;COX5B;UQCRH;UQCRFS1;NDUFV3;NDUFV2;NDUFA7;UQCC3;NDUFA4;NDUFA3;NDUFA2;NDUFA1;UQCRQ;NDUFS5;NDUFS4;NDUFAB1;NDUFS3
GO_Biological_Process_2021	mitochondrial ATP synthesis coupled electron transport (GO:0042775)	25/71	3.744527e-27	2.619297e-24	0	0	3.555978e+01	2.163795e+03	NDUFB9;COX7B;NDUFA13;NDUFB6;NDUFB11;NDUFB5;COX4I1;NDUFB2;UQCR10;COX5B;UQCRH;UQCRFS1;NDUFV3;NDUFV2;NDUFA7;UQCC3;NDUFA4;NDUFA3;NDUFA2;NDUFA1;UQCRQ;NDUFS5;NDUFS4;NDUFAB1;NDUFS3
GO_Biological_Process_2021	mitochondrial respiratory chain complex assembly (GO:0033108)	26/90	1.263013e-25	5.889853e-23	0	0	2.664538e+01	1.527610e+03	NDUFB9;NDUFA13;DMAC1;NDUFB6;NDUFB11;NDUFB5;NDUFB2;UQCRFS1;NDUFV3;COA8;NDUFV2;COA3;NDUFA7;UQCC3;UQCC2;NDUFA3;NDUFA2;NDUFA1;NDUFAF6;NDUFS5;NDUFS4;SDHAF1;NDUFAB1;NDUFAF5;NDUFS3;TMEM126A
GO_Biological_Process_2021	mitochondrial translational termination (GO:0070126)	25/89	2.425821e-24	8.484307e-22	0	0	2.553516e+01	1.388496e+03	MRPS16;MRPS34;MRPL36;MRPL14;MRPL15;MRPS30;MRPL34;MRPL13;MRPL57;MRPL54;MRPL11;MRPL41;MRPL3;MRPL20;MTRF1;MRPS28;GADD45GIP1;MRPS24;MRPS22;MRPS23;MRPL48;MRPL46;MRPL22;MRPL53;MRPL51
GO_Biological_Process_2021	mitochondrial translation (GO:0032543)	26/105	1.048486e-23	2.933663e-21	0	0	2.156962e+01	1.141294e+03	MRPS16;MRPS34;MRPL14;MRPL36;MRPL15;MRPS30;MRPL34;MRPL13;MRPL57;MRPL54;MRPL11;MRPL41;MRPL20;MRPL3;MTRF1;MRPS28;GADD45GIP1;NDUFA7;MRPS24;MRPS22;MRPS23;MRPL48;MRPL46;MRPL22;MRPL53;MRPL51
GO_Biological_Process_2021	translational termination (GO:0006415)	25/96	1.963527e-23	4.578291e-21	0	0	2.300939e+01	1.203039e+03	MRPS16;MRPS34;MRPL36;MRPL14;MRPL15;MRPS30;MRPL34;MRPL13;MRPL57;MRPL54;MRPL11;MRPL41;MRPL3;MRPL20;MTRF1;MRPS28;GADD45GIP1;MRPS24;MRPS22;MRPS23;MRPL48;MRPL46;MRPL22;MRPL53;MRPL51
GO_Biological_Process_2021	mitochondrial translational elongation (GO:0070125)	24/89	6.093984e-23	1.217926e-20	0	0	2.405520e+01	1.230475e+03	MRPS28;GADD45GIP1;MRPS16;MRPS24;MRPS22;MRPS23;MRPS34;MRPL36;MRPL14;MRPL48;MRPL15;MRPS30;MRPL34;MRPL46;MRPL13;MRPL57;MRPL54;MRPL11;MRPL22;MRPL41;MRPL3;MRPL53;MRPL20;MRPL51
GO_Biological_Process_2021	mitochondrial respiratory chain complex I assembly (GO:0032981)	20/58	9.690597e-22	1.506349e-19	0	0	3.388611e+01	1.639604e+03	NDUFB9;NDUFA13;NDUFA7;DMAC1;NDUFB6;NDUFB11;NDUFB5;NDUFA3;NDUFA2;NDUFB2;NDUFA1;NDUFAF6;NDUFS5;NDUFS4;NDUFAB1;NDUFAF5;NDUFS3;TMEM126A;NDUFV3;NDUFV2
GO_Biological_Process_2021	NADH dehydrogenase complex assembly (GO:0010257)	20/58	9.690597e-22	1.506349e-19	0	0	3.388611e+01	1.639604e+03	NDUFB9;NDUFA13;NDUFA7;DMAC1;NDUFB6;NDUFB11;NDUFB5;NDUFA3;NDUFA2;NDUFB2;NDUFA1;NDUFAF6;NDUFS5;NDUFS4;NDUFAB1;NDUFAF5;NDUFS3;TMEM126A;NDUFV3;NDUFV2
GO_Biological_Process_2021	translational elongation (GO:0006414)	24/104	3.520501e-21	4.925181e-19	0	0	1.952990e+01	9.197740e+02	MRPS28;GADD45GIP1;MRPS16;MRPS24;MRPS22;MRPS23;MRPS34;MRPL14;MRPL36;MRPL15;MRPL48;MRPS30;MRPL34;MRPL13;MRPL46;MRPL57;MRPL54;MRPL11;MRPL22;MRPL41;MRPL20;MRPL3;MRPL53;MRPL51
