Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	positive regulation of glycoprotein metabolic process (GO:1903020)	1/5	1.540560e-02	2.527668e-01	0	0	8.169672e+01	3.409224e+02	CCL19
GO_Biological_Process_2021	establishment of T cell polarity (GO:0001768)	1/5	1.540560e-02	2.527668e-01	0	0	8.169672e+01	3.409224e+02	CCL19
GO_Biological_Process_2021	response to prostaglandin (GO:0034694)	1/5	1.540560e-02	2.527668e-01	0	0	8.169672e+01	3.409224e+02	CCL19
GO_Biological_Process_2021	mature conventional dendritic cell differentiation (GO:0097029)	1/5	1.540560e-02	2.527668e-01	0	0	8.169672e+01	3.409224e+02	CCL19
GO_Biological_Process_2021	positive regulation of antigen processing and presentation (GO:0002579)	1/6	1.845859e-02	2.527668e-01	0	0	6.535410e+01	2.609083e+02	CCL19
GO_Biological_Process_2021	establishment of lymphocyte polarity (GO:0001767)	1/6	1.845859e-02	2.527668e-01	0	0	6.535410e+01	2.609083e+02	CCL19
GO_Biological_Process_2021	positive regulation of dendritic cell antigen processing and presentation (GO:0002606)	1/6	1.845859e-02	2.527668e-01	0	0	6.535410e+01	2.609083e+02	CCL19
GO_Biological_Process_2021	regulation of T-helper 1 cell differentiation (GO:0045625)	1/7	2.150227e-02	2.527668e-01	0	0	5.445902e+01	2.091007e+02	CCL19
GO_Biological_Process_2021	negative regulation of dendritic cell apoptotic process (GO:2000669)	1/7	2.150227e-02	2.527668e-01	0	0	5.445902e+01	2.091007e+02	CCL19
GO_Biological_Process_2021	positive regulation of respiratory burst (GO:0060267)	1/7	2.150227e-02	2.527668e-01	0	0	5.445902e+01	2.091007e+02	JCHAIN
GO_Biological_Process_2021	immunological synapse formation (GO:0001771)	1/8	2.453666e-02	2.527668e-01	0	0	4.667681e+01	1.730583e+02	CCL19
GO_Biological_Process_2021	integrin activation (GO:0033622)	1/8	2.453666e-02	2.527668e-01	0	0	4.667681e+01	1.730583e+02	MZB1
GO_Biological_Process_2021	regulation of respiratory burst (GO:0060263)	1/9	2.756180e-02	2.527668e-01	0	0	4.084016e+01	1.466703e+02	JCHAIN
GO_Biological_Process_2021	regulation of dendritic cell antigen processing and presentation (GO:0002604)	1/9	2.756180e-02	2.527668e-01	0	0	4.084016e+01	1.466703e+02	CCL19
GO_Biological_Process_2021	glomerular filtration (GO:0003094)	1/9	2.756180e-02	2.527668e-01	0	0	4.084016e+01	1.466703e+02	JCHAIN
GO_Biological_Process_2021	renal filtration (GO:0097205)	1/10	3.057770e-02	2.527668e-01	0	0	3.630055e+01	1.265976e+02	JCHAIN
GO_Biological_Process_2021	regulation of glycoprotein biosynthetic process (GO:0010559)	1/10	3.057770e-02	2.527668e-01	0	0	3.630055e+01	1.265976e+02	CCL19
GO_Biological_Process_2021	response to prostaglandin E (GO:0034695)	1/11	3.358440e-02	2.527668e-01	0	0	3.266885e+01	1.108681e+02	CCL19
GO_Biological_Process_2021	regulation of dendritic cell apoptotic process (GO:2000668)	1/11	3.358440e-02	2.527668e-01	0	0	3.266885e+01	1.108681e+02	CCL19
GO_Biological_Process_2021	negative regulation of leukocyte apoptotic process (GO:2000107)	1/12	3.658193e-02	2.535245e-01	0	0	2.969747e+01	9.824518e+01	CCL19
GO_Biological_Process_2021	response to nitric oxide (GO:0071731)	1/13	3.957031e-02	2.535245e-01	0	0	2.722131e+01	8.791602e+01	CCL19
GO_Biological_Process_2021	positive regulation of T-helper cell differentiation (GO:0045624)	1/14	4.254957e-02	2.535245e-01	0	0	2.512610e+01	7.932526e+01	CCL19
GO_Biological_Process_2021	positive regulation of glycoprotein biosynthetic process (GO:0010560)	1/14	4.254957e-02	2.535245e-01	0	0	2.512610e+01	7.932526e+01	CCL19
GO_Biological_Process_2021	regulation of cell projection organization (GO:0031344)	1/14	4.254957e-02	2.535245e-01	0	0	2.512610e+01	7.932526e+01	CCL19
GO_Biological_Process_2021	dendritic cell chemotaxis (GO:0002407)	1/16	4.848084e-02	2.773104e-01	0	0	2.177377e+01	6.590020e+01	CCL19
GO_Biological_Process_2021	dendritic cell migration (GO:0036336)	1/18	5.437596e-02	2.926905e-01	0	0	1.921022e+01	5.593696e+01	CCL19
GO_Biological_Process_2021	positive regulation of neutrophil chemotaxis (GO:0090023)	1/19	5.731003e-02	2.926905e-01	0	0	1.814208e+01	5.187327e+01	CCL19
GO_Biological_Process_2021	regulation of lymphocyte proliferation (GO:0050670)	1/19	5.731003e-02	2.926905e-01	0	0	1.814208e+01	5.187327e+01	MZB1
GO_Biological_Process_2021	positive regulation of neutrophil migration (GO:1902624)	1/22	6.605860e-02	2.947374e-01	0	0	1.554801e+01	4.224725e+01	CCL19
GO_Biological_Process_2021	positive regulation of granulocyte chemotaxis (GO:0071624)	1/22	6.605860e-02	2.947374e-01	0	0	1.554801e+01	4.224725e+01	CCL19
GO_Biological_Process_2021	dendritic cell differentiation (GO:0097028)	1/24	7.184655e-02	2.947374e-01	0	0	1.419458e+01	3.737750e+01	CCL19
GO_Biological_Process_2021	negative regulation of sequestering of calcium ion (GO:0051283)	1/25	7.472728e-02	2.947374e-01	0	0	1.360246e+01	3.528356e+01	CCL19
GO_Biological_Process_2021	regulation of neutrophil chemotaxis (GO:0090022)	1/25	7.472728e-02	2.947374e-01	0	0	1.360246e+01	3.528356e+01	CCL19
GO_Biological_Process_2021	release of sequestered calcium ion into cytosol (GO:0051209)	1/27	8.046237e-02	2.947374e-01	0	0	1.255485e+01	3.163780e+01	CCL19
GO_Biological_Process_2021	positive regulation of cellular component movement (GO:0051272)	1/27	8.046237e-02	2.947374e-01	0	0	1.255485e+01	3.163780e+01	CCL19
GO_Biological_Process_2021	positive regulation of phosphatidylinositol 3-kinase activity (GO:0043552)	1/28	8.331678e-02	2.947374e-01	0	0	1.208925e+01	3.004307e+01	CCL19
GO_Biological_Process_2021	response to ketone (GO:1901654)	1/28	8.331678e-02	2.947374e-01	0	0	1.208925e+01	3.004307e+01	CCL19
GO_Biological_Process_2021	regulation of immunoglobulin production (GO:0002637)	1/28	8.331678e-02	2.947374e-01	0	0	1.208925e+01	3.004307e+01	MZB1
GO_Biological_Process_2021	regulation of B cell activation (GO:0050864)	1/28	8.331678e-02	2.947374e-01	0	0	1.208925e+01	3.004307e+01	MZB1
GO_Biological_Process_2021	response to alcohol (GO:0097305)	1/30	8.899948e-02	2.947374e-01	0	0	1.125438e+01	2.722575e+01	CCL19
GO_Biological_Process_2021	positive regulation of lipid kinase activity (GO:0090218)	1/30	8.899948e-02	2.947374e-01	0	0	1.125438e+01	2.722575e+01	CCL19
