Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	mRNA splicing, via spliceosome (GO:0000398)	26/274	1.123903e-07	2.044679e-04	0	0	3.655249e+00	5.848870e+01	DDX5;DDX42;DDX20;GPATCH1;CSTF2T;HNRNPR;USP39;RSRC1;POLR2B;TGS1;TRA2B;CWC22;DHX15;MTREX;CPSF2;CDC5L;CRNKL1;SNW1;CWF19L1;STRAP;HNRNPH2;HNRNPC;SRSF6;SLU7;SRSF7;RBMX
GO_Biological_Process_2021	mRNA processing (GO:0006397)	27/300	1.888849e-07	2.044679e-04	0	0	3.450009e+00	5.341348e+01	DDX5;RNMT;DDX42;GPATCH1;CSTF2T;HNRNPR;USP39;RSRC1;POLR2B;TRA2B;CWC22;DHX15;MTREX;RNGTT;CPSF2;CDC5L;GTF2H1;CRNKL1;SNW1;PRPF18;CWF19L1;HNRNPH2;HNRNPC;SRSF6;SLU7;SRSF7;RBMX
GO_Biological_Process_2021	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	23/251	1.114632e-06	8.043927e-04	0	0	3.501697e+00	4.799772e+01	DDX5;CPSF2;DDX42;GPATCH1;CSTF2T;CDC5L;HNRNPR;USP39;CRNKL1;SNW1;RSRC1;POLR2B;TRA2B;CWF19L1;CWC22;DHX15;HNRNPH2;MTREX;HNRNPC;SRSF6;SLU7;SRSF7;RBMX
GO_Biological_Process_2021	protein import (GO:0017038)	11/89	4.915045e-05	2.660268e-02	0	0	4.828818e+00	4.790489e+01	ATAD1;IPO11;ACBD5;ABCD3;NUP107;PPP1R10;CSE1L;NUP50;HEATR3;RANBP6;GDAP1
GO_Biological_Process_2021	RNA metabolic process (GO:0016070)	13/133	1.245247e-04	5.391921e-02	0	0	3.714506e+00	3.339714e+01	NUFIP1;RNGTT;FASTKD1;DDX20;HNRNPR;POLR2B;PAPOLG;XRN2;MTREX;HNRNPH2;HNRNPC;TENT2;RBMX
GO_Biological_Process_2021	protein transport (GO:0015031)	24/369	1.917446e-04	6.524060e-02	0	0	2.404411e+00	2.058019e+01	STX12;COPB2;ARRDC3;MTTP;STX7;GOLPH3L;VPS26A;TVP23B;ARCN1;HSP90B1;RPGR;SNX4;SCFD1;CHMP1B;CANX;ATP6V1B2;RAB18;TMED2;VPS35;RAB6A;SLU7;BLZF1;ATP6V1C1;TRIM23
GO_Biological_Process_2021	transcription, DNA-templated (GO:0006351)	17/221	2.398552e-04	6.524060e-02	0	0	2.865236e+00	2.388310e+01	DDX5;GTF3C3;RNGTT;RNMT;CTR9;GTF2H1;TOPORS;RO60;POLR2B;COPS2;TAF1A;TBPL1;TCEA1;TAF7;TAF9B;RBMX;TAF2
GO_Biological_Process_2021	protein localization to nucleus (GO:0034504)	11/106	2.410738e-04	6.524060e-02	0	0	3.961230e+00	3.299866e+01	IPO11;MORC3;INTS13;NUP107;PPP1R10;CSE1L;NUP50;MDM2;HEATR3;RANBP6;TOPORS
GO_Biological_Process_2021	protein import into nucleus (GO:0006606)	9/76	3.277023e-04	7.219714e-02	0	0	4.585880e+00	3.679437e+01	IPO11;NUP107;PPP1R10;CSE1L;NUP50;HEATR3;RANBP6;KPNA3;KPNA1
GO_Biological_Process_2021	response to endoplasmic reticulum stress (GO:0034976)	11/110	3.334741e-04	7.219714e-02	0	0	3.800393e+00	3.042574e+01	ERO1A;PDIA3;ERP44;VCP;AIFM1;TMX1;CCDC47;DNAJC10;DERL1;QRICH1;HSP90B1
GO_Biological_Process_2021	acetyl-CoA biosynthetic process from pyruvate (GO:0006086)	3/6	4.453796e-04	8.388889e-02	0	0	3.389354e+01	2.615424e+02	PDHX;PDHA1;DLAT
GO_Biological_Process_2021	ribosome biogenesis (GO:0042254)	15/192	4.649730e-04	8.388889e-02	0	0	2.907490e+00	2.231071e+01	LTV1;UTP15;KRR1;TEX10;NOLC1;DDX52;WDR12;CUL4A;EBNA1BP2;XRN2;HEATR3;MTREX;NOL11;ABCE1;EIF2A
GO_Biological_Process_2021	porphyrin-containing compound biosynthetic process (GO:0006779)	5/24	5.254298e-04	8.750427e-02	0	0	8.943221e+00	6.753289e+01	PGRMC1;SUCLA2;FECH;COX15;ABCG2
GO_Biological_Process_2021	phosphatidylinositol dephosphorylation (GO:0046856)	5/25	6.413620e-04	8.936956e-02	0	0	8.495622e+00	6.245910e+01	MTMR2;PIP4P2;INPP5F;SACM1L;MTMR6
GO_Biological_Process_2021	RNA processing (GO:0006396)	14/179	7.030953e-04	8.936956e-02	0	0	2.907646e+00	2.110956e+01	NUFIP1;RNGTT;DDX20;HNRNPR;USP39;PRPF18;RSRC1;XRN2;DHX15;HNRNPC;TENT2;MTPAP;SRSF7;SLU7
GO_Biological_Process_2021	endoplasmic reticulum to cytosol transport (GO:1903513)	4/15	7.214793e-04	8.936956e-02	0	0	1.234139e+01	8.928014e+01	VCP;DERL1;UFD1;HSP90B1
GO_Biological_Process_2021	cellular protein complex disassembly (GO:0043624)	3/7	7.627388e-04	8.936956e-02	0	0	2.541885e+01	1.824716e+02	VPS4B;ETF1;ABCE1
GO_Biological_Process_2021	intracellular protein transport (GO:0006886)	21/336	7.914977e-04	8.936956e-02	0	0	2.295375e+00	1.639262e+01	STX12;COPB2;IPO11;NUP107;PPP1R10;CSE1L;STX7;VPS26A;RANBP6;ARCN1;RPGR;SCFD1;RANBP3L;NUP50;RAB18;TMED2;HEATR3;VPS35;RAB6A;SLU7;TRIM23
GO_Biological_Process_2021	neutrophil degranulation (GO:0043312)	27/481	8.030794e-04	8.936956e-02	0	0	2.054958e+00	1.464580e+01	PSMD12;VCP;COPB1;MOSPD2;MAGT1;PSEN1;PGRMC1;PGM2;LTA4H;CCT8;RAB6A;HGSNAT;TMEM30A;GCA;XRCC5;FUCA2;ATP6AP2;ARMC8;SVIP;ERP44;VAPA;SLCO4C1;RAB18;DEGS1;CD47;PAFAH1B2;VPS35L
GO_Biological_Process_2021	protein modification by small protein conjugation (GO:0032446)	24/409	8.416218e-04	8.936956e-02	0	0	2.150085e+00	1.522299e+01	VCP;UBE2H;NUP107;CRBN;RNF14;CUL2;CTR9;DCUN1D4;CUL1;DERL1;TOPORS;CUL4A;KLHL9;RNF138;UBE2Q2;KLHL7;NUP50;HLTF;MDM2;TRIM35;SDE2;UBA3;FBXL5;TRIM23
GO_Biological_Process_2021	ERAD pathway (GO:0036503)	9/87	8.925875e-04	8.936956e-02	0	0	3.936915e+00	2.764260e+01	VCP;CCDC47;TMEM67;DNAJC10;DERL1;UFD1;ERLIN2;HSP90B1;UBE2J1
GO_Biological_Process_2021	neutrophil activation involved in immune response (GO:0002283)	27/485	9.081433e-04	8.936956e-02	0	0	2.036581e+00	1.426443e+01	PSMD12;VCP;COPB1;MOSPD2;MAGT1;PSEN1;PGRMC1;PGM2;LTA4H;CCT8;RAB6A;HGSNAT;TMEM30A;GCA;XRCC5;FUCA2;ATP6AP2;ARMC8;SVIP;ERP44;VAPA;SLCO4C1;RAB18;DEGS1;CD47;PAFAH1B2;VPS35L
GO_Biological_Process_2021	neutrophil mediated immunity (GO:0002446)	27/488	9.946120e-04	9.291506e-02	0	0	2.023008e+00	1.398537e+01	PSMD12;VCP;COPB1;MOSPD2;MAGT1;PSEN1;PGRMC1;PGM2;LTA4H;CCT8;RAB6A;HGSNAT;TMEM30A;GCA;XRCC5;FUCA2;ATP6AP2;ARMC8;SVIP;ERP44;VAPA;SLCO4C1;RAB18;DEGS1;CD47;PAFAH1B2;VPS35L
GO_Biological_Process_2021	transcription by RNA polymerase II (GO:0006366)	20/320	1.044945e-03	9.291506e-02	0	0	2.293046e+00	1.573899e+01	INTS13;DDX5;RNGTT;RNMT;CTR9;INTS10;CPSF2;CSTF2T;GTF2H1;SNW1;SNAPC1;POLR2B;COPS2;TAF1A;TBPL1;TCEA1;TAF7;TAF9B;RBMX;TAF2
GO_Biological_Process_2021	proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	20/321	1.085259e-03	9.291506e-02	0	0	2.285308e+00	1.559937e+01	PSMD12;VCP;CRBN;FBXO38;CUL2;DERL1;CUL1;ARMC8;ERLIN2;TOPORS;UBE2J1;HSP90B1;CUL4A;RNF216;TMEM67;DNAJC10;MDM2;UFD1;FBXL5;BIRC2
GO_Biological_Process_2021	protein modification by small protein removal (GO:0070646)	18/276	1.135451e-03	9.291506e-02	0	0	2.396349e+00	1.624898e+01	INO80C;USP46;USP8;USP14;PSMD12;VCP;USP37;USPL1;USP38;RHOT1;COPS2;SENP8;MDM2;UFD1;STAMBP;TAF9B;STAM2;BIRC2
GO_Biological_Process_2021	ubiquitin-dependent ERAD pathway (GO:0030433)	8/73	1.170046e-03	9.291506e-02	0	0	4.194800e+00	2.831789e+01	VCP;TMEM67;DNAJC10;DERL1;UFD1;ERLIN2;HSP90B1;UBE2J1
GO_Biological_Process_2021	retrograde protein transport, ER to cytosol (GO:0030970)	4/17	1.201673e-03	9.291506e-02	0	0	1.044164e+01	7.020998e+01	VCP;DERL1;UFD1;HSP90B1
GO_Biological_Process_2021	alternative mRNA splicing, via spliceosome (GO:0000380)	4/18	1.510097e-03	1.082203e-01	0	0	9.695305e+00	6.297664e+01	DDX5;RSRC1;SRSF6;SLU7
GO_Biological_Process_2021	establishment of protein localization to organelle (GO:0072594)	8/76	1.522615e-03	1.082203e-01	0	0	4.009114e+00	2.600843e+01	IPO11;RALA;NUP107;PPP1R10;CSE1L;NUP50;HEATR3;RANBP6
GO_Biological_Process_2021	rRNA processing (GO:0006364)	13/173	1.549574e-03	1.082203e-01	0	0	2.780107e+00	1.798666e+01	UTP15;KRR1;RIOK3;TEX10;NOLC1;THUMPD1;DDX52;WDR12;EBNA1BP2;ERI1;XRN2;MTREX;NOL11
GO_Biological_Process_2021	import into nucleus (GO:0051170)	8/77	1.657207e-03	1.121204e-01	0	0	3.950806e+00	2.529552e+01	IPO11;NUP107;PPP1R10;CSE1L;NUP50;DDX20;HEATR3;RANBP6
GO_Biological_Process_2021	Notch receptor processing (GO:0007220)	3/9	1.753245e-03	1.150235e-01	0	0	1.694415e+01	1.075325e+02	GALNT11;APH1B;PSEN1
GO_Biological_Process_2021	negative regulation of RNA splicing (GO:0033119)	4/19	1.869611e-03	1.173304e-01	0	0	9.048485e+00	5.684281e+01	SRSF6;RBMX;SRSF7;PTBP2
GO_Biological_Process_2021	ribonucleoprotein complex assembly (GO:0022618)	11/136	1.952149e-03	1.173304e-01	0	0	3.005862e+00	1.875304e+01	EIF5;PRPF18;XRCC5;TGS1;DDX20;LUC7L;STRAP;KHDC4;SRSF6;USP39;CRNKL1
GO_Biological_Process_2021	mRNA 3'-end processing (GO:0031124)	8/79	1.954542e-03	1.173304e-01	0	0	3.839119e+00	2.394689e+01	PAPOLG;CPSF2;CSTF2T;TENT2;MTPAP;SRSF6;SLU7;SRSF7
GO_Biological_Process_2021	regulation of centrosome duplication (GO:0010824)	5/32	2.059379e-03	1.173304e-01	0	0	6.290783e+00	3.891070e+01	VPS4B;CHMP1B;TMEM67;PLK2;CEP120
GO_Biological_Process_2021	intra-Golgi vesicle-mediated transport (GO:0006891)	5/32	2.059379e-03	1.173304e-01	0	0	6.290783e+00	3.891070e+01	COPB2;GOLGA5;COPB1;GOSR1;RAB6A
GO_Biological_Process_2021	cell cycle G1/S phase transition (GO:0044843)	7/63	2.171225e-03	1.205308e-01	0	0	4.254833e+00	2.609261e+01	CUL4A;PPP6C;USP37;NASP;PLK2;CUL2;CUL1
GO_Biological_Process_2021	cellular response to interleukin-12 (GO:0071349)	6/48	2.442172e-03	1.298168e-01	0	0	4.857644e+00	2.921809e+01	HSPA9;RALA;MTAP;TCP1;CD47;JAK1
GO_Biological_Process_2021	mitotic G1 DNA damage checkpoint signaling (GO:0031571)	7/65	2.600847e-03	1.298168e-01	0	0	4.107690e+00	2.444864e+01	RBL2;CNOT7;PLK2;CNOT2;SDE2;MDM2;CNOT9
GO_Biological_Process_2021	response to unfolded protein (GO:0006986)	6/49	2.716461e-03	1.298168e-01	0	0	4.744431e+00	2.803211e+01	HSPA9;DNAJA1;ERP44;DERL1;TM7SF3;HSPA13
GO_Biological_Process_2021	intrinsic apoptotic signaling pathway (GO:0097193)	9/102	2.729030e-03	1.298168e-01	0	0	3.299368e+00	1.947884e+01	ERO1A;CUL4A;DDX5;AIFM1;CUL2;DNAJC10;CUL1;QRICH1;TOPORS
GO_Biological_Process_2021	rRNA modification (GO:0000154)	4/21	2.758231e-03	1.298168e-01	0	0	7.983135e+00	4.704593e+01	DIMT1;NSUN3;THUMPD1;ZCCHC4
GO_Biological_Process_2021	nucleotide-excision repair, DNA incision, 3'-to lesion (GO:0006295)	4/21	2.758231e-03	1.298168e-01	0	0	7.983135e+00	4.704593e+01	CUL4A;GTF2H1;ERCC5;CHD1L
GO_Biological_Process_2021	nucleotide-excision repair, preincision complex stabilization (GO:0006293)	4/21	2.758231e-03	1.298168e-01	0	0	7.983135e+00	4.704593e+01	CUL4A;GTF2H1;ERCC5;CHD1L
GO_Biological_Process_2021	G1/S transition of mitotic cell cycle (GO:0000082)	8/85	3.104371e-03	1.428386e-01	0	0	3.538870e+00	2.043677e+01	CUL4A;DHFR;PPP6C;USP37;NASP;PLK2;CUL2;CUL1
GO_Biological_Process_2021	heme biosynthetic process (GO:0006783)	4/22	3.295306e-03	1.428386e-01	0	0	7.539239e+00	4.308868e+01	PGRMC1;FECH;COX15;ABCG2
GO_Biological_Process_2021	protein import into peroxisome membrane (GO:0045046)	4/22	3.295306e-03	1.428386e-01	0	0	7.539239e+00	4.308868e+01	ATAD1;ACBD5;ABCD3;GDAP1
GO_Biological_Process_2021	ER-associated misfolded protein catabolic process (GO:0071712)	3/11	3.298814e-03	1.428386e-01	0	0	1.270681e+01	7.260913e+01	VCP;DERL1;UFD1
GO_Biological_Process_2021	RNA 3'-end processing (GO:0031123)	7/69	3.653172e-03	1.531498e-01	0	0	3.841884e+00	2.156127e+01	CPSF2;CSTF2T;TENT2;MTPAP;SRSF6;SLU7;SRSF7
GO_Biological_Process_2021	endocytic recycling (GO:0032456)	6/52	3.678425e-03	1.531498e-01	0	0	4.434325e+00	2.485559e+01	SNX4;VPS50;VPS35;VPS26A;EPS15;VPS35L
GO_Biological_Process_2021	magnesium ion transport (GO:0015693)	3/12	4.304996e-03	1.725984e-01	0	0	1.129436e+01	6.153142e+01	MMGT1;MAGT1;NIPA2
GO_Biological_Process_2021	nucleotide-sugar metabolic process (GO:0009225)	3/12	4.304996e-03	1.725984e-01	0	0	1.129436e+01	6.153142e+01	EXTL2;PARG;UGP2
GO_Biological_Process_2021	regulation of mRNA splicing, via spliceosome (GO:0048024)	8/90	4.415380e-03	1.738054e-01	0	0	3.322226e+00	1.801531e+01	DDX5;SNW1;FAM172A;TRA2B;CWC22;SRSF6;SRSF7;RBMX
GO_Biological_Process_2021	protein exit from endoplasmic reticulum (GO:0032527)	4/24	4.574170e-03	1.768407e-01	0	0	6.784615e+00	3.655096e+01	VCP;DERL1;UFD1;HSP90B1
GO_Biological_Process_2021	protein deubiquitination (GO:0016579)	16/267	4.792122e-03	1.820166e-01	0	0	2.182470e+00	1.165610e+01	INO80C;USP46;USP8;USP14;PSMD12;VCP;USP37;USP38;RHOT1;SENP8;MDM2;UFD1;STAMBP;TAF9B;STAM2;BIRC2
GO_Biological_Process_2021	phospholipid dephosphorylation (GO:0046839)	5/39	4.992532e-03	1.863592e-01	0	0	4.993819e+00	2.646630e+01	MTMR2;PIP4P2;INPP5F;SACM1L;MTMR6
GO_Biological_Process_2021	protein quality control for misfolded or incompletely synthesized proteins (GO:0006515)	4/25	5.323279e-03	1.915259e-01	0	0	6.461205e+00	3.382871e+01	VCP;NGLY1;DERL1;UFD1
GO_Biological_Process_2021	DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest (GO:0006977)	6/56	5.327450e-03	1.915259e-01	0	0	4.078737e+00	2.135171e+01	RBL2;CNOT7;PLK2;CNOT2;MDM2;CNOT9
GO_Biological_Process_2021	mitochondrion transport along microtubule (GO:0047497)	3/13	5.477802e-03	1.915259e-01	0	0	1.016440e+01	5.292654e+01	RHOT1;NEFL;LRPPRC
GO_Biological_Process_2021	regulation of translation (GO:0006417)	12/178	5.562090e-03	1.915259e-01	0	0	2.468341e+00	1.281509e+01	DHFR;MTPN;CNOT7;EIF5;CAPRIN1;CSDE1;NSUN3;NOLC1;ETF1;ZCCHC4;CNOT9;EIF2A
GO_Biological_Process_2021	positive regulation of catalytic activity (GO:0043085)	5/40	5.573270e-03	1.915259e-01	0	0	4.850888e+00	2.517501e+01	MSH2;YWHAB;XRCC5;MSH3;PSEN1
