Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	peptidyl-cysteine S-nitrosylation (GO:0018119)	2/5	7.936252e-05	1.723282e-02	0	0	2.416970e+02	2.281978e+03	S100A9;S100A8
GO_Biological_Process_2021	skin morphogenesis (GO:0043589)	2/7	1.660522e-04	1.723282e-02	0	0	1.450036e+02	1.261997e+03	COL1A1;COL1A2
GO_Biological_Process_2021	leukocyte aggregation (GO:0070486)	2/8	2.209978e-04	1.723282e-02	0	0	1.208303e+02	1.017072e+03	S100A9;S100A8
GO_Biological_Process_2021	peptidyl-cysteine modification (GO:0018198)	2/9	2.836202e-04	1.723282e-02	0	0	1.035636e+02	8.458948e+02	S100A9;S100A8
GO_Biological_Process_2021	response to lipid (GO:0033993)	4/114	3.133240e-04	1.723282e-02	0	0	1.360755e+01	1.097894e+02	SLPI;BGLAP;S100A9;S100A8
GO_Biological_Process_2021	response to molecule of bacterial origin (GO:0002237)	3/73	1.185024e-03	5.230366e-02	0	0	1.577222e+01	1.062731e+02	SLPI;S100A9;S100A8
GO_Biological_Process_2021	positive regulation of growth (GO:0045927)	3/76	1.331366e-03	5.230366e-02	0	0	1.512177e+01	1.001295e+02	AGR2;S100A9;S100A8
GO_Biological_Process_2021	positive regulation of inflammatory response (GO:0050729)	3/89	2.095208e-03	6.464231e-02	0	0	1.282752e+01	7.912145e+01	S100A9;S100A8;CCR2
GO_Biological_Process_2021	defense response to fungus (GO:0050832)	2/24	2.115567e-03	6.464231e-02	0	0	3.292727e+01	2.027804e+02	S100A9;S100A8
GO_Biological_Process_2021	positive regulation of defense response (GO:0031349)	3/98	2.755824e-03	7.578515e-02	0	0	1.160702e+01	6.841221e+01	S100A9;S100A8;CCR2
GO_Biological_Process_2021	extracellular structure organization (GO:0043062)	4/216	3.341265e-03	7.784506e-02	0	0	7.024208e+00	4.004786e+01	COL1A1;MMP13;COL1A2;IBSP
GO_Biological_Process_2021	external encapsulating structure organization (GO:0045229)	4/217	3.396875e-03	7.784506e-02	0	0	6.990876e+00	3.974243e+01	COL1A1;MMP13;COL1A2;IBSP
GO_Biological_Process_2021	bone development (GO:0060348)	2/40	5.806778e-03	1.140617e-01	0	0	1.904785e+01	9.807221e+01	MMP13;BGLAP
GO_Biological_Process_2021	positive regulation of intrinsic apoptotic signaling pathway (GO:2001244)	2/40	5.806778e-03	1.140617e-01	0	0	1.904785e+01	9.807221e+01	S100A9;S100A8
GO_Biological_Process_2021	positive regulation of response to external stimulus (GO:0032103)	3/139	7.309981e-03	1.236287e-01	0	0	8.091095e+00	3.979617e+01	S100A9;S100A8;CCR2
GO_Biological_Process_2021	regulation of intrinsic apoptotic signaling pathway (GO:2001242)	2/52	9.658330e-03	1.236287e-01	0	0	1.446764e+01	6.712889e+01	S100A9;S100A8
GO_Biological_Process_2021	skeletal system development (GO:0001501)	3/158	1.036338e-02	1.236287e-01	0	0	7.092473e+00	3.240889e+01	COL1A1;COL1A2;BGLAP
GO_Biological_Process_2021	extracellular matrix organization (GO:0030198)	4/300	1.051049e-02	1.236287e-01	0	0	5.009434e+00	2.281988e+01	COL1A1;MMP13;COL1A2;IBSP
GO_Biological_Process_2021	response to lipopolysaccharide (GO:0032496)	3/159	1.054162e-02	1.236287e-01	0	0	7.046652e+00	3.207935e+01	SLPI;S100A9;S100A8
GO_Biological_Process_2021	positive regulation of apoptotic signaling pathway (GO:2001235)	2/59	1.230517e-02	1.236287e-01	0	0	1.268644e+01	5.579163e+01	S100A9;S100A8
GO_Biological_Process_2021	pattern recognition receptor signaling pathway (GO:0002221)	2/61	1.311332e-02	1.236287e-01	0	0	1.225516e+01	5.311542e+01	S100A9;S100A8
GO_Biological_Process_2021	defense response to bacterium (GO:0042742)	3/176	1.384642e-02	1.236287e-01	0	0	6.348748e+00	2.717092e+01	SLPI;S100A9;S100A8
GO_Biological_Process_2021	regulation of integrin biosynthetic process (GO:0045113)	1/5	1.417029e-02	1.236287e-01	0	0	8.901339e+01	3.788951e+02	S100A9
GO_Biological_Process_2021	chronic inflammatory response (GO:0002544)	1/5	1.417029e-02	1.236287e-01	0	0	8.901339e+01	3.788951e+02	S100A9
GO_Biological_Process_2021	monocyte extravasation (GO:0035696)	1/5	1.417029e-02	1.236287e-01	0	0	8.901339e+01	3.788951e+02	CCR2
GO_Biological_Process_2021	dorsal/ventral axis specification (GO:0009950)	1/5	1.417029e-02	1.236287e-01	0	0	8.901339e+01	3.788951e+02	MDFI
GO_Biological_Process_2021	free ubiquitin chain polymerization (GO:0010994)	1/6	1.698059e-02	1.236287e-01	0	0	7.120714e+01	2.902178e+02	UBE2C
GO_Biological_Process_2021	astrocyte development (GO:0014002)	1/6	1.698059e-02	1.236287e-01	0	0	7.120714e+01	2.902178e+02	S100A9
GO_Biological_Process_2021	regulation of type 2 immune response (GO:0002828)	1/6	1.698059e-02	1.236287e-01	0	0	7.120714e+01	2.902178e+02	CCR2
GO_Biological_Process_2021	regulation of macromolecule biosynthetic process (GO:0010556)	1/6	1.698059e-02	1.236287e-01	0	0	7.120714e+01	2.902178e+02	S100A9
GO_Biological_Process_2021	negative regulation of myeloid leukocyte mediated immunity (GO:0002887)	1/6	1.698059e-02	1.236287e-01	0	0	7.120714e+01	2.902178e+02	CCR2
GO_Biological_Process_2021	neutrophil chemotaxis (GO:0030593)	2/70	1.702530e-02	1.236287e-01	0	0	1.062834e+01	4.328982e+01	S100A9;S100A8
GO_Biological_Process_2021	granulocyte chemotaxis (GO:0071621)	2/73	1.842656e-02	1.236287e-01	0	0	1.017772e+01	4.064943e+01	S100A9;S100A8
GO_Biological_Process_2021	negative regulation of type 2 immune response (GO:0002829)	1/7	1.978303e-02	1.236287e-01	0	0	5.933631e+01	2.327722e+02	CCR2
GO_Biological_Process_2021	flavin-containing compound metabolic process (GO:0042726)	1/7	1.978303e-02	1.236287e-01	0	0	5.933631e+01	2.327722e+02	ACP5
GO_Biological_Process_2021	astrocyte differentiation (GO:0048708)	1/7	1.978303e-02	1.236287e-01	0	0	5.933631e+01	2.327722e+02	S100A9
GO_Biological_Process_2021	collagen-activated tyrosine kinase receptor signaling pathway (GO:0038063)	1/7	1.978303e-02	1.236287e-01	0	0	5.933631e+01	2.327722e+02	COL1A1
GO_Biological_Process_2021	positive regulation of IRE1-mediated unfolded protein response (GO:1903896)	1/7	1.978303e-02	1.236287e-01	0	0	5.933631e+01	2.327722e+02	AGR2
GO_Biological_Process_2021	riboflavin metabolic process (GO:0006771)	1/7	1.978303e-02	1.236287e-01	0	0	5.933631e+01	2.327722e+02	ACP5
GO_Biological_Process_2021	neutrophil migration (GO:1990266)	2/77	2.036812e-02	1.236287e-01	0	0	9.632970e+00	3.750871e+01	S100A9;S100A8
GO_Biological_Process_2021	regulation of inflammatory response (GO:0050727)	3/206	2.096948e-02	1.236287e-01	0	0	5.402299e+00	2.087819e+01	S100A9;S100A8;CCR2
GO_Biological_Process_2021	skin development (GO:0043588)	2/80	2.187804e-02	1.236287e-01	0	0	9.261072e+00	3.539833e+01	COL1A1;COL1A2
GO_Biological_Process_2021	positive regulation of cell adhesion (GO:0045785)	2/80	2.187804e-02	1.236287e-01	0	0	9.261072e+00	3.539833e+01	IBSP;AGR2
GO_Biological_Process_2021	regulation of organelle organization (GO:0033043)	2/80	2.187804e-02	1.236287e-01	0	0	9.261072e+00	3.539833e+01	S100A9;S100A8
GO_Biological_Process_2021	activation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0006919)	2/81	2.239142e-02	1.236287e-01	0	0	9.143383e+00	3.473642e+01	S100A9;S100A8
GO_Biological_Process_2021	regulation of alpha-beta T cell proliferation (GO:0046640)	1/8	2.257761e-02	1.236287e-01	0	0	5.085714e+01	1.927891e+02	CCR2
GO_Biological_Process_2021	regulation of metaphase/anaphase transition of cell cycle (GO:1902099)	1/8	2.257761e-02	1.236287e-01	0	0	5.085714e+01	1.927891e+02	UBE2C
GO_Biological_Process_2021	positive regulation of glial cell migration (GO:1903977)	1/8	2.257761e-02	1.236287e-01	0	0	5.085714e+01	1.927891e+02	CCR2
GO_Biological_Process_2021	regulation of myeloid leukocyte differentiation (GO:0002761)	1/8	2.257761e-02	1.236287e-01	0	0	5.085714e+01	1.927891e+02	BGLAP
GO_Biological_Process_2021	regulation of T-helper 1 type immune response (GO:0002825)	1/9	2.536437e-02	1.236287e-01	0	0	4.449777e+01	1.635030e+02	CCR2
GO_Biological_Process_2021	collagen-activated signaling pathway (GO:0038065)	1/9	2.536437e-02	1.236287e-01	0	0	4.449777e+01	1.635030e+02	COL1A1
GO_Biological_Process_2021	bone resorption (GO:0045453)	1/9	2.536437e-02	1.236287e-01	0	0	4.449777e+01	1.635030e+02	ACP5
GO_Biological_Process_2021	negative regulation of leukocyte degranulation (GO:0043301)	1/9	2.536437e-02	1.236287e-01	0	0	4.449777e+01	1.635030e+02	CCR2
GO_Biological_Process_2021	response to vitamin (GO:0033273)	1/9	2.536437e-02	1.236287e-01	0	0	4.449777e+01	1.635030e+02	BGLAP
GO_Biological_Process_2021	response to vitamin D (GO:0033280)	1/9	2.536437e-02	1.236287e-01	0	0	4.449777e+01	1.635030e+02	BGLAP
GO_Biological_Process_2021	regulation of PERK-mediated unfolded protein response (GO:1903897)	1/9	2.536437e-02	1.236287e-01	0	0	4.449777e+01	1.635030e+02	AGR2
GO_Biological_Process_2021	negative regulation of binding (GO:0051100)	2/88	2.612281e-02	1.236287e-01	0	0	8.396195e+00	3.060368e+01	SLPI;MDFI
GO_Biological_Process_2021	sensory perception of mechanical stimulus (GO:0050954)	2/88	2.612281e-02	1.236287e-01	0	0	8.396195e+00	3.060368e+01	COL1A1;BIRC5
GO_Biological_Process_2021	collagen fibril organization (GO:0030199)	2/89	2.667517e-02	1.236287e-01	0	0	8.299269e+00	3.007673e+01	COL1A1;COL1A2
GO_Biological_Process_2021	sensory perception of sound (GO:0007605)	2/91	2.779406e-02	1.236287e-01	0	0	8.111951e+00	2.906458e+01	COL1A1;BIRC5
GO_Biological_Process_2021	toll-like receptor signaling pathway (GO:0002224)	2/91	2.779406e-02	1.236287e-01	0	0	8.111951e+00	2.906458e+01	S100A9;S100A8
GO_Biological_Process_2021	inflammatory response (GO:0006954)	3/230	2.787264e-02	1.236287e-01	0	0	4.825257e+00	1.727495e+01	S100A9;S100A8;CCR2
GO_Biological_Process_2021	positive regulation of cellular extravasation (GO:0002693)	1/11	3.091449e-02	1.307921e-01	0	0	3.559464e+01	1.237459e+02	CCR2
GO_Biological_Process_2021	regulation of T cell mediated immunity (GO:0002709)	1/11	3.091449e-02	1.307921e-01	0	0	3.559464e+01	1.237459e+02	CCR2
GO_Biological_Process_2021	T cell chemotaxis (GO:0010818)	1/11	3.091449e-02	1.307921e-01	0	0	3.559464e+01	1.237459e+02	CCR2
