Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	cilium movement (GO:0003341)	11/52	1.201281e-08	1.605875e-05	0	0	1.238396e+01	2.258499e+02	ODAD1;DNAI4;DNAI2;ODAD2;DNAI3;ODAD4;CFAP70;TEKT1;DNAAF4;CFAP206;CFAP53
GO_Biological_Process_2021	axonemal dynein complex assembly (GO:0070286)	9/32	1.769560e-08	1.605875e-05	0	0	1.799355e+01	3.211841e+02	ODAD1;DNAI4;DNAI2;ODAD2;DNAI3;DNAAF3;ODAD4;DNAAF4;ZMYND10
GO_Biological_Process_2021	outer dynein arm assembly (GO:0036158)	6/18	1.500790e-06	9.079782e-04	0	0	2.284346e+01	3.063198e+02	ODAD1;DNAI2;ODAD2;ODAD4;DNAAF4;ZMYND10
GO_Biological_Process_2021	extracellular matrix organization (GO:0030198)	21/300	2.770428e-06	1.257082e-03	0	0	3.515036e+00	4.498018e+01	COL17A1;COL18A1;POSTN;MIA;P3H2;BGN;NID2;THBS1;LOXL1;LOXL2;KIF9;CREB3L1;COL4A4;BSG;COL4A3;COL8A2;COL8A1;COL9A3;TGFBI;ITGB6;DDR2
GO_Biological_Process_2021	collagen fibril organization (GO:0030199)	11/89	3.534565e-06	1.283047e-03	0	0	6.497181e+00	8.155860e+01	COL17A1;COL18A1;COL4A4;COL4A3;P3H2;COL8A2;COL8A1;COL9A3;LOXL1;LOXL2;DDR2
GO_Biological_Process_2021	extracellular structure organization (GO:0043062)	17/216	5.282027e-06	1.456859e-03	0	0	3.967548e+00	4.821047e+01	COL17A1;COL18A1;POSTN;MIA;BGN;NID2;THBS1;LOXL1;COL4A4;BSG;COL4A3;COL8A2;COL8A1;COL9A3;TGFBI;ITGB6;DDR2
GO_Biological_Process_2021	external encapsulating structure organization (GO:0045229)	17/217	5.618740e-06	1.456859e-03	0	0	3.947506e+00	4.772299e+01	COL17A1;COL18A1;POSTN;MIA;BGN;NID2;THBS1;LOXL1;COL4A4;BSG;COL4A3;COL8A2;COL8A1;COL9A3;TGFBI;ITGB6;DDR2
GO_Biological_Process_2021	axoneme assembly (GO:0035082)	7/34	6.995908e-06	1.587197e-03	0	0	1.186339e+01	1.408206e+02	SPAG16;DNAI4;DNAAF3;FOXJ1;JHY;CFAP206;HOATZ
GO_Biological_Process_2021	cilium organization (GO:0044782)	17/228	1.081581e-05	2.181189e-03	0	0	3.739587e+00	4.276031e+01	SPAG16;CFAP52;DNAI2;CFAP70;CCDC113;FOXJ1;CFAP126;KIF27;CATIP;FAM161A;ABLIM3;TMEM237;TEKT1;TMEM107;CCDC96;HOATZ;RILP
GO_Biological_Process_2021	cilium assembly (GO:0060271)	20/314	1.916251e-05	3.477995e-03	0	0	3.166716e+00	3.439863e+01	SPAG16;CFAP52;DNAI2;DNAAF3;CFAP70;CCDC113;FOXJ1;CFAP206;SPATA6;KIF27;FAM161A;ABLIM3;TMEM237;TEKT1;TMEM107;CCDC96;JHY;HOATZ;ZMYND10;RILP
GO_Biological_Process_2021	microtubule bundle formation (GO:0001578)	7/45	4.804433e-05	7.927314e-03	0	0	8.424504e+00	8.376810e+01	SPAG16;CAPN6;FOXJ1;JHY;CFAP206;HOATZ;GAS2L2
GO_Biological_Process_2021	determination of left/right symmetry (GO:0007368)	6/42	2.729764e-04	4.128768e-02	0	0	7.605140e+00	6.240873e+01	DNAI2;ODAD2;ODAD4;FOXJ1;DNAAF4;CFAP53
GO_Biological_Process_2021	amino-acid betaine metabolic process (GO:0006577)	3/7	3.328322e-04	4.646850e-02	0	0	3.404060e+01	2.725928e+02	BHMT;CPT2;CPT1B
GO_Biological_Process_2021	determination of bilateral symmetry (GO:0009855)	5/29	3.631961e-04	4.708579e-02	0	0	9.490093e+00	7.516692e+01	DNAI2;ODAD2;FOXJ1;DNAAF4;CFAP53
GO_Biological_Process_2021	plasma membrane bounded cell projection assembly (GO:0120031)	16/278	4.042247e-04	4.891119e-02	0	0	2.820264e+00	2.203624e+01	SPAG16;CFAP52;DNAI2;CFAP70;CCDC113;FOXJ1;RHOD;KIF27;FAM161A;ABLIM3;TMEM237;TEKT1;TMEM107;CCDC96;HOATZ;RILP
GO_Biological_Process_2021	supramolecular fiber organization (GO:0097435)	18/351	7.109492e-04	7.597208e-02	0	0	2.499090e+00	1.811568e+01	COL17A1;COL18A1;P3H2;RHOD;OOEP;LOXL1;LOXL2;KATNAL2;COL4A4;COL4A3;COL8A2;COL8A1;COL9A3;ELMO3;EMILIN1;TGFBI;CGNL1;DDR2
GO_Biological_Process_2021	cellular response to interleukin-17 (GO:0097398)	3/9	7.733072e-04	7.597208e-02	0	0	2.269142e+01	1.625802e+02	IL25;TRAF3IP2;IL17RE
