Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	protein targeting to ER (GO:0045047)	47/103	2.034969e-42	3.795217e-39	0	0	2.690036e+01	2.582383e+03	SRP19;RPL30;RPL32;RPL31;RPL36A;RPL6;RPS17;SEC61G;RPL36;RPL14;RPL35;RPLP2;RPL13;RPL38;RPL37;RPL15;SEC62;RPS27A;RPL39;RPS10;RPS13;RPS9;RPL21;RPS7;RPS8;RPL23;RPL22;RPS6;RPL35A;RPL23A;SRP9;RPS26;RPS25;RPS28;SPCS2;RPS27;SPCS1;RPS29;RPL27A;RPL37A;RPL24;RPL27;RPS20;RPL26;RPS21;RPS24;RPS23
GO_Biological_Process_2021	SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	44/90	1.860614e-41	1.735023e-38	0	0	3.052174e+01	2.862484e+03	SRP19;RPL30;RPL32;RPL31;RPL36A;RPL6;RPS17;RPL36;RPL14;RPL35;RPLP2;RPL13;RPL38;RPL37;SEC61B;RPL15;RPS27A;RPL39;RPS10;RPS13;RPS9;RPL21;RPS7;RPS8;RPL23;RPL22;RPS6;RPL35A;RPL23A;SRP9;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPL37A;RPL24;RPL27;RPS20;RPL26;RPS21;RPS24;RPS23
GO_Biological_Process_2021	cotranslational protein targeting to membrane (GO:0006613)	44/94	2.184375e-40	1.357953e-37	0	0	2.807418e+01	2.563793e+03	SRP19;RPL30;RPL32;RPL31;RPL36A;RPL6;RPS17;RPL36;RPL14;RPL35;RPLP2;RPL13;RPL38;RPL37;RPL15;SEC62;RPS27A;RPL39;RPS10;RPS13;RPS9;RPL21;RPS7;RPS8;RPL23;RPL22;RPS6;RPL35A;RPL23A;SRP9;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPL37A;RPL24;RPL27;RPS20;RPL26;RPS21;RPS24;RPS23
GO_Biological_Process_2021	cytoplasmic translation (GO:0002181)	43/93	3.362548e-39	1.567788e-36	0	0	2.739086e+01	2.426505e+03	RPL30;RPL32;RPL31;RPL36A;RPL6;RPS17;RPL36;RPL14;RPL35;RPL13;RPL38;RPL37;RPL15;RPS27A;RPL39;RPS10;RPS13;RWDD1;RPS9;RPL21;RPS7;RPS8;RPL23;RPL22;RPS6;TMA7;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPL37A;RPL24;RPL27;RPL22L1;RPS20;RPL26;RPS21;RPS24;RPS23
GO_Biological_Process_2021	peptide biosynthetic process (GO:0043043)	52/162	1.795558e-37	6.697431e-35	0	0	1.523575e+01	1.289102e+03	RPL30;MRPS15;RPL32;RPL31;MRPS14;RPL6;MRPL32;MRPL42;RPS17;RPL36;RPL35;RPLP2;RPL38;RPL37;RPL39;RPS10;RPS13;RPS9;RPL21;RPS7;RPS8;RPL23;RPL22;RPS6;MRPS21;MRPS18C;MRPL52;RPL37A;RPL24;RPL27;RPL26;MRPS36;MRPL18;MRPS33;RPL36A;RPL14;RPL13;RPL15;RPS27A;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;RPS21;RSL24D1;RPS24;RPS23
GO_Biological_Process_2021	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	44/113	4.495878e-36	1.397469e-33	0	0	2.032358e+01	1.654134e+03	RPL30;RPL32;RPL31;RPL36A;RPL6;RPS17;MAGOH;RPL36;RPL14;RPL35;RPLP2;RPL13;RPL38;RPL37;RPL15;RPS27A;RPL39;RPS10;RPS13;RPS9;RPL21;RPS7;RPS8;RPL23;RPL22;RPS6;RPL35A;RPL23A;MAGOHB;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPL37A;RPL24;RPL27;RPS20;EIF3E;RPL26;RPS21;RPS24;RPS23
GO_Biological_Process_2021	translation (GO:0006412)	55/214	6.756225e-34	1.800051e-31	0	0	1.117633e+01	8.536196e+02	RPL30;MRPS15;RPL32;RPL31;MRPS14;RPL6;MRPL32;MRPL42;RPS17;RPL36;RPL35;RPLP2;RPL38;RPL37;RPL39;RPS10;RPS13;RPS9;RPL21;RPS7;RPS8;RPL23;RPL22;RPS6;MRPS21;MRPS18C;MRPL52;RPL37A;RPL24;RPL27;RPL26;MRPS36;MRPL18;MRPS33;RPL36A;RPL14;RPL13;RPL15;RPS27A;RWDD1;TMA7;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;RPL22L1;RPS21;RSL24D1;RPS24;RPS23
GO_Biological_Process_2021	cellular macromolecule biosynthetic process (GO:0034645)	59/314	2.388190e-28	5.567467e-26	0	0	7.488627e+00	4.762905e+02	RPL30;MRPS15;RPL32;RPL31;MRPS14;RPL6;MRPL32;MRPL42;RPS17;RPL36;RPL35;RPLP2;RPL38;RPL37;NBN;RPL39;RPS10;RPS13;TIPIN;RPS9;RPL21;RPS7;RPS8;RPL23;RPL22;RPS6;MRPS21;MRPS18C;MRPL52;RPL37A;RPL24;RPL27;RPL26;MRPS36;MRPL18;MRPS33;RPL36A;CREBL2;ORC4;RPL14;RPL13;RPL15;RPS27A;POLR2K;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPA3;RAD17;RPS20;RPS21;RSL24D1;RPS24;RPS23
GO_Biological_Process_2021	gene expression (GO:0010467)	62/356	7.771053e-28	1.610335e-25	0	0	6.846377e+00	4.273644e+02	RPL30;MRPS15;RPL32;RPL31;MRPS14;RPL6;MRPL32;RBM3;MRPL42;RPS17;MAGOH;RPL36;RPL35;RPLP2;RPL38;RPL37;RPL39;RPS10;RPS13;RPS9;RPL21;RPS7;RPS8;RPL23;RPL22;RPS6;MRPS21;MRPS18C;MRPL52;SARNP;RPL37A;RPL24;SRSF3;RPL27;RPL26;FYTTD1;SLBP;MRPS36;MRPL18;MRPS33;RPL36A;CREBL2;RPL14;RPL13;RPL15;RPS27A;POLR2K;RPL35A;RPL23A;MAGOHB;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;RPS21;RSL24D1;RPS24;RPS23;NUP37
GO_Biological_Process_2021	nuclear-transcribed mRNA catabolic process (GO:0000956)	44/171	2.469268e-27	4.605184e-25	0	0	1.100873e+01	6.744597e+02	RPL30;RPL32;RPL31;RPL36A;RPL6;RPS17;MAGOH;RPL36;RPL14;RPL35;RPLP2;RPL13;RPL38;RPL37;RPL15;RPS27A;RPL39;RPS10;RPS13;RPS9;RPL21;RPS7;RPS8;RPL23;RPL22;RPS6;RPL35A;RPL23A;MAGOHB;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPL37A;RPL24;RPL27;RPS20;EIF3E;RPL26;RPS21;RPS24;RPS23
