Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	indolalkylamine biosynthetic process (GO:0046219)	4/5	0.046803473417328	0.9999966868778274	0	0	7.892936802973978	24.166577016356943	TPH2;DDC;TPH1;AANAT
GO_Biological_Process_2021	indole-containing compound biosynthetic process (GO:0042435)	4/5	0.046803473417328	0.9999966868778274	0	0	7.892936802973978	24.166577016356943	TPH2;DDC;TPH1;AANAT
GO_Biological_Process_2021	indolalkylamine metabolic process (GO:0006586)	4/6	0.1032106047153123	0.9999966868778274	0	0	3.946171003717472	8.961689917722474	TPH2;DDC;TPH1;AANAT
GO_Biological_Process_2021	cardiac endothelial cell differentiation (GO:0003348)	3/5	0.2144903346636421	0.9999966868778274	0	0	2.9591882247992864	4.555642460066448	SMAD4;SOX17;SOX18
GO_Biological_Process_2021	catechol-containing compound biosynthetic process (GO:0009713)	3/5	0.2144903346636421	0.9999966868778274	0	0	2.9591882247992864	4.555642460066448	DDC;PAH;DBH
GO_Biological_Process_2021	double-strand break repair via synthesis-dependent strand annealing (GO:0045003)	3/5	0.2144903346636421	0.9999966868778274	0	0	2.9591882247992864	4.555642460066448	RAD51;FANCM;RAD54L
GO_Biological_Process_2021	endocardial cell differentiation (GO:0060956)	3/5	0.2144903346636421	0.9999966868778274	0	0	2.9591882247992864	4.555642460066448	SMAD4;SOX17;SOX18
GO_Biological_Process_2021	positive regulation of cell proliferation involved in heart morphogenesis (GO:2000138)	3/5	0.2144903346636421	0.9999966868778274	0	0	2.9591882247992864	4.555642460066448	BMP4;SMAD4;PIM1
GO_Biological_Process_2021	negative regulation of mitotic nuclear division (GO:0045839)	4/8	0.2650295391431849	0.9999966868778274	0	0	1.9727881040892192	2.6196929241918534	BMP4;TOM1L1;CHEK1;BMP7
GO_Biological_Process_2021	regulation of response to reactive oxygen species (GO:1901031)	3/6	0.3257700395448617	0.9999966868778274	0	0	1.9726434730895035	2.2124450100456228	GCH1;STK26;BMP7
GO_Biological_Process_2021	regulation of superoxide metabolic process (GO:0090322)	3/6	0.3257700395448617	0.9999966868778274	0	0	1.9726434730895035	2.2124450100456228	BST1;GCH1;BMP7
GO_Biological_Process_2021	regulation of very-low-density lipoprotein particle remodeling (GO:0010901)	3/6	0.3257700395448617	0.9999966868778274	0	0	1.9726434730895035	2.2124450100456228	APOA2;APOA1;APOC3
GO_Biological_Process_2021	phenol-containing compound biosynthetic process (GO:0046189)	4/9	0.3573515155027172	0.9999966868778274	0	0	1.5781115241635688	1.6239325357334178	DDC;TPH1;DCT;DBH
GO_Biological_Process_2021	catecholamine biosynthetic process (GO:0042423)	5/12	0.3773948799209946	0.9999966868778274	0	0	1.4090252400781849	1.3730432624428293	DDC;GCH1;PAH;DBH;GATA3
GO_Biological_Process_2021	gap junction assembly (GO:0016264)	3/7	0.4365377114727273	0.9999966868778274	0	0	1.479371097234612	1.2262218729691787	GJC1;GJB2;GJD3
GO_Biological_Process_2021	negative regulation of centriole replication (GO:0046600)	3/7	0.4365377114727273	0.9999966868778274	0	0	1.479371097234612	1.2262218729691787	KAT2B;BRCA1;CDK5RAP2
GO_Biological_Process_2021	negative regulation of intracellular transport (GO:0032387)	3/7	0.4365377114727273	0.9999966868778274	0	0	1.479371097234612	1.2262218729691787	PLN;INSIG1;CRYAB
GO_Biological_Process_2021	positive regulation of multicellular organism growth (GO:0040018)	3/7	0.4365377114727273	0.9999966868778274	0	0	1.479371097234612	1.2262218729691787	GHR;GHRH;GHRL
GO_Biological_Process_2021	regulation of centriole replication (GO:0046599)	7/19	0.4685370442158402	0.9999966868778274	0	0	1.150612416939403	0.8723254250344219	PLK4;KAT2B;NPM1;CENPJ;BRCA1;CEP76;CDK5RAP2
GO_Biological_Process_2021	cellular biogenic amine biosynthetic process (GO:0042401)	6/17	0.5333509491908416	0.9999966868778274	0	0	1.0758184252160157	0.6762332446485994	TPH2;DDC;TPH1;AANAT;PAH;DBH
GO_Biological_Process_2021	neurotransmitter biosynthetic process (GO:0042136)	5/14	0.5345228572848846	0.9999966868778274	0	0	1.0957432745059157	0.6863525330660624	SLC22A2;PAH;DBH;SLC6A3;SLC6A4
GO_Biological_Process_2021	negative regulation of centrosome duplication (GO:0010826)	4/11	0.53636468482466	0.9999966868778274	0	0	1.127052575677111	0.702087221499521	KAT2B;NPM1;BRCA1;CDK5RAP2
GO_Biological_Process_2021	negative regulation of nuclear division (GO:0051784)	4/11	0.53636468482466	0.9999966868778274	0	0	1.127052575677111	0.702087221499521	BMP4;TOM1L1;CHEK1;BMP7
GO_Biological_Process_2021	rhodopsin mediated signaling pathway (GO:0016056)	4/11	0.53636468482466	0.9999966868778274	0	0	1.127052575677111	0.702087221499521	PDE6G;RHO;GNAT1;CNGB1
GO_Biological_Process_2021	negative regulation of muscle cell apoptotic process (GO:0010656)	3/8	0.5394425510685787	0.9999966868778274	0	0	1.183407671721677	0.730421682527603	APOH;ALOX12;BMP7
GO_Biological_Process_2021	amine transport (GO:0015837)	2/5	0.5452527913768052	0.9999966868778274	0	0	1.314900153609831	0.7974945097172823	SLC22A2;AQP9
GO_Biological_Process_2021	cellular response to indole-3-methanol (GO:0071681)	2/5	0.5452527913768052	0.9999966868778274	0	0	1.314900153609831	0.7974945097172823	CDH1;BRCA1
GO_Biological_Process_2021	determination of pancreatic left/right asymmetry (GO:0035469)	2/5	0.5452527913768052	0.9999966868778274	0	0	1.314900153609831	0.7974945097172823	ZIC3;NPHP3
