Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	indolalkylamine biosynthetic process (GO:0046219)	4/5	0.0281427966693495	0.9999965745849602	0	0	9.664787288569965	34.50777361347936	TPH2;TPH1;DDC;AANAT
GO_Biological_Process_2021	indole-containing compound biosynthetic process (GO:0042435)	4/5	0.0281427966693495	0.9999965745849602	0	0	9.664787288569965	34.50777361347936	TPH2;TPH1;DDC;AANAT
GO_Biological_Process_2021	indolalkylamine metabolic process (GO:0006586)	4/6	0.0649093173188885	0.9999965745849602	0	0	4.832051939176491	13.21452217907446	TPH2;TPH1;DDC;AANAT
GO_Biological_Process_2021	cardiac endothelial cell differentiation (GO:0003348)	3/5	0.1537231959359384	0.9999965745849602	0	0	3.623419883840109	6.78522231715931	SMAD4;SOX17;SOX18
GO_Biological_Process_2021	catechol-containing compound biosynthetic process (GO:0009713)	3/5	0.1537231959359384	0.9999965745849602	0	0	3.623419883840109	6.78522231715931	DDC;PAH;DBH
GO_Biological_Process_2021	double-strand break repair via synthesis-dependent strand annealing (GO:0045003)	3/5	0.1537231959359384	0.9999965745849602	0	0	3.623419883840109	6.78522231715931	RAD51;FANCM;RAD54L
GO_Biological_Process_2021	endocardial cell differentiation (GO:0060956)	3/5	0.1537231959359384	0.9999965745849602	0	0	3.623419883840109	6.78522231715931	SMAD4;SOX17;SOX18
GO_Biological_Process_2021	positive regulation of cell proliferation involved in heart morphogenesis (GO:2000138)	3/5	0.1537231959359384	0.9999965745849602	0	0	3.623419883840109	6.78522231715931	BMP4;SMAD4;PIM1
GO_Biological_Process_2021	negative regulation of mitotic nuclear division (GO:0045839)	4/8	0.1812849800542527	0.9999965745849602	0	0	2.415684264479754	4.125227808469234	BMP4;TOM1L1;CHEK1;BMP7
GO_Biological_Process_2021	regulation of response to reactive oxygen species (GO:1901031)	3/6	0.2425370785181408	0.9999965745849602	0	0	2.415442432524769	3.4217173904517995	GCH1;STK26;BMP7
GO_Biological_Process_2021	regulation of superoxide metabolic process (GO:0090322)	3/6	0.2425370785181408	0.9999965745849602	0	0	2.415442432524769	3.4217173904517995	BST1;GCH1;BMP7
GO_Biological_Process_2021	regulation of very-low-density lipoprotein particle remodeling (GO:0010901)	3/6	0.2425370785181408	0.9999965745849602	0	0	2.415442432524769	3.4217173904517995	APOA2;APOC3;APOA1
GO_Biological_Process_2021	phenol-containing compound biosynthetic process (GO:0046189)	4/9	0.2541225989099427	0.9999965745849602	0	0	1.9324107295404067	2.6472837702933685	TPH1;DDC;DCT;DBH
GO_Biological_Process_2021	catecholamine biosynthetic process (GO:0042423)	5/12	0.2576388350198506	0.9999965745849602	0	0	1.725417439703154	2.340005160141939	DDC;GCH1;PAH;DBH;GATA3
GO_Biological_Process_2021	regulation of centriole replication (GO:0046599)	7/19	0.30926492277701	0.9999965745849602	0	0	1.409074074074074	1.6536287630697486	PLK4;KAT2B;NPM1;CENPJ;BRCA1;CEP76;CDK5RAP2
GO_Biological_Process_2021	gap junction assembly (GO:0016264)	3/7	0.3367524830696585	0.9999965745849602	0	0	1.8114537068670995	1.9715990579231903	GJC1;GJB2;GJD3
GO_Biological_Process_2021	negative regulation of centriole replication (GO:0046600)	3/7	0.3367524830696585	0.9999965745849602	0	0	1.8114537068670995	1.9715990579231903	KAT2B;BRCA1;CDK5RAP2
GO_Biological_Process_2021	negative regulation of intracellular transport (GO:0032387)	3/7	0.3367524830696585	0.9999965745849602	0	0	1.8114537068670995	1.9715990579231903	PLN;INSIG1;CRYAB
GO_Biological_Process_2021	positive regulation of multicellular organism growth (GO:0040018)	3/7	0.3367524830696585	0.9999965745849602	0	0	1.8114537068670995	1.9715990579231903	GHR;GHRH;GHRL
GO_Biological_Process_2021	cellular biogenic amine biosynthetic process (GO:0042401)	6/17	0.3777452237689033	0.9999965745849602	0	0	1.3174437936017154	1.2825780675621867	TPH2;TPH1;DDC;AANAT;PAH;DBH
GO_Biological_Process_2021	neurotransmitter biosynthetic process (GO:0042136)	5/14	0.3924403070234342	0.9999965745849602	0	0	1.3418014733804209	1.2550819677030414	SLC22A2;PAH;DBH;SLC6A3;SLC6A4
GO_Biological_Process_2021	negative regulation of centrosome duplication (GO:0010826)	4/11	0.4094540629142079	0.9999965745849602	0	0	1.3800981181811525	1.2323317861533842	KAT2B;NPM1;BRCA1;CDK5RAP2
GO_Biological_Process_2021	negative regulation of nuclear division (GO:0051784)	4/11	0.4094540629142079	0.9999965745849602	0	0	1.3800981181811525	1.2323317861533842	BMP4;TOM1L1;CHEK1;BMP7
GO_Biological_Process_2021	rhodopsin mediated signaling pathway (GO:0016056)	4/11	0.4094540629142079	0.9999965745849602	0	0	1.3800981181811525	1.2323317861533842	PDE6G;RHO;GNAT1;CNGB1
GO_Biological_Process_2021	negative regulation of muscle cell apoptotic process (GO:0010656)	3/8	0.4300329476822355	0.9999965745849602	0	0	1.4490604714724975	1.2228526415628156	APOH;ALOX12;BMP7
GO_Biological_Process_2021	amine transport (GO:0015837)	2/5	0.4570254787826979	0.9999965745849602	0	0	1.610019925989183	1.260671583556585	SLC22A2;AQP9
GO_Biological_Process_2021	cellular response to indole-3-methanol (GO:0071681)	2/5	0.4570254787826979	0.9999965745849602	0	0	1.610019925989183	1.260671583556585	CDH1;BRCA1
GO_Biological_Process_2021	determination of pancreatic left/right asymmetry (GO:0035469)	2/5	0.4570254787826979	0.9999965745849602	0	0	1.610019925989183	1.260671583556585	ZIC3;NPHP3
