Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	peptidyl-serine autophosphorylation (GO:0036289)	4/8	0.0022906410527112	0.9999960406135128	0	0	11.386617100371748	69.21837501604442	ERN1;DYRK1A;ATM;MARK3
GO_Biological_Process_2021	RNA 3'-end processing (GO:0031123)	11/69	0.022035908099408	0.9999960406135128	0	0	2.16256464176126	8.250361373430582	PNPT1;PABPN1;TUT4;CSTF3;PAPOLA;THOC1;SRSF2;UPF3B;SRSF5;SRSF11;WDR33
GO_Biological_Process_2021	regulation of mRNA processing (GO:0050684)	7/36	0.02337367435676	0.9999960406135128	0	0	2.749866221451658	10.328896031306645	RBM39;KHDRBS2;TIA1;SON;PABPN1;PAPOLA;SRSF10
GO_Biological_Process_2021	regulation of chromosome organization (GO:0033044)	5/22	0.0283937467551581	0.9999960406135128	0	0	3.348710842055359	11.92672280083872	SMG1;SHCBP1L;YLPM1;HNRNPD;WAPL
GO_Biological_Process_2021	mRNA splice site selection (GO:0006376)	6/30	0.0306231355808419	0.9999960406135128	0	0	2.8470843672456576	9.924934654948109	PRPF39;CELF3;LUC7L3;SRSF5;SRSF10;LUC7L2
GO_Biological_Process_2021	DNA dealkylation (GO:0035510)	3/10	0.041199425074693	0.9999960406135128	0	0	4.876160990712075	15.551691297598383	ALKBH5;ALKBH1;ASCC3
GO_Biological_Process_2021	DNA dealkylation involved in DNA repair (GO:0006307)	3/10	0.041199425074693	0.9999960406135128	0	0	4.876160990712075	15.551691297598383	ALKBH5;ALKBH1;ASCC3
GO_Biological_Process_2021	regulation of RNA splicing (GO:0043484)	11/76	0.0415180833946916	0.9999960406135128	0	0	1.9289359054138149	6.137153019036935	ERN1;CLK1;RBM39;KHDRBS2;TIA1;SON;DYRK1A;HNRNPH3;SRSF10;CLK4;BRDT
GO_Biological_Process_2021	regulation of presynapse assembly (GO:1905606)	4/18	0.0522836072112584	0.9999960406135128	0	0	3.251548946716233	9.595556336625744	PTPRD;SLITRK2;IL1RAPL1;LRRC4B
GO_Biological_Process_2021	regulation of presynapse organization (GO:0099174)	4/18	0.0522836072112584	0.9999960406135128	0	0	3.251548946716233	9.595556336625744	PTPRD;SLITRK2;IL1RAPL1;LRRC4B
GO_Biological_Process_2021	calcineurin-NFAT signaling cascade (GO:0033173)	3/11	0.0533245405894306	0.9999960406135128	0	0	4.26640866873065	12.50637387000332	NFAT5;PPP3CB;NFATC3
GO_Biological_Process_2021	mitochondrion morphogenesis (GO:0070584)	3/11	0.0533245405894306	0.9999960406135128	0	0	4.26640866873065	12.50637387000332	PNPT1;NUBPL;MTM1
GO_Biological_Process_2021	RNA polyadenylation (GO:0043631)	5/26	0.0543511015684243	0.9999960406135128	0	0	2.710270717090308	7.893095384202755	PNPT1;CSTF3;PAPOLA;CDC73;WDR33
GO_Biological_Process_2021	mRNA polyadenylation (GO:0006378)	5/26	0.0543511015684243	0.9999960406135128	0	0	2.710270717090308	7.893095384202755	PNPT1;CSTF3;PAPOLA;CDC73;WDR33
GO_Biological_Process_2021	mRNA cleavage (GO:0006379)	2/5	0.0554657216565967	0.9999960406135128	0	0	7.582095709570957	21.92734555380194	ERN1;CSTF3
GO_Biological_Process_2021	oxidative RNA demethylation (GO:0035513)	2/5	0.0554657216565967	0.9999960406135128	0	0	7.582095709570957	21.92734555380194	ALKBH5;ALKBH1
GO_Biological_Process_2021	calcineurin-mediated signaling (GO:0097720)	3/12	0.0669467920564786	0.9999960406135128	0	0	3.792156862745098	10.25345034678108	NFAT5;PPP3CB;NFATC3
GO_Biological_Process_2021	regulation of hippo signaling (GO:0035330)	4/20	0.0728908329049266	0.9999960406135128	0	0	2.8447955390334574	7.4499289280093395	SOX11;WTIP;MARK3;MOB3B
GO_Biological_Process_2021	post-transcriptional gene silencing by RNA (GO:0035194)	4/20	0.0728908329049266	0.9999960406135128	0	0	2.8447955390334574	7.4499289280093395	TNRC6C;CNOT6;AGO3;WTIP
GO_Biological_Process_2021	protein localization to perinuclear region of cytoplasm (GO:1905719)	2/6	0.0788127994043352	0.9999960406135128	0	0	5.686262376237623	14.446972333916651	HOOK1;HOOK3
GO_Biological_Process_2021	chromatin organization involved in negative regulation of transcription (GO:0097549)	2/6	0.0788127994043352	0.9999960406135128	0	0	5.686262376237623	14.446972333916651	SMCHD1;SIRT1
GO_Biological_Process_2021	equilibrioception (GO:0050957)	2/6	0.0788127994043352	0.9999960406135128	0	0	5.686262376237623	14.446972333916651	CDH23;PCDH15
GO_Biological_Process_2021	regulation of retrograde transport, endosome to Golgi (GO:1905279)	2/6	0.0788127994043352	0.9999960406135128	0	0	5.686262376237623	14.446972333916651	PRKN;USP7
GO_Biological_Process_2021	maintenance of DNA methylation (GO:0010216)	2/6	0.0788127994043352	0.9999960406135128	0	0	5.686262376237623	14.446972333916651	USP7;UHRF2
GO_Biological_Process_2021	transmembrane receptor protein tyrosine phosphatase signaling pathway (GO:0007185)	2/6	0.0788127994043352	0.9999960406135128	0	0	5.686262376237623	14.446972333916651	PTPRD;TRIO
GO_Biological_Process_2021	N-terminal peptidyl-methionine acetylation (GO:0017196)	2/6	0.0788127994043352	0.9999960406135128	0	0	5.686262376237623	14.446972333916651	NAA30;NAA16
GO_Biological_Process_2021	cell part morphogenesis (GO:0032990)	3/13	0.0819727103721181	0.9999960406135128	0	0	3.412755417956656	8.536560222947157	PNPT1;NUBPL;MTM1
GO_Biological_Process_2021	regulation of protein acetylation (GO:1901983)	3/13	0.0819727103721181	0.9999960406135128	0	0	3.412755417956656	8.536560222947157	CEP295;TAOK1;SIRT1
GO_Biological_Process_2021	synaptic membrane adhesion (GO:0099560)	3/14	0.0982957350275183	0.9999960406135128	0	0	3.1023360540388403	7.19672050316312	PTPRD;SLITRK2;LRRC4B
GO_Biological_Process_2021	mRNA 3'-end processing (GO:0031124)	10/79	0.103921290697986	0.9999960406135128	0	0	1.6505335640637393	3.737008506727145	PABPN1;CSTF3;PAPOLA;THOC1;SRSF2;UPF3B;SRSF5;CDC73;SRSF11;WDR33
GO_Biological_Process_2021	AV node cell to bundle of His cell communication (GO:0086067)	2/7	0.1045648912608261	0.9999960406135128	0	0	4.548762376237624	10.270866322999916	GJC3;GJA5
GO_Biological_Process_2021	cation homeostasis (GO:0055080)	2/7	0.1045648912608261	0.9999960406135128	0	0	4.548762376237624	10.270866322999916	UNC80;TRPM7
GO_Biological_Process_2021	regulation of prostaglandin biosynthetic process (GO:0031392)	2/7	0.1045648912608261	0.9999960406135128	0	0	4.548762376237624	10.270866322999916	PIBF1;SIRT1
GO_Biological_Process_2021	histone H3-K14 acetylation (GO:0044154)	2/7	0.1045648912608261	0.9999960406135128	0	0	4.548762376237624	10.270866322999916	BRD1;PHF14
GO_Biological_Process_2021	nose development (GO:0043584)	2/7	0.1045648912608261	0.9999960406135128	0	0	4.548762376237624	10.270866322999916	SMCHD1;CHD7
GO_Biological_Process_2021	positive regulation of histone H3-K9 methylation (GO:0051574)	2/7	0.1045648912608261	0.9999960406135128	0	0	4.548762376237624	10.270866322999916	RIF1;SIRT1
GO_Biological_Process_2021	histone H2A-K119 monoubiquitination (GO:0036353)	2/8	0.1321805923513827	0.9999960406135128	0	0	3.7904290429042895	7.670259780302407	PCGF6;BMI1
GO_Biological_Process_2021	peptidyl-lysine deacetylation (GO:0034983)	2/8	0.1321805923513827	0.9999960406135128	0	0	3.7904290429042895	7.670259780302407	SIRT4;SIRT1
GO_Biological_Process_2021	positive regulation of vascular associated smooth muscle cell migration (GO:1904754)	2/8	0.1321805923513827	0.9999960406135128	0	0	3.7904290429042895	7.670259780302407	DOCK4;DOCK7
GO_Biological_Process_2021	protein deglycosylation (GO:0006517)	2/8	0.1321805923513827	0.9999960406135128	0	0	3.7904290429042895	7.670259780302407	MAN2A1;OGA
GO_Biological_Process_2021	negative regulation of DNA replication (GO:0008156)	3/16	0.1343659589620699	0.9999960406135128	0	0	2.624767801857585	5.268402866466261	PDS5A;WAPL;ATR
GO_Biological_Process_2021	protein localization to microtubule organizing center (GO:1905508)	3/16	0.1343659589620699	0.9999960406135128	0	0	2.624767801857585	5.268402866466261	CEP192;HOOK3;PIBF1
GO_Biological_Process_2021	RNA processing (GO:0006396)	19/179	0.1354049112258645	0.9999960406135128	0	0	1.3532598499061914	2.7058236467970658	RBM39;CSTF3;TUT4;CELF3;THOC1;PRPF4B;RNPC3;DUSP11;ALKBH5;SON;PABPN1;SRSF2;HNRNPD;LUC7L3;SNRNP48;SRSF5;HNRNPH3;SRSF11;RBM6
GO_Biological_Process_2021	regulation of telomere maintenance (GO:0032204)	4/26	0.1544441513324671	0.9999960406135128	0	0	2.0682663061845217	3.863361640967104	SMG1;USP7;YLPM1;HNRNPD
GO_Biological_Process_2021	bundle of His cell to Purkinje myocyte communication (GO:0086069)	2/9	0.1611902660902502	0.9999960406135128	0	0	3.248762376237624	5.929543089504132	GJA5;CTNNA3
GO_Biological_Process_2021	regulation of mammary gland epithelial cell proliferation (GO:0033599)	2/9	0.1611902660902502	0.9999960406135128	0	0	3.248762376237624	5.929543089504132	BRCA2;RREB1
GO_Biological_Process_2021	glycerolipid biosynthetic process (GO:0045017)	2/9	0.1611902660902502	0.9999960406135128	0	0	3.248762376237624	5.929543089504132	CPNE3;CRLS1
GO_Biological_Process_2021	negative regulation of exocytosis (GO:0045920)	2/9	0.1611902660902502	0.9999960406135128	0	0	3.248762376237624	5.929543089504132	PRKN;IL1RAPL1
GO_Biological_Process_2021	negative regulation of retrograde protein transport, ER to cytosol (GO:1904153)	2/9	0.1611902660902502	0.9999960406135128	0	0	3.248762376237624	5.929543089504132	DERL2;YOD1
GO_Biological_Process_2021	spliceosomal complex assembly (GO:0000245)	6/46	0.164765539071267	0.9999960406135128	0	0	1.7067617866004965	3.0776871131767485	GCFC2;CELF3;LUC7L3;SRSF5;SRSF10;LUC7L2
GO_Biological_Process_2021	negative regulation of double-strand break repair via homologous recombination (GO:2000042)	3/18	0.1741860958172651	0.9999960406135128	0	0	2.2745510835913314	3.975076064607738	POLQ;SMCHD1;RIF1
GO_Biological_Process_2021	negative regulation of signal transduction by p53 class mediator (GO:1901797)	3/18	0.1741860958172651	0.9999960406135128	0	0	2.2745510835913314	3.975076064607738	PRKN;DYRK1A;SIRT1
GO_Biological_Process_2021	protein localization to centrosome (GO:0071539)	3/18	0.1741860958172651	0.9999960406135128	0	0	2.2745510835913314	3.975076064607738	CEP192;HOOK3;PIBF1
GO_Biological_Process_2021	regulation of DNA damage response, signal transduction by p53 class mediator (GO:0043516)	4/28	0.1869913801188278	0.9999960406135128	0	0	1.895704254440314	3.178513596267712	DYRK1A;ATM;SIRT1;ATR
GO_Biological_Process_2021	positive regulation of synapse assembly (GO:0051965)	4/28	0.1869913801188278	0.9999960406135128	0	0	1.895704254440314	3.178513596267712	PTPRD;SLITRK2;IL1RAPL1;LRRC4B
GO_Biological_Process_2021	negative regulation of G0 to G1 transition (GO:0070317)	5/38	0.1902186281525611	0.9999960406135128	0	0	1.7235905239625016	2.86043841947134	SUZ12;PCGF6;TFDP2;CBX3;BMI1
GO_Biological_Process_2021	regulation of endoplasmic reticulum unfolded protein response (GO:1900101)	2/10	0.1911879867178946	0.9999960406135128	0	0	2.842512376237624	4.702931357866529	ERN1;BAX
GO_Biological_Process_2021	regulation of T-helper 17 cell differentiation (GO:2000319)	2/10	0.1911879867178946	0.9999960406135128	0	0	2.842512376237624	4.702931357866529	RC3H2;MALT1
GO_Biological_Process_2021	negative regulation of cell adhesion mediated by integrin (GO:0033629)	2/10	0.1911879867178946	0.9999960406135128	0	0	2.842512376237624	4.702931357866529	WNK1;PDE3B
GO_Biological_Process_2021	negative regulation of cellular protein catabolic process (GO:1903363)	2/10	0.1911879867178946	0.9999960406135128	0	0	2.842512376237624	4.702931357866529	RGP1;RIC1
GO_Biological_Process_2021	negative regulation of protein exit from endoplasmic reticulum (GO:0070862)	2/10	0.1911879867178946	0.9999960406135128	0	0	2.842512376237624	4.702931357866529	DERL2;YOD1
GO_Biological_Process_2021	presynaptic membrane assembly (GO:0097105)	2/10	0.1911879867178946	0.9999960406135128	0	0	2.842512376237624	4.702931357866529	PTPRD;IL1RAPL1
GO_Biological_Process_2021	DNA-templated transcription, termination (GO:0006353)	8/70	0.2032754850749316	0.9999960406135128	0	0	1.4682428371067922	2.339194431484412	TAF1D;PABPN1;CAVIN1;CSTF3;PAPOLA;GTF2H2;TTF1;WDR33
GO_Biological_Process_2021	regulation of protein targeting to mitochondrion (GO:1903214)	5/39	0.2047522001991651	0.9999960406135128	0	0	1.6728055140221	2.652993952033126	PRKN;LMAN1;CSNK2A2;HPS4;RHOU
GO_Biological_Process_2021	inositol phosphate-mediated signaling (GO:0048016)	3/20	0.2167786535184214	0.9999960406135128	0	0	2.0067382990347844	3.068058992148844	NFAT5;PPP3CB;NFATC3
GO_Biological_Process_2021	positive regulation of dendrite morphogenesis (GO:0050775)	3/20	0.2167786535184214	0.9999960406135128	0	0	2.0067382990347844	3.068058992148844	PTPRD;CAPRIN2;IL1RAPL1
GO_Biological_Process_2021	termination of RNA polymerase I transcription (GO:0006363)	4/30	0.221489946684422	0.9999960406135128	0	0	1.7496902106567531	2.637444666758614	TAF1D;CAVIN1;GTF2H2;TTF1
GO_Biological_Process_2021	negative regulation of gene expression, epigenetic (GO:0045814)	4/30	0.221489946684422	0.9999960406135128	0	0	1.7496902106567531	2.637444666758614	CREBZF;SUZ12;TASOR;BMI1
GO_Biological_Process_2021	non-motile cilium assembly (GO:1905515)	4/30	0.221489946684422	0.9999960406135128	0	0	1.7496902106567531	2.637444666758614	RPGRIP1;TTC8;DISC1;PIBF1
GO_Biological_Process_2021	rDNA heterochromatin assembly (GO:0000183)	2/11	0.2218243145566372	0.9999960406135128	0	0	2.5265401540154016	3.8046399764572136	MBD2;SIRT1
GO_Biological_Process_2021	cell proliferation in forebrain (GO:0021846)	2/11	0.2218243145566372	0.9999960406135128	0	0	2.5265401540154016	3.8046399764572136	DOCK7;HOOK3
GO_Biological_Process_2021	regulation of mRNA 3'-end processing (GO:0031440)	2/11	0.2218243145566372	0.9999960406135128	0	0	2.5265401540154016	3.8046399764572136	PAPOLA;CDC73
GO_Biological_Process_2021	miRNA mediated inhibition of translation (GO:0035278)	2/11	0.2218243145566372	0.9999960406135128	0	0	2.5265401540154016	3.8046399764572136	TNRC6C;AGO3
GO_Biological_Process_2021	negative regulation of activin receptor signaling pathway (GO:0032926)	2/11	0.2218243145566372	0.9999960406135128	0	0	2.5265401540154016	3.8046399764572136	MAGI2;LEMD3
GO_Biological_Process_2021	negative regulation of translation, ncRNA-mediated (GO:0040033)	2/11	0.2218243145566372	0.9999960406135128	0	0	2.5265401540154016	3.8046399764572136	TNRC6C;AGO3
GO_Biological_Process_2021	positive regulation of DNA methylation-dependent heterochromatin assembly (GO:0090309)	2/11	0.2218243145566372	0.9999960406135128	0	0	2.5265401540154016	3.8046399764572136	TASOR;RESF1
GO_Biological_Process_2021	presynaptic membrane organization (GO:0097090)	2/11	0.2218243145566372	0.9999960406135128	0	0	2.5265401540154016	3.8046399764572136	PTPRD;IL1RAPL1
GO_Biological_Process_2021	regulation of G0 to G1 transition (GO:0070316)	5/41	0.2348413954081608	0.9999960406135128	0	0	1.5796996624646966	2.2887398087367616	SUZ12;PCGF6;TFDP2;CBX3;BMI1
GO_Biological_Process_2021	mRNA metabolic process (GO:0016071)	10/95	0.2380296481025746	0.9999960406135128	0	0	1.3386742756804215	1.921479563506794	ERN1;NANOS2;ALKBH5;PNPT1;SON;AGO3;CSTF3;SRSF2;SRSF5;SRSF11
GO_Biological_Process_2021	regulation of cell-substrate junction assembly (GO:0090109)	3/21	0.2388215326770849	0.9999960406135128	0	0	1.8951496388028897	2.7139276841650357	MACF1;SLK;LIMCH1
