Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	neutrophil degranulation (GO:0043312)	16/481	7.694368581125389e-08	2.508872414884788e-05	0	0	5.962211981566821	97.66217721598842	MS4A3;HP;PPBP;MPO;MMP9;PLAC8;RAB44;SLPI;PRTN3;CTSG;S100A9;S100A8;ELANE;CAMP;CD177;LTF
GO_Biological_Process_2021	neutrophil activation involved in immune response (GO:0002283)	16/485	8.616568707283699e-08	2.508872414884788e-05	0	0	5.910143161742309	96.14026217109196	MS4A3;HP;PPBP;MPO;MMP9;PLAC8;RAB44;SLPI;PRTN3;CTSG;S100A9;S100A8;ELANE;CAMP;CD177;LTF
GO_Biological_Process_2021	neutrophil mediated immunity (GO:0002446)	16/488	9.373122347016645e-08	2.508872414884788e-05	0	0	5.871670702179177	95.02027506589523	MS4A3;HP;PPBP;MPO;MMP9;PLAC8;RAB44;SLPI;PRTN3;CTSG;S100A9;S100A8;ELANE;CAMP;CD177;LTF
GO_Biological_Process_2021	neutrophil migration (GO:1990266)	7/77	6.181333359845781e-07	0.00012409026719890407	0	0	16.36528925619835	233.96736675070076	PRTN3;PPBP;S100A9;S100A8;CD177;PF4;UMODL1
GO_Biological_Process_2021	defense response to bacterium (GO:0042742)	8/176	1.7869849665468474e-05	0.0028698978562742	0	0	7.819047619047619	85.48092211119594	SLPI;CTSG;S100A9;MPO;S100A8;ELANE;CAMP;LTF
GO_Biological_Process_2021	granulocyte migration (GO:0097530)	3/10	2.973333982336058e-05	0.003979311979693	0	0	68.10857142857142	709.9120942661331	ANXA1;CD177;UMODL1
GO_Biological_Process_2021	regulation of inflammatory response (GO:0050727)	8/206	5.494959016647397e-05	0.005211399000772	0	0	6.624242424242424	64.97781884022686	ANXA1;ADIPOQ;MGST2;S100A9;MMP9;S100A8;ELANE;CCR2
GO_Biological_Process_2021	antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844)	5/64	5.593669881775869e-05	0.005211399000772	0	0	13.650957696017638	133.66048400743435	PPBP;S100A9;CAMP;LTF;PF4
GO_Biological_Process_2021	cellular component disassembly (GO:0022411)	5/66	6.489911582530597e-05	0.005211399000772	0	0	13.202052512328402	127.30312227803606	MMP13;CTSK;CTSG;MMP9;ELANE
GO_Biological_Process_2021	extracellular matrix disassembly (GO:0022617)	5/66	6.489911582530597e-05	0.005211399000772	0	0	13.202052512328402	127.30312227803606	MMP13;CTSK;CTSG;MMP9;ELANE
GO_Biological_Process_2021	bone morphogenesis (GO:0060349)	3/14	8.851644725668109e-05	0.006198197589851	0	0	43.333090909090906	404.3983653542609	MMP13;IFITM5;LTF
GO_Biological_Process_2021	response to lipid (GO:0033993)	6/114	9.262561778108656e-05	0.006198197589851	0	0	9.0	83.58250324202032	ANXA1;SLPI;BGLAP;AQP3;S100A9;S100A8
GO_Biological_Process_2021	granulocyte chemotaxis (GO:0071621)	5/73	0.00010524904619418984	0.0065011526226103	0	0	11.838833094213294	108.43401688765024	ANXA1;PPBP;S100A9;S100A8;PF4
GO_Biological_Process_2021	bone development (GO:0060348)	4/40	0.00012236582455735112	0.007018554079968	0	0	17.774193548387096	160.1187414948717	MMP13;BGLAP;IFITM5;LTF
GO_Biological_Process_2021	extracellular matrix organization (GO:0030198)	9/300	0.0001366781729745861	0.0073168381932395	0	0	5.089058303733864	45.28183772294037	COL1A1;COMP;COL1A2;MMP13;IBSP;CTSK;CTSG;MMP9;ELANE
GO_Biological_Process_2021	antibacterial humoral response (GO:0019731)	4/44	0.00017820578218239697	0.008943702693279	0	0	15.993548387096777	138.06545152156596	SLPI;CTSG;CAMP;LTF
GO_Biological_Process_2021	peptidyl-cysteine S-nitrosylation (GO:0018119)	2/5	0.0004013110322793061	0.0189560446423695	0	0	105.12698412698413	822.1743620524082	S100A9;S100A8
GO_Biological_Process_2021	defense response to fungus (GO:0050832)	3/24	0.0004696974029863551	0.0209537230332246	0	0	22.686857142857143	173.85895773545576	S100A9;S100A8;LTF
