Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	base-excision repair, gap-filling (GO:0006287)	16/35	1.3961969153011009e-08	3.261515678492909e-05	0	0	8.55567650260363	154.7459108208612	RFC5;FEN1;MPG;RFC2;OGG1;PNKP;RPA2;XRCC1;SMUG1;POLD4;NTHL1;POLD2;POLL;ADPRS;NEIL1;MUTYH
GO_Biological_Process_2021	proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	61/321	1.7270403380952662e-08	3.261515678492909e-05	0	0	2.4127447953422725	43.12605574385033	UBXN1;FBXO27;ZFAND2B;AUP1;TNFAIP1;HERPUD1;PSMD9;PSMD7;KAT5;PSMD4;PSMD5;PSMD3;FBXW5;ANAPC7;FBXO2;RAD23A;SIRT2;DDIT3;ANAPC5;RBCK1;RNF121;ANAPC15;PSMD11;RNF34;DMAC2;PSMD13;RNF4;FBXO44;RNF5;DNAJB2;RMND5B;PSMB4;PSMB5;SHARPIN;UBB;PSMB3;PCBP2;TMEM129;PSMF1;BUB3;DCAF11;RHBDD2;SGTA;TMUB1;BFAR;TMUB2;FBXL12;SPSB3;NSFL1C;PSMC5;PSMC3;UBXN11;PSMC4;JKAMP;PSMC1;CDC16;ERCC8;STUB1;FBXL2;FBXL4;SPSB4
GO_Biological_Process_2021	ubiquitin-dependent protein catabolic process (GO:0006511)	63/354	1.2707772617247762e-07	0.00015999085725114932	0	0	2.2250997194834707	35.33117229082745	UBXN1;PPP1R11;ZFAND2B;TNFAIP1;FBXO22;HERPUD1;PSMD9;PSMD7;RNF114;KAT5;PSMD4;PSMD5;PSMD3;FBXO8;FBXO7;UBL7;FBXW5;ANAPC7;ARRDC1;RAD23A;SIRT2;RNF167;UBE2R2;DDIT3;ANAPC5;RBCK1;SQSTM1;ANAPC15;PSMD11;TSG101;RNF34;PSMD13;VPS4A;RNF8;NEDD8;RNF4;RNF5;RMND5B;PSMB4;PSMB5;SHARPIN;PSMB3;PCBP2;MVB12A;PSMF1;BUB3;DCAF11;XBP1;ADRM1;BFAR;SPSB3;NSFL1C;PSMC5;PSMC3;UBXN11;PSMC4;PSMC1;CDC16;UBAP1;ERCC8;STUB1;FBXL4;SPSB4
GO_Biological_Process_2021	gluconeogenesis (GO:0006094)	16/41	2.098124367048408e-07	0.0001770747124607549	0	0	6.500167691447736	99.95341571531596	SLC25A1;TPI1;GOT1;MDH1;MDH2;PGAM1;ENO1;ENO3;PGK1;ALDOC;SLC25A10;SLC37A4;ALDOA;GAPDH;SLC25A11;ATF4
GO_Biological_Process_2021	DNA repair (GO:0006281)	55/298	2.3441185128508727e-07	0.0001770747124607549	0	0	2.3218342151675486	35.445553501717704	MUS81;FEN1;UBXN1;MPG;OGG1;PARK7;BABAM1;KAT5;EME2;EXO5;POLL;KPNA2;PIAS4;RFC5;PARP2;RFC2;USP3;RAD23A;ACTR8;INIP;REXO4;DDB2;RAD51D;ADPRS;UBE2V1;NEIL1;TEX264;PNKP;RNF8;FAAP20;POLD4;UBB;POLD2;APBB1;MUTYH;CDKN2D;MGME1;ASCC1;XRCC1;APEX2;RPA2;FANCC;GTF2H3;APTX;GTF2H4;MAD2L2;SMUG1;PPP5C;ERCC1;NABP2;UBE2N;ERCC8;RAD1;BAP1;RAD9A
GO_Biological_Process_2021	base-excision repair (GO:0006284)	17/48	4.537149211893235e-07	0.00028561354288867915	0	0	5.570974958504727	81.36852801584666	RFC5;FEN1;MPG;RFC2;OGG1;PNKP;APEX2;RPA2;XRCC1;SMUG1;POLD4;NTHL1;POLD2;POLL;ADPRS;NEIL1;MUTYH
GO_Biological_Process_2021	hexose biosynthetic process (GO:0019319)	16/44	6.528491637907511e-07	0.0003522587559482381	0	0	5.802762916234129	82.64248363013714	SLC25A1;TPI1;GOT1;MDH1;MDH2;PGAM1;ENO1;ENO3;PGK1;ALDOC;SLC25A10;SLC37A4;ALDOA;GAPDH;SLC25A11;ATF4
GO_Biological_Process_2021	proteasomal protein catabolic process (GO:0010498)	40/205	2.4175254589096773e-06	0.0009390528735834416	0	0	2.4764357455575587	32.027164205941105	UBXN1;PSMD11;RNF34;PSMD13;ZFAND2B;TNFAIP1;RNF4;FBXO44;RNF5;RMND5B;PSMD9;PSMB4;PSMD7;PSMB5;SHARPIN;KAT5;PSMD4;PSMD5;PSMB3;PSMD3;PCBP2;PSMF1;DCAF11;FBXW5;BFAR;RAD23A;SIRT2;RNF41;SPSB3;NSFL1C;PSMC5;PSMC3;UBXN11;PSMC4;DDIT3;PSMC1;ERCC8;STUB1;RBCK1;SPSB4
GO_Biological_Process_2021	canonical glycolysis (GO:0061621)	11/24	2.583628155042042e-06	0.0009390528735834416	0	0	8.575679615813396	110.33740286772394	TPI1;PKM;PGAM1;PGK1;ALDOC;ENO1;ALDOA;ENO3;GAPDH;PFKM;PFKP
GO_Biological_Process_2021	glucose catabolic process to pyruvate (GO:0061718)	11/24	2.583628155042042e-06	0.0009390528735834416	0	0	8.575679615813396	110.33740286772394	TPI1;PKM;PGAM1;PGK1;ALDOC;ENO1;ALDOA;ENO3;GAPDH;PFKM;PFKP
