Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	cilium movement (GO:0003341)	12/52	1.1418007836780843e-09	1.784989640387396e-06	0	0	13.552777777777775	279.06062824643226	ODAD1;DNAI4;DNAI2;ODAD2;SPEF2;DNAI3;ODAD4;CFAP70;TEKT1;DNAAF4;CFAP206;CFAP53
GO_Biological_Process_2021	extracellular structure organization (GO:0043062)	22/216	3.1705138780104982e-09	1.784989640387396e-06	0	0	5.203058582107783	101.82058974048482	COL17A1;COL18A1;POSTN;VCAM1;MIA;LUM;MMP2;BGN;NID2;THBS1;LOXL1;TTR;COL4A4;BSG;COL4A3;COL8A2;COL8A1;COL9A3;TGFBI;ITGB6;ATP7A;DDR2
GO_Biological_Process_2021	external encapsulating structure organization (GO:0045229)	22/217	3.456915729782255e-09	1.784989640387396e-06	0	0	5.176108883217888	100.84555509795165	COL17A1;COL18A1;POSTN;VCAM1;MIA;LUM;MMP2;BGN;NID2;THBS1;LOXL1;TTR;COL4A4;BSG;COL4A3;COL8A2;COL8A1;COL9A3;TGFBI;ITGB6;ATP7A;DDR2
GO_Biological_Process_2021	extracellular matrix organization (GO:0030198)	26/300	3.761832751079865e-09	1.784989640387396e-06	0	0	4.377222086403799	84.91092792574946	COL17A1;COL18A1;NID2;THBS1;LOXL1;LOXL2;TTR;BSG;ITGB6;ATP7A;POSTN;CRTAP;VCAM1;MIA;LUM;MMP2;BGN;KIF9;COL4A4;COL4A3;COL8A2;COL8A1;COL9A3;TGFBI;GAS6;DDR2
GO_Biological_Process_2021	collagen fibril organization (GO:0030199)	13/89	8.11378109518959e-08	3.0799913037339684e-05	0	0	7.731102698742215	126.22661643190264	COL17A1;COL18A1;CRTAP;LUM;LOXL1;LOXL2;COL4A4;COL4A3;COL8A2;COL8A1;COL9A3;ATP7A;DDR2
GO_Biological_Process_2021	axonemal dynein complex assembly (GO:0070286)	8/32	3.649554687214832e-07	0.00011544757993889584	0	0	14.932721712538228	221.35505835998305	ODAD1;DNAI4;DNAI2;ODAD2;DNAI3;DNAAF3;ODAD4;DNAAF4
GO_Biological_Process_2021	axoneme assembly (GO:0035082)	7/34	8.116820189116494e-06	0.0022008178169918	0	0	11.585981862869737	135.80592155578535	SPAG16;DNAI4;DNAAF3;FOXJ1;JHY;CFAP206;HOATZ
GO_Biological_Process_2021	supramolecular fiber organization (GO:0097435)	22/351	1.3579524566530431e-05	0.0032217422034093	0	0	3.0466731010242154	34.14390532915799	COL17A1;COL18A1;CRTAP;LUM;RHOD;OOEP;LOXL1;LOXL2;EFEMP2;TTR;COL4A4;TRPV4;COL4A3;COL8A2;COL8A1;COL9A3;ELMO3;EMILIN1;TGFBI;ATP7A;CGNL1;DDR2
GO_Biological_Process_2021	outer dynein arm assembly (GO:0036158)	5/18	3.5570025165613307e-05	0.007501323084926	0	0	17.1219554932539	175.3974364554877	ODAD1;DNAI2;ODAD2;ODAD4;DNAAF4
GO_Biological_Process_2021	cilium organization (GO:0044782)	16/228	5.3762371677069e-05	0.0095719256788182	0	0	3.411038617527773	33.53370488948549	SPAG16;CFAP52;DNAI2;CFAP70;CCDC113;FOXJ1;CFAP126;KIF27;CATIP;FAM161A;TMEM237;TEKT1;TMEM107;HOATZ;CFAP43;RILP
GO_Biological_Process_2021	microtubule bundle formation (GO:0001578)	7/45	5.5474806357745445e-05	0.0095719256788182	0	0	8.227508129591714	80.62613711418525	SPAG16;CAPN6;FOXJ1;JHY;CFAP206;HOATZ;GAS2L2
GO_Biological_Process_2021	copper ion transport (GO:0006825)	4/11	6.986760111995501e-05	0.0110507255771395	0	0	25.38831168831169	242.93843200915467	STEAP4;SLC31A1;ATP7A;STEAP2
GO_Biological_Process_2021	cellular response to vitamin (GO:0071295)	3/5	0.0001051205883808862	0.0142513483390658	0	0	66.51020408163265	609.2602334938025	POSTN;GAS6;FOLR1
GO_Biological_Process_2021	copper ion import (GO:0015677)	3/5	0.0001051205883808862	0.0142513483390658	0	0	66.51020408163265	609.2602334938025	STEAP4;ATP7A;STEAP2
GO_Biological_Process_2021	sulfur compound catabolic process (GO:0044273)	6/40	0.0002342479987668871	0.029469275113112	0	0	7.865431103948429	65.74816251998715	NUDT7;LUM;OGN;BGN;DPEP1;PRELP
GO_Biological_Process_2021	cilium assembly (GO:0060271)	18/314	0.00024842381549514933	0.029469275113112	0	0	2.7493338408831365	22.82050005648214	SPAG16;CFAP52;DNAI2;DNAAF3;CFAP70;CCDC113;FOXJ1;CFAP206;SPATA6;KIF27;FAM161A;TMEM237;TEKT1;TMEM107;JHY;HOATZ;CFAP43;RILP
GO_Biological_Process_2021	determination of left/right symmetry (GO:0007368)	6/42	0.00030838505353984963	0.0344302842128608	0	0	7.427701674277016	60.04673903203333	DNAI2;ODAD2;ODAD4;FOXJ1;DNAAF4;CFAP53
GO_Biological_Process_2021	amino-acid betaine metabolic process (GO:0006577)	3/7	0.0003558877496957038	0.0355513131011813	0	0	33.25170068027211	264.0482698807763	BHMT;CPT2;CPT1B
GO_Biological_Process_2021	regulation of cilium beat frequency (GO:0003356)	3/7	0.0003558877496957038	0.0355513131011813	0	0	33.25170068027211	264.0482698807763	ODAD2;CFAP206;CFAP43
GO_Biological_Process_2021	determination of bilateral symmetry (GO:0009855)	5/29	0.0004031487366601564	0.0382588151090488	0	0	9.269172361427486	72.44975126928776	DNAI2;ODAD2;FOXJ1;DNAAF4;CFAP53
GO_Biological_Process_2021	cell-cell junction organization (GO:0045216)	8/82	0.00046977179945511047	0.0424584226364666	0	0	4.83064716092239	37.01852213848172	CDH3;MARVELD2;TRPV4;MARVELD3;DSG2;PKP3;CLDN1;TJP3
GO_Biological_Process_2021	diterpenoid metabolic process (GO:0016101)	7/64	0.000528873974809918	0.04429022400001	0	0	5.479665984182424	41.34276685343146	TTR;RDH10;RBP1;ABCA4;RDH5;GPIHBP1;STRA6
GO_Biological_Process_2021	amine metabolic process (GO:0009308)	3/8	0.0005600449820865337	0.04429022400001	0	0	26.6	199.1673258313515	SULT1C2;VCAM1;INMT
GO_Biological_Process_2021	elastic fiber assembly (GO:0048251)	3/8	0.0005600449820865337	0.04429022400001	0	0	26.6	199.1673258313515	EFEMP2;EMILIN1;ATP7A
GO_Biological_Process_2021	cellular response to interleukin-17 (GO:0097398)	3/9	0.0008262506573184657	0.0603162979842479	0	0	22.1655328798186	157.34452591612666	IL25;TRAF3IP2;IL17RE
GO_Biological_Process_2021	interleukin-17-mediated signaling pathway (GO:0097400)	3/9	0.0008262506573184657	0.0603162979842479	0	0	22.1655328798186	157.34452591612666	IL25;TRAF3IP2;IL17RE
GO_Biological_Process_2021	epithelial cilium movement involved in extracellular fluid movement (GO:0003351)	4/20	0.0008753885588223109	0.0615365735053609	0	0	11.102272727272728	78.16935591797711	SPEF2;ODAD4;DNAAF4;CFAP53
GO_Biological_Process_2021	bicellular tight junction assembly (GO:0070830)	6/53	0.0010992699456514	0.0745147984587998	0	0	5.686097347712037	38.74000104463055	CLDN3;MARVELD2;MARVELD3;CLDN2;CLDN1;CRB3
GO_Biological_Process_2021	regulation of cilium movement (GO:0003352)	3/10	0.0011609654401858	0.0759831863956097	0	0	18.998056365403304	128.39842747491244	ODAD2;CFAP206;CFAP43
GO_Biological_Process_2021	plasma membrane bounded cell projection assembly (GO:0120031)	15/278	0.0014635323446283	0.0900221125420725	0	0	2.56494456114228	16.74114268682504	SPAG16;CFAP52;DNAI2;CFAP70;CCDC113;FOXJ1;RHOD;KIF27;FAM161A;TMEM237;TEKT1;TMEM107;HOATZ;CFAP43;RILP
GO_Biological_Process_2021	tight junction assembly (GO:0120192)	6/56	0.0014703295515301	0.0900221125420725	0	0	5.344109589041096	34.855718801387646	CLDN3;MARVELD2;MARVELD3;CLDN2;CLDN1;CRB3
GO_Biological_Process_2021	cilium-dependent cell motility (GO:0060285)	4/23	0.001517913561982	0.0900312481450612	0	0	9.347846889952152	60.67143879794049	DNAI3;TEKT1;EFHC1;EFHC2
GO_Biological_Process_2021	organophosphate catabolic process (GO:0046434)	3/11	0.0015701294102821	0.090046790170143	0	0	16.622448979591837	107.32445813863896	PON1;ENPP2;PLBD1
GO_Biological_Process_2021	monocarboxylic acid transport (GO:0015718)	6/57	0.0016130615731216	0.090046790170143	0	0	5.239054525919957	33.6851366111277	SLCO1C1;SLC16A6;SLC16A12;SLC16A8;SLC16A9;SLC16A4
GO_Biological_Process_2021	extracellular matrix assembly (GO:0085029)	4/24	0.0017898795621168	0.0970626116827942	0	0	8.88	56.1713896727253	EFEMP2;EMILIN1;ATP7A;GAS6
GO_Biological_Process_2021	keratan sulfate catabolic process (GO:0042340)	3/12	0.0020591863602842	0.1051328294382221	0	0	14.774754346182918	91.38842071844462	LUM;OGN;PRELP
GO_Biological_Process_2021	positive regulation of vascular permeability (GO:0043117)	3/12	0.0020591863602842	0.1051328294382221	0	0	14.774754346182918	91.38842071844462	TRPV4;BMP6;TJP3
GO_Biological_Process_2021	apical junction assembly (GO:0043297)	6/60	0.0021048722437578	0.1051328294382221	0	0	4.947234906139015	30.49228484477104	CLDN3;MARVELD2;MARVELD3;CLDN2;CLDN1;CRB3
GO_Biological_Process_2021	regulation of extracellular matrix organization (GO:1903053)	3/15	0.0040531936000303	0.1972554218681438	0	0	11.07936507936508	61.02791453075331	EFEMP2;FAP;DDR2
GO_Biological_Process_2021	retinoid metabolic process (GO:0001523)	7/92	0.0043950362837653	0.198390564789448	0	0	3.66932292367748	19.91444105388756	TTR;RDH10;RBP1;ABCA4;RDH5;GPIHBP1;STRA6
GO_Biological_Process_2021	diaphragm development (GO:0060539)	2/5	0.0047036751398973	0.198390564789448	0	0	29.491704374057317	158.05816869939636	TCF21;STRA6
GO_Biological_Process_2021	glial cell-derived neurotrophic factor receptor signaling pathway (GO:0035860)	2/5	0.0047036751398973	0.198390564789448	0	0	29.491704374057317	158.05816869939636	GDF15;SULF1
GO_Biological_Process_2021	peptidyl-lysine oxidation (GO:0018057)	2/5	0.0047036751398973	0.198390564789448	0	0	29.491704374057317	158.05816869939636	LOXL1;LOXL2
GO_Biological_Process_2021	positive regulation of amino acid transport (GO:0051957)	2/5	0.0047036751398973	0.198390564789448	0	0	29.491704374057317	158.05816869939636	ARL6IP1;CLTRN
GO_Biological_Process_2021	positive regulation of anion transmembrane transport (GO:1903961)	2/5	0.0047036751398973	0.198390564789448	0	0	29.491704374057317	158.05816869939636	ARL6IP1;CLTRN
GO_Biological_Process_2021	fatty acid beta-oxidation (GO:0006635)	5/52	0.00581581589115	0.2399656209000612	0	0	4.72762080162846	24.33388779309011	ACAA2;BDH2;CPT2;ACOX2;ETFA
