Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	protein targeting to ER (GO:0045047)	47/103	2.1873890601721192e-42	4.0794805972210015e-39	0	0	26.85435915659796	2576.0276387207723	SRP19;RPL30;RPL32;RPL31;RPL36A;RPL6;RPS17;SEC61G;RPL36;RPL14;RPL35;RPLP2;RPL13;RPL38;RPL37;RPL15;SEC62;RPS27A;RPL39;RPS10;RPS13;RPS9;RPL21;RPS7;RPS8;RPL23;RPL22;RPS6;RPL35A;RPL23A;SRP9;RPS26;RPS25;RPS28;SPCS2;RPS27;SPCS1;RPS29;RPL27A;RPL37A;RPL24;RPL27;RPS20;RPL26;RPS21;RPS24;RPS23
GO_Biological_Process_2021	SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	44/90	1.9910883235473035e-41	1.85668986170786e-38	0	0	30.469794805567517	2855.5471270388334	SRP19;RPL30;RPL32;RPL31;RPL36A;RPL6;RPS17;RPL36;RPL14;RPL35;RPLP2;RPL13;RPL38;RPL37;SEC61B;RPL15;RPS27A;RPL39;RPS10;RPS13;RPS9;RPL21;RPS7;RPS8;RPL23;RPL22;RPS6;RPL35A;RPL23A;SRP9;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPL37A;RPL24;RPL27;RPS20;RPL26;RPS21;RPS24;RPS23
GO_Biological_Process_2021	cotranslational protein targeting to membrane (GO:0006613)	44/94	2.337079884879257e-40	1.4528846617666046e-37	0	0	28.026402640264028	2557.535401274693	SRP19;RPL30;RPL32;RPL31;RPL36A;RPL6;RPS17;RPL36;RPL14;RPL35;RPLP2;RPL13;RPL38;RPL37;RPL15;SEC62;RPS27A;RPL39;RPS10;RPS13;RPS9;RPL21;RPS7;RPS8;RPL23;RPL22;RPS6;RPL35A;RPL23A;SRP9;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPL37A;RPL24;RPL27;RPS20;RPL26;RPS21;RPS24;RPS23
GO_Biological_Process_2021	cytoplasmic translation (GO:0002181)	43/93	3.5916930631673936e-39	1.6746268907017976e-36	0	0	27.34431630971993	2420.578898599322	RPL30;RPL32;RPL31;RPL36A;RPL6;RPS17;RPL36;RPL14;RPL35;RPL13;RPL38;RPL37;RPL15;RPS27A;RPL39;RPS10;RPS13;RWDD1;RPS9;RPL21;RPS7;RPS8;RPL23;RPL22;RPS6;TMA7;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPL37A;RPL24;RPL27;RPL22L1;RPS20;RPL26;RPS21;RPS24;RPS23
GO_Biological_Process_2021	peptide biosynthetic process (GO:0043043)	52/162	1.9408410991909007e-37	7.239337299982058e-35	0	0	15.209486166007904	1285.6963000659991	RPL30;MRPS15;RPL32;RPL31;MRPS14;RPL6;MRPL32;MRPL42;RPS17;RPL36;RPL35;RPLP2;RPL38;RPL37;RPL39;RPS10;RPS13;RPS9;RPL21;RPS7;RPS8;RPL23;RPL22;RPS6;MRPS21;MRPS18C;MRPL52;RPL37A;RPL24;RPL27;RPL26;MRPS36;MRPL18;MRPS33;RPL36A;RPL14;RPL13;RPL15;RPS27A;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;RPS21;RSL24D1;RPS24;RPS23
GO_Biological_Process_2021	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	44/113	4.805553912194507e-36	1.4937263410404593e-33	0	0	20.288994116802986	1649.967773342103	RPL30;RPL32;RPL31;RPL36A;RPL6;RPS17;MAGOH;RPL36;RPL14;RPL35;RPLP2;RPL13;RPL38;RPL37;RPL15;RPS27A;RPL39;RPS10;RPS13;RPS9;RPL21;RPS7;RPS8;RPL23;RPL22;RPS6;RPL35A;RPL23A;MAGOHB;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPL37A;RPL24;RPL27;RPS20;EIF3E;RPL26;RPS21;RPS24;RPS23
GO_Biological_Process_2021	translation (GO:0006412)	55/214	7.321365549863976e-34	1.9506209643566167e-31	0	0	11.15696844775646	851.2442960822885	RPL30;MRPS15;RPL32;RPL31;MRPS14;RPL6;MRPL32;MRPL42;RPS17;RPL36;RPL35;RPLP2;RPL38;RPL37;RPL39;RPS10;RPS13;RPS9;RPL21;RPS7;RPS8;RPL23;RPL22;RPS6;MRPS21;MRPS18C;MRPL52;RPL37A;RPL24;RPL27;RPL26;MRPS36;MRPL18;MRPS33;RPL36A;RPL14;RPL13;RPL15;RPS27A;RWDD1;TMA7;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;RPL22L1;RPS21;RSL24D1;RPS24;RPS23
GO_Biological_Process_2021	cellular macromolecule biosynthetic process (GO:0034645)	59/314	2.592684918255574e-28	6.044196715683307e-26	0	0	7.475564845227431	474.8455512057497	RPL30;MRPS15;RPL32;RPL31;MRPS14;RPL6;MRPL32;MRPL42;RPS17;RPL36;RPL35;RPLP2;RPL38;RPL37;NBN;RPL39;RPS10;RPS13;TIPIN;RPS9;RPL21;RPS7;RPS8;RPL23;RPL22;RPS6;MRPS21;MRPS18C;MRPL52;RPL37A;RPL24;RPL27;RPL26;MRPS36;MRPL18;MRPS33;RPL36A;CREBL2;ORC4;RPL14;RPL13;RPL15;RPS27A;POLR2K;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPA3;RAD17;RPS20;RPS21;RSL24D1;RPS24;RPS23
GO_Biological_Process_2021	gene expression (GO:0010467)	62/356	8.462453212284595e-28	1.7536083601011963e-25	0	0	6.834374566152992	426.032654275198	RPL30;MRPS15;RPL32;RPL31;MRPS14;RPL6;MRPL32;RBM3;MRPL42;RPS17;MAGOH;RPL36;RPL35;RPLP2;RPL38;RPL37;RPL39;RPS10;RPS13;RPS9;RPL21;RPS7;RPS8;RPL23;RPL22;RPS6;MRPS21;MRPS18C;MRPL52;SARNP;RPL37A;RPL24;SRSF3;RPL27;RPL26;FYTTD1;SLBP;MRPS36;MRPL18;MRPS33;RPL36A;CREBL2;RPL14;RPL13;RPL15;RPS27A;POLR2K;RPL35A;RPL23A;MAGOHB;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;RPS21;RSL24D1;RPS24;RPS23;NUP37
GO_Biological_Process_2021	nuclear-transcribed mRNA catabolic process (GO:0000956)	44/171	2.631616474185703e-27	4.907964724356336e-25	0	0	10.989995062498377	672.6118672911721	RPL30;RPL32;RPL31;RPL36A;RPL6;RPS17;MAGOH;RPL36;RPL14;RPL35;RPLP2;RPL13;RPL38;RPL37;RPL15;RPS27A;RPL39;RPS10;RPS13;RPS9;RPL21;RPS7;RPS8;RPL23;RPL22;RPS6;RPL35A;RPL23A;MAGOHB;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPL37A;RPL24;RPL27;RPS20;EIF3E;RPL26;RPS21;RPS24;RPS23
