Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	protein targeting to ER (GO:0045047)	47/103	2.034968716252089e-42	3.7952166558101456e-39	0	0	26.900361888941624	2582.383454717669	SRP19;RPL30;RPL32;RPL31;RPL36A;RPL6;RPS17;SEC61G;RPL36;RPL14;RPL35;RPLP2;RPL13;RPL38;RPL37;RPL15;SEC62;RPS27A;RPL39;RPS10;RPS13;RPS9;RPL21;RPS7;RPS8;RPL23;RPL22;RPS6;RPL35A;RPL23A;SRP9;RPS26;RPS25;RPS28;SPCS2;RPS27;SPCS1;RPS29;RPL27A;RPL37A;RPL24;RPL27;RPS20;RPL26;RPS21;RPS24;RPS23
GO_Biological_Process_2021	SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	44/90	1.8606142497127204e-41	1.7350227878571115e-38	0	0	30.52173913043478	2862.48381133534	SRP19;RPL30;RPL32;RPL31;RPL36A;RPL6;RPS17;RPL36;RPL14;RPL35;RPLP2;RPL13;RPL38;RPL37;SEC61B;RPL15;RPS27A;RPL39;RPS10;RPS13;RPS9;RPL21;RPS7;RPS8;RPL23;RPL22;RPS6;RPL35A;RPL23A;SRP9;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPL37A;RPL24;RPL27;RPS20;RPL26;RPS21;RPS24;RPS23
GO_Biological_Process_2021	cotranslational protein targeting to membrane (GO:0006613)	44/94	2.1843752335415296e-40	1.3579532701849844e-37	0	0	28.074181818181817	2563.7925057389466	SRP19;RPL30;RPL32;RPL31;RPL36A;RPL6;RPS17;RPL36;RPL14;RPL35;RPLP2;RPL13;RPL38;RPL37;RPL15;SEC62;RPS27A;RPL39;RPS10;RPS13;RPS9;RPL21;RPS7;RPS8;RPL23;RPL22;RPS6;RPL35A;RPL23A;SRP9;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPL37A;RPL24;RPL27;RPS20;RPL26;RPS21;RPS24;RPS23
GO_Biological_Process_2021	cytoplasmic translation (GO:0002181)	43/93	3.3625478911586315e-39	1.5677879542527124e-36	0	0	27.39085808580858	2426.5046131264385	RPL30;RPL32;RPL31;RPL36A;RPL6;RPS17;RPL36;RPL14;RPL35;RPL13;RPL38;RPL37;RPL15;RPS27A;RPL39;RPS10;RPS13;RWDD1;RPS9;RPL21;RPS7;RPS8;RPL23;RPL22;RPS6;TMA7;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPL37A;RPL24;RPL27;RPL22L1;RPS20;RPL26;RPS21;RPS24;RPS23
GO_Biological_Process_2021	peptide biosynthetic process (GO:0043043)	52/162	1.7955580339317536e-37	6.69743146656544e-35	0	0	15.235754530226892	1289.1022579819585	RPL30;MRPS15;RPL32;RPL31;MRPS14;RPL6;MRPL32;MRPL42;RPS17;RPL36;RPL35;RPLP2;RPL38;RPL37;RPL39;RPS10;RPS13;RPS9;RPL21;RPS7;RPS8;RPL23;RPL22;RPS6;MRPS21;MRPS18C;MRPL52;RPL37A;RPL24;RPL27;RPL26;MRPS36;MRPL18;MRPS33;RPL36A;RPL14;RPL13;RPL15;RPS27A;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;RPS21;RSL24D1;RPS24;RPS23
GO_Biological_Process_2021	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	44/113	4.495878221255793e-36	1.3974688137736757e-33	0	0	20.323583662714096	1654.1344891327738	RPL30;RPL32;RPL31;RPL36A;RPL6;RPS17;MAGOH;RPL36;RPL14;RPL35;RPLP2;RPL13;RPL38;RPL37;RPL15;RPS27A;RPL39;RPS10;RPS13;RPS9;RPL21;RPS7;RPS8;RPL23;RPL22;RPS6;RPL35A;RPL23A;MAGOHB;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPL37A;RPL24;RPL27;RPS20;EIF3E;RPL26;RPS21;RPS24;RPS23
GO_Biological_Process_2021	translation (GO:0006412)	55/214	6.756224782469467e-34	1.800051317043651e-31	0	0	11.176333566270673	853.6196222296983	RPL30;MRPS15;RPL32;RPL31;MRPS14;RPL6;MRPL32;MRPL42;RPS17;RPL36;RPL35;RPLP2;RPL38;RPL37;RPL39;RPS10;RPS13;RPS9;RPL21;RPS7;RPS8;RPL23;RPL22;RPS6;MRPS21;MRPS18C;MRPL52;RPL37A;RPL24;RPL27;RPL26;MRPS36;MRPL18;MRPS33;RPL36A;RPL14;RPL13;RPL15;RPS27A;RWDD1;TMA7;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;RPL22L1;RPS21;RSL24D1;RPS24;RPS23
GO_Biological_Process_2021	cellular macromolecule biosynthetic process (GO:0034645)	59/314	2.3881897254885514e-28	5.567467297545185e-26	0	0	7.488627450980392	476.2905370921202	RPL30;MRPS15;RPL32;RPL31;MRPS14;RPL6;MRPL32;MRPL42;RPS17;RPL36;RPL35;RPLP2;RPL38;RPL37;NBN;RPL39;RPS10;RPS13;TIPIN;RPS9;RPL21;RPS7;RPS8;RPL23;RPL22;RPS6;MRPS21;MRPS18C;MRPL52;RPL37A;RPL24;RPL27;RPL26;MRPS36;MRPL18;MRPS33;RPL36A;CREBL2;ORC4;RPL14;RPL13;RPL15;RPS27A;POLR2K;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPA3;RAD17;RPS20;RPS21;RSL24D1;RPS24;RPS23
GO_Biological_Process_2021	gene expression (GO:0010467)	62/356	7.771052904542926e-28	1.6103348518858398e-25	0	0	6.846376710820614	427.3643691632343	RPL30;MRPS15;RPL32;RPL31;MRPS14;RPL6;MRPL32;RBM3;MRPL42;RPS17;MAGOH;RPL36;RPL35;RPLP2;RPL38;RPL37;RPL39;RPS10;RPS13;RPS9;RPL21;RPS7;RPS8;RPL23;RPL22;RPS6;MRPS21;MRPS18C;MRPL52;SARNP;RPL37A;RPL24;SRSF3;RPL27;RPL26;FYTTD1;SLBP;MRPS36;MRPL18;MRPS33;RPL36A;CREBL2;RPL14;RPL13;RPL15;RPS27A;POLR2K;RPL35A;RPL23A;MAGOHB;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;RPS21;RSL24D1;RPS24;RPS23;NUP37
GO_Biological_Process_2021	nuclear-transcribed mRNA catabolic process (GO:0000956)	44/171	2.4692677760098584e-27	4.605184402258386e-25	0	0	11.00873299928418	674.4596692121405	RPL30;RPL32;RPL31;RPL36A;RPL6;RPS17;MAGOH;RPL36;RPL14;RPL35;RPLP2;RPL13;RPL38;RPL37;RPL15;RPS27A;RPL39;RPS10;RPS13;RPS9;RPL21;RPS7;RPS8;RPL23;RPL22;RPS6;RPL35A;RPL23A;MAGOHB;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPL37A;RPL24;RPL27;RPS20;EIF3E;RPL26;RPS21;RPS24;RPS23
