Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	actomyosin structure organization (GO:0031032)	13/76	4.9676879472845264e-08	0.00010571239951821471	0	0	8.184062196307094	137.6373173345091	FHOD3;EPB41;TMOD3;ARRB1;MYPN;CIT;FRMD5;FRMD6;MYH3;OBSCN;EPB41L3;PHACTR1;MYH10
GO_Biological_Process_2021	anterograde trans-synaptic signaling (GO:0098916)	21/244	1.0476504786480982e-06	0.0011147001092815	0	0	3.765643897809947	51.84900223826948	GABRA1;CHRNB3;CHRNA4;CHRM4;NRXN2;GABRG2;NRGN;GRM3;CACNB3;HRH1;DLG1;GLRA3;PRKAR1B;PTCHD1;HRH2;NOVA1;CAMK4;SNCB;PRKACB;NTSR1;KCNK3
GO_Biological_Process_2021	chemical synaptic transmission (GO:0007268)	23/306	3.346295892949975e-06	0.0023736392200658	0	0	3.25325382803298	41.0159068605022	GABRA1;CHRNB3;CHRNA4;STXBP1;CHRM4;GRIK3;NRXN2;GABRG2;NRGN;GRM3;CACNB3;HRH1;DLG1;GLRA3;PRKAR1B;PTCHD1;HRH2;NOVA1;CAMK4;SNCB;PRKACB;NTSR1;KCNK3
GO_Biological_Process_2021	regulation of relaxation of cardiac muscle (GO:1901897)	4/6	5.6969404966108615e-06	0.0030307723441969	0	0	78.13627254509018	943.5409102070596	CHGA;CAMK2D;PDE4D;PDE4B
GO_Biological_Process_2021	regulation of catecholamine secretion (GO:0050433)	7/30	7.520930031710182e-06	0.0032009078214958	0	0	11.949333800841517	140.97609830272162	CHGA;SYT4;SYT2;SYT12;CHRNA4;KCNB1;KCNA2
GO_Biological_Process_2021	regulation of regulated secretory pathway (GO:1903305)	7/35	2.2281178516710307e-05	0.0079023913139265	0	0	9.813004032258064	105.1146250159396	RIMS2;SYT4;RIMS3;SYT2;SYT12;LRRK2;SEPTIN5
GO_Biological_Process_2021	axon guidance (GO:0007411)	16/203	5.84292680543901e-05	0.0177624974885345	0	0	3.392592429915778	33.06995161270083	PLXND1;EPHA8;SH3KBP1;LRTM2;PTPRM;LAMC2;PIK3R1;SEMA3F;GFRA2;IGSF9;MYPN;RAP1GAP;TUBB3;DOK5;NPTN;CNTN4
GO_Biological_Process_2021	regulation of calcium ion-dependent exocytosis (GO:0017158)	6/31	0.00010591419684371336	0.0281731763604277	0	0	9.40297786720322	86.06433986550965	CACNA1I;SYT4;SYT2;SYT12;KCNB1;STXBP1
GO_Biological_Process_2021	protein phosphorylation (GO:0006468)	27/496	0.00015762079871302793	0.0372685621845914	0	0	2.3013205282112845	20.148794005722173	ACVRL1;CAMK2D;LTK;PRKAA2;LRRK2;PRKCZ;RSKR;PAK1;TLK2;MAPK6;PRKACB;PAK5;MAP3K5;MARK1;SMAD2;HIPK4;CDK19;EPHA8;PRKAB1;ACVR2B;DCLK1;CIT;PRKAR1B;MAK;CAMK4;TYRO3;TRIB1
GO_Biological_Process_2021	potassium ion transmembrane transport (GO:0071805)	12/139	0.00020801046706126416	0.044264627390637	0	0	3.7275686771332808	31.6020370800516	KCNJ4;KCNH3;KCNF1;KCNH5;SLC9A5;KCNB1;KCNJ9;KCNA2;KCNK2;KCNK3;KCNH1;KCNK4
GO_Biological_Process_2021	potassium ion transport (GO:0006813)	11/122	0.0002598048913669928	0.0502604371662691	0	0	3.904746209624258	32.23594325471934	KCNJ4;KCNH3;KCNF1;KCNH5;SLC9A5;KCNB1;KCNA2;KCNK2;KCNK3;KCNH1;KCNK4
GO_Biological_Process_2021	regulation of cardiac muscle hypertrophy in response to stress (GO:1903242)	3/6	0.00029885918891945143	0.0506824009381324	0	0	38.988	316.40859693078033	MLIP;LMNA;ATP2B4
GO_Biological_Process_2021	regulation of neuron death (GO:1901214)	9/86	0.00030961993054310217	0.0506824009381324	0	0	4.594878805405121	37.12737910108991	CHGA;EGR1;LRRK2;SIGMAR1;DHCR24;SNCB;CD34;BTBD10;MAP3K5
GO_Biological_Process_2021	regulation of dopamine secretion (GO:0014059)	5/25	0.00034547071097728227	0.0525115480685469	0	0	9.777610441767068	77.93344810073964	SYT4;SYT2;SYT12;CHRNA4;KCNA2
GO_Biological_Process_2021	modulation of chemical synaptic transmission (GO:0050804)	10/109	0.0004267848040852361	0.0564066950073268	0	0	3.97442989735079	30.838518249845222	RIMS2;GRM3;SLC8A3;RIMS3;LRRK2;GRM8;GRIK3;LRRC4C;DLGAP3;CPLX3
GO_Biological_Process_2021	synaptic vesicle exocytosis (GO:0016079)	6/40	0.0004560004401666831	0.0564066950073268	0	0	6.910758669665049	53.16458243018836	RIMS2;BLOC1S6;RIMS3;SYT2;OTOF;CPLX3
GO_Biological_Process_2021	regulation of cardiac muscle cell contraction (GO:0086004)	5/27	0.000503631205422561	0.0564066950073268	0	0	8.887824023366193	67.49116970448063	CAMK2D;DLG1;JUP;PDE4D;PDE4B
GO_Biological_Process_2021	calcium-ion regulated exocytosis (GO:0017156)	5/27	0.000503631205422561	0.0564066950073268	0	0	8.887824023366193	67.49116970448063	RIMS2;SYT4;RIMS3;SYT2;SYT12
GO_Biological_Process_2021	modulation of excitatory postsynaptic potential (GO:0098815)	5/27	0.000503631205422561	0.0564066950073268	0	0	8.887824023366193	67.49116970448063	RIMS2;SLC8A3;CUX2;LRRK2;PRKCZ
GO_Biological_Process_2021	phosphorylation (GO:0016310)	22/400	0.0005459518372808412	0.057317113811492	0	0	2.3134013134013136	17.380537328129314	ACVRL1;CDK19;CAMK2D;LTK;PRKAA2;LRRK2;PRKAB1;PRKCZ;ACVR2B;DCLK1;RSKR;PAK1;PRKAR1B;MAK;CAMK4;TLK2;TRIB1;MAPK6;PRKACB;PAK5;MAP3K5;MARK1
GO_Biological_Process_2021	dendrite self-avoidance (GO:0070593)	4/16	0.0005656294126134083	0.057317113811492	0	0	13.016032064128256	97.32830965394106	NPTN;CNTN4;IGSF9;MYPN
GO_Biological_Process_2021	homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156)	7/60	0.0007448764584229969	0.0720498683420062	0	0	5.177571515520389	37.29038284257183	IGSF21;NPTN;PTPRM;CNTN4;IGFN1;MYPN;IGSF9
GO_Biological_Process_2021	endothelial cell proliferation (GO:0001935)	4/18	0.0009137996165825072	0.084546329742938	0	0	11.1554537646722	78.06474151559458	ACVRL1;DLG1;BMPER;CD34
GO_Biological_Process_2021	regulation of synaptic transmission, glutamatergic (GO:0051966)	6/46	0.000979975166084345	0.0868911313928119	0	0	5.872334004024145	40.68343207251561	GRM3;TSHZ3;LRRK2;GRM8;GRIK3;CACNG3
GO_Biological_Process_2021	regulation of synaptic vesicle exocytosis (GO:2000300)	4/19	0.0011346425319512	0.0952240286428413	0	0	10.41122244488978	70.60305563582463	RIMS2;RIMS3;LRRK2;SEPTIN5
GO_Biological_Process_2021	axonogenesis (GO:0007409)	15/240	0.001163451477779	0.0952240286428413	0	0	2.6327868852459018	17.788067267702072	EPHA8;SH3KBP1;ATL1;LRTM2;PIK3R1;SEMA3F;GFRA2;IGSF9;MYPN;RAP1GAP;TUBB3;DOK5;NPTN;CTNNA2;CNTN4
GO_Biological_Process_2021	regulation of neurotransmitter secretion (GO:0046928)	5/33	0.001307968730812	0.1030873133025177	0	0	6.9811388410786	46.3497350124518	RIMS2;RIMS3;LRRK2;SEPTIN5;CPLX3
GO_Biological_Process_2021	long-term synaptic potentiation (GO:0060291)	4/21	0.0016836572976231	0.1279579546193609	0	0	9.185429682895204	58.66538186713483	SLC8A3;TSHZ3;NPTN;PRKCZ
GO_Biological_Process_2021	positive regulation of protein localization to cell periphery (GO:1904377)	6/52	0.0018764684902818	0.13769396370068	0	0	5.104802729419999	32.0498083117287	DLG1;EPB41;STAC2;ATP2B4;ZDHHC8;PIK3R1
GO_Biological_Process_2021	regulation of voltage-gated calcium channel activity (GO:1901385)	4/22	0.0020173091677359	0.1430944636314015	0	0	8.674682698730795	53.83500059424647	CACNB3;STAC2;PDE4B;CRHR1
GO_Biological_Process_2021	regulation of cytoplasmic transport (GO:1903649)	3/11	0.0022442799782903	0.1446361693266327	0	0	14.61675	89.15297421769729	LRRK2;CHMP3;ATP9A
GO_Biological_Process_2021	regulation of endocytic recycling (GO:2001135)	3/11	0.0022442799782903	0.1446361693266327	0	0	14.61675	89.15297421769729	PLA2G4E;PLA2G3;ATP9A
GO_Biological_Process_2021	inhibitory synapse assembly (GO:1904862)	3/11	0.0022442799782903	0.1446361693266327	0	0	14.61675	89.15297421769729	GABRA1;LGI2;GABRG2
GO_Biological_Process_2021	positive regulation of synaptic transmission (GO:0050806)	7/73	0.0023767278652314	0.1446361693266327	0	0	4.154967008797654	25.104437741872047	RIMS2;SLC8A3;RIMS3;TSHZ3;NPTN;PRKCZ;CACNG3
GO_Biological_Process_2021	regulation of heart contraction (GO:0008016)	8/93	0.0023788843639248	0.1446361693266327	0	0	3.690932857991682	22.29738180057488	SLC8A3;CAMK2D;PDE4D;RNF207;ATP2B4;FXYD7;ATP2B2;APLN
GO_Biological_Process_2021	calcium ion-regulated exocytosis of neurotransmitter (GO:0048791)	3/12	0.0029368250987252	0.1689071300023631	0	0	12.992	75.7488969245148	RIMS2;RIMS3;SYT2
GO_Biological_Process_2021	negative regulation of cardiac muscle hypertrophy (GO:0010614)	3/12	0.0029368250987252	0.1689071300023631	0	0	12.992	75.7488969245148	MLIP;LMNA;ATP2B4
GO_Biological_Process_2021	regulation of ion transport (GO:0043269)	7/79	0.0037189190227218	0.2044566750764757	0	0	3.807543682795699	21.300626297638985	KCNJ4;SYT4;SYT2;SYT12;CHRNA4;KCNJ9;KCNA2
GO_Biological_Process_2021	positive regulation of calcium ion-dependent exocytosis (GO:0045956)	3/13	0.0037470913195406	0.2044566750764757	0	0	11.6922	65.3216951926604	SYT4;CACNA1I;KCNB1
GO_Biological_Process_2021	cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)	11/170	0.0039107940597805	0.208054243980323	0	0	2.719205399601166	15.07531509182552	CDH6;IGSF21;NPTN;CDH12;PTPRM;CNTN4;LRRC4C;IGFN1;IGSF9;MYPN;CDH18
GO_Biological_Process_2021	neuron projection development (GO:0031175)	11/171	0.004087850394065	0.2104510451338039	0	0	2.702070630081301	14.86067518125682	GPRIN3;BLOC1S6;PAK1;EPHA8;LRRK2;EPB41L3;OMG;PTPRM;STMN4;CNTN4;DCLK1
GO_Biological_Process_2021	inorganic cation transmembrane transport (GO:0098662)	15/274	0.0041536390486934	0.2104510451338039	0	0	2.2831350085448445	12.520188292694154	KCNJ4;KCNH3;KCNF1;KCNH5;KCNB1;KCNA2;SLC30A4;ATP2B4;SLC8A3;SLC9A5;ATP6V0D1;KCNK2;KCNK3;KCNH1;KCNK4
GO_Biological_Process_2021	myofibril assembly (GO:0030239)	5/43	0.004319270222458	0.2116583037069667	0	0	5.14135489325724	27.992974684925866	FHOD3;MYH3;OBSCN;TMOD3;MYPN
GO_Biological_Process_2021	positive regulation of BMP signaling pathway (GO:0030513)	4/27	0.004383231678782	0.2116583037069667	0	0	6.787139496384072	36.853957067080295	ACVRL1;SMAD2;ACVR2B;ELAPOR2
GO_Biological_Process_2021	synapse organization (GO:0050808)	9/126	0.0046012951655429	0.2116583037069667	0	0	3.0177514792899407	16.239780492716303	SLC8A3;CACNB3;PLXND1;LRRK2;NRXN2;LRRC4C;SNCB;IGFN1;PDZRN3
GO_Biological_Process_2021	endothelial cell differentiation (GO:0045446)	3/14	0.0046807243157534	0.2116583037069667	0	0	10.628727272727271	57.01570735306985	ACVRL1;SCUBE1;ACVR2B
GO_Biological_Process_2021	peptidyl-serine dephosphorylation (GO:0070262)	3/14	0.0046807243157534	0.2116583037069667	0	0	10.628727272727271	57.01570735306985	DUSP1;PPP2R2B;PPP2R2A
GO_Biological_Process_2021	neurotransmitter secretion (GO:0007269)	5/44	0.0047742474520368	0.2116583037069667	0	0	5.009267840593142	26.77212674507744	RIMS2;STXBP1;NRXN2;OTOF;CPLX3
GO_Biological_Process_2021	regulation of sodium ion transmembrane transport (GO:1902305)	4/28	0.0050136794814551	0.21338219873073	0	0	6.504008016032064	34.44252862946379	CAMK2D;DLG1;ATP2B4;FXYD7
GO_Biological_Process_2021	sarcomere organization (GO:0045214)	4/28	0.0050136794814551	0.21338219873073	0	0	6.504008016032064	34.44252862946379	FHOD3;MYH3;OBSCN;MYPN
GO_Biological_Process_2021	G protein-coupled glutamate receptor signaling pathway (GO:0007216)	3/15	0.0057427136653465	0.236541671845974	0	0	9.7425	50.26957963399144	GRM3;GRM8;GRIK3
GO_Biological_Process_2021	regulation of microvillus assembly (GO:0032534)	2/5	0.0060024672366929	0.236541671845974	0	0	25.940119760479043	132.69887945576022	FSCN1;RAP1GAP
GO_Biological_Process_2021	heparin metabolic process (GO:0030202)	2/5	0.0060024672366929	0.236541671845974	0	0	25.940119760479043	132.69887945576022	CSGALNACT1;GLCE
GO_Biological_Process_2021	retina vasculature development in camera-type eye (GO:0061298)	2/5	0.0060024672366929	0.236541671845974	0	0	25.940119760479043	132.69887945576022	ACVRL1;ACVR2B
GO_Biological_Process_2021	cell-cell junction assembly (GO:0007043)	6/66	0.0062407633024571	0.2414608055932526	0	0	3.910865191146881	19.85410464472394	CDH6;JUP;EPB41L3;CDH12;FSCN1;CDH18
GO_Biological_Process_2021	phosphatidylcholine acyl-chain remodeling (GO:0036151)	4/30	0.0064508506030574	0.2436548984148847	0	0	6.003083089255434	30.27680937665548	PLA2G4E;LPCAT4;MBOAT7;PLA2G3
GO_Biological_Process_2021	transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0007178)	9/133	0.0065264704932558	0.2436548984148847	0	0	2.846366070262505	14.322598085376178	SMAD2;ACVRL1;ZMIZ2;TGFB1I1;HIVEP1;GCNT2;LRRC32;PRKCZ;ACVR2B
GO_Biological_Process_2021	cognition (GO:0050890)	5/48	0.0069365047280782	0.2473811790085137	0	0	4.542355468385169	22.57985495130606	CUX2;PTCHD1;CHRNA4;RP9;JAKMIP1
GO_Biological_Process_2021	cellular response to calcium ion (GO:0071277)	6/69	0.0077333225425296	0.2473811790085137	0	0	3.724058637539523	18.107180040910738	SYT4;CAMK2D;PRKAA2;SYT2;SYT12;KCNH1
GO_Biological_Process_2021	synapse assembly (GO:0007416)	6/69	0.0077333225425296	0.2473811790085137	0	0	3.724058637539523	18.107180040910738	GABRA1;PLXND1;LGI2;NRXN2;IGFN1;GABRG2
GO_Biological_Process_2021	regulation of dendrite morphogenesis (GO:0048814)	4/32	0.0081375447965831	0.2473811790085137	0	0	5.573718866304037	26.816648347296947	CUX2;CUX1;HECW2;LZTS1
GO_Biological_Process_2021	cellular response to transforming growth factor beta stimulus (GO:0071560)	8/114	0.00816292557289	0.2473811790085137	0	0	2.9565084810367828	14.215344082439316	SMAD2;ACVRL1;WWOX;ZMIZ2;GCNT2;LRRC32;PRKCZ;WNT4
GO_Biological_Process_2021	stabilization of membrane potential (GO:0030322)	3/17	0.0082686579796667	0.2473811790085137	0	0	8.349857142857143	40.03992850096259	KCNK2;KCNK3;KCNK4
GO_Biological_Process_2021	vasculature development (GO:0001944)	3/17	0.0082686579796667	0.2473811790085137	0	0	8.349857142857143	40.03992850096259	ACVRL1;FBXW7;ACVR2B
GO_Biological_Process_2021	positive regulation of dendrite extension (GO:1903861)	3/17	0.0082686579796667	0.2473811790085137	0	0	8.349857142857143	40.03992850096259	RIMS2;SYT4;SYT2
GO_Biological_Process_2021	positive regulation of regulated secretory pathway (GO:1903307)	3/17	0.0082686579796667	0.2473811790085137	0	0	8.349857142857143	40.03992850096259	SYT4;CACNA1I;KCNB1
GO_Biological_Process_2021	blood vessel endothelial cell proliferation involved in sprouting angiogenesis (GO:0002043)	2/6	0.0088542834833845	0.2473811790085137	0	0	19.454091816367267	91.9566503107693	ACVRL1;BMPER
GO_Biological_Process_2021	regulation of focal adhesion disassembly (GO:0120182)	2/6	0.0088542834833845	0.2473811790085137	0	0	19.454091816367267	91.9566503107693	IQSEC1;PIK3R1
GO_Biological_Process_2021	regulation of membrane tubulation (GO:1903525)	2/6	0.0088542834833845	0.2473811790085137	0	0	19.454091816367267	91.9566503107693	PLEKHM2;ASAP1
GO_Biological_Process_2021	regulation of retrograde transport, endosome to Golgi (GO:1905279)	2/6	0.0088542834833845	0.2473811790085137	0	0	19.454091816367267	91.9566503107693	LRRK2;ATP9A
GO_Biological_Process_2021	regulation of SNARE complex assembly (GO:0035542)	2/6	0.0088542834833845	0.2473811790085137	0	0	19.454091816367267	91.9566503107693	STXBP1;SEPTIN8
GO_Biological_Process_2021	morphogenesis of an endothelium (GO:0003159)	2/6	0.0088542834833845	0.2473811790085137	0	0	19.454091816367267	91.9566503107693	ACVRL1;CCM2
GO_Biological_Process_2021	negative regulation of relaxation of muscle (GO:1901078)	2/6	0.0088542834833845	0.2473811790085137	0	0	19.454091816367267	91.9566503107693	PDE4D;PDE4B
GO_Biological_Process_2021	positive regulation of activin receptor signaling pathway (GO:0032927)	2/6	0.0088542834833845	0.2473811790085137	0	0	19.454091816367267	91.9566503107693	SMAD2;ACVR2B
GO_Biological_Process_2021	positive regulation of focal adhesion disassembly (GO:0120183)	2/6	0.0088542834833845	0.2473811790085137	0	0	19.454091816367267	91.9566503107693	IQSEC1;PIK3R1
GO_Biological_Process_2021	phosphatidylinositol-mediated signaling (GO:0048015)	6/71	0.0088612152254101	0.2473811790085137	0	0	3.609100758396533	17.05686774818585	LTK;PLCL2;TYRO3;PIK3R1;PLCD3;KCNH1
GO_Biological_Process_2021	regulation of axonogenesis (GO:0050770)	5/51	0.0089512926614922	0.2473811790085137	0	0	4.245460101274664	20.021408665458434	LINGO1;PAK1;PLXND1;OMG;LRRC4C
GO_Biological_Process_2021	cytoskeleton-dependent cytokinesis (GO:0061640)	6/72	0.0094672023705767	0.2529327290371628	0	0	3.55423449789647	16.562454945743188	SEPTIN5;SEPTIN6;MYH10;SEPTIN11;CIT;SEPTIN8
GO_Biological_Process_2021	positive regulation of protein localization to plasma membrane (GO:1903078)	5/52	0.0097039352640447	0.2529327290371628	0	0	4.154917542510467	19.25897259042515	DLG1;STAC2;ATP2B4;ZDHHC8;PIK3R1
GO_Biological_Process_2021	regulation of dendrite extension (GO:1903859)	3/18	0.0097396341391995	0.2529327290371628	0	0	7.7928	36.09275628058279	RIMS2;SYT4;SYT2
GO_Biological_Process_2021	positive regulation of excitatory postsynaptic potential (GO:2000463)	3/18	0.0097396341391995	0.2529327290371628	0	0	7.7928	36.09275628058279	RIMS2;CUX2;PRKCZ
GO_Biological_Process_2021	nervous system development (GO:0007399)	20/447	0.0097464679422215	0.2529327290371628	0	0	1.8492928176259813	8.563798239867358	ARNT2;EGR2;PLXND1;POU6F2;FBXL17;NRXN2;NRG1;CYP46A1;VXN;GFRA2;IGFN1;PCDHA11;NPAS2;DCLK1;NRGN;IL1RAPL2;PDGFC;TYRO3;PCDHA5;CNTN4
GO_Biological_Process_2021	phosphatidylserine metabolic process (GO:0006658)	4/34	0.0100898761902971	0.2556101968208618	0	0	5.201603206412826	23.90772681291413	PLA2G4E;LPCAT4;PLA2G3;OSBPL10
GO_Biological_Process_2021	positive regulation of pri-miRNA transcription by RNA polymerase II (GO:1902895)	4/34	0.0100898761902971	0.2556101968208618	0	0	5.201603206412826	23.90772681291413	EGR1;KLF5;FOXO3;APLN
GO_Biological_Process_2021	regulation of vesicle-mediated transport (GO:0060627)	7/96	0.0106481937776929	0.2665806630462431	0	0	3.0775643349039505	13.97942051872743	RIMS2;LRRK2;SEPTIN5;CHMP3;PLA2G3;PACSIN3;ATP9A
GO_Biological_Process_2021	regulation of postsynaptic membrane potential (GO:0060078)	4/35	0.0111702737589904	0.2702275262814476	0	0	5.033550972913569	22.62329060843702	GABRA1;CHRNA4;LRRK2;GABRG2
