Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	actin-myosin filament sliding (GO:0033275)	6/38	0.0003385759010916942	0.2928681544443154	0	0	7.358618951612903	58.800974626361146	MYL4;ACTA1;MYBPC1;TNNC1;TNNT2;TCAP
GO_Biological_Process_2021	muscle filament sliding (GO:0030049)	6/38	0.0003385759010916942	0.2928681544443154	0	0	7.358618951612903	58.800974626361146	MYL4;ACTA1;MYBPC1;TNNC1;TNNT2;TCAP
GO_Biological_Process_2021	heart trabecula formation (GO:0060347)	3/7	0.0005102509159076578	0.2942446948400826	0	0	29.299599198396795	222.10877494504916	RBP4;HEY1;ADGRG6
GO_Biological_Process_2021	desensitization of G protein-coupled receptor signaling pathway (GO:0002029)	3/11	0.0022315706128728	0.7722570892560094	0	0	14.646793587174349	89.41940178054003	ADRB3;SAG;ADM
GO_Biological_Process_2021	heart contraction (GO:0060047)	5/41	0.0034737226768763	0.7722570892560094	0	0	5.4387435725463895	30.797040171210615	MYL4;TNNC1;TNNT2;TCAP;SGCZ
GO_Biological_Process_2021	positive regulation of muscle cell differentiation (GO:0051149)	4/27	0.0043523798848944	0.7722570892560094	0	0	6.801117513532391	36.977896845247415	MEF2C;OLFM2;MYOD1;CAMK1
GO_Biological_Process_2021	regulation of G protein-coupled receptor signaling pathway (GO:0008277)	7/82	0.0045257738196742	0.7722570892560094	0	0	3.6622491582491583	19.76869902742232	RGS4;ADCYAP1;RAMP3;SAG;CRY1;RGS20;RGS6
GO_Biological_Process_2021	neuron fate commitment (GO:0048663)	3/14	0.0046547384938433	0.7722570892560094	0	0	10.650573875022772	57.19219231284311	SHH;ID2;POU3F2
GO_Biological_Process_2021	protein secretion (GO:0009306)	6/64	0.0053190121849191	0.7722570892560094	0	0	4.054505005561735	21.2312843891903	ARL4D;ADCYAP1;OLFM2;NECAB3;VIP;CAMK2G
GO_Biological_Process_2021	regulation of gluconeogenesis (GO:0006111)	4/29	0.005662446915394	0.7722570892560094	0	0	6.256385542168674	32.369907919917786	CRY1;ERFE;ARPP19;FBP1
GO_Biological_Process_2021	negative regulation of vascular endothelial cell proliferation (GO:1905563)	2/5	0.0059792059503541	0.7722570892560094	0	0	25.99333333333333	133.07202532214552	MEF2C;PPARG
GO_Biological_Process_2021	positive regulation of smooth muscle cell differentiation (GO:0051152)	2/5	0.0059792059503541	0.7722570892560094	0	0	25.99333333333333	133.07202532214552	OLFM2;SHH
GO_Biological_Process_2021	amylin receptor signaling pathway (GO:0097647)	2/6	0.0088202657695371	0.7722570892560094	0	0	19.494	92.22032967826732	RAMP3;ADM
GO_Biological_Process_2021	skeletal muscle thin filament assembly (GO:0030240)	2/6	0.0088202657695371	0.7722570892560094	0	0	19.494	92.22032967826732	ACTA1;TCAP
GO_Biological_Process_2021	neuroblast proliferation (GO:0007405)	2/6	0.0088202657695371	0.7722570892560094	0	0	19.494	92.22032967826732	SHH;RACGAP1
GO_Biological_Process_2021	negative regulation of smooth muscle cell proliferation (GO:0048662)	4/33	0.0090177557342326	0.7722570892560094	0	0	5.392327932419333	25.390098454532616	MEF2C;IL12A;PPARG;VIP
GO_Biological_Process_2021	adenylate cyclase-activating G protein-coupled receptor signaling pathway (GO:0007189)	8/118	0.0098442829649605	0.7722570892560094	0	0	2.854324622745676	13.189447040853985	ADCYAP1;RAMP3;ADRB3;ADGRG6;ADM;ADRA1B;VIP;PTHLH
GO_Biological_Process_2021	cardiac muscle contraction (GO:0060048)	4/34	0.0100215842770711	0.7722570892560094	0	0	5.212315930388219	23.992363639604505	MYL4;TNNC1;TNNT2;TCAP
GO_Biological_Process_2021	striated muscle tissue development (GO:0014706)	4/34	0.0100215842770711	0.7722570892560094	0	0	5.212315930388219	23.992363639604505	MEF2C;RBP4;MYOD1;SGCZ
GO_Biological_Process_2021	regulation of muscle cell differentiation (GO:0051147)	4/35	0.0110950969754626	0.7722570892560094	0	0	5.043917605907501	22.703944121495617	MEF2C;MYOD1;ID2;CAMK1
GO_Biological_Process_2021	heart trabecula morphogenesis (GO:0061384)	3/19	0.0112921295970489	0.7722570892560094	0	0	7.320390781563126	32.822064943206776	RBP4;HEY1;ADGRG6
GO_Biological_Process_2021	calcitonin family receptor signaling pathway (GO:0097646)	2/7	0.012144283986603	0.7722570892560094	0	0	15.5944	68.7852870878983	RAMP3;ADM
GO_Biological_Process_2021	dendrite arborization (GO:0140059)	2/7	0.012144283986603	0.7722570892560094	0	0	15.5944	68.7852870878983	SEMA3A;PTN
GO_Biological_Process_2021	G protein-coupled receptor internalization (GO:0002031)	2/7	0.012144283986603	0.7722570892560094	0	0	15.5944	68.7852870878983	SAG;ADM
GO_Biological_Process_2021	positive regulation of catecholamine secretion (GO:0033605)	2/7	0.012144283986603	0.7722570892560094	0	0	15.5944	68.7852870878983	VIP;STX1A
GO_Biological_Process_2021	positive regulation of phospholipid biosynthetic process (GO:0071073)	2/7	0.012144283986603	0.7722570892560094	0	0	15.5944	68.7852870878983	FABP3;HTR2A
GO_Biological_Process_2021	negative regulation of endothelial cell proliferation (GO:0001937)	4/37	0.0134577557343662	0.7722570892560094	0	0	4.737738834124376	20.411125045640546	MEF2C;TNMD;IL12A;PPARG
GO_Biological_Process_2021	skeletal myofibril assembly (GO:0014866)	2/8	0.0159253240555257	0.7722570892560094	0	0	12.994666666666667	53.795902303491886	ACTA1;TCAP
GO_Biological_Process_2021	snRNA transcription by RNA polymerase III (GO:0042796)	2/8	0.0159253240555257	0.7722570892560094	0	0	12.994666666666667	53.795902303491886	SNAPC5;ZC3H8
GO_Biological_Process_2021	negative regulation of small molecule metabolic process (GO:0062014)	3/22	0.0169784369694551	0.7722570892560094	0	0	6.163590338571881	25.12163024820174	DKKL1;CRY1;ERFE
GO_Biological_Process_2021	epidermis development (GO:0008544)	6/83	0.018037261565606	0.7722570892560094	0	0	3.051057813154588	12.250959953679656	SCEL;WNT10A;CDSN;CCN2;PTHLH;OVOL2
GO_Biological_Process_2021	keratinocyte differentiation (GO:0030216)	4/41	0.019086002720988	0.7722570892560094	0	0	4.224682513839141	16.724673365704085	SCEL;OPN3;CDSN;EXPH5
GO_Biological_Process_2021	endochondral ossification (GO:0001958)	2/9	0.0201384426480083	0.7722570892560094	0	0	11.137714285714283	43.49416339254353	MEF2C;SCX
GO_Biological_Process_2021	regulation of skeletal muscle cell differentiation (GO:2001014)	2/9	0.0201384426480083	0.7722570892560094	0	0	11.137714285714283	43.49416339254353	MEF2C;NR1D2
GO_Biological_Process_2021	muscle cell fate commitment (GO:0042693)	2/9	0.0201384426480083	0.7722570892560094	0	0	11.137714285714283	43.49416339254353	MEF2C;MYOD1
GO_Biological_Process_2021	positive regulation of smooth muscle cell apoptotic process (GO:0034393)	2/9	0.0201384426480083	0.7722570892560094	0	0	11.137714285714283	43.49416339254353	PPARG;IL12A
GO_Biological_Process_2021	adenylate cyclase-modulating G protein-coupled receptor signaling pathway (GO:0007188)	9/165	0.0237059976174208	0.7722570892560094	0	0	2.263457637696989	8.469920043661979	ADCYAP1;RAMP3;ADRB3;HTR1F;ADGRG6;ADM;ADRA1B;VIP;PTHLH
GO_Biological_Process_2021	cAMP-mediated signaling (GO:0019933)	3/25	0.0239954476043643	0.7722570892560094	0	0	5.322280925487338	19.851528520606426	ADCYAP1;ADGRG6;DEFB1
GO_Biological_Process_2021	ventricular cardiac muscle tissue development (GO:0003229)	3/25	0.0239954476043643	0.7722570892560094	0	0	5.322280925487338	19.851528520606426	TNNC1;TNNT2;ID2
