Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	negative regulation of transcription, DNA-templated (GO:0045892)	65/948	8.744453070468185e-08	0.0002474680218942496	0	0	2.181160396630895	35.448788440226686	RB1;CITED2;WWC2;HNRNPU;CTCF;NR3C1;SOX2;SOX3;SOX1;ZIC2;BASP1;EPC1;KMT5A;CIC;YAF2;TLE1;NKX6-2;EED;NOG;TBR1;DUSP22;EID2;SFRP1;SFPQ;ERF;ZFPM1;HDAC4;YAP1;CEBPA;CEBPB;HDAC2;CBFB;CTBP1;NOTCH4;FOXK1;RTF1;MACROH2A1;FOXO1;GLIS2;SCRT2;MXI1;ORC2;NRIP1;SUDS3;BRD7;E2F6;TGFB1;CBX4;ATP8B1;GADD45A;PHF12;DAB2IP;IRF2BP1;WWP1;FOXN3;KLF4;SCRT1;KLF2;NR2F6;VEGFA;SMAD7;FAM220A;ID4;MAP3K10;INSM1
GO_Biological_Process_2021	negative regulation of nucleic acid-templated transcription (GO:1903507)	36/464	5.080982898040245e-06	0.0045501445457032	0	0	2.440027563633232	29.74395022903463	RB1;HDAC4;CEBPA;HDAC2;CTBP1;CITED2;FOXK1;CTCF;NR3C1;FOXO1;GLIS2;ZIC2;BASP1;EPC1;KMT5A;SUDS3;CIC;BRD7;YAF2;NKX6-2;TLE1;TGFB1;CBX4;ATP8B1;EED;PHF12;DAB2IP;WWP1;TBR1;FOXN3;KLF4;EID2;SFRP1;SFPQ;ID4;MAP3K10
GO_Biological_Process_2021	negative regulation of transcription by RNA polymerase II (GO:0000122)	47/684	5.41836058308555e-06	0.0045501445457032	0	0	2.153090659340659	26.10776857830648	RB1;HDAC4;YAP1;CEBPB;HDAC2;CBFB;CTBP1;CITED2;NOTCH4;WWC2;HNRNPU;CTCF;RTF1;NR3C1;MACROH2A1;GLIS2;SOX2;SCRT2;SOX3;SOX1;ORC2;MXI1;NRIP1;EPC1;KMT5A;SUDS3;E2F6;CBX4;GADD45A;EED;PHF12;NOG;IRF2BP1;DAB2IP;KLF4;SCRT1;KLF2;NR2F6;VEGFA;SMAD7;FAM220A;DUSP22;SFPQ;ERF;ID4;INSM1;ZFPM1
GO_Biological_Process_2021	negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	40/547	6.43129971124137e-06	0.0045501445457032	0	0	2.293211880656893	27.413820542602934	RB1;HDAC4;CEBPA;HDAC2;CTBP1;CITED2;FMR1;FOXK1;CTCF;NR3C1;FOXO1;GLIS2;ZIC2;BASP1;EPC1;KMT5A;SUDS3;CIC;BRD7;YAF2;NANOS1;NKX6-2;TLE1;TGFB1;CBX4;ATP8B1;EED;PHF12;DAPK3;DAB2IP;WWP1;TBR1;FOXN3;KLF4;EID2;SFRP1;SFPQ;ID4;MAP3K10;LSM14A
GO_Biological_Process_2021	negative regulation of cell differentiation (GO:0045596)	19/191	3.385485409185991e-05	0.0160833347485907	0	0	3.165288608828854	32.581670928601504	RB1;YAP1;JAG1;TGFB1;NOTCH4;NOG;PTEN;DAB2IP;HNRNPU;FOXO1;ZFP36L2;SMAD7;SOX2;PPP2CA;SOX3;SFRP1;SPRED1;CHADL;ZFPM1
GO_Biological_Process_2021	nervous system development (GO:0007399)	33/447	3.409894292987442e-05	0.0160833347485907	0	0	2.3034281788769224	23.693624683539863	HDAC4;YAP1;CNTFR;CHRM3;SH3GL3;NUMBL;PTEN;SPG7;PKD2;GLIS2;SOX3;BTBD1;ZIC2;ADGRA2;ADAM23;BTBD2;NRTN;MARK4;SEMA6B;JAG1;TGFB1;RYK;NOG;APLP1;WWP1;INHBA;VEGFA;RNF103;SCN8A;UNC119;CSPG5;EVL;SHANK3
GO_Biological_Process_2021	positive regulation of transcription, DNA-templated (GO:0045893)	65/1183	0.0001227593320816909	0.0496298442558836	0	0	1.7007216032303896	15.31548235000571	CITED2;HNRNPU;CTCF;NR3C1;PKD2;SOX2;SOX3;PPP3CA;ING2;SOX1;ZIC2;EPC1;IER5;YAF2;HRAS;SOX4;TCF15;LMO2;TOX3;SFRP1;SFPQ;WAC;ZFPM1;MPND;HDAC4;YAP1;CEBPA;CEBPB;SMARCD2;HDAC2;SMARCD3;NOTCH4;CEBPG;FOXK1;FOXO1;GLIS2;ATAD2B;PCBP1;NRIP1;PCBD2;E2F4;BRD7;E2F5;TRIM44;BRD4;ESRRA;AKIRIN2;SMAD1;FZD2;JAG1;JUND;TGFB1;FOXF2;NFYB;ALYREF;DAB2IP;SMARCA5;INHBA;KLF4;HNRNPAB;KLF2;VEGFA;SMAD7;MLLT10;RFXAP
GO_Biological_Process_2021	positive regulation of transcription by RNA polymerase II (GO:0045944)	52/908	0.0002227187233365536	0.0787867483803058	0	0	1.765700198690117	14.848834002953645	CITED2;HNRNPU;NR3C1;PKD2;SOX2;SOX3;PPP3CA;SOX1;EPC1;IER5;HRAS;SOX4;TCF15;LMO2;TOX3;SFPQ;ZFPM1;MPND;HDAC4;YAP1;CEBPA;CEBPB;SMARCD2;HDAC2;SMARCD3;NOTCH4;CEBPG;FOXO1;GLIS2;ATAD2B;PCBP1;NRIP1;E2F4;E2F5;BRD4;ESRRA;AKIRIN2;SMAD1;JAG1;JUND;TGFB1;FOXF2;NFYB;DAB2IP;SMARCA5;INHBA;KLF4;KLF2;VEGFA;SMAD7;MLLT10;RFXAP
GO_Biological_Process_2021	regulation of cellular component movement (GO:0051270)	8/50	0.00027880218664221235	0.0812621516265068	0	0	5.405989199803633	44.248065043241546	YTHDF1;CADM4;ROCK1;ACTN1;DAPK3;PKN2;NRG2;VEGFA
GO_Biological_Process_2021	regulation of gene expression (GO:0010468)	59/1079	0.000287145412107798	0.0812621516265068	0	0	1.6849116398151618	13.741333623264747	RB1;CITED2;WWC2;JMJD1C;CTCF;NR3C1;SOX21;AFF4;YBX3;SOX2;SOX3;ING2;SOX1;YAF2;HRAS;SOX4;NANOS1;TLE1;NKX6-2;ACTR5;NOG;DAPK3;TERF2;SLC7A5;SFRP1;SFPQ;ADNP;HDAC4;YAP1;CEBPA;CEBPB;ROCK1;MACROH2A1;PPP2CA;SCRT2;PCBP1;SAP30L;TRIM44;ESRRA;SMAD1;TGFB1;NFYB;PHF12;NFXL1;TDRD7;SNF8;FOXN3;INHBA;KLF4;MAPK14;HNRNPAB;SCRT1;VEGFA;HNRNPL;AFDN;DNAJA4;FGF18;KRAS;INSM1
