Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	positive regulation of glycoprotein metabolic process (GO:1903020)	1/5	0.0161461871258954	0.2647994388202836	0	0	77.85546875	321.23721893054926	CCL19
GO_Biological_Process_2021	establishment of T cell polarity (GO:0001768)	1/5	0.0161461871258954	0.2647994388202836	0	0	77.85546875	321.23721893054926	CCL19
GO_Biological_Process_2021	response to prostaglandin (GO:0034694)	1/5	0.0161461871258954	0.2647994388202836	0	0	77.85546875	321.23721893054926	CCL19
GO_Biological_Process_2021	mature conventional dendritic cell differentiation (GO:0097029)	1/5	0.0161461871258954	0.2647994388202836	0	0	77.85546875	321.23721893054926	CCL19
GO_Biological_Process_2021	positive regulation of antigen processing and presentation (GO:0002579)	1/6	0.0193444972400453	0.2647994388202836	0	0	62.28125	245.72116030177747	CCL19
GO_Biological_Process_2021	establishment of lymphocyte polarity (GO:0001767)	1/6	0.0193444972400453	0.2647994388202836	0	0	62.28125	245.72116030177747	CCL19
GO_Biological_Process_2021	positive regulation of dendritic cell antigen processing and presentation (GO:0002606)	1/6	0.0193444972400453	0.2647994388202836	0	0	62.28125	245.72116030177747	CCL19
GO_Biological_Process_2021	regulation of T-helper 1 cell differentiation (GO:0045625)	1/7	0.0225325710338771	0.2647994388202836	0	0	51.8984375	196.84005200040264	CCL19
GO_Biological_Process_2021	negative regulation of dendritic cell apoptotic process (GO:2000669)	1/7	0.0225325710338771	0.2647994388202836	0	0	51.8984375	196.84005200040264	CCL19
GO_Biological_Process_2021	positive regulation of respiratory burst (GO:0060267)	1/7	0.0225325710338771	0.2647994388202836	0	0	51.8984375	196.84005200040264	JCHAIN
GO_Biological_Process_2021	immunological synapse formation (GO:0001771)	1/8	0.0257104404905407	0.2647994388202836	0	0	44.48214285714285	162.84281408743726	CCL19
GO_Biological_Process_2021	integrin activation (GO:0033622)	1/8	0.0257104404905407	0.2647994388202836	0	0	44.48214285714285	162.84281408743726	MZB1
GO_Biological_Process_2021	regulation of respiratory burst (GO:0060263)	1/9	0.0288781375765654	0.2647994388202836	0	0	38.919921875	137.95829719612885	JCHAIN
GO_Biological_Process_2021	regulation of dendritic cell antigen processing and presentation (GO:0002604)	1/9	0.0288781375765654	0.2647994388202836	0	0	38.919921875	137.95829719612885	CCL19
GO_Biological_Process_2021	glomerular filtration (GO:0003094)	1/9	0.0288781375765654	0.2647994388202836	0	0	38.919921875	137.95829719612885	JCHAIN
GO_Biological_Process_2021	renal filtration (GO:0097205)	1/10	0.0320356942028436	0.2647994388202836	0	0	34.59375	119.03379191454992	JCHAIN
GO_Biological_Process_2021	regulation of glycoprotein biosynthetic process (GO:0010559)	1/10	0.0320356942028436	0.2647994388202836	0	0	34.59375	119.03379191454992	CCL19
GO_Biological_Process_2021	response to prostaglandin E (GO:0034695)	1/11	0.0351831422208768	0.2647994388202836	0	0	31.1328125	104.20738341965524	CCL19
GO_Biological_Process_2021	regulation of dendritic cell apoptotic process (GO:2000668)	1/11	0.0351831422208768	0.2647994388202836	0	0	31.1328125	104.20738341965524	CCL19
GO_Biological_Process_2021	negative regulation of leukocyte apoptotic process (GO:2000107)	1/12	0.0383205133956651	0.2655340301798349	0	0	28.301136363636363	92.31179552985674	CCL19
GO_Biological_Process_2021	response to nitric oxide (GO:0071731)	1/13	0.0414478394284331	0.2655340301798349	0	0	25.94140625	82.57978498333833	CCL19
GO_Biological_Process_2021	positive regulation of T-helper cell differentiation (GO:0045624)	1/14	0.0445651519182939	0.2655340301798349	0	0	23.94471153846154	74.4872822237409	CCL19
GO_Biological_Process_2021	positive regulation of glycoprotein biosynthetic process (GO:0010560)	1/14	0.0445651519182939	0.2655340301798349	0	0	23.94471153846154	74.4872822237409	CCL19
GO_Biological_Process_2021	regulation of cell projection organization (GO:0031344)	1/14	0.0445651519182939	0.2655340301798349	0	0	23.94471153846154	74.4872822237409	CCL19
GO_Biological_Process_2021	dendritic cell chemotaxis (GO:0002407)	1/16	0.0507698622569058	0.2904036121095013	0	0	20.75	61.84438653446941	CCL19
GO_Biological_Process_2021	dendritic cell migration (GO:0036336)	1/18	0.0569348954637786	0.3064419071443913	0	0	18.30698529411765	52.46501611587855	CCL19
GO_Biological_Process_2021	positive regulation of neutrophil chemotaxis (GO:0090023)	1/19	0.0600026111891116	0.3064419071443913	0	0	17.2890625	48.64048131974362	CCL19
GO_Biological_Process_2021	regulation of lymphocyte proliferation (GO:0050670)	1/19	0.0600026111891116	0.3064419071443913	0	0	17.2890625	48.64048131974362	MZB1
GO_Biological_Process_2021	positive regulation of neutrophil migration (GO:1902624)	1/22	0.0691469272864522	0.3082238726472077	0	0	14.816964285714286	39.58384098532174	CCL19
