Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	cilium movement (GO:0003341)	12/52	1.11302795061232e-09	1.703198179005404e-06	0	0	13.58491879350348	280.0691535760185	ODAD1;DNAI4;DNAI2;ODAD2;SPEF2;DNAI3;ODAD4;CFAP70;TEKT1;DNAAF4;CFAP206;CFAP53
GO_Biological_Process_2021	extracellular structure organization (GO:0043062)	22/216	3.041987917308894e-09	1.703198179005404e-06	0	0	5.2156867546587655	102.28355309470216	COL17A1;COL18A1;POSTN;VCAM1;MIA;LUM;MMP2;BGN;NID2;THBS1;LOXL1;TTR;COL4A4;BSG;COL4A3;COL8A2;COL8A1;COL9A3;TGFBI;ITGB6;ATP7A;DDR2
GO_Biological_Process_2021	external encapsulating structure organization (GO:0045229)	22/217	3.3169399934731433e-09	1.703198179005404e-06	0	0	5.188671660880687	101.30478345119974	COL17A1;COL18A1;POSTN;VCAM1;MIA;LUM;MMP2;BGN;NID2;THBS1;LOXL1;TTR;COL4A4;BSG;COL4A3;COL8A2;COL8A1;COL9A3;TGFBI;ITGB6;ATP7A;DDR2
GO_Biological_Process_2021	extracellular matrix organization (GO:0030198)	26/300	3.589458754489787e-09	1.703198179005404e-06	0	0	4.387946577044933	85.32478141013137	COL17A1;COL18A1;NID2;THBS1;LOXL1;LOXL2;TTR;BSG;ITGB6;ATP7A;POSTN;CRTAP;VCAM1;MIA;LUM;MMP2;BGN;KIF9;COL4A4;COL4A3;COL8A2;COL8A1;COL9A3;TGFBI;GAS6;DDR2
GO_Biological_Process_2021	collagen fibril organization (GO:0030199)	13/89	7.904440520819853e-08	3.0005256217032164e-05	0	0	7.749479804161567	126.7292275006736	COL17A1;COL18A1;CRTAP;LUM;LOXL1;LOXL2;COL4A4;COL4A3;COL8A2;COL8A1;COL9A3;ATP7A;DDR2
GO_Biological_Process_2021	axonemal dynein complex assembly (GO:0070286)	8/32	3.5876765805171735e-07	0.00011349016916369324	0	0	14.967816091954022	222.1312345392417	ODAD1;DNAI4;DNAI2;ODAD2;DNAI3;DNAAF3;ODAD4;DNAAF4
GO_Biological_Process_2021	axoneme assembly (GO:0035082)	7/34	7.998403953352177e-06	0.0021687101004946	0	0	11.6131498470948	136.29504522421556	SPAG16;DNAI4;DNAAF3;FOXJ1;JHY;CFAP206;HOATZ
GO_Biological_Process_2021	supramolecular fiber organization (GO:0097435)	22/351	1.311374162221408e-05	0.0031112351998702	0	0	3.05406868867727	34.33338177860046	COL17A1;COL18A1;CRTAP;LUM;RHOD;OOEP;LOXL1;LOXL2;EFEMP2;TTR;COL4A4;TRPV4;COL4A3;COL8A2;COL8A1;COL9A3;ELMO3;EMILIN1;TGFBI;ATP7A;CGNL1;DDR2
GO_Biological_Process_2021	outer dynein arm assembly (GO:0036158)	5/18	3.518874923933699e-05	0.0074209162284735	0	0	17.16192483315771	175.99183476827704	ODAD1;DNAI2;ODAD2;ODAD4;DNAAF4
GO_Biological_Process_2021	cilium organization (GO:0044782)	16/228	5.234794049899357e-05	0.0094368169092317	0	0	3.4192037470725998	33.70513589022473	SPAG16;CFAP52;DNAI2;CFAP70;CCDC113;FOXJ1;CFAP126;KIF27;CATIP;FAM161A;TMEM237;TEKT1;TMEM107;HOATZ;CFAP43;RILP
GO_Biological_Process_2021	microtubule bundle formation (GO:0001578)	7/45	5.4691773446548766e-05	0.0094368169092317	0	0	8.24680106228875	80.93243361835796	SPAG16;CAPN6;FOXJ1;JHY;CFAP206;HOATZ;GAS2L2
GO_Biological_Process_2021	copper ion transport (GO:0006825)	4/11	6.925780994343756e-05	0.010954276939387	0	0	25.44744549300358	243.72735335848435	STEAP4;SLC31A1;ATP7A;STEAP2
GO_Biological_Process_2021	cellular response to vitamin (GO:0071295)	3/5	0.00010441826300711452	0.0141561330848216	0	0	66.66477272727273	611.1230357099778	POSTN;GAS6;FOLR1
GO_Biological_Process_2021	copper ion import (GO:0015677)	3/5	0.00010441826300711452	0.0141561330848216	0	0	66.66477272727273	611.1230357099778	STEAP4;ATP7A;STEAP2
GO_Biological_Process_2021	sulfur compound catabolic process (GO:0044273)	6/40	0.00023142134513770576	0.0286755339969048	0	0	7.883833624983174	65.99770388321991	NUDT7;LUM;OGN;BGN;DPEP1;PRELP
GO_Biological_Process_2021	cilium assembly (GO:0060271)	18/314	0.00024173263643333944	0.0286755339969048	0	0	2.755945945945946	22.95063111411663	SPAG16;CFAP52;DNAI2;DNAAF3;CFAP70;CCDC113;FOXJ1;CFAP206;SPATA6;KIF27;FAM161A;TMEM237;TEKT1;TMEM107;JHY;HOATZ;CFAP43;RILP
GO_Biological_Process_2021	determination of left/right symmetry (GO:0007368)	6/42	0.000304689639927503	0.0340177021519059	0	0	7.445080091533181	60.276983061220136	DNAI2;ODAD2;ODAD4;FOXJ1;DNAAF4;CFAP53
GO_Biological_Process_2021	amino-acid betaine metabolic process (GO:0006577)	3/7	0.0003535368290400847	0.0353164685009516	0	0	33.32897727272727	264.88280991078864	BHMT;CPT2;CPT1B
GO_Biological_Process_2021	regulation of cilium beat frequency (GO:0003356)	3/7	0.0003535368290400847	0.0353164685009516	0	0	33.32897727272727	264.88280991078864	ODAD2;CFAP206;CFAP43
GO_Biological_Process_2021	determination of bilateral symmetry (GO:0009855)	5/29	0.0003990099992085482	0.0378660489248912	0	0	9.290810502283104	72.71475212548198	DNAI2;ODAD2;FOXJ1;DNAAF4;CFAP53
GO_Biological_Process_2021	cell-cell junction organization (GO:0045216)	8/82	0.00046282813456021766	0.041830847590252	0	0	4.842000621310966	37.17763017869388	CDH3;MARVELD2;TRPV4;MARVELD3;DSG2;PKP3;CLDN1;TJP3
GO_Biological_Process_2021	diterpenoid metabolic process (GO:0016101)	7/64	0.0005218371994030474	0.0439993148799419	0	0	5.492515692901979	41.51328438260693	TTR;RDH10;RBP1;ABCA4;RDH5;STRA6;GPIHBP1
GO_Biological_Process_2021	amine metabolic process (GO:0009308)	3/8	0.000556366468450267	0.0439993148799419	0	0	26.66181818181818	199.805888114817	SULT1C2;VCAM1;INMT
