Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	aerobic electron transport chain (GO:0019646)	25/70	2.2772005541416143e-27	2.423240169684837e-24	0	0	36.47528799702713	2237.6440451475146	NDUFB9;COX7B;NDUFA13;NDUFB6;NDUFB11;NDUFB5;COX4I1;NDUFB2;UQCR10;COX5B;UQCRH;UQCRFS1;NDUFV3;NDUFV2;NDUFA7;UQCC3;NDUFA4;NDUFA3;NDUFA2;NDUFA1;UQCRQ;NDUFS5;NDUFS4;NDUFAB1;NDUFS3
GO_Biological_Process_2021	mitochondrial ATP synthesis coupled electron transport (GO:0042775)	25/71	3.464246132501554e-27	2.423240169684837e-24	0	0	35.68052930056711	2173.9184009227656	NDUFB9;COX7B;NDUFA13;NDUFB6;NDUFB11;NDUFB5;COX4I1;NDUFB2;UQCR10;COX5B;UQCRH;UQCRFS1;NDUFV3;NDUFV2;NDUFA7;UQCC3;NDUFA4;NDUFA3;NDUFA2;NDUFA1;UQCRQ;NDUFS5;NDUFS4;NDUFAB1;NDUFS3
GO_Biological_Process_2021	mitochondrial respiratory chain complex assembly (GO:0033108)	26/90	1.1656113445017417e-25	5.435634236526455e-23	0	0	26.736157718120804	1534.9597537070806	NDUFB9;NDUFA13;DMAC1;NDUFB6;NDUFB11;NDUFB5;NDUFB2;UQCRFS1;NDUFV3;COA8;NDUFV2;COA3;NDUFA7;UQCC3;UQCC2;NDUFA3;NDUFA2;NDUFA1;NDUFAF6;NDUFS5;NDUFS4;SDHAF1;NDUFAB1;NDUFAF5;NDUFS3;TMEM126A
GO_Biological_Process_2021	mitochondrial translational termination (GO:0070126)	25/89	2.246221169267493e-24	7.856158539513059e-22	0	0	25.621864548494983	1395.182084172808	MRPS16;MRPS34;MRPL36;MRPL14;MRPL15;MRPS30;MRPL34;MRPL13;MRPL57;MRPL54;MRPL11;MRPL41;MRPL3;MRPL20;MTRF1;MRPS28;GADD45GIP1;MRPS24;MRPS22;MRPS23;MRPL48;MRPL46;MRPL22;MRPL53;MRPL51
GO_Biological_Process_2021	mitochondrial translation (GO:0032543)	26/105	9.683386788231613e-24	2.709411623347205e-21	0	0	21.643105938323	1146.9034731226718	MRPS16;MRPS34;MRPL14;MRPL36;MRPL15;MRPS30;MRPL34;MRPL13;MRPL57;MRPL54;MRPL11;MRPL41;MRPL20;MRPL3;MTRF1;MRPS28;GADD45GIP1;NDUFA7;MRPS24;MRPS22;MRPS23;MRPL48;MRPL46;MRPL22;MRPL53;MRPL51
GO_Biological_Process_2021	translational termination (GO:0006415)	25/96	1.818776634630018e-23	4.240780853078992e-21	0	0	23.087521786235808	1208.8924938756393	MRPS16;MRPS34;MRPL36;MRPL14;MRPL15;MRPS30;MRPL34;MRPL13;MRPL57;MRPL54;MRPL11;MRPL41;MRPL3;MRPL20;MTRF1;MRPS28;GADD45GIP1;MRPS24;MRPS22;MRPS23;MRPL48;MRPL46;MRPL22;MRPL53;MRPL51
GO_Biological_Process_2021	mitochondrial translational elongation (GO:0070125)	24/89	5.66186319874121e-23	1.1315638021484218e-20	0	0	24.136615384615386	1236.4151179999683	MRPS28;GADD45GIP1;MRPS16;MRPS24;MRPS22;MRPS23;MRPS34;MRPL36;MRPL14;MRPL48;MRPL15;MRPS30;MRPL34;MRPL46;MRPL13;MRPL57;MRPL54;MRPL11;MRPL22;MRPL41;MRPL3;MRPL53;MRPL20;MRPL51
GO_Biological_Process_2021	mitochondrial respiratory chain complex I assembly (GO:0032981)	20/58	9.11095053071998e-22	1.4162466436085836e-19	0	0	33.99930747922438	1647.1778791987315	NDUFB9;NDUFA13;NDUFA7;DMAC1;NDUFB6;NDUFB11;NDUFB5;NDUFA3;NDUFA2;NDUFB2;NDUFA1;NDUFAF6;NDUFS5;NDUFS4;NDUFAB1;NDUFAF5;NDUFS3;TMEM126A;NDUFV3;NDUFV2
GO_Biological_Process_2021	NADH dehydrogenase complex assembly (GO:0010257)	20/58	9.11095053071998e-22	1.4162466436085836e-19	0	0	33.99930747922438	1647.1778791987315	NDUFB9;NDUFA13;NDUFA7;DMAC1;NDUFB6;NDUFB11;NDUFB5;NDUFA3;NDUFA2;NDUFB2;NDUFA1;NDUFAF6;NDUFS5;NDUFS4;NDUFAB1;NDUFAF5;NDUFS3;TMEM126A;NDUFV3;NDUFV2
GO_Biological_Process_2021	translational elongation (GO:0006414)	24/104	3.273258302997227e-21	4.579288365893122e-19	0	0	19.596	924.3139464019968	MRPS28;GADD45GIP1;MRPS16;MRPS24;MRPS22;MRPS23;MRPS34;MRPL14;MRPL36;MRPL15;MRPL48;MRPS30;MRPL34;MRPL13;MRPL46;MRPL57;MRPL54;MRPL11;MRPL22;MRPL41;MRPL20;MRPL3;MRPL53;MRPL51
