Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	glucan biosynthetic process (GO:0009250)	1/13	0.0345469692098807	0.2072818152592845	0	0	31.342767295597483	105.4820602978719	GYS2
GO_Biological_Process_2021	glycogen biosynthetic process (GO:0005978)	1/13	0.0345469692098807	0.2072818152592845	0	0	31.342767295597483	105.4820602978719	GYS2
GO_Biological_Process_2021	response to hexose (GO:0009746)	1/25	0.0653953228992461	0.2188649554929553	0	0	15.66194968553459	42.71490645721221	GYS2
GO_Biological_Process_2021	glycogen metabolic process (GO:0005977)	1/28	0.0729549851643184	0.2188649554929553	0	0	13.919636617749823	36.44039305811433	GYS2
GO_Biological_Process_2021	negative regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043124)	1/40	0.1025980608845291	0.2462353461228699	0	0	9.630865989356556	21.92886785331625	PPM1N
GO_Biological_Process_2021	response to glucose (GO:0009749)	1/49	0.1242179085729291	0.2484358171458582	0	0	7.821540880503145	16.313528042717785	GYS2
GO_Biological_Process_2021	positive regulation of canonical Wnt signaling pathway (GO:0090263)	1/130	0.2971515228201141	0.509402610548767	0	0	2.898493491297353	3.517359800013655	PPM1N
GO_Biological_Process_2021	positive regulation of Wnt signaling pathway (GO:0030177)	1/153	0.3398181503324097	0.5097272254986146	0	0	2.4570506454816288	2.6520044847533275	PPM1N
GO_Biological_Process_2021	negative regulation of intracellular signal transduction (GO:1902532)	1/198	0.4160731339213949	0.5423065532184324	0	0	1.891485489895604	1.6586327150113274	PPM1N
GO_Biological_Process_2021	regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043122)	1/224	0.4561180659629848	0.5423065532184324	0	0	1.6687537016668077	1.3099776406189976	PPM1N
GO_Biological_Process_2021	regulation of canonical Wnt signaling pathway (GO:0060828)	1/253	0.4976078975070011	0.5423065532184324	0	0	1.4745432764300688	1.0291469611112831	PPM1N
GO_Biological_Process_2021	proteolysis (GO:0006508)	1/287	0.5423065532184324	0.5423065532184324	0	0	1.2970048819105422	0.7936682092483873	CAPN9
