Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	negative regulation of hydrogen peroxide metabolic process (GO:0010727)	1/5	0.0116959562183021	0.1426142379980512	0	0	108.41847826086956	482.3009144981259	MMP3
GO_Biological_Process_2021	regulation of hydrogen peroxide metabolic process (GO:0010310)	1/6	0.0140190390147642	0.1426142379980512	0	0	86.7304347826087	370.1081619438501	MMP3
GO_Biological_Process_2021	positive regulation of oxidative stress-induced cell death (GO:1903209)	1/7	0.0163367782286595	0.1426142379980512	0	0	72.27173913043478	297.35024553718466	MMP3
GO_Biological_Process_2021	cellular response to nitric oxide (GO:0071732)	1/9	0.0209562731864944	0.1426142379980512	0	0	54.19836956521739	209.4938923322211	MMP3
GO_Biological_Process_2021	cellular response to reactive nitrogen species (GO:1902170)	1/9	0.0209562731864944	0.1426142379980512	0	0	54.19836956521739	209.4938923322211	MMP3
GO_Biological_Process_2021	cellular response to UV-A (GO:0071492)	1/11	0.0255545358769434	0.1426142379980512	0	0	43.35434782608696	158.97781166869382	MMP3
GO_Biological_Process_2021	regulation of oxidative stress-induced cell death (GO:1903201)	1/12	0.0278457347637399	0.1426142379980512	0	0	39.41106719367589	141.13400615713857	MMP3
GO_Biological_Process_2021	antifungal innate immune response (GO:0061760)	1/13	0.030131661136783	0.1426142379980512	0	0	36.125	126.5162089708299	CLEC4D
GO_Biological_Process_2021	response to nitric oxide (GO:0071731)	1/13	0.030131661136783	0.1426142379980512	0	0	36.125	126.5162089708299	MMP3
GO_Biological_Process_2021	response to UV-A (GO:0070141)	1/14	0.0324123268177389	0.1426142379980512	0	0	33.34448160535117	114.34544554475478	MMP3
GO_Biological_Process_2021	positive regulation of leukocyte activation (GO:0002696)	1/19	0.043737157364484	0.1603695770031082	0	0	24.07608695652174	75.34749261223973	CLEC4D
GO_Biological_Process_2021	regulation of neuroinflammatory response (GO:0150077)	1/19	0.043737157364484	0.1603695770031082	0	0	24.07608695652174	75.34749261223973	MMP3
GO_Biological_Process_2021	cellular response to inorganic substance (GO:0071241)	1/21	0.0482306763303602	0.1611345483803835	0	0	21.666304347826088	65.68703534573399	MMP3
GO_Biological_Process_2021	negative regulation of reactive oxygen species metabolic process (GO:2000378)	1/23	0.0527035278621339	0.1611345483803835	0	0	19.694664031620555	57.96283165755778	MMP3
GO_Biological_Process_2021	defense response to fungus (GO:0050832)	1/24	0.0549322324024034	0.1611345483803835	0	0	18.83742911153119	54.65972021027424	CLEC4D
GO_Biological_Process_2021	response to peptide (GO:1901652)	1/39	0.0877533793517477	0.2165763831756753	0	0	11.393020594965677	27.721781469051702	MMP3
GO_Biological_Process_2021	detection of chemical stimulus involved in sensory perception of bitter taste (GO:0001580)	1/40	0.0899013436297567	0.2165763831756753	0	0	11.100334448160536	26.74117624866845	LPO
GO_Biological_Process_2021	sensory perception of bitter taste (GO:0050913)	1/41	0.0920443577411465	0.2165763831756753	0	0	10.822282608695652	25.81638924413387	LPO
