Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway (GO:0007193)	10/60	6.991232721201038e-08	9.850646904172264e-05	0	0	11.74011976047904	193.4304931554448	CHRM2;GRM4;GNAL;HRH3;HTR1D;HTR1B;OPRK1;DRD2;DRD4;ADCY5
GO_Biological_Process_2021	chemical synaptic transmission (GO:0007268)	20/306	3.870968316172138e-07	0.00027270971787432714	0	0	4.180695847362514	61.726264132526026	CHRM2;UNC13C;SLC32A1;CHAT;HTR1D;HTR1B;OPRK1;PDYN;GABRG1;SLC5A7;GLRA2;GRM4;HRH3;PENK;PDE7B;DRD2;NPTX2;RAPSN;DRD4;SLC18A3
GO_Biological_Process_2021	anterograde trans-synaptic signaling (GO:0098916)	16/244	5.4667522441160375e-06	0.0025675513039864	0	0	4.156611039794608	50.36493212660851	CHRM2;UNC13C;HTR1D;HTR1B;OPRK1;PDYN;GABRG1;GLRA2;GRM4;HRH3;PENK;PDE7B;NPTX2;RAPSN;DRD4;SLC18A3
GO_Biological_Process_2021	phospholipase C-activating G protein-coupled receptor signaling pathway (GO:0007200)	9/81	1.0422305949783902e-05	0.0036712572708113	0	0	7.307462686567164	83.82801306751819	CHRM2;LHCGR;CCKAR;ACTN2;P2RY1;OPRK1;TACR1;DRD1;DRD2
GO_Biological_Process_2021	G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger (GO:0007187)	8/65	1.5180145378383064e-05	0.0042777649676283	0	0	8.18671679197995	90.83589798481314	CHRM2;LHCGR;HRH3;HTR1D;HTR1B;DRD1;DRD4;SSTR5
GO_Biological_Process_2021	adenylate cyclase-modulating G protein-coupled receptor signaling pathway (GO:0007188)	12/165	2.9708043066733384e-05	0.0069764387801712	0	0	4.6073706591070165	48.02765903113115	CHRM2;LHCGR;GNAL;GRK5;ADORA2A;HTR1D;HTR1B;OPRK1;DRD1;GPR6;RXFP2;ADCY5
GO_Biological_Process_2021	catecholamine metabolic process (GO:0006584)	4/15	0.0001010428676801166	0.0203384857944691	0	0	21.010695187165776	193.2976750276108	PNMT;DRD1;DRD2;DRD4
GO_Biological_Process_2021	tachykinin receptor signaling pathway (GO:0007217)	3/7	0.00016771539202424532	0.0293254243741923	0	0	43.22287390029326	375.7469075163407	GRK5;TACR1;TAC1
GO_Biological_Process_2021	adenylate cyclase-activating G protein-coupled receptor signaling pathway (GO:0007189)	9/118	0.0002049017302901606	0.0293254243741923	0	0	4.817828289743941	40.91771958860769	LHCGR;GNAL;ADORA2A;DRD1;DRD2;GPR6;ADRA2B;RXFP2;ADCY5
GO_Biological_Process_2021	positive regulation of ion transport (GO:0043270)	6/50	0.0002081293426131465	0.0293254243741923	0	0	7.912318450779989	67.07549940207517	ACTN2;SCN5A;DRD1;DRD2;SCN4B;DRD4
GO_Biological_Process_2021	neurotransmitter transport (GO:0006836)	7/73	0.0002579112237370377	0.0311066064420079	0	0	6.165362827083896	50.943746455777074	SLC5A7;SLC22A3;GRM4;SLC32A1;HRH3;CHAT;SLC18A3
GO_Biological_Process_2021	regulation of dopamine uptake involved in synaptic transmission (GO:0051584)	3/8	0.0002649249661491092	0.0311066064420079	0	0	34.57653958944282	284.77459014537754	DRD1;DRD2;DRD4
GO_Biological_Process_2021	negative regulation of voltage-gated calcium channel activity (GO:1901386)	3/10	0.0005533365832685424	0.0599731727557981	0	0	24.6950146627566	185.20135131400733	GNB5;DRD2;DRD4
GO_Biological_Process_2021	neuropeptide signaling pathway (GO:0007218)	6/63	0.000738132959481445	0.0742878099935254	0	0	6.103706010588602	44.01618365997387	GLRA2;PENK;GPR149;OPRK1;PDYN;SSTR5
GO_Biological_Process_2021	regulation of catecholamine secretion (GO:0050433)	4/30	0.0016553056053034	0.1540713257266769	0	0	8.882352941176471	56.88054202032577	HRH3;DRD2;SYT9;SYT6
GO_Biological_Process_2021	sensory perception (GO:0007600)	5/51	0.0017958975818482	0.1540713257266769	0	0	6.287674746697448	39.75225378263973	GNAL;ADORA2A;PENK;OPRK1;PDYN
GO_Biological_Process_2021	regulation of potassium ion transport (GO:0043266)	4/31	0.0018750587181383	0.1540713257266769	0	0	8.552941176470588	53.70490383290506	ACTN2;KCNA5;DRD1;DRD2
GO_Biological_Process_2021	regulation of synaptic transmission, GABAergic (GO:0032228)	3/15	0.0019682639198581	0.1540713257266769	0	0	14.40175953079179	89.73165166413692	NPAS4;DRD2;BAIAP3
GO_Biological_Process_2021	regulation of catecholamine uptake involved in synaptic transmission (GO:0051940)	2/5	0.002850285302619	0.1666278310954236	0	0	38.30994152046784	224.5091364813059	DRD1;DRD2
GO_Biological_Process_2021	bundle of His cell action potential (GO:0086043)	2/5	0.002850285302619	0.1666278310954236	0	0	38.30994152046784	224.5091364813059	KCNA5;SCN5A
GO_Biological_Process_2021	regulation of sodium:proton antiporter activity (GO:0032415)	2/5	0.002850285302619	0.1666278310954236	0	0	38.30994152046784	224.5091364813059	TESC;DRD4
GO_Biological_Process_2021	tight junction organization (GO:0120193)	2/5	0.002850285302619	0.1666278310954236	0	0	38.30994152046784	224.5091364813059	PATJ;CLDN12
GO_Biological_Process_2021	adenylate cyclase-activating adrenergic receptor signaling pathway (GO:0071880)	3/17	0.0028676052346697	0.1666278310954236	0	0	12.343108504398828	72.25998869893705	DRD1;DRD2;ADRA2B
GO_Biological_Process_2021	regulation of G protein-coupled receptor signaling pathway (GO:0008277)	6/82	0.002898402310556	0.1666278310954236	0	0	4.573341638118966	26.72475917076561	KCTD8;RGS2;RIC8B;GRK5;GNG7;MRAP2
GO_Biological_Process_2021	regulation of postsynaptic membrane potential (GO:0060078)	4/35	0.0029564909704652	0.1666278310954236	0	0	7.447817836812145	43.37424548878277	NPAS4;DRD2;DRD4;GABRG1
GO_Biological_Process_2021	eye development (GO:0001654)	5/58	0.003177217407795	0.1712507591787995	0	0	5.455279122836311	31.37739893574821	MEIS1;SIX3;PRSS56;MEIS2;HES5
GO_Biological_Process_2021	activation of adenylate cyclase activity (GO:0007190)	4/36	0.0032815972305376	0.1712507591787995	0	0	7.214705882352941	41.2639692963893	LHCGR;DRD1;RXFP2;ADCY5
GO_Biological_Process_2021	dopamine metabolic process (GO:0042417)	3/19	0.0039837483485433	0.1715878105850642	0	0	10.799120234604104	59.67088558129425	DRD1;DRD2;DRD4
GO_Biological_Process_2021	synaptic transmission, cholinergic (GO:0007271)	3/19	0.0039837483485433	0.1715878105850642	0	0	10.799120234604104	59.67088558129425	SLC5A7;COLQ;RAPSN
GO_Biological_Process_2021	regulation of epinephrine secretion (GO:0014060)	2/6	0.0042268975993846	0.1715878105850642	0	0	28.730994152046783	157.05185934357186	CARTPT;ADRA2B
GO_Biological_Process_2021	cellular response to granulocyte macrophage colony-stimulating factor stimulus (GO:0097011)	2/6	0.0042268975993846	0.1715878105850642	0	0	28.730994152046783	157.05185934357186	CD4;PDE1B
GO_Biological_Process_2021	response to granulocyte macrophage colony-stimulating factor (GO:0097012)	2/6	0.0042268975993846	0.1715878105850642	0	0	28.730994152046783	157.05185934357186	CD4;PDE1B
GO_Biological_Process_2021	taurine metabolic process (GO:0019530)	2/6	0.0042268975993846	0.1715878105850642	0	0	28.730994152046783	157.05185934357186	STAT5B;CDO1
GO_Biological_Process_2021	prepulse inhibition (GO:0060134)	2/6	0.0042268975993846	0.1715878105850642	0	0	28.730994152046783	157.05185934357186	DRD1;DRD2
GO_Biological_Process_2021	negative regulation of secretion by cell (GO:1903531)	4/39	0.0044011289683173	0.1715878105850642	0	0	6.595294117647059	35.78536801622046	HRH3;HTR1B;DRD2;DRD4
GO_Biological_Process_2021	regulation of heart rate by cardiac conduction (GO:0086091)	4/39	0.0044011289683173	0.1715878105850642	0	0	6.595294117647059	35.78536801622046	KCNA5;SCN5A;ISL1;SCN4B
GO_Biological_Process_2021	sodium ion transport (GO:0006814)	6/90	0.0045985303510119	0.1715878105850642	0	0	4.136094674556213	22.260538120094925	SLC34A3;ASIC4;SLC4A11;SLC6A11;SCN5A;SCN4B
GO_Biological_Process_2021	adrenergic receptor signaling pathway (GO:0071875)	3/20	0.0046276343521876	0.1715878105850642	0	0	10.16336035880628	54.63527263467614	DRD1;DRD2;ADRA2B
GO_Biological_Process_2021	adenylate cyclase-activating dopamine receptor signaling pathway (GO:0007191)	2/7	0.0058505780912765	0.1752574573237749	0	0	22.983625730994152	118.16375684856646	GNAL;DRD1
