Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	ubiquitin-dependent protein catabolic process (GO:0006511)	18/354	0.000166505439180571	0.1454230500688002	0	0	2.845779220779221	24.759652540689597	NDFIP2;ANKIB1;FAF1;AMFR;VPS37D;UBE2G1;KCTD2;AGAP3;TRPC4AP;RNF144A;PINK1;RNF215;PSME3;KLHL8;UBQLN1;NHLRC1;RNF166;UBQLN2
GO_Biological_Process_2021	cellular response to alcohol (GO:0097306)	6/48	0.00028686886874651523	0.1454230500688002	0	0	7.457904761904762	60.830290931716696	GOLPH3;KLF9;ADCY2;AHR;GNAI1;LRP6
GO_Biological_Process_2021	myelination (GO:0042552)	6/48	0.00028686886874651523	0.1454230500688002	0	0	7.457904761904762	60.830290931716696	EIF2B5;GAL3ST1;MYRF;GPC1;PARD3;SOX10
GO_Biological_Process_2021	modification-dependent protein catabolic process (GO:0019941)	12/201	0.000496442318738697	0.1454230500688002	0	0	3.343227083064481	25.43541626586448	RNF144A;NDFIP2;PINK1;ANKIB1;RNF215;AMFR;KLHL8;UBQLN1;UBE2G1;TRPC4AP;RNF166;UBQLN2
GO_Biological_Process_2021	cellular response to forskolin (GO:1904322)	3/9	0.0005290171822790015	0.1454230500688002	0	0	25.943121693121693	195.7276129975025	ADCY2;AHR;GNAI1
GO_Biological_Process_2021	response to forskolin (GO:1904321)	3/9	0.0005290171822790015	0.1454230500688002	0	0	25.943121693121693	195.7276129975025	ADCY2;AHR;GNAI1
GO_Biological_Process_2021	regulation of sodium ion transport (GO:0002028)	5/36	0.0005666247898671472	0.1454230500688002	0	0	8.402539464653398	62.815815607674	SLMAP;CNKSR3;SIK1;SNTA1;YWHAH
GO_Biological_Process_2021	positive regulation of protein localization to membrane (GO:1905477)	8/101	0.0006975171528625068	0.1454230500688002	0	0	4.503098965089798	32.72844876393401	NECAB2;PRKCI;TFDP1;AKT1;PTPN9;STX3;BBC3;YWHAH
GO_Biological_Process_2021	negative regulation of apoptotic signaling pathway (GO:2001234)	7/78	0.0007127899566852326	0.1454230500688002	0	0	5.153121940197334	37.34119001451798	URI1;PINK1;PSME3;MAZ;FZD9;AKT1;RIPK1
GO_Biological_Process_2021	axon development (GO:0061564)	7/79	0.0007695155064379578	0.1454230500688002	0	0	5.081290849673203	36.431582292884805	RAB10;PARD3;ADGRB1;SLITRK5;RTN4RL2;NEFH;CDK5R1
GO_Biological_Process_2021	regulation of neuron differentiation (GO:0045664)	7/79	0.0007695155064379578	0.1454230500688002	0	0	5.081290849673203	36.431582292884805	CASZ1;HES1;TCF3;NBL1;YWHAH;BEND6;CDK5R1
GO_Biological_Process_2021	cellular response to ketone (GO:1901655)	5/39	0.0008258762900263147	0.1454230500688002	0	0	7.659965581977472	54.37859789672702	GOLPH3;KLF9;ADCY2;AHR;GNAI1
GO_Biological_Process_2021	regulation of microtubule polymerization (GO:0031113)	5/40	0.0009292889503128784	0.1510451963085471	0	0	7.440729483282674	51.94440839257017	CAMSAP3;SLAIN2;RAC1;CAMSAP1;CDK5R1
GO_Biological_Process_2021	positive regulation of actin filament depolymerization (GO:0030836)	3/12	0.0013278048396253	0.2004036875805909	0	0	17.292768959435627	114.55124774254632	CARMIL2;CFL2;PDXP
