Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	dorsal/ventral axis specification (GO:0009950)	1/5	0.0144174503390076	0.2925424542908846	0	0	87.44736842105263	370.71702609175657	SMAD6
GO_Biological_Process_2021	mitral valve development (GO:0003174)	1/7	0.0201270821818301	0.2925424542908846	0	0	58.29239766081872	227.6719762446049	SMAD6
GO_Biological_Process_2021	negative regulation of pathway-restricted SMAD protein phosphorylation (GO:0060394)	1/9	0.0258042082434215	0.2925424542908846	0	0	43.71491228070175	159.87495051613905	SMAD6
GO_Biological_Process_2021	mitral valve morphogenesis (GO:0003183)	1/9	0.0258042082434215	0.2925424542908846	0	0	43.71491228070175	159.87495051613905	SMAD6
GO_Biological_Process_2021	response to laminar fluid shear stress (GO:0034616)	1/10	0.0286306380412391	0.2925424542908846	0	0	38.85575048732944	138.06527849839193	SMAD6
GO_Biological_Process_2021	pulmonary valve morphogenesis (GO:0003184)	1/17	0.0481912576899168	0.2925424542908846	0	0	21.848684210526315	66.25783142102262	SMAD6
GO_Biological_Process_2021	embryonic axis specification (GO:0000578)	1/18	0.0509538444953197	0.2925424542908846	0	0	20.562435500516	61.21097903869968	SMAD6
GO_Biological_Process_2021	pulmonary valve development (GO:0003177)	1/18	0.0509538444953197	0.2925424542908846	0	0	20.562435500516	61.21097903869968	SMAD6
GO_Biological_Process_2021	atrioventricular valve morphogenesis (GO:0003181)	1/19	0.0537085510612333	0.2925424542908846	0	0	19.41910331384016	56.7850128051737	SMAD6
GO_Biological_Process_2021	negative regulation of ossification (GO:0030279)	1/24	0.0673646506413824	0.2925424542908846	0	0	15.193745232646837	40.98717694310057	SMAD6
GO_Biological_Process_2021	outflow tract septum morphogenesis (GO:0003148)	1/25	0.0700725371329717	0.2925424542908846	0	0	14.559941520467836	38.70359077425905	SMAD6
GO_Biological_Process_2021	regulation of sodium ion transmembrane transport (GO:1902305)	1/28	0.078149921114571	0.2925424542908846	0	0	12.940220922677064	32.98625659573303	BPIFA1
GO_Biological_Process_2021	regulation of cation transmembrane transport (GO:1904062)	1/30	0.0834964966939316	0.2925424542908846	0	0	12.04658197217181	29.91106798113016	BPIFA1
GO_Biological_Process_2021	negative regulation of osteoblast differentiation (GO:0045668)	1/31	0.0861583447782449	0.2925424542908846	0	0	11.644444444444444	28.547152703267717	SMAD6
GO_Biological_Process_2021	aortic valve morphogenesis (GO:0003180)	1/32	0.0888125949226699	0.2925424542908846	0	0	11.268251273344651	27.28299202091226	SMAD6
GO_Biological_Process_2021	regulation of ossification (GO:0030278)	1/36	0.099354041079923	0.2925424542908846	0	0	9.97844611528822	23.04088702173356	SMAD6
GO_Biological_Process_2021	aortic valve development (GO:0003176)	1/36	0.099354041079923	0.2925424542908846	0	0	9.97844611528822	23.04088702173356	SMAD6
GO_Biological_Process_2021	regulation of sodium ion transport (GO:0002028)	1/36	0.099354041079923	0.2925424542908846	0	0	9.97844611528822	23.04088702173356	BPIFA1
GO_Biological_Process_2021	antibacterial humoral response (GO:0019731)	1/44	0.1200786520847559	0.3349562400258981	0	0	8.1187270501836	17.20852137791413	BPIFA1
GO_Biological_Process_2021	negative regulation of BMP signaling pathway (GO:0030514)	1/52	0.1403344103503239	0.3541773213603412	0	0	6.842449260405917	13.436702764491082	SMAD6
GO_Biological_Process_2021	negative regulation of protein-containing complex assembly (GO:0031333)	1/52	0.1403344103503239	0.3541773213603412	0	0	6.842449260405917	13.436702764491082	SMAD6
GO_Biological_Process_2021	regulation of pathway-restricted SMAD protein phosphorylation (GO:0060393)	1/58	0.1552248237895256	0.3576919852541244	0	0	6.120344721452755	11.401472284939423	SMAD6
GO_Biological_Process_2021	fat cell differentiation (GO:0045444)	1/58	0.1552248237895256	0.3576919852541244	0	0	6.120344721452755	11.401472284939423	SMAD6
GO_Biological_Process_2021	antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844)	1/64	0.169861689308519	0.3621998174343836	0	0	5.535783904204957	9.813675868838727	BPIFA1
GO_Biological_Process_2021	BMP signaling pathway (GO:0030509)	1/65	0.1722768153337046	0.3621998174343836	0	0	5.449013157894737	9.582921726313486	SMAD6
GO_Biological_Process_2021	negative regulation of transforming growth factor beta receptor signaling pathway (GO:0030512)	1/68	0.1794808377120325	0.3621998174343836	0	0	5.204241948153967	8.939257856797644	SMAD6
GO_Biological_Process_2021	cellular response to BMP stimulus (GO:0071773)	1/71	0.1866232322677531	0.3621998174343836	0	0	4.980451127819549	8.360501498277522	SMAD6
GO_Biological_Process_2021	response to molecule of bacterial origin (GO:0002237)	1/73	0.1913508469464668	0.3621998174343836	0	0	4.841617933723197	8.006325232895135	SMAD6
GO_Biological_Process_2021	regulation of BMP signaling pathway (GO:0030510)	1/76	0.1983916774913417	0.3625778933462453	0	0	4.647251461988304	7.516985160791354	SMAD6
GO_Biological_Process_2021	negative regulation of cellular response to growth factor stimulus (GO:0090288)	1/80	0.2076858078344208	0.3668742554983077	0	0	4.41105929380413	6.932989285903756	SMAD6
GO_Biological_Process_2021	regulation of osteoblast differentiation (GO:0045667)	1/83	0.2145868286876894	0.3668742554983077	0	0	4.2490372272143775	6.539441767169585	SMAD6
GO_Biological_Process_2021	transforming growth factor beta receptor signaling pathway (GO:0007179)	1/89	0.2282121269940814	0.3779763353339474	0	0	3.958133971291866	5.848062596467224	SMAD6
GO_Biological_Process_2021	regulation of transforming growth factor beta receptor signaling pathway (GO:0017015)	1/100	0.2525911479606718	0.4056766921792607	0	0	3.5163919900762006	4.8384959983786695	SMAD6
GO_Biological_Process_2021	negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090101)	1/108	0.269844406237758	0.4159423864757484	0	0	3.2521724872929987	4.260052479988043	SMAD6
GO_Biological_Process_2021	response to lipid (GO:0033993)	1/114	0.282526904021263	0.4159423864757484	0	0	3.0785592299332403	3.891241905460327	SMAD6
GO_Biological_Process_2021	cellular response to transforming growth factor beta stimulus (GO:0071560)	1/114	0.282526904021263	0.4159423864757484	0	0	3.0785592299332403	3.891241905460327	SMAD6
GO_Biological_Process_2021	defense response to symbiont (GO:0140546)	1/124	0.3031849599911523	0.434291969717056	0	0	2.8268435315932106	3.37358964486458	BPIFA1
GO_Biological_Process_2021	defense response to virus (GO:0051607)	1/133	0.3212767049483742	0.4366068041606111	0	0	2.632908027644869	2.9895420496088705	BPIFA1
GO_Biological_Process_2021	transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0007178)	1/133	0.3212767049483742	0.4366068041606111	0	0	2.632908027644869	2.9895420496088705	SMAD6
GO_Biological_Process_2021	negative regulation of protein phosphorylation (GO:0001933)	1/152	0.3579678329899255	0.4743073787116513	0	0	2.299407459044964	2.3622092172625244	SMAD6
GO_Biological_Process_2021	response to lipopolysaccharide (GO:0032496)	1/159	0.3709882523579207	0.4795701798773122	0	0	2.196757717077504	2.1782717409668044	SMAD6
GO_Biological_Process_2021	defense response to bacterium (GO:0042742)	1/176	0.4015385793645407	0.5067034453885871	0	0	1.981654135338346	1.8081636095571272	BPIFA1
GO_Biological_Process_2021	negative regulation of cell differentiation (GO:0045596)	1/191	0.4272804970140452	0.526648054459172	0	0	1.8238227146814403	1.5508230451669018	SMAD6
GO_Biological_Process_2021	negative regulation of multicellular organismal process (GO:0051241)	1/214	0.4646521252492999	0.5596946054139295	0	0	1.6249897043077175	1.2454997992657937	SMAD6
GO_Biological_Process_2021	innate immune response (GO:0045087)	1/302	0.5867685106789623	0.6910829125774445	0	0	1.144780556041266	0.610311015954024	BPIFA1
GO_Biological_Process_2021	negative regulation of cell population proliferation (GO:0008285)	1/379	0.6708508603704938	0.7586825578109307	0	0	0.9080107676598904	0.3624855542867511	SMAD6
GO_Biological_Process_2021	negative regulation of programmed cell death (GO:0043069)	1/381	0.6727939663606367	0.7586825578109307	0	0	0.9031394275161588	0.357928730275464	SMAD6
GO_Biological_Process_2021	negative regulation of apoptotic process (GO:0043066)	1/485	0.7597051159546008	0.838841065533205	0	0	0.7053066550674206	0.1938358495106372	SMAD6
GO_Biological_Process_2021	negative regulation of cellular process (GO:0048523)	1/566	0.8112778230731822	0.8775045841403808	0	0	0.6016767582673498	0.1258375141333512	SMAD6
GO_Biological_Process_2021	regulation of apoptotic process (GO:0042981)	1/742	0.8887427087880692	0.9310224941283556	0	0	0.4546014158202524	0.0536191013078411	SMAD6
GO_Biological_Process_2021	regulation of cell population proliferation (GO:0042127)	1/764	0.895889569821625	0.9310224941283556	0	0	0.4409877905773608	0.0484813693312903	SMAD6
GO_Biological_Process_2021	regulation of transcription by RNA polymerase II (GO:0006357)	1/2206	0.9988709853338442	0.999002512570498	0	0	0.1411226478895652	0.0001594195496424304	SMAD6
GO_Biological_Process_2021	regulation of transcription, DNA-templated (GO:0006355)	1/2244	0.999002512570498	0.999002512570498	0	0	0.1384345840079467	0.00013815567309077048	SMAD6
